Store Number,Ship Date,Item Description,Item Number,Qty Shipped,Carrier,Tracking Number,Website
277,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280365808398,https://www.fedex.com/fedextrack/?trknbr=280365808398&trkqual=12028~280365808398~FDEG
335,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280377607080,https://www.fedex.com/fedextrack/?trknbr=280377607080&trkqual=12028~280377607080~FDEG
945,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280365087136,https://www.fedex.com/fedextrack/?trknbr=280365087136&trkqual=12028~280365087136~FDEG
1025,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280377290267,https://www.fedex.com/fedextrack/?trknbr=280377290267&trkqual=12028~280377290267~FDEG
342,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280367525660,https://www.fedex.com/fedextrack/?trknbr=280367525660&trkqual=12028~280367525660~FDEG
378,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280366117242,https://www.fedex.com/fedextrack/?trknbr=280366117242&trkqual=12028~280366117242~FDEG
405,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280361696201,https://www.fedex.com/fedextrack/?trknbr=280361696201&trkqual=12028~280361696201~FDEG
590,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280361119162,https://www.fedex.com/fedextrack/?trknbr=280361119162&trkqual=12028~280361119162~FDEG
626,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280377592691,https://www.fedex.com/fedextrack/?trknbr=280377592691&trkqual=12028~280377592691~FDEG
3205,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700407845,https://www.fedex.com/fedextrack/?trknbr=412700407845&trkqual=12028~412700407845~FDEG
1616,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280281455981,https://www.fedex.com/fedextrack/?trknbr=280281455981&trkqual=12028~280281455981~FDEG
4358,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280338122539,https://www.fedex.com/fedextrack/?trknbr=280338122539&trkqual=12028~280338122539~FDEG
3731,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280358107405,https://www.fedex.com/fedextrack/?trknbr=280358107405&trkqual=12028~280358107405~FDEG
5935,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700410830,https://www.fedex.com/fedextrack/?trknbr=412700410830&trkqual=12028~412700410830~FDEG
2167,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700409300,https://www.fedex.com/fedextrack/?trknbr=412700409300&trkqual=12028~412700409300~FDEG
5293,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700410576,https://www.fedex.com/fedextrack/?trknbr=412700410576&trkqual=12028~412700410576~FDEG
5292,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700410565,https://www.fedex.com/fedextrack/?trknbr=412700410565&trkqual=12028~412700410565~FDEG
5455,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700410679,https://www.fedex.com/fedextrack/?trknbr=412700410679&trkqual=12028~412700410679~FDEG
1699,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280338438341,https://www.fedex.com/fedextrack/?trknbr=280338438341&trkqual=12028~280338438341~FDEG
1793,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280284477242,https://www.fedex.com/fedextrack/?trknbr=280284477242&trkqual=12028~280284477242~FDEG
337,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280377611602,https://www.fedex.com/fedextrack/?trknbr=280377611602&trkqual=12028~280377611602~FDEG
954,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280362637838,https://www.fedex.com/fedextrack/?trknbr=280362637838&trkqual=12028~280362637838~FDEG
1043,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280367135914,https://www.fedex.com/fedextrack/?trknbr=280367135914&trkqual=12028~280367135914~FDEG
344,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280371002084,https://www.fedex.com/fedextrack/?trknbr=280371002084&trkqual=12028~280371002084~FDEG
