Store Number,City and State ,Supplier Name,Supplier Contact Number,Date Scheduled to Transition
2367,"PINE CITY, MN",PPG,724-816-5662,7/16/2023
1634,LITTLE FALLS MN,PPG,724-816-5662,7/16/2023
3875,"WAHPETON, ND",PPG,724-816-5662,7/16/2023
1654,BAXTER MN,PPG,724-816-5662,7/16/2023
1534,BISMARCK ND,PPG,724-816-5662,7/16/2023
1649,JAMESTOWN ND,PPG,724-816-5662,7/16/2023
1633,ST CLOUD MN,PPG,724-816-5662,7/16/2023
1567,DICKINSON ND,PPG,724-816-5662,7/16/2023
2033,MANDAN BISMARCK ND,PPG,724-816-5662,7/16/2023
3648,"BISMARCK, ND",PPG,724-816-5662,7/16/2023
3404,ROSEVILLE MN,PPG,724-816-5662,7/16/2023
5977,BURNSVILLE MN,PPG,724-816-5662,7/16/2023
927,PLAINVIEW TX,PPG,724-816-5662,7/17/2023
851,"RUIDOSO DOWNS, NM",PPG,724-816-5662,7/17/2023
822,AMARILLO TX,PPG,724-816-5662,7/17/2023
4341,"TRUTH OR CONSEQUENCES, NM",PPG,724-816-5662,7/17/2023
1272,SNYDER TX,PPG,724-816-5662,7/17/2023
611,ROSWELL NM,PPG,724-816-5662,7/17/2023
1306,ALAMOGORDO NM,PPG,724-816-5662,7/17/2023
755,AMARILLO TX,PPG,724-816-5662,7/17/2023
3427,ARTESIA NM,PPG,724-816-5662,7/17/2023
3805,"WOODLAND PARK, CO",PPG,724-816-5662,7/17/2023
5492,"SOCORRO, NM",PPG,724-816-5662,7/17/2023
1273,FOUNTAIN CO,PPG,724-816-5662,7/17/2023
793,CANYON TX,PPG,724-816-5662,7/17/2023
945,LUBBOCK TX (W),PPG,724-816-5662,7/17/2023
2653,"PORTALES, NM",PPG,724-816-5662,7/17/2023
3826,"LUBBOCK (TXTECH), TX",PPG,724-816-5662,7/17/2023
821,CLOVIS NM,PPG,724-816-5662,7/17/2023
549,HOBBS NM,PPG,724-816-5662,7/17/2023
1585,NORTH PLATTE NE,PPG,724-816-5662,7/17/2023
626,SEMINOLE TX,PPG,724-816-5662,7/17/2023
400,CONROE TX,PPG,724-816-5662,7/17/2023
861,LUBBOCK TX,PPG,724-816-5662,7/17/2023
4299,"LUBBOCK (SW), TX",PPG,724-816-5662,7/17/2023
5170,SIDNEY NE,PPG,724-816-5662,7/17/2023
6898,LUBBOCK QUAKER TX,PPG,724-816-5662,7/17/2023
7129,OGALLALA NE,PPG,724-816-5662,7/17/2023
3390,WOODLAND (W) TX,PPG,724-816-5662,7/17/2023
3018,FOUNTAIN CO,PPG,724-816-5662,7/17/2023
3382,PUEBLO WEST CO,PPG,724-816-5662,7/18/2023
842,"PUEBLO (N), CO",PPG,724-816-5662,7/18/2023
1001,"PUEBLO, CO",PPG,724-816-5662,7/18/2023
2579,"CHADRON, NE",PPG,724-816-5662,7/18/2023
867,SCOTTSBLUFF NE,PPG,724-816-5662,7/18/2023
3213,"THE WOODLANDS, TX",PPG,724-816-5662,7/18/2023
602,"THE WOODLANDS,TX",PPG,724-816-5662,7/18/2023
1384,LA JUNTA CO,PPG,724-816-5662,7/19/2023
2672,"LAMAR, CO",PPG,724-816-5662,7/19/2023
1543,SPEARFISH SD,PPG,724-816-5662,7/19/2023
1604,RAPID CITY SD,PPG,724-816-5662,7/19/2023
3872,"RAPID CITY (S), SD",PPG,724-816-5662,7/19/2023
1685,PIERRE SD,PPG,724-816-5662,7/19/2023
5091,HOUSTON ROSEHILL TX,PPG,724-816-5662,7/19/2023
951,HEMPSTEAD TX,PPG,724-816-5662,7/19/2023
1485,GILLETTE WY,PPG,724-816-5662,7/20/2023
921,SALIDA CO,PPG,724-816-5662,7/20/2023
1019,CANON CITY CO,PPG,724-816-5662,7/20/2023
5287,"SPRING, TX",PPG,724-816-5662,7/20/2023
351,TOMBALL TX,PPG,724-816-5662,7/20/2023
869,ALAMOSA CO,PPG,724-816-5662,7/21/2023
2608,"MILES CITY, MT",PPG,724-816-5662,7/21/2023
1565,WILLISTON ND,PPG,724-816-5662,7/21/2023
5003,PAGOSA SPRINGS CO,PPG,724-816-5662,7/21/2023
703,TOMBALL TX,PPG,724-816-5662,7/21/2023
5045,HOUSTON (SPG CYP) TX,PPG,724-816-5662,7/21/2023
