Store,Proposed Pickup Day 1,Proposed Pickup Day 2,Proposed Pickup Day 3
789,Sunday,Monday,Wednesday
135,Saturday,,
145,Sunday,Thursday,
975,Saturday,Sunday,Thursday
880,Sunday,Tuesday,Friday
6963,Saturday,Monday,Wednesday
189,Saturday,Tuesday,
5316,Sunday,Tuesday,Thursday
5359,Sunday,Tuesday,Friday
5764,Sunday,Tuesday,Friday
5147,Sunday,Tuesday,Thursday
197,Friday,,
5242,Sunday,Wenesday,Friday
4627,Saturday,Tuesday,Thursday
421,Saturday,Tuesday,Thursday
4503,Sunday,Wenesday,Friday
3583,Saturday,Monday,Thursday
200,Sunday,Thursday,
3280,Monday,Wednesday,Friday
3044,Saturday,Monday,Thursday
3284,Saturday,Monday,Thursday
269,Sunday,Wenesday,Friday
203,Saturday,,
2874,Sunday,Tuesday,Friday
2978,Sunday,Wenesday,Friday
2581,Sunday,Tuesday,Thursday
2056,Sunday,Tuesday,Thursday
2285,Saturday,Tuesday,Thursday
2210,Sunday,Wenesday,Friday
2116,Saturday,Monday,Wednesday
2234,Monday,Wednesday,Friday
2152,Saturday,Monday,Thursday
2166,Saturday,Monday,Wednesday
231,Sunday,Tuesday,Thursday
1940,Saturday,Tuesday,Thursday
1976,Saturday,Monday,Thursday
1994,Sunday,Wenesday,Friday
1997,Saturday,Monday,Wednesday
185,Saturday,Monday,Wednesday
480,Wednesday,,
1744,Sunday,Tuesday,Friday
559,Saturday,Wednesday,
129,Sunday,Tuesday,Thursday
1148,Sunday,Wenesday,Friday
1116,Saturday,Sunday,Thursday
581,Saturday,Wednesday,
609,Sunday,Wenesday,
645,Sunday,Tuesday,Thursday
940,Saturday,Tuesday,
807,Sunday,Friday,
972,Saturday,Wednesday,
804,Saturday,Thursday,
947,Sunday,Tuesday,
646,Friday,,
647,Wednesday,,
963,Sunday,Friday,
896,Sunday,Thursday,
748,Sunday,,
610,Sunday,Thursday,
5889,Saturday,Wednesday,
5866,Saturday,Wednesday,
6300,Saturday,Monday,
7294,Sunday,Wednesday,
590,Saturday,Monday,
743,Saturday,Monday,
5278,Saturday,Tuesday,
5498,Monday,Friday,
5416,Saturday,Wednesday,
5282,Sunday,Thursday,
5497,Sunday,Wenesday,
5311,Sunday,Thursday,
749,Monday,,
5312,Sunday,Friday,
561,Sunday,Thursday,
564,Saturday,Tuesday,
5707,Saturday,Wednesday,
750,Sunday,,
751,Wednesday,,
4597,Tuesday,Thursday,
517,Saturday,Tuesday,
5211,Sunday,Thursday,
5071,Sunday,Friday,
5080,Sunday,Tuesday,
467,Sunday,Friday,
5092,Sunday,Wenesday,
5095,Sunday,Friday,
5240,Saturday,Wednesday,
5247,Sunday,Thursday,
414,Saturday,Wednesday,
4165,Sunday,Thursday,
4403,Saturday,Tuesday,
753,Sunday,Thursday,
420,Saturday,Tuesday,
774,Sunday,Friday,
426,Sunday,Thursday,
775,Sunday,,
3482,Saturday,Wednesday,
353,Monday,Thursday,
3773,Saturday,Wednesday,
3842,Saturday,Wednesday,
776,Sunday,Thursday,
3607,Saturday,Wednesday,
783,Thursday,,
371,Sunday,Thursday,
3329,Saturday,Tuesday,
3332,Sunday,Wenesday,
784,Saturday,,
3221,Sunday,Friday,
3431,Sunday,Friday,
3334,Saturday,Wednesday,
3406,Sunday,Wenesday,
792,Sunday,,
3274,Sunday,Wenesday,
2734,Saturday,Wednesday,
2859,Sunday,Friday,
797,Saturday,Thursday,
810,Saturday,Monday,Thursday
277,Saturday,Wednesday,
2844,Saturday,Tuesday,
2883,Saturday,Tuesday,
2926,Sunday,Thursday,
2996,Saturday,Wednesday,
2834,Sunday,Thursday,
271,Sunday,Friday,
2980,Saturday,Thursday,
2992,Saturday,Tuesday,
834,Wednesday,,
2649,Sunday,Wenesday,
2424,Monday,Friday,
2351,Saturday,Thursday,
2444,Monday,Friday,
2370,Monday,Thursday,
2355,Sunday,Friday,
2504,Sunday,Wenesday,
2120,Sunday,Wenesday,
2282,Saturday,Tuesday,
212,Monday,Friday,
2086,Saturday,Wednesday,
2135,Sunday,Thursday,
2262,Monday,Friday,
2299,Sunday,Thursday,
206,Sunday,Friday,
841,Saturday,,
2174,Monday,Thursday,
217,Saturday,Wednesday,
2088,Saturday,Wednesday,
2093,Sunday,Wenesday,
225,Saturday,Monday,
220,Sunday,Thursday,
2107,Sunday,Wenesday,
1806,Sunday,Thursday,
1813,Tuesday,Friday,
1946,Sunday,Wenesday,
886,Saturday,Tuesday,Thursday
892,Thursday,,
1830,Sunday,Friday,
1831,Saturday,Wednesday,
1781,Sunday,Thursday,
1993,Saturday,Tuesday,
913,Monday,,
1967,Saturday,Tuesday,
2022,Monday,Thursday,
1871,Saturday,Tuesday,
1801,Saturday,Monday,
1966,Saturday,Wednesday,
1891,Saturday,Wednesday,
1909,Sunday,Thursday,
202,Monday,Friday,
957,Sunday,,
1673,Saturday,Wednesday,
1677,Sunday,Friday,
1705,Sunday,Wenesday,
985,Tuesday,,
1005,Wednesday,,
1241,Saturday,Monday,Thursday
1619,Saturday,Wednesday,
1285,Saturday,Monday,Wednesday
1731,Saturday,Thursday,
162,Saturday,Thursday,
1332,Saturday,Wednesday,
147,Sunday,Wenesday,
1361,Saturday,,
1389,Saturday,,
139,Tuesday,Friday,
1393,Saturday,Tuesday,
1431,Sunday,Thursday,
1435,Thursday,,
1455,Monday,Thursday,
1451,Tuesday,,
1178,Saturday,Wednesday,
1056,Sunday,Tuesday,
1117,Saturday,Monday,
1216,Saturday,Tuesday,
113,Saturday,Thursday,
1454,Sunday,Thursday,
1475,Wednesday,,
1483,Sunday,Thursday,
1491,Thursday,,
1496,Sunday,Wenesday,
1506,Friday,,
1509,Wednesday,,
1526,Thursday,,
1528,Saturday,Tuesday,
893,Wednesday,,
1546,Sunday,,
1602,Saturday,Wednesday,
1621,Sunday,,
1625,Saturday,,
1683,Sunday,,
1713,Saturday,,
1721,Saturday,Wednesday,
5672,Saturday,,
1723,Sunday,Wenesday,Friday
1732,Monday,,
4240,Saturday,,
1764,Saturday,Wednesday,
438,Thursday,,
3777,Tuesday,,
1787,Thursday,,
3286,Sunday,,
2965,Thursday,,
2899,Wednesday,,
2900,Friday,,
2901,Sunday,,
1965,Saturday,Wednesday,
2911,Thursday,,
2683,Saturday,,
2918,Saturday,,
2785,Tuesday,,
2332,Thursday,,
2530,Friday,,
2463,Saturday,,
2386,Saturday,,
2264,Tuesday,,
2004,Monday,Friday,
2105,Saturday,,
2097,Monday,,
2289,Sunday,,
2224,Saturday,,
2228,Thursday,,
2092,Saturday,,
2144,Friday,,
2043,Wednesday,,
2146,Monday,,
2326,Tuesday,,
2231,Saturday,Wednesday,
1926,Saturday,,
2716,Sunday,Tuesday,Friday
1984,Saturday,,
2764,Sunday,Wenesday,
2827,Sunday,Wenesday,
2889,Saturday,Wednesday,
2935,Wednesday,,
3150,Tuesday,Thursday,
3394,Wednesday,Friday,
1610,Saturday,,
3590,Saturday,Monday,Wednesday
3602,Saturday,Wednesday,
3630,Saturday,Tuesday,
3734,Saturday,,
3762,Saturday,Monday,
4256,Sunday,Wenesday,
4511,Sunday,Friday,
4568,Monday,,
4606,Wednesday,,
1295,Saturday,,
5115,Saturday,Monday,Wednesday
1043,Monday,,
5748,Saturday,Wednesday,
1055,Saturday,,
