Distribution Cener (DC),Banner,Commodity,Pick Type,Week 33,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47
6042,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,5931,8071,0,0,0,0
6042,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,150,38,198,0,0,0,0
6042,SAMS,Ham,Case Pick,1200,1200,0,1200,0,1200,1200,0,1200,0,1200,0,0,0
6042,SAMS,Ham,FPP,0,0,0,0,84,84,84,84,84,28,0,56,56,0
6042,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1774,1774,0,0,0,565,565
6042,WM,Ham,Case Pick,0,0,0,2415,1311,1208,2415,4392,5314,1449,1449,1449,2899,0
6042,WM,Frozen Turkey,FPP,0,0,293,293,351,381,410,410,410,88,29,146,117,29
6047,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,3039,3627,0,0,0,0
6047,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,38,9,40,0,0,0,0
6047,SAMS,Ham,Case Pick,1200,0,0,1200,0,0,0,0,1200,0,1200,0,0,0
6047,SAMS,Ham,FPP,0,0,0,0,28,28,28,28,28,28,0,28,28,0
6047,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1211,1211,0,0,0,478,478
6047,WM,Ham,Case Pick,0,0,0,2749,1469,1374,2749,4989,6048,1649,1649,1649,3299,0
6047,WM,Frozen Turkey,FPP,0,0,533,533,639,692,746,746,746,160,53,266,213,53
6055,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,6266,9195,0,0,0,0
6055,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,150,38,184,0,0,0,0
6055,SAMS,Ham,Case Pick,1200,1200,0,1200,0,1200,1200,0,1200,0,1200,0,1200,0
6055,SAMS,Ham,FPP,0,0,0,0,84,84,84,84,84,56,0,112,84,0
6055,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1847,1847,0,0,0,590,590
6055,WM,Ham,Case Pick,0,0,0,3010,1646,1505,3010,5479,6622,1806,1806,1806,3612,0
6055,WM,Frozen Turkey,FPP,0,0,345,345,414,448,483,483,483,103,34,172,138,34
6056,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,6821,11340,0,0,0,0
6056,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,150,38,208,0,0,0,0
6056,SAMS,Ham,Case Pick,1200,1200,0,1200,0,1200,1200,0,1200,0,1200,0,1200,0
6056,SAMS,Ham,FPP,0,0,0,0,56,56,112,112,112,28,0,112,84,0
6056,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,703,703,0,0,0,278,278
6056,WM,Ham,Case Pick,0,0,0,1525,844,763,1525,2780,3355,915,915,915,1830,0
6057,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,3328,5393,0,0,0,0
6057,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,66,19,110,0,0,0,0
6057,SAMS,Ham,Case Pick,1200,0,0,1200,0,1200,0,0,1200,0,1200,0,0,0
6057,SAMS,Ham,FPP,0,0,0,0,56,56,56,56,56,28,0,56,56,0
6057,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1385,1385,0,0,0,789,789
6057,WM,Ham,Case Pick,0,0,0,4236,2288,2118,4236,7697,9318,2541,2541,2541,5083,0
6057,WM,Frozen Turkey,FPP,0,0,495,495,594,643,693,693,693,148,49,247,198,49
6059,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,5835,9027,0,0,0,0
6059,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,113,28,143,0,0,0,0
6059,SAMS,Ham,Case Pick,1200,1200,0,1200,0,1200,1200,0,1200,0,1200,0,0,0
6059,SAMS,Ham,FPP,0,0,0,0,56,56,84,84,84,28,0,84,56,0
6059,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,2467,2467,0,0,0,509,509
6059,WM,Ham,Case Pick,0,0,0,1996,1156,998,1996,3661,4392,1198,1198,1198,2396,0
6059,WM,Frozen Turkey,FPP,0,0,492,492,591,640,689,689,689,148,49,246,197,49
6062,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,2938,2938,0,0,0,838,838
6062,WM,Ham,Case Pick,0,0,0,4892,2641,2446,4892,8889,10762,2935,2935,2935,5870,0
