Store Number,Start Date,Current Delivery,Current MP Delivery Window,Updated Delivery,Updated MP Delivery Window,COMMENTS
1276,6/10/2025,Same Day , 18:00-04:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on June 10, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1650,6/10/2025,Same Day , 18:00-07:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on June 10, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
3324,6/10/2025,Same Day , 18:00-21:30,Next Day,16:00-20:00,"Your store will not receive an MP delivery on June 10, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
3497,6/10/2025,Same Day , 18:00-06:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on June 10, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
4677,6/10/2025,Same Day , 18:00-22:00,Next Day,16:00-22:00,"Your store will not receive an MP delivery on June 10, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
5668,6/10/2025,Same Day , 07:00-09:00,Next Day,16:00-20:00,"Your store will not receive an MP delivery on June 10, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
6394,6/10/2025,Same Day , 18:00-21:00,Next Day,16:00-20:00,"Your store will not receive an MP delivery on June 10, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1365,6/10/2025,Same Day,18:00-06:00,Same Day,16:00-04:00,
847,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
882,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
913,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
958,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
965,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
971,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
979,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
1007,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1012,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1176,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
1202,6/10/2025,Same Day , 18:00-06:00,Same Day , 18:00-04:00,
1267,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1274,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
1277,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
1305,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1316,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
1366,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
1394,6/10/2025,Same Day , 18:00-06:00,Same Day , 18:00-04:00,
1396,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1430,6/10/2025,Same Day , 18:00-04:00,Same Day ,16:00-04:00,
1446,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1447,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1449,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1453,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1472,6/10/2025,Same Day , 18:00-04:00,Same Day ,16:00-04:00,
1515,6/10/2025,Same Day , 18:00-04:00,Same Day ,16:00-04:00,
1551,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1571,6/10/2025,Same Day , 18:00-04:00,Same Day ,16:00-04:00,
1609,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1635,6/10/2025,Same Day , 18:00-04:00,Same Day ,16:00-04:00,
1643,6/10/2025,Same Day , 18:00-06:00,Same Day , 18:00-04:00,
1669,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1672,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
1678,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
1679,6/10/2025,Same Day , 18:00-21:00,Same Day ,16:00-21:00,
1727,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
1757,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1776,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1799,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1819,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1828,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1861,6/10/2025,Same Day , 18:00-04:00,Same Day ,16:00-04:00,
1908,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1929,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1931,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1971,6/10/2025,Same Day , 18:00-04:00,Same Day ,16:00-04:00,
1982,6/10/2025,Same Day , 18:00-04:00,Same Day ,16:00-04:00,
2079,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2127,6/10/2025,Same Day , 18:00-06:00,Same Day , 18:00-04:00,
2192,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2271,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2335,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
2367,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2421,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2434,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2448,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2452,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2509,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
2510,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2522,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2545,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2643,6/10/2025,Same Day , 18:00-06:00,Same Day , 18:00-04:00,
2658,6/10/2025,Same Day , 18:00-04:00,Same Day ,16:00-04:00,
2668,6/10/2025,Same Day , 18:00-06:00,Same Day , 18:00-04:00,
2812,6/10/2025,Same Day , 18:00-04:00,Same Day ,16:00-04:00,
2813,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2828,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2937,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2958,6/10/2025,Same Day , 18:00-04:00,Same Day , 18:00-04:00,
2986,6/10/2025,Same Day , 18:00-04:00,Same Day ,16:00-04:00,
3245,6/10/2025,Same Day , 18:00-07:00,Same Day , 18:00-04:00,
3268,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3499,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
3505,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3534,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3643,6/10/2025,Same Day , 07:00-09:00,Same Day ,16:00-21:00,
3857,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
4281,6/10/2025,Same Day , 18:00-07:00,Same Day , 18:00-04:00,
4849,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
5090,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
5127,6/10/2025,Same Day , 18:00-21:00,Same Day ,16:00-21:00,
5373,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
5397,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
5432,6/10/2025,Same Day , 18:00-06:00,Same Day , 18:00-04:00,
5438,6/10/2025,Same Day , 18:00-04:00,Same Day ,16:00-04:00,
5444,6/10/2025,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
5463,6/10/2025,Same Day , 18:00-04:00,Same Day ,16:00-04:00,
5667,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
5669,6/10/2025,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
5695,6/10/2025,Same Day , 20:00-06:00,Same Day , 18:00-04:00,
1335,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on May 20, 2025.. To support this transition, your grocery DC will ship larger MP deliveries in advance. Your delivery window will change on June 17 2025. "
1477,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on May 20, 2025.. To support this transition, your grocery DC will ship larger MP deliveries in advance. Your delivery window will change on June 17 2025. "
1499,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on May 20, 2025.. To support this transition, your grocery DC will ship larger MP deliveries in advance. Your delivery window will change on June 17 2025. "
2662,6/17/2025,Same Day Delivery,18:00:00-07:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on May 20, 2025.. To support this transition, your grocery DC will ship larger MP deliveries in advance. Your delivery window will change on June 17 2025. "
3614,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Next Day Delivery,18:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
3622,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Next Day Delivery,18:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1336,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1023,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1292,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1301,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1309,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1652,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1763,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
2312,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
2337,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
2646,6/17/2025,Same Day Delivery,18:00:00-07:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
2762,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
2933,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
3243,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
3270,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on June 17, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
3456,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
3603,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
3605,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
1237,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
1321,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1350,6/17/2025,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
1372,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1486,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2058,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2565,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2580,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3701,6/17/2025,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
4484,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
4636,6/17/2025,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
4697,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5046,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5292,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5743,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
2414,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
3411,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
3504,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
3600,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
4147,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
4157,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
4431,6/17/2025,Same Day Delivery,07:00:00-09:00:00,Same Day Delivery,16:00:00-21:00:00,
4432,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5013,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5014,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5393,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5829,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
6176,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
6233,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
6243,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
6263,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
6264,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
6586,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
6814,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
6828,6/17/2025,Same Day Delivery,06:00:00-08:00:00,Same Day Delivery,16:00:00-21:00:00,
7205,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
7206,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
7315,6/17/2025,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
948,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1010,6/17/2025,Same Day Delivery,14:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
1027,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1039,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1096,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1097,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1131,6/17/2025,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
1132,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
