14,South Central,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
14,South Central,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
15,South Central,3/26/24,2:45 PM,4:30 PM,South Central Regional Meeting,Omni Hotel,Oklahoma Station 5
15,South Central,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
15,South Central,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
7,North Central,3/26/24,2:45 PM,4:30 PM,North Central Regional Meeting,Omni Hotel,Five Moons 4
7,North Central,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
7,North Central,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
25,North Central,3/26/24,2:45 PM,4:30 PM,North Central Regional Meeting,Omni Hotel,Five Moons 4
25,North Central,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
25,North Central,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
8,North Central,3/26/24,2:45 PM,4:30 PM,North Central Regional Meeting,Omni Hotel,Five Moons 4
8,North Central,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
8,North Central,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
18,North Central,3/26/24,2:45 PM,4:30 PM,North Central Regional Meeting,Omni Hotel,Five Moons 4
18,North Central,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
18,North Central,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
20,North Central,3/26/24,2:45 PM,4:30 PM,North Central Regional Meeting,Omni Hotel,Five Moons 4
20,North Central,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
20,North Central,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
26,North Central,3/26/24,2:45 PM,4:30 PM,North Central Regional Meeting,Omni Hotel,Five Moons 4
26,North Central,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
26,North Central,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
