Store Number,Item Number,Item Description,Zero Sales Vlookup (vs. 9/17 pull),Curr Str On Hand Qty
1716,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 70 
1821,653492854,HT 27GAL TOTE RED,Zero Sales - 8 Weeks, 60 
432,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 53 
670,653492904,HT 5GAL TOTE RED,Zero Sales - 8 Weeks, 52 
1777,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 49 
5165,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 49 
548,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 47 
1427,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 47 
4323,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 46 
2726,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 44 
1407,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 43 
1622,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 43 
5203,653486467,HART 5GAL TOTE BLU,Zero Sales - 8 Weeks, 42 
9,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 42 
2448,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 42 
2593,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 42 
1059,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 39 
1580,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 39 
1371,653492854,HT 27GAL TOTE RED,Zero Sales - 8 Weeks, 39 
2149,653486467,HART 5GAL TOTE BLU,Zero Sales - 8 Weeks, 38 
202,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 38 
5394,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 36 
3784,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 35 
1468,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 34 
3835,653492854,HT 27GAL TOTE RED,Zero Sales - 8 Weeks, 30 
3384,653492858,HT 40GAL TOTE RED,Zero Sales - 8 Weeks, 30 
3538,653486469,HART 12GAL TOTE BLU,Zero Sales - 8 Weeks, 28 
3762,667589684,HT 27G CLEAR TOTE,Zero Sales - 8 Weeks, 28 
2199,653486472,HART 40GAL TOTE BLU,Zero Sales - 8 Weeks, 27 
2828,653486467,HART 5GAL TOTE BLU,Zero Sales - 8 Weeks, 27 
471,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 26 
5028,653492904,HT 5GAL TOTE RED,Zero Sales - 8 Weeks, 26 
3320,653486467,HART 5GAL TOTE BLU,Zero Sales - 8 Weeks, 25 
2464,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 25 
1488,653492858,HT 40GAL TOTE RED,Zero Sales - 8 Weeks, 25 
51,653492904,HT 5GAL TOTE RED,Zero Sales - 8 Weeks, 25 
5398,653486467,HART 5GAL TOTE BLU,Zero Sales - 8 Weeks, 24 
365,667589684,HT 27G CLEAR TOTE,Zero Sales - 8 Weeks, 24 
973,653492854,HT 27GAL TOTE RED,Zero Sales - 8 Weeks, 24 
2630,653486467,HART 5GAL TOTE BLU,Zero Sales - 8 Weeks, 23 
3483,653486467,HART 5GAL TOTE BLU,Zero Sales - 8 Weeks, 23 
848,653492855,HT 12GAL TOTE RED,Zero Sales - 8 Weeks, 23 
1003,653492902,HT 17GAL TOTE RED,Zero Sales - 8 Weeks, 23 
2117,653492902,HT 17GAL TOTE RED,Zero Sales - 8 Weeks, 23 
1248,653486467,HART 5GAL TOTE BLU,Zero Sales - 8 Weeks, 22 
891,653492855,HT 12GAL TOTE RED,Zero Sales - 8 Weeks, 22 
1488,653492902,HT 17GAL TOTE RED,Zero Sales - 8 Weeks, 22 
2199,653492854,HT 27GAL TOTE RED,Zero Sales - 8 Weeks, 22 
1844,653492904,HT 5GAL TOTE RED,Zero Sales - 8 Weeks, 22 
1713,653492902,HT 17GAL TOTE RED,Zero Sales - 8 Weeks, 21 
4564,653492904,HT 5GAL TOTE RED,Zero Sales - 8 Weeks, 21 
1566,653486467,HART 5GAL TOTE BLU,Zero Sales - 8 Weeks, 20 
3595,653486467,HART 5GAL TOTE BLU,Zero Sales - 8 Weeks, 20 
43,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
78,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 18 
237,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 7 
254,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 6 
261,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
294,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 7 
307,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 24 
316,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 1 
335,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
346,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
630,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 4 
656,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, -   
682,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
812,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
826,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
915,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
1015,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 7 
1105,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 3 
1163,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
1206,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
1215,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
1238,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 18 
1255,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 6 
1263,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
1266,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 15 
1271,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
1338,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 17 
1342,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
1419,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 15 
1450,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 14 
1502,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
1503,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
1538,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
1646,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 17 
1697,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 13 
1720,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 13 
1730,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 7 
1738,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 24 
1785,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 14 
1844,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 13 
1845,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
1952,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
1969,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 5 
1992,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 16 
2248,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 15 
2281,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 2 
2297,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 3 
2307,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 11 
2309,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 15 
2341,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 14 
2373,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
2591,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 18 
2668,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
2690,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, -   
2735,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
2757,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
2787,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
2825,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
2828,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 16 
2864,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 15 
2867,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 4 
2897,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 11 
2986,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 21 
2989,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 11 
3169,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, -   
3209,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 13 
3308,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 18 
3465,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
3490,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 26 
3528,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 11 
3589,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 16 
3632,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
3648,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 13 
3792,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
3888,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 15 
4556,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
5091,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 3 
5103,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
5136,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
5152,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
5278,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
5312,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 13 
5337,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 18 
5385,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 5 
5418,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 14 
5422,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
5425,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 15 
5458,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 17 
5487,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
5806,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 3 
6807,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 15 
7185,653486469,HART 12GAL TOTE BLU,Zero Sales - 4 Weeks, 11 
1984,653492904,HT 5GAL TOTE RED,Zero Sales - 8 Weeks, 20 
2061,653486469,HART 12GAL TOTE BLU,Zero Sales - 8 Weeks, 19 
1823,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 19 
2713,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 19 
