Store #,City,Category,Declaration Category,Declared Item,UPC,Effective Date
77,TAYLOR,Bread,Whole Wheat Bread,Sara Lee 100% Whole Wheat Bread - 7294561103,7294561103,
77,TAYLOR,Brown Rice,Brown Rice,REMOVED FROM DECLARATION,NA,10/1/2020
77,TAYLOR,Cheese,American,GV Deluxe Sliced American  - 7874235327,7874235327,
77,TAYLOR,Cheese,Colby 1 lb,GV Colby 1lb - 7874243020,7874243020,
77,TAYLOR,Cheese,Colby 2 lb,NOT CARRIED - NOT DECLARED,NOT CARRIED,
77,TAYLOR,Cheese,Colby Jack 1 lb,GV Colby Jack - 1 lb - 7874207964,7874207964,
77,TAYLOR,Cheese,Longhorn Cheddar,GV Longhorn Cheddar 1lb - 7874237434,7874237434,
77,TAYLOR,Cheese,Med Cheddar 1 lb,GV Med Cheddar 1lb - 7874221730,7874221730,
77,TAYLOR,Cheese,Mild Cheddar 1 lb,GV Mild Cheddar 1lb - 7874237458,7874237458,
77,TAYLOR,Cheese,Mild Cheddar 2 lb,GV Mild Cheddar 2lb - 7874206773,7874206773,
77,TAYLOR,Cheese,Monterey Jack - 1 lb,GV Mont Jack - 1 lb - 7874243021,7874243021,
77,TAYLOR,Cheese,Monterey Jack - 2 lb,GV Mont Jack - 2 lb - 7874209747,7874209747,
77,TAYLOR,Cheese,Mozzarella 1 lb,GV Mozzarella - 1 lb - 7874243019,7874243019,
77,TAYLOR,Cheese,Mozzarella 2 lb,GV Mozzarella - 2 lb - 7874211907,7874211907,
77,TAYLOR,Cheese,Sharp Cheddar 1 lb,GV Sharp Cheddar 1lb - 7874243022,7874243022,
77,TAYLOR,Cheese,Sharp Cheddar 2 lb,GV Sharp Cheddar 2lb - 7874214878,7874214878,
77,TAYLOR,Cheese,String ,Frigo String Cheese - 4171623216,4171623216,
77,TAYLOR,Cheese,X Sharp Cheddar 1 lb,GV XSharp Cheddar 1lb - 7874206257,7874206257,
77,TAYLOR,Dry Beans,Black Beans,REMOVED FROM DECLARATION,NA,10/1/2020
77,TAYLOR,Dry Beans,Black-eye Peas ,REMOVED FROM DECLARATION,NA,10/1/2020
77,TAYLOR,Dry Beans,Chick Peas (Garbanzo Beans) ,REMOVED FROM DECLARATION,NA,10/1/2020
77,TAYLOR,Dry Beans,Great Northern Beans,REMOVED FROM DECLARATION,NA,10/1/2020
77,TAYLOR,Dry Beans,Green Split Peas,REMOVED FROM DECLARATION,NA,10/1/2020
77,TAYLOR,Dry Beans,Lentils,REMOVED FROM DECLARATION,NA,10/1/2020
77,TAYLOR,Dry Beans,Light Red Kidney Beans,REMOVED FROM DECLARATION,NA,10/1/2020
77,TAYLOR,Dry Beans,Navy Beans,REMOVED FROM DECLARATION,NA,10/1/2020
77,TAYLOR,Dry Beans,Pinto Beans,REMOVED FROM DECLARATION,NA,10/1/2020
77,TAYLOR,Frozen Juice,Apple 12 oz Frozen,GV Apple 12 oz Frozen - 7874235228,7874235228,10/28/2019
77,TAYLOR,Frozen Juice,Grape P 12 oz Frozen,GV Grape P 12 oz Frozen - 7874222979,7874222979,
77,TAYLOR,Frozen Juice,Orange 12 oz - Other Country Style Frozen,NOT CARRIED - NOT DECLARED,NOT CARRIED,
77,TAYLOR,Frozen Juice,Orange 12 oz - Other Pulp Free Frozen ,GV Orange Pulp Free 12 oz Frozen - 7874212237,7874212237,
77,TAYLOR,Frozen Juice,Orange 12 oz Frozen,GV Orange 12 oz Frozen - 7874237167,7874237167,
77,TAYLOR,Juice,Apple 48 oz.,Tex Sun Apple 48 oz - 1630022001,1630022001,
