Distribution Center (DC),Item Number,Category,Pick Type,Supplier Number,Supplier Name
6042,556108565,Tigers,Case Pick,468777941,Lusk Onion Co.
6042,556108567,Mini,Case Pick,468777941,Lusk Onion Co.
6042,556108568,Gourds,Case Pick,468777941,Lusk Onion Co.
6042,556115967,Ornamental Mix,Case Pick,468777941,Lusk Onion Co.
6042,571317436,Pie ,Case Pick,468777941,Lusk Onion Co.
6042,571318252,Pie ,FPP   ,468777941,Lusk Onion Co.
6042,581367056,Carving,FPP   ,393843940,Scotlynn Sweetpac Growers
6042,585138309,White,Case Pick,551424940,Midwest Best Produce
6042,585138310,Autumn Colours,Case Pick,551424943,Midwest Best Produce
6042,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6047,9445352,Carving,FPP   ,38755940,Mouzin Brothers Farms
6047,552183512,Carving,FPP   ,443643940,Hess Farms Inc
6047,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6047,671238817,Pie ,Case Pick,431879940,Butch's Best
6047,671238818,Pie ,FPP   ,431879940,Butch's Best
6047,671238819,White,Case Pick,431879940,Butch's Best
6047,671238820,Carving,FPP   ,431879940,Butch's Best
6047,671238826,Autumn Colours,Case Pick,431879940,Butch's Best
6047,671238828,Mini,Case Pick,431879940,Butch's Best
6047,671238829,Gourds,Case Pick,431879940,Butch's Best
6047,671238830,Tigers,Case Pick,431879940,Butch's Best
6047,671532034,Ornamental Mix,Case Pick,431879940,Butch's Best
6055,9445352,Carving,FPP   ,38755940,Mouzin Brothers Farms
6055,576964513,Autumn Colours,Case Pick,38755942,Mouzin
6055,577185803,White,Case Pick,38755942,Mouzin
6055,581367056,Carving,FPP   ,393843940,Scotlynn Sweetpac Growers
6055,595014639,Gourds,Case Pick,38755942,Mouzin
6055,595014642,Mini,Case Pick,38755942,Mouzin
6055,595014644,Tigers,Case Pick,38755942,Mouzin
6055,595014646,Pie ,Case Pick,38755942,Mouzin
6055,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
6055,596932031,Ornamental Mix,Case Pick,38755942,Mouzin
6055,654137665,Pie ,FPP   ,38755942,Mouzin
6055,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6056,9445464,Carving,FPP   ,468777940,Lusk Onion Co.
6056,556108565,Tigers,Case Pick,468777941,Lusk Onion Co.
6056,556108567,Mini,Case Pick,468777941,Lusk Onion Co.
6056,556108568,Gourds,Case Pick,468777941,Lusk Onion Co.
6056,556115967,Ornamental Mix,Case Pick,468777941,Lusk Onion Co.
6056,556152829,Autumn Colours,Case Pick,468777942,Lusk Onion Co.
6056,571317436,Pie ,Case Pick,468777941,Lusk Onion Co.
6056,571318252,Pie ,FPP   ,468777941,Lusk Onion Co.
6056,576219639,White,Case Pick,468777940,Lusk Onion Co.
6056,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6057,556108565,Tigers,Case Pick,468777941,Lusk Onion Co.
6057,556108567,Mini,Case Pick,468777941,Lusk Onion Co.
6057,556108568,Gourds,Case Pick,468777941,Lusk Onion Co.
6057,556115967,Ornamental Mix,Case Pick,468777941,Lusk Onion Co.
6057,571317436,Pie ,Case Pick,468777941,Lusk Onion Co.
6057,571318252,Pie ,FPP   ,468777941,Lusk Onion Co.
6057,576811037,Carving,FPP   ,551424943,Midwest Best
6057,581367056,Carving,FPP   ,393843940,Scotlynn Sweetpac Growers
6057,585138309,White,Case Pick,551424940,Midwest Best Produce
6057,585138310,Autumn Colours,Case Pick,551424943,Midwest Best Produce
6057,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
6057,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6059,9420464,Mini,Case Pick,460052941,Frey Farms
6059,9420499,Gourds,Case Pick,460052941,Frey Farms
