Region,Date,Start Time,End Time,Session,Room/Level
Cecilia Gaye-Schnell,March 13th,7:45 AM,9:30 AM,General Session,North Exhibit Hall - Level 1
Cecilia Gaye-Schnell,March 13th,10:00 AM,11:30 AM,Business Unit ,North N320A-H - Level 3
Cecilia Gaye-Schnell,March 13th,11:45 AM,12:30 PM,Lunch,Exhibit Hall - Level 1
Cecilia Gaye-Schnell,March 13th,12:45 PM,1:45 PM,Backroom,Exhibit Hall - Level 1
Cecilia Gaye-Schnell,March 13th,2:00 PM,3:00 PM,Toys & Tech,Exhibit Hall - Level 1
Cecilia Gaye-Schnell,March 13th,3:15 PM,4:15 PM,Apparel,Exhibit Hall - Level 1
Cecilia Gaye-Schnell,March 13th,4:30 PM,5:30 PM,Seasonal,Exhibit Hall - Level 1
Cecilia Gaye-Schnell,March 13th,5:45 PM,6:45 PM,Awards Celebration,North Exhibit Hall - Level 1
Cecilia Gaye-Schnell,March 14th ,7:30 AM,8:30 AM,People Session,South S320A-H - Level 3
Cecilia Gaye-Schnell,March 14th ,8:45 AM,9:45 AM,Listening Session,South S310A-D - Level 3
Cecilia Gaye-Schnell,March 14th ,10:00 AM,11:00 AM,FrontEnd,Exhibit Hall - Level 1
Cecilia Gaye-Schnell,March 14th ,11:15 AM,12:15 PM,Food/Fresh,Exhibit Hall - Level 1
Cecilia Gaye-Schnell,March 14th ,12:30 PM,1:30 PM,Consumables,Exhibit Hall - Level 1
Cecilia Gaye-Schnell,March 14th ,1:30 PM,2:15 PM,Lunch,Exhibit Hall - Level 1
Cecilia Gaye-Schnell,March 14th ,2:30 PM,3:30 PM,Home,Exhibit Hall - Level 1
Cecilia Gaye-Schnell,March 14th ,4:00 PM,5:00 PM,Closing General Session,North Exhibit Hall - Level 1
Cecilia Gaye-Schnell,March 15th ,7:30 AM,9:00 AM,Business Unit Meeting,South S330A-D - Level 3
Cecilia Gaye-Schnell,March 15th ,9:15 AM,11:00 AM,Grocery Network,South S330E-H - Level 3
Chad Ducote,March 13th,7:45 AM,9:30 AM,General Session,North Exhibit Hall - Level 1
Chad Ducote,March 13th,10:00 AM,11:30 AM,Business Unit ,South S320A-H - Level 3
Chad Ducote,March 13th,11:45 AM,12:45 PM,Listening Session,South S310A-D - Level 3
Chad Ducote,March 13th,1:00 PM,1:45 PM,Lunch,Exhibit Hall - Level 1
Chad Ducote,March 13th,2:00 PM,3:00 PM,Backroom,Exhibit Hall - Level 1
Chad Ducote,March 13th,3:15 PM,4:15 PM,Seasonal,Exhibit Hall - Level 1
Chad Ducote,March 13th,4:30 PM,5:30 PM,FrontEnd,Exhibit Hall - Level 1
Chad Ducote,March 13th,5:45 PM,6:45 PM,Awards Celebration,North Exhibit Hall - Level 1
Chad Ducote,March 14th ,7:30 AM,8:30 AM,People Session,South S320A-H - Level 3
Chad Ducote,March 14th ,8:45 AM,9:45 AM,Toys & Tech,Exhibit Hall - Level 1
Chad Ducote,March 14th ,10:00 AM,11:00 AM,Home,Exhibit Hall - Level 1
Chad Ducote,March 14th ,11:15 AM,12:15 PM,Apparel,Exhibit Hall - Level 1
Chad Ducote,March 14th ,12:30 PM,1:30 PM,Food/Fresh,Exhibit Hall - Level 1
Chad Ducote,March 14th ,1:30 PM,2:15 PM,Lunch,Exhibit Hall - Level 1
Chad Ducote,March 14th ,2:45 PM,3:45 PM,Consumables,Exhibit Hall - Level 1
Chad Ducote,March 14th ,4:00 PM,5:00 PM,Closing General Session,North Exhibit Hall - Level 1
Chad Ducote,March 15th ,7:30 AM,9:00 AM,Business Unit Meeting,South S330A-D - Level 3
Chad Ducote,March 15th ,9:15 AM,11:00 AM,Grocery Network,South S330E-H - Level 3
Mike Chatman,March 13th ,7:45 AM,9:30 AM,General Session,North Exhibit Hall - Level 1
Mike Chatman,March 13th ,10:00 AM,11:00 AM,Consumables,Exhibit Hall - Level 1
Mike Chatman,March 13th ,11:15 AM,12:15 PM,Home,Exhibit Hall - Level 1
Mike Chatman,March 13th ,12:30 PM,1:15 PM,Lunch,Exhibit Hall - Level 1
Mike Chatman,March 13th ,1:30 PM,2:30 PM,Apparel,Exhibit Hall - Level 1
Mike Chatman,March 13th ,2:45 PM,3:45 PM,Listening Session,South S330A-D - Level 3
Mike Chatman,March 13th ,4:00 PM,5:30 PM,Business Unit ,South S320A-H - Level 3
Mike Chatman,March 13th ,5:45 PM,6:45 PM,Awards Celebration,North Exhibit Hall - Level 1
Mike Chatman,March 14th ,7:30 AM,8:30 AM,Backroom,Exhibit Hall - Level 1
Mike Chatman,March 14th ,8:45 AM,9:45 AM,Seasonal,Exhibit Hall - Level 1
Mike Chatman,March 14th ,10:00 AM,11:00 AM,People Session,South S320A-H - Level 3
Mike Chatman,March 14th ,11:15 AM,12:15 PM,Toys & Tech,Exhibit Hall - Level 1
Mike Chatman,March 14th ,12:30 PM,1:15 PM,Lunch,Exhibit Hall - Level 1
Mike Chatman,March 14th ,1:30 PM,2:30 PM,Food/Fresh,Exhibit Hall - Level 1
Mike Chatman,March 14th ,2:45 PM,3:45 PM,FrontEnd,Exhibit Hall - Level 1
Mike Chatman,March 14th ,4:00 PM,5:00 PM,Closing General Session,North Exhibit Hall - Level 1
Mike Chatman,March 15th ,7:30 AM,9:00 AM,Business Unit Meeting,South S330A-D - Level 3
Mike Chatman,March 15th ,9:15 AM,11:00 AM,Grocery Network,South S330E-H - Level 3
Rich Bourget,March 13th ,7:45 AM,9:30 AM,General Session,North Exhibit Hall - Level 1
Rich Bourget,March 13th ,10:00 AM,11:00 AM,Food/Fresh,Exhibit Hall - Level 1
Rich Bourget,March 13th ,11:00 AM,11:45 AM,Lunch,Exhibit Hall - Level 1
