Store Number,State,City,Group Number
15,MO,WEST PLAINS,1
23,LA,RUSTON,1
25,MO,MEXICO,1
26,KS,LEAVENWORTH,1
30,MO,DEXTER,1
35,KS,MANHATTAN,1
45,AR,JONESBORO,1
49,OK,HUGO,1
70,AR,WEST MEMPHIS,1
76,AR,BERRYVILLE,1
93,TN,COVINGTON,1
94,TN,MILLINGTON,1
102,AR,STUTTGART,1
108,OK,GUTHRIE,1
113,OK,CHICKASHA,1
122,MO,JACKSON,1
124,AR,LITTLE ROCK,1
128,AR,JONESBORO,1
129,OK,ARDMORE,1
130,OK,MUSKOGEE,1
136,OK,BLACKWELL,1
139,OK,PURCELL,1
143,KY,BENTON,1
152,MO,DE SOTO,1
154,VA,ABINGDON,1
160,AR,ASH FLAT,1
162,OK,ANADARKO,1
166,MO,HOUSTON,1
175,TN,COLLIERVILLE,1
182,MS,GREENVILLE,1
184,MO,BLUE SPRINGS,1
188,MO,CAPE GIRARDEAU,1
190,MO,KENNETT,1
211,TX,HILLSBORO,1
222,IL,SPARTA,1
225,OK,SULPHUR,1
234,MO,KANSAS CITY,1
236,TX,CROCKETT,1
248,TX,MEXIA,1
256,IL,GLEN CARBON,1
269,OK,LAWTON,1
271,TX,BOWIE,1
272,TN,FRANKLIN,1
275,TX,LIVINGSTON,1
283,TX,BRIDGE CITY,1
288,TX,WOODVILLE,1
293,TX,NAVASOTA,1
306,AL,ARAB,1
307,LA,WEST MONROE,1
312,LA,VILLE PLATTE,1
357,MO,VERSAILLES,1
362,AL,WINFIELD,1
366,TN,MADISONVILLE,1
375,AL,HUNTSVILLE,1
376,LA,BOSSIER CITY,1
384,TX,LUMBERTON,1
392,OK,WEATHERFORD,1
395,TX,MISSION,1
396,SC,ANDERSON,1
397,TX,MCALLEN,1
408,TX,PORT ARTHUR,1
416,TN,MURFREESBORO,1
430,KY,MAYFIELD,1
433,AL,HUNTSVILLE (N),1
435,IL,HIGHLAND,1
437,TX,SEALY,1
446,TX,MADISONVILLE,1
448,LA,SHREVEPORT,1
450,LA,SHREVEPORT,1
462,TX,ALVIN,1
482,TX,WEST COLUMBIA,1
484,KS,LAWRENCE,1
493,KY,PARIS,1
495,MS,COLUMBUS,1
497,KY,SHELBYVILLE,1
500,TX,EL PASO,1
503,TX,COLUMBUS,1
504,TX,GALVESTON,1
505,LA,DERIDDER,1
515,NC,MURPHY,1
528,FL,BRADENTON,1
530,AR,EL DORADO,1
532,LA,GONZALES,1
536,TX,ABILENE (NE),1
544,OK,DEL CITY,1
546,TX,RICHMOND,1
568,TN,CARTHAGE,1
571,KY,GEORGETOWN,1
577,KS,OLATHE,1
578,TN,SEVIERVILLE,1
581,IA,MARSHALLTOWN,1
589,KY,HILLVIEW,1
615,GA,CARTERSVILLE,1
616,SC,ORANGEBURG,1
617,IN,SULLIVAN,1
623,FL,NORTH FORT MYERS,1
628,SC,SUMMERVILLE,1
630,SC,FLORENCE,1
637,NE,LEXINGTON,1
638,SC,GAFFNEY,1
640,SC,GREENVILLE,1
641,SC,GREENVILLE,1
643,SC,MYRTLE BEACH,1
647,IA,GRINNELL,1
655,KY,HANSON,1
659,TN,NASHVILLE,1
667,TN,TULLAHOMA,1
674,TN,GALLATIN,1
675,TN,UNION CITY,1
681,AL,GUNTERSVILLE,1
686,GA,FITZGERALD,1
688,TN,NASHVILLE (S),1
