Store Number,Current Delivery,Current MP Delivery Window,Updated Delivery,Updated MP Delivery Window
1616,Same Day , 18:00-06:00,Same Day ,16:00-04:00
1648,Same Day , 18:00-06:00,Same Day ,16:00-04:00
2052,Next Day , 18:00-06:00,Next Day ,16:00-04:00
2106,Same Day , 18:00-06:00,Same Day ,16:00-04:00
2402,Same Day , 18:00-06:00,Same Day ,16:00-04:00
2453,Same Day , 18:00-06:00,Same Day ,16:00-04:00
2617,Same Day , 18:00-06:00,Same Day ,16:00-04:00
2925,Next Day , 18:00-06:00,Next Day ,16:00-04:00
4370,Same Day , 18:00-06:00,Same Day ,16:00-04:00
5864,Same Day , 18:00-06:00,Same Day ,16:00-04:00
2054,Next Day , 18:00-07:00,Next Day ,16:00-04:00
5609,Next Day , 18:00-07:00,Next Day ,16:00-04:00
5683,Next Day , 18:00-07:00,Next Day ,16:00-04:00
