Store ,City,State,Format,Level of Service,Planned Start date
366,MADISONVILLE,TN,Sup,Full conversion,3/31/22
561,EASTLAND,TX,Sup,Full conversion,4/3/22
312,VILLE PLATTE,LA,Sup,Full conversion,4/3/22
15,WEST PLAINS,MO,Sup,Full conversion,4/3/22
305,CARTHAGE,MS,Sup,Full conversion,4/3/22
544,DEL CITY,OK,Sup,Full conversion,4/3/22
583,ONEIDA,TN,Sup,Full conversion,4/4/22
218,SELMER,TN,Sup,Full conversion,4/4/22
667,TULLAHOMA,TN,Sup,Full conversion,4/4/22
428,ZACHARY,LA,Sup,Full conversion,4/4/22
190,KENNETT,MO,Sup,Full conversion,4/4/22
205,PHILADELPHIA,MS,Sup,Full conversion,4/4/22
401,PLAQUEMINE,LA,Sup,Full conversion,4/5/22
30,DEXTER,MO,Sup,Full conversion,4/5/22
118,AMORY,MS,Sup,Full conversion,4/5/22
5286,THE VILLAGE,OK,NHM,Full conversion,4/5/22
304,SPRINGFIELD,TN,Sup,Full conversion,4/6/22
238,PULASKI,TN,Sup,Full conversion,4/6/22
93,COVINGTON,TN,Sup,Full conversion,4/6/22
485,DONALDSONVILLE,LA,Sup,Full conversion,4/6/22
122,JACKSON,MO,Sup,Full conversion,4/6/22
495,COLUMBUS,MS,Sup,Full conversion,4/6/22
413,PORT ISABEL,TX,Sup,Full conversion,4/6/22
160,ASH FLAT,AR,Sup,Full conversion,4/7/22
5451,CAPE CORAL,FL,NHM,Full conversion,4/7/22
27,SALEM,MO,Sup,Full conversion,4/7/22
178,ALVA,OK,Sup,Full conversion,4/7/22
324,BRISTOW,OK,Sup,Full conversion,4/8/22
476,GATESVILLE,TX,Sup,Full conversion,4/10/22
98,BASTROP,LA,Sup,Full conversion,4/10/22
20,CLINTON,MO,Sup,Full conversion,4/10/22
274,IUKA,MS,Sup,Full conversion,4/10/22
493,PARIS,KY,Sup,Full conversion,4/11/22
164,PONTOTOC,MS,Sup,Full conversion,4/11/22
107,MARTIN,TN,Sup,Full conversion,4/11/22
64,BROWNSVILLE,TN,Sup,Full conversion,4/11/22
562,LEEDS,AL,Sup,Full conversion,4/11/22
5308,SHAWNEE,KS,NHM,Full conversion,4/11/22
357,VERSAILLES,MO,Sup,Full conversion,4/11/22
329,ANNISTON,AL,Sup,Full conversion,4/12/22
484,LAWRENCE,KS,Sup,Full conversion,4/12/22
80,COLUMBIA,MO,Sup,Full conversion,4/12/22
153,NEW ALBANY,MS,Sup,Full conversion,4/12/22
113,CHICKASHA,OK,Sup,Full conversion,4/12/22
526,LOUISVILLE,KY,Sup,Full conversion,4/13/22
104,MILAN,TN,Sup,Full conversion,4/13/22
120,HUMBOLDT,TN,Sup,Full conversion,4/13/22
242,PAOLA,KS,Sup,Full conversion,4/13/22
25,MEXICO,MO,Sup,Full conversion,4/13/22
303,HOLLY SPRINGS,MS,Sup,Full conversion,4/13/22
554,LAREDO,TX,Sup,Full conversion,4/13/22
5207,OVERLAND PARK,KS,NHM,Full conversion,4/14/22
363,MARSHALL,MO,Sup,Full conversion,4/14/22
347,INDIANOLA,MS,Sup,Full conversion,4/14/22
139,PURCELL,OK,Sup,Full conversion,4/14/22
72,PITTSBURG,KS,Sup,Full conversion,4/17/22
203,BROOKFIELD,MO,Sup,Full conversion,4/17/22
162,ANADARKO,OK,Sup,Full conversion,4/17/22
293,NAVASOTA,TX,Sup,Full conversion,4/17/22
248,MEXIA,TX,Sup,Full conversion,4/17/22
106,FULTON,KY,Sup,Full conversion,4/18/22
43,JUNCTION CITY,KS,Sup,Full conversion,4/18/22
135,CHILLICOTHE,MO,Sup,Full conversion,4/18/22
257,MORGANFIELD,KY,Sup,Full conversion,4/19/22
341,MARYSVILLE,KS,Sup,Full conversion,4/19/22
479,ALTUS,OK,Sup,Full conversion,4/19/22
384,LUMBERTON,TX,Sup,Full conversion,4/19/22
143,BENTON,KY,Sup,Full conversion,4/20/22
342,HIAWATHA,KS,Sup,Full conversion,4/20/22
236,CROCKETT,TX,Sup,Full conversion,4/21/22
443,HONDO,TX,Sup,Full conversion,4/24/22
181,NEW BOSTON,TX,Sup,Full conversion,4/25/22
463,BEEVILLE,TX,Sup,Full conversion,4/26/22
49,HUGO,OK,Sup,Full conversion,4/27/22
385,CUERO,TX,Sup,Full conversion,4/27/22
344,EL CAMPO,TX,Sup,Full conversion,4/28/22
398,LONGVIEW,TX,Sup,Full conversion,4/28/22
