Store,Market,Region,Feature Name ,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
10,347,44,Glad Plant Based Food Wrap,Modular Relay,6
12,347,44,Glad Plant Based Food Wrap,Modular Relay,6
21,336,40,Glad Plant Based Food Wrap,Modular Relay,6
61,361,40,Glad Plant Based Food Wrap,Modular Relay,6
69,335,40,Glad Plant Based Food Wrap,Modular Relay,6
86,357,40,Glad Plant Based Food Wrap,Modular Relay,6
100,323,42,Glad Plant Based Food Wrap,Modular Relay,6
103,351,44,Glad Plant Based Food Wrap,Modular Relay,6
107,146,41,Glad Plant Based Food Wrap,Modular Relay,6
137,352,44,Glad Plant Based Food Wrap,Modular Relay,6
141,321,42,Glad Plant Based Food Wrap,Modular Relay,6
144,322,42,Glad Plant Based Food Wrap,Modular Relay,6
174,92,9,Glad Plant Based Food Wrap,Modular Relay,6
212,353,44,Glad Plant Based Food Wrap,Modular Relay,6
221,344,44,Glad Plant Based Food Wrap,Modular Relay,6
266,50,5,Glad Plant Based Food Wrap,Modular Relay,6
272,153,12,Glad Plant Based Food Wrap,Modular Relay,6
295,340,40,Glad Plant Based Food Wrap,Modular Relay,6
306,5,12,Glad Plant Based Food Wrap,Modular Relay,6
319,361,40,Glad Plant Based Food Wrap,Modular Relay,6
351,68,6,Glad Plant Based Food Wrap,Modular Relay,6
359,322,42,Glad Plant Based Food Wrap,Modular Relay,6
389,352,44,Glad Plant Based Food Wrap,Modular Relay,6
444,333,40,Glad Plant Based Food Wrap,Modular Relay,6
451,359,40,Glad Plant Based Food Wrap,Modular Relay,6
472,356,44,Glad Plant Based Food Wrap,Modular Relay,6
499,344,44,Glad Plant Based Food Wrap,Modular Relay,6
538,93,3,Glad Plant Based Food Wrap,Modular Relay,6
544,353,44,Glad Plant Based Food Wrap,Modular Relay,6
563,94,3,Glad Plant Based Food Wrap,Modular Relay,6
575,24,2,Glad Plant Based Food Wrap,Modular Relay,6
610,76,5,Glad Plant Based Food Wrap,Modular Relay,6
613,94,3,Glad Plant Based Food Wrap,Modular Relay,6
622,344,44,Glad Plant Based Food Wrap,Modular Relay,6
632,36,4,Glad Plant Based Food Wrap,Modular Relay,6
640,35,2,Glad Plant Based Food Wrap,Modular Relay,6
648,339,40,Glad Plant Based Food Wrap,Modular Relay,6
699,136,12,Glad Plant Based Food Wrap,Modular Relay,6
749,414,52,Glad Plant Based Food Wrap,Modular Relay,6
766,137,12,Glad Plant Based Food Wrap,Modular Relay,6
769,115,9,Glad Plant Based Food Wrap,Modular Relay,6
793,70,46,Glad Plant Based Food Wrap,Modular Relay,6
819,105,9,Glad Plant Based Food Wrap,Modular Relay,6
860,94,3,Glad Plant Based Food Wrap,Modular Relay,6
878,24,2,Glad Plant Based Food Wrap,Modular Relay,6
894,356,44,Glad Plant Based Food Wrap,Modular Relay,6
905,379,54,Glad Plant Based Food Wrap,Modular Relay,6
921,388,54,Glad Plant Based Food Wrap,Modular Relay,6
929,107,9,Glad Plant Based Food Wrap,Modular Relay,6
931,92,9,Glad Plant Based Food Wrap,Modular Relay,6
934,1,14,Glad Plant Based Food Wrap,Modular Relay,6
942,89,9,Glad Plant Based Food Wrap,Modular Relay,6
953,378,54,Glad Plant Based Food Wrap,Modular Relay,6
984,391,54,Glad Plant Based Food Wrap,Modular Relay,6
987,105,9,Glad Plant Based Food Wrap,Modular Relay,6
990,14,14,Glad Plant Based Food Wrap,Modular Relay,6
992,356,44,Glad Plant Based Food Wrap,Modular Relay,6
1004,115,9,Glad Plant Based Food Wrap,Modular Relay,6
1005,426,52,Glad Plant Based Food Wrap,Modular Relay,6
1008,378,54,Glad Plant Based Food Wrap,Modular Relay,6
1045,379,54,Glad Plant Based Food Wrap,Modular Relay,6
1079,94,3,Glad Plant Based Food Wrap,Modular Relay,6
1081,93,3,Glad Plant Based Food Wrap,Modular Relay,6
1082,98,3,Glad Plant Based Food Wrap,Modular Relay,6
1087,107,9,Glad Plant Based Food Wrap,Modular Relay,6
1120,360,40,Glad Plant Based Food Wrap,Modular Relay,6
1156,306,4,Glad Plant Based Food Wrap,Modular Relay,6
1171,115,9,Glad Plant Based Food Wrap,Modular Relay,6
