Store no.,Returns volume number,Returns volume,Avg units Per day ,DotCom Units Per Day ,Marketplace Total  ,Marketplace Per Day,NPS ,Wait Time 
515,23600,Medium,311,19,590,8,71,5.59
1070,19176,Medium,252,19,418,6,64,5.55
1122,19074,Medium,251,16,361,5,67,5.90
1403,22294,Medium,293,23,502,7,61,8.27
2513,16615,Low,219,15,337,4,61,4.64
2753,14164,Low,186,12,256,3,62,6.77
3485,23108,Medium,304,23,574,8,68,6.25
3874,32208,High,424,33,783,10,63,5.85
4616,20717,Medium,273,20,449,6,45,7.08
5786,18224,Medium,240,18,429,6,56,5.46
5812,17898,Medium,236,17,425,6,61,6.83
7185,26021,High,342,35,781,10,76,6.31
594,38279,High,504,41,863,11,70,10.36
745,24701,Medium,325,20,517,7,44,8.88
787,22501,Medium,296,14,337,4,35,10.21
3201,25745,Medium,339,26,787,10,39,10.02
3402,35453,High,466,34,778,10,67,7.69
3609,22382,Medium,295,20,517,7,63,6.26
5709,23523,Medium,310,24,242,3,63,10.00
855,25118,Medium,331,19,553,7,27,6.52
1047,22876,Medium,301,16,421,6,48,11.08
3118,28020,High,369,31,901,12,52,9.07
3401,17770,Medium,234,11,444,6,61,9.59
3709,24804,Medium,326,18,451,6,53,5.78
3710,17790,Medium,234,11,287,4,37,10.91
6998,27427,High,361,13,2,0,14,17.45
3,22555,Medium,297,19,492,6,67,7.64
510,25606,Medium,337,22,683,9,64,8.96
520,28202,High,371,30,797,10,68,5.37
780,26251,High,345,28,632,8,71,5.44
1111,16431,Low,216,15,386,5,70,6.10
1121,22486,Medium,296,22,555,7,50,14.50
1363,17213,Low,226,19,348,5,71,5.81
1400,39614,High,521,55,1196,16,57,7.49
1701,8104,Low,107,6,164,2,53,5.74
2811,21491,Medium,283,21,487,6,76,4.98
3627,30211,High,398,33,513,7,40,8.59
5482,10073,Low,133,9,231,3,86,6.67
615,29305,High,386,32,798,11,43,9.87
722,28106,High,370,30,840,11,58,5.37
727,14409,Low,190,15,300,4,54,8.83
856,19442,Medium,256,23,470,6,50,4.71
1488,35878,High,472,36,1026,14,60,9.65
2732,23239,Medium,306,25,555,7,38,6.35
3205,22037,Medium,290,18,216,3,44,6.01
3741,23304,Medium,307,22,728,10,32,8.00
4409,14396,Low,189,15,309,4,83,4.73
1184,22617,Medium,298,19,25,0,38,4.53
1373,31604,High,416,27,777,10,57,7.68
2360,36042,High,474,52,1242,16,55,7.89
2584,21148,Medium,278,21,564,7,55,8.38
3067,15250,Low,201,10,17,0,55,12.55
3188,18400,Medium,242,10,370,5,43,8.32
3621,25603,Medium,337,31,805,11,53,8.41
518,31342,High,412,37,833,11,60,6.14
878,47384,High,623,65,1671,22,54,6.20
1314,31445,High,414,37,890,12,49,6.09
1578,31217,High,411,41,948,12,61,7.01
1766,29906,High,393,50,1081,14,49,7.36
2154,36137,High,475,41,990,13,51,9.25
2941,39471,High,519,57,1264,17,45,9.12
3462,37562,High,494,43,847,11,44,11.82
4185,41896,High,551,70,1535,20,44,9.03
4436,24901,Medium,328,36,780,10,69,6.43
5814,30419,High,400,42,782,10,43,8.06
