Store #,Dept #,Cat #,Cat Description,SAP #,SAP Description,Qty,Fixture Arrive Week 
1,87,246,Prepaid Phones,100683781,PRE-PAID WIRELESS GRAPHIC WEDGE FIXTURE,5,37
1,87,246,Prepaid Phones,100683782,PRE-PAID WIRELESS CARD POCKET FIXTURE,5,37
1,87,246,Prepaid Phones,100683783,PRE-PAID WIRELESS LED HEADER FIXTURE,5,37
1,87,246,Prepaid Phones,100683784,PRE-PAID WIRELESS LED HEADER AC ADAPTER,3,37
1,87,246,Prepaid Phones,100682434,"34"" BLACK LOCKING GLASS CASE ADD-ON 48X1",3,37
1,87,246,Prepaid Phones,100682433,"34"" BLACK LOCKING GLASS CASE STARTER 48X",2,37
1,87,246,Prepaid Phones,100653373,MISCELLANEOUS PLASTIC/WIRE PUSHER KIT,5,37
1,87,246,Prepaid Phones,100653373,MISCELLANEOUS PLASTIC/WIRE SHELF KIT,5,37
3,87,246,Prepaid Phones,100683781,PRE-PAID WIRELESS GRAPHIC WEDGE FIXTURE,2,39
3,87,246,Prepaid Phones,100683782,PRE-PAID WIRELESS CARD POCKET FIXTURE,2,39
3,87,246,Prepaid Phones,100683783,PRE-PAID WIRELESS LED HEADER FIXTURE,2,39
3,87,246,Prepaid Phones,100683784,PRE-PAID WIRELESS LED HEADER AC ADAPTER,2,39
3,87,246,Prepaid Phones,100682433,"34"" BLACK LOCKING GLASS CASE STARTER 48X",2,39
3,87,246,Prepaid Phones,100653373,MISCELLANEOUS PLASTIC/WIRE PUSHER KIT,2,39
3,87,246,Prepaid Phones,100653373,MISCELLANEOUS PLASTIC/WIRE SHELF KIT,2,39
4,87,246,Prepaid Phones,100683781,PRE-PAID WIRELESS GRAPHIC WEDGE FIXTURE,7,35
4,87,246,Prepaid Phones,100683782,PRE-PAID WIRELESS CARD POCKET FIXTURE,7,35
4,87,246,Prepaid Phones,100683783,PRE-PAID WIRELESS LED HEADER FIXTURE,7,35
4,87,246,Prepaid Phones,100683784,PRE-PAID WIRELESS LED HEADER AC ADAPTER,4,35
4,87,246,Prepaid Phones,100682434,"34"" BLACK LOCKING GLASS CASE ADD-ON 48X1",5,35
4,87,246,Prepaid Phones,100682433,"34"" BLACK LOCKING GLASS CASE STARTER 48X",2,35
4,87,246,Prepaid Phones,100653373,MISCELLANEOUS PLASTIC/WIRE PUSHER KIT,7,35
4,87,246,Prepaid Phones,100653373,MISCELLANEOUS PLASTIC/WIRE SHELF KIT,7,35
10,87,246,Prepaid Phones,100683781,PRE-PAID WIRELESS GRAPHIC WEDGE FIXTURE,4,39
10,87,246,Prepaid Phones,100683782,PRE-PAID WIRELESS CARD POCKET FIXTURE,4,39
10,87,246,Prepaid Phones,100683783,PRE-PAID WIRELESS LED HEADER FIXTURE,4,39
10,87,246,Prepaid Phones,100683784,PRE-PAID WIRELESS LED HEADER AC ADAPTER,2,39
10,87,246,Prepaid Phones,100682433,"34"" BLACK LOCKING GLASS CASE STARTER 48X",2,39
10,87,246,Prepaid Phones,100682434,"34"" BLACK LOCKING GLASS CASE ADD-ON 48X1",2,39
10,87,246,Prepaid Phones,100653373,MISCELLANEOUS PLASTIC/WIRE PUSHER KIT,4,39
10,87,246,Prepaid Phones,100653373,MISCELLANEOUS PLASTIC/WIRE SHELF KIT,4,39
12,87,246,Prepaid Phones,100683781,PRE-PAID WIRELESS GRAPHIC WEDGE FIXTURE,5,37
12,87,246,Prepaid Phones,100683782,PRE-PAID WIRELESS CARD POCKET FIXTURE,5,37
