STORE,HVDC,FDD
1,5/20/24,5/20/24
2,5/20/24,5/20/24
3,3/18/24,3/18/24
4,5/20/24,7/15/24
5,5/20/24,5/20/24
7,5/20/24,5/20/24
8,5/20/24,5/20/24
9,7/22/24,4/15/24
10,7/15/24,7/15/24
11,5/20/24,5/20/24
12,7/15/24,7/15/24
13,7/15/24,7/15/24
14,3/18/24,8/5/24
15,5/20/24,5/20/24
16,5/20/24,5/20/24
17,7/15/24,7/15/24
18,5/20/24,5/20/24
19,7/22/24,7/22/24
20,3/18/24,3/18/24
21,3/18/24,8/5/24
22,7/15/24,7/15/24
23,5/20/24,5/20/24
24,5/20/24,5/20/24
25,3/18/24,8/5/24
26,3/18/24,3/18/24
27,5/20/24,8/5/24
28,7/15/24,7/15/24
29,3/18/24,8/5/24
30,7/22/24,4/15/24
31,5/20/24,5/20/24
32,5/20/24,5/20/24
33,5/20/24,5/20/24
34,3/18/24,3/18/24
35,3/18/24,3/18/24
36,7/22/24,7/22/24
37,4/15/24,8/5/24
38,5/20/24,5/20/24
39,3/18/24,3/18/24
40,3/18/24,8/5/24
41,7/15/24,7/15/24
42,7/15/24,7/15/24
43,3/18/24,8/5/24
44,3/18/24,
45,7/22/24,5/20/24
46,3/18/24,3/18/24
47,5/20/24,5/20/24
48,5/20/24,7/15/24
49,Complete,5/20/24
50,7/15/24,7/15/24
51,3/18/24,8/5/24
52,5/20/24,5/20/24
54,5/20/24,5/20/24
55,5/20/24,5/20/24
56,5/20/24,3/18/24
57,7/22/24,
58,5/20/24,5/20/24
59,7/15/24,7/15/24
60,4/15/24,8/5/24
61,3/18/24,3/18/24
62,7/22/24,7/22/24
63,7/15/24,7/15/24
64,7/22/24,7/22/24
65,4/15/24,8/5/24
66,5/20/24,5/20/24
67,5/20/24,5/20/24
68,7/22/24,7/22/24
69,4/15/24,4/15/24
70,7/22/24,7/22/24
71,7/22/24,5/20/24
72,7/15/24,7/15/24
73,7/15/24,7/15/24
74,7/22/24,7/22/24
75,6/3/24,7/22/24
76,5/20/24,5/20/24
77,5/6/24,5/6/24
78,3/18/24,3/18/24
79,7/15/24,7/15/24
80,3/18/24,8/5/24
81,5/20/24,5/20/24
82,4/15/24,8/5/24
83,5/20/24,5/20/24
85,5/20/24,5/20/24
86,3/18/24,3/18/24
87,6/3/24,5/20/24
88,5/20/24,8/5/24
89,3/18/24,8/5/24
90,7/15/24,7/15/24
91,7/22/24,7/22/24
92,5/20/24,7/15/24
93,7/22/24,7/22/24
94,7/22/24,7/22/24
95,4/15/24,8/5/24
96,3/18/24,3/18/24
97,7/22/24,7/22/24
98,5/20/24,5/20/24
99,4/15/24,8/5/24
100,5/20/24,5/20/24
101,3/18/24,8/5/24
102,5/20/24,5/20/24
103,Complete,9/16/24
104,7/22/24,7/22/24
105,7/22/24,7/22/24
106,7/22/24,7/22/24
107,7/22/24,7/22/24
108,Complete,7/15/24
109,3/18/24,8/5/24
110,5/20/24,5/20/24
111,7/15/24,7/15/24
112,7/22/24,7/22/24
113,Complete,9/16/24
114,7/22/24,7/22/24
115,7/22/24,7/22/24
