Store Number,Current Delivery,Current MP Delivery Window,Updated Delivery,Updated MP Delivery Window,Comments
3,Same Day,18:00-06:00,Same Day,16:00-04:00,
174,Same Day,18:00-06:00,Same Day,16:00-04:00,
300,Same Day,18:00-06:00,Same Day,16:00-04:00,
301,Same Day,17:00-21:00,Same Day,16:00-21:00,
316,Same Day,18:00-06:00,Same Day,16:00-04:00,
329,Same Day,18:00-06:00,Same Day,16:00-04:00,
355,Same Day,18:00-06:00,Same Day,16:00-04:00,
356,Same Day,18:00-06:00,Same Day,16:00-04:00,
423,Same Day,18:00-06:00,Same Day,16:00-04:00,
432,Same Day,18:00-07:00,Same Day,16:00-04:00,
459,Same Day,18:00-06:00,Same Day,16:00-04:00,
494,Same Day,18:00-06:00,Same Day,18:00-04:00,
510,Same Day,18:00-06:00,Same Day,18:00-04:00,
518,Same Day,18:00-06:00,Same Day,16:00-04:00,
520,Same Day,18:00-06:00,Same Day,18:00-04:00,
525,Same Day,20:00-06:00,Same Day,18:00-04:00,
548,Same Day,18:00-06:00,Same Day,18:00-04:00,
562,Same Day,18:00-06:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on August 19, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
563,Same Day,18:00-06:00,Same Day,16:00-04:00,
575,Same Day,18:00-06:00,Same Day,16:00-04:00,
582,Same Day,18:00-06:00,Same Day,16:00-04:00,
594,Same Day,18:00-06:00,Same Day,16:00-04:00,
613,Same Day,15:00-23:00,Same Day,16:00-23:00,
614,Same Day,18:00-06:00,Same Day,16:00-04:00,
615,Same Day,18:00-06:00,Same Day,18:00-04:00,
618,Same Day,18:00-05:00,Same Day,16:00-04:00,
649,Same Day,18:00-06:00,Same Day,16:00-04:00,
658,Same Day,18:00-06:00,Same Day,18:00-04:00,
722,Same Day,18:00-06:00,Same Day,16:00-04:00,
726,Same Day,18:00-06:00,Same Day,16:00-04:00,
727,Same Day,18:00-07:00,Same Day,16:00-04:00,
730,Same Day,18:00-06:00,Same Day,16:00-04:00,
733,Same Day,18:00-06:00,Same Day,16:00-04:00,
745,Same Day,18:00-06:00,Same Day,16:00-04:00,
756,Same Day,18:00-06:00,Same Day,16:00-04:00,
758,Same Day,18:00-06:00,Same Day,16:00-04:00,
762,Same Day,18:00-06:00,Next Day,18:00-04:00,"Your store will not receive an MP delivery on August 19, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
764,Same Day,18:00-06:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on August 19, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
