Fiscal Year Name,,,
Fiscal Month Friendly Name Abbr,,,
,,FY2025,
,,Nov,
,,,
Store,Dept,Inventory Dollars,Format
43,80,"20,072",WM Supercenter
43,93,"68,124",WM Supercenter
43,94,"26,120",WM Supercenter
43,98,"29,385",WM Supercenter
45,80,"20,165",WM Supercenter
45,93,"79,073",WM Supercenter
45,94,"24,080",WM Supercenter
45,98,"31,109",WM Supercenter
46,80,"14,840",WM Supercenter
46,93,"81,720",WM Supercenter
46,94,"27,318",WM Supercenter
46,98,"75,212",WM Supercenter
47,80,"10,315",WM Supercenter
47,93,"115,147",WM Supercenter
47,94,"25,664",WM Supercenter
47,98,"31,545",WM Supercenter
48,80,"13,190",WM Supercenter
48,93,"57,671",WM Supercenter
48,94,"14,983",WM Supercenter
48,98,"26,882",WM Supercenter
49,80,"7,261",WM Supercenter
49,93,"39,500",WM Supercenter
49,94,"10,251",WM Supercenter
49,98,"8,916",WM Supercenter
50,80,"9,450",WM Supercenter
50,93,"49,768",WM Supercenter
50,94,"16,316",WM Supercenter
50,98,"13,571",WM Supercenter
51,80,"14,526",WM Supercenter
51,93,"63,343",WM Supercenter
51,94,"14,981",WM Supercenter
51,98,"12,635",WM Supercenter
52,80,"22,396",WM Supercenter
52,93,"108,765",WM Supercenter
52,94,"22,303",WM Supercenter
52,98,"24,911",WM Supercenter
54,80,"14,512",WM Supercenter
54,93,"80,132",WM Supercenter
54,94,"10,898",WM Supercenter
54,98,"28,322",WM Supercenter
55,80,"7,772",WM Supercenter
55,93,"62,914",WM Supercenter
55,94,"19,356",WM Supercenter
55,98,"21,996",WM Supercenter
56,80,"8,076",WM Supercenter
56,93,"62,546",WM Supercenter
56,94,"17,649",WM Supercenter
56,98,"13,944",WM Supercenter
58,80,"14,381",WM Supercenter
58,93,"98,587",WM Supercenter
58,94,"25,207",WM Supercenter
58,98,"30,769",WM Supercenter
59,80,"16,549",WM Supercenter
59,93,"73,042",WM Supercenter
59,94,"17,964",WM Supercenter
59,98,"28,572",WM Supercenter
60,80,"17,179",WM Supercenter
60,93,"62,505",WM Supercenter
60,94,"21,463",WM Supercenter
60,98,"27,620",WM Supercenter
61,80,"21,599",WM Supercenter
61,93,"86,718",WM Supercenter
61,94,"29,527",WM Supercenter
61,98,"28,756",WM Supercenter
62,80,"17,265",WM Supercenter
62,93,"90,031",WM Supercenter
62,94,"23,904",WM Supercenter
62,98,"25,713",WM Supercenter
63,80,"4,110",WM Supercenter
63,93,"53,712",WM Supercenter
63,94,"15,712",WM Supercenter
63,98,"17,182",WM Supercenter
64,80,"8,356",WM Supercenter
64,93,"88,153",WM Supercenter
64,94,"24,320",WM Supercenter
64,98,"21,736",WM Supercenter
65,80,"16,492",WM Supercenter
65,93,"65,017",WM Supercenter
65,94,"25,409",WM Supercenter
65,98,"20,945",WM Supercenter
66,80,"21,607",WM Supercenter
66,93,"81,406",WM Supercenter
66,94,"31,801",WM Supercenter
66,98,"26,832",WM Supercenter
67,80,"17,178",WM Supercenter
67,93,"98,547",WM Supercenter
67,94,"22,794",WM Supercenter
67,98,"23,249",WM Supercenter
68,80,"11,673",WM Supercenter
68,93,"62,269",WM Supercenter
68,94,"19,425",WM Supercenter
68,98,"13,068",WM Supercenter
69,80,"31,476",WM Supercenter
69,93,"104,093",WM Supercenter
69,94,"21,798",WM Supercenter
69,98,"38,723",WM Supercenter
70,80,"20,705",WM Supercenter
70,93,"92,926",WM Supercenter
70,94,"31,542",WM Supercenter
70,98,"31,389",WM Supercenter
71,80,"10,161",WM Supercenter
71,93,"87,313",WM Supercenter
71,94,"18,353",WM Supercenter
71,98,"18,012",WM Supercenter
72,80,"15,701",WM Supercenter
72,93,"76,551",WM Supercenter
72,94,"20,127",WM Supercenter
72,98,"27,919",WM Supercenter
73,80,"14,585",WM Supercenter
73,93,"94,894",WM Supercenter
73,94,"18,103",WM Supercenter
73,98,"29,385",WM Supercenter
74,80,39,WM Supercenter
74,93,"53,833",WM Supercenter
74,94,"21,337",WM Supercenter
74,98,"13,835",WM Supercenter
75,80,"15,465",WM Supercenter
75,93,"86,112",WM Supercenter
75,94,"35,574",WM Supercenter
75,98,"28,839",WM Supercenter
76,80,"12,476",WM Supercenter
76,93,"87,203",WM Supercenter
76,94,"21,533",WM Supercenter
76,98,"23,137",WM Supercenter
77,80,"10,976",WM Supercenter
77,93,"43,612",WM Supercenter
77,94,"22,755",WM Supercenter
77,98,"23,970",WM Supercenter
78,80,"9,798",WM Supercenter
78,93,"56,340",WM Supercenter
78,94,"18,810",WM Supercenter
78,98,"25,265",WM Supercenter
79,80,"12,566",WM Supercenter
79,93,"71,568",WM Supercenter
79,94,"21,905",WM Supercenter
79,98,"26,764",WM Supercenter
80,80,"12,847",WM Supercenter
80,93,"54,284",WM Supercenter
80,94,"31,973",WM Supercenter
80,98,"22,468",WM Supercenter
81,80,"9,475",WM Supercenter
81,93,"78,236",WM Supercenter
81,94,"15,794",WM Supercenter
81,98,"16,275",WM Supercenter
82,80,"5,446",WM Supercenter
82,93,"39,205",WM Supercenter
82,94,"14,006",WM Supercenter
82,98,"13,369",WM Supercenter
83,80,"8,723",WM Supercenter
83,93,"116,296",WM Supercenter
83,94,"31,207",WM Supercenter
83,98,"24,146",WM Supercenter
85,80,"22,722",WM Supercenter
85,93,"98,841",WM Supercenter
85,94,"26,198",WM Supercenter
85,98,"29,479",WM Supercenter
86,80,"14,701",WM Supercenter
86,93,"77,087",WM Supercenter
86,94,"23,504",WM Supercenter
86,98,"25,999",WM Supercenter
87,80,"11,085",WM Supercenter
87,93,"80,926",WM Supercenter
87,94,"32,176",WM Supercenter
87,98,"25,013",WM Supercenter
88,80,"14,844",WM Supercenter
88,93,"57,461",WM Supercenter
88,94,"22,170",WM Supercenter
88,98,"11,687",WM Supercenter
89,80,"17,203",WM Supercenter
89,93,"79,515",WM Supercenter
89,94,"16,797",WM Supercenter
89,98,"23,399",WM Supercenter
90,80,"21,592",WM Supercenter
90,93,"75,511",WM Supercenter
90,94,"16,308",WM Supercenter
90,98,"35,384",WM Supercenter
91,80,"30,893",WM Supercenter
91,93,"85,984",WM Supercenter
91,94,"23,717",WM Supercenter
91,98,"54,667",WM Supercenter
92,80,"15,966",WM Supercenter
92,93,"51,813",WM Supercenter
92,94,"15,895",WM Supercenter
92,98,"21,640",WM Supercenter
93,80,"19,565",WM Supercenter
93,93,"121,156",WM Supercenter
93,94,"33,173",WM Supercenter
93,98,"25,029",WM Supercenter
94,80,"29,904",WM Supercenter
