Store Number,Impacted IDC
1288,Norfolk
1345,Norfolk
1424,Norfolk
1465,Norfolk
1486,Norfolk
1502,Norfolk
1523,Norfolk
1524,Norfolk
1525,Norfolk
1527,Norfolk
1529,Norfolk
1558,Norfolk
1568,Norfolk
1579,Norfolk
1591,Norfolk
1607,Norfolk
1610,Norfolk
1619,Norfolk
1623,Norfolk
1631,Norfolk
1640,Norfolk
1644,Norfolk
1656,Norfolk
1670,Norfolk
1673,Norfolk
1677,Norfolk
1682,Norfolk
1684,Norfolk
1687,Norfolk
1688,Norfolk
1698,Norfolk
1705,Norfolk
1707,Norfolk
1715,Norfolk
1716,Norfolk
1717,Norfolk
1730,Norfolk
1731,Norfolk
1736,Norfolk
1739,Norfolk
1741,Norfolk
1742,Norfolk
1744,Norfolk
1749,Norfolk
1753,Norfolk
1759,Norfolk
1762,Norfolk
1765,Norfolk
1769,Norfolk
1770,Norfolk
1773,Norfolk
1777,Norfolk
1781,Norfolk
1785,Norfolk
1788,Norfolk
1792,Norfolk
1794,Norfolk
1796,Norfolk
1797,Norfolk
1806,Norfolk
1807,Norfolk
1810,Norfolk
1811,Norfolk
1813,Norfolk
1820,Norfolk
1823,Norfolk
1830,Norfolk
1831,Norfolk
1833,Norfolk
1835,Norfolk
1841,Norfolk
1844,Norfolk
1850,Norfolk
1852,Norfolk
1856,Norfolk
1857,Norfolk
1860,Norfolk
1866,Norfolk
1868,Norfolk
1869,Norfolk
1871,Norfolk
1873,Norfolk
1883,Norfolk
1884,Norfolk
1885,Norfolk
1886,Norfolk
1887,Norfolk
1890,Norfolk
1891,Norfolk
1893,Norfolk
1906,Norfolk
1907,Norfolk
1909,Norfolk
1918,Norfolk
1919,Norfolk
1921,Norfolk
1924,Norfolk
1926,Norfolk
1927,Norfolk
1930,Norfolk
1932,Norfolk
1934,Norfolk
1935,Norfolk
1939,Norfolk
1940,Norfolk
1945,Norfolk
1946,Norfolk
1948,Norfolk
1949,Norfolk
1950,Norfolk
1954,Norfolk
1959,Norfolk
1964,Norfolk
1966,Norfolk
1967,Norfolk
1968,Norfolk
1969,Norfolk
1970,Norfolk
1973,Norfolk
1974,Norfolk
1975,Norfolk
1976,Norfolk
1977,Norfolk
1980,Norfolk
1981,Norfolk
1984,Norfolk
1993,Norfolk
1994,Norfolk
1997,Norfolk
2000,Norfolk
2003,Norfolk
2008,Norfolk
2009,Norfolk
2012,Norfolk
2013,Norfolk
2019,Norfolk
2021,Norfolk
2022,Norfolk
2023,Norfolk
2024,Norfolk
2040,Norfolk
2041,Norfolk
2043,Norfolk
2045,Norfolk
2046,Norfolk
2047,Norfolk
2049,Norfolk
2055,Norfolk
2056,Norfolk
2057,Norfolk
2059,Norfolk
2063,Norfolk
2064,Norfolk
2068,Norfolk
2088,Norfolk
2090,Norfolk
2092,Norfolk
2093,Norfolk
2095,Norfolk
2096,Norfolk
2097,Norfolk
2103,Norfolk
2104,Norfolk
2107,Norfolk
2108,Norfolk
2109,Norfolk
2116,Norfolk
2118,Norfolk
2120,Norfolk
2122,Norfolk
2128,Norfolk
2129,Norfolk
2130,Norfolk
2135,Norfolk
2138,Norfolk
2139,Norfolk
2140,Norfolk
2141,Norfolk
2142,Norfolk
2143,Norfolk
2144,Norfolk
2145,Norfolk
2146,Norfolk
2152,Norfolk
2153,Norfolk
2155,Norfolk
2156,Norfolk
2157,Norfolk
2158,Norfolk
2159,Norfolk
2160,Norfolk
2163,Norfolk
2164,Norfolk
2166,Norfolk
2167,Norfolk
2169,Norfolk
2170,Norfolk
2174,Norfolk
2178,Norfolk
2180,Norfolk
2183,Norfolk
2184,Norfolk
2185,Norfolk
2193,Norfolk
2194,Norfolk
2195,Norfolk
2197,Norfolk
2200,Norfolk
2202,Norfolk
2205,Norfolk
2208,Norfolk
2210,Norfolk
2211,Norfolk
2222,Norfolk
2224,Norfolk
2225,Norfolk
2227,Norfolk
2228,Norfolk
2230,Norfolk
2232,Norfolk
2234,Norfolk
2236,Norfolk
2252,Norfolk
2254,Norfolk
2255,Norfolk
2256,Norfolk
2258,Norfolk
2261,Norfolk
2262,Norfolk
2263,Norfolk
2264,Norfolk
2267,Norfolk
2272,Norfolk
2278,Norfolk
2279,Norfolk
2281,Norfolk
2282,Norfolk
2283,Norfolk
2284,Norfolk
2285,Norfolk
2286,Norfolk
2287,Norfolk
2289,Norfolk
2294,Norfolk
2295,Norfolk
2299,Norfolk
2300,Norfolk
2313,Norfolk
2318,Norfolk
2326,Norfolk
2329,Norfolk
2330,Norfolk
2331,Norfolk
2332,Norfolk
2334,Norfolk
2336,Norfolk
2340,Norfolk
2341,Norfolk
2351,Norfolk
2355,Norfolk
2359,Norfolk
2365,Norfolk
2366,Norfolk
2368,Norfolk
2369,Norfolk
2370,Norfolk
2371,Norfolk
2373,Norfolk
2386,Norfolk
2398,Norfolk
2399,Norfolk
2405,Norfolk
2419,Norfolk
2420,Norfolk
2424,Norfolk
2435,Norfolk
2438,Norfolk
2444,Norfolk
2445,Norfolk
2446,Norfolk
2460,Norfolk
2480,Norfolk
2481,Norfolk
2497,Norfolk
2502,Norfolk
2503,Norfolk
2504,Norfolk
2506,Norfolk
2514,Norfolk
2518,Norfolk
2519,Norfolk
2520,Norfolk
2528,Norfolk
2529,Norfolk
2530,Norfolk
2531,Norfolk
2535,Norfolk
2540,Norfolk
2541,Norfolk
2543,Norfolk
2547,Norfolk
2555,Norfolk
2560,Norfolk
2561,Norfolk
2574,Norfolk
2577,Norfolk
2581,Norfolk
2582,Norfolk
2583,Norfolk
2585,Norfolk
2586,Norfolk
2588,Norfolk
2597,Norfolk
2603,Norfolk
2604,Norfolk
2611,Norfolk
2614,Norfolk
2629,Norfolk
2633,Norfolk
2634,Norfolk
2637,Norfolk
2639,Norfolk
2640,Norfolk
2641,Norfolk
2645,Norfolk
2650,Norfolk
2651,Norfolk
2659,Norfolk
2660,Norfolk
2663,Norfolk
2664,Norfolk
2674,Norfolk
2681,Norfolk
2682,Norfolk
2683,Norfolk
2705,Norfolk
2719,Norfolk
2747,Norfolk
2758,Norfolk
2785,Norfolk
2791,Norfolk
2795,Norfolk
2797,Norfolk
2799,Norfolk
2805,Norfolk
2808,Norfolk
2821,Norfolk
2825,Norfolk
2830,Norfolk
2841,Norfolk
2844,Norfolk
2853,Norfolk
2854,Norfolk
2859,Norfolk
2871,Norfolk
2874,Norfolk
2885,Norfolk
2888,Norfolk
2897,Norfolk
2898,Norfolk
2899,Norfolk
2900,Norfolk
2901,Norfolk
2902,Norfolk
2903,Norfolk
2904,Norfolk
2905,Norfolk
2906,Norfolk
2909,Norfolk
2910,Norfolk
2911,Norfolk
2915,Norfolk
2916,Norfolk
2917,Norfolk
2931,Norfolk
2945,Norfolk
2953,Norfolk
2954,Norfolk
2964,Norfolk
2965,Norfolk
2992,Norfolk
3035,Norfolk
3078,Norfolk
3114,Norfolk
3156,Norfolk
3157,Norfolk
3159,Norfolk
3200,Norfolk
3212,Norfolk
3214,Norfolk
3216,Norfolk
3219,Norfolk
3221,Norfolk
3223,Norfolk
3228,Norfolk
3236,Norfolk
3250,Norfolk
3252,Norfolk
3253,Norfolk
3265,Norfolk
3266,Norfolk
3269,Norfolk
3280,Norfolk
3281,Norfolk
3291,Norfolk
3292,Norfolk
3293,Norfolk
3299,Norfolk
3301,Norfolk
3304,Norfolk
3329,Norfolk
3330,Norfolk
3332,Norfolk
3334,Norfolk
3337,Norfolk
3339,Norfolk
3409,Norfolk
3412,Norfolk
3420,Norfolk
3422,Norfolk
3429,Norfolk
3443,Norfolk
3469,Norfolk
3475,Norfolk
3481,Norfolk
3489,Norfolk
3491,Norfolk
3501,Norfolk
3514,Norfolk
3520,Norfolk
3535,Norfolk
3541,Norfolk
3543,Norfolk
3545,Norfolk
3546,Norfolk
3548,Norfolk
3549,Norfolk
3560,Norfolk
3561,Norfolk
3562,Norfolk
3563,Norfolk
3564,Norfolk
3583,Norfolk
3588,Norfolk
3598,Norfolk
3607,Norfolk
3608,Norfolk
3634,Norfolk
3644,Norfolk
3658,Norfolk
3722,Norfolk
3738,Norfolk
3774,Norfolk
3780,Norfolk
3795,Norfolk
3802,Norfolk
3803,Norfolk
3810,Norfolk
3830,Norfolk
3831,Norfolk
3838,Norfolk
3842,Norfolk
3843,Norfolk
3860,Norfolk
3869,Norfolk
3880,Norfolk
3912,Norfolk
4064,Norfolk
4153,Norfolk
4156,Norfolk
4184,Norfolk
4191,Norfolk
4220,Norfolk
4258,Norfolk
4276,Norfolk
4348,Norfolk
4350,Norfolk
4378,Norfolk
4387,Norfolk
4389,Norfolk
4403,Norfolk
4404,Norfolk
4456,Norfolk
4476,Norfolk
4501,Norfolk
4570,Norfolk
4597,Norfolk
4612,Norfolk
4623,Norfolk
4636,Norfolk
4643,Norfolk
4644,Norfolk
4687,Norfolk
5012,Norfolk
5027,Norfolk
5039,Norfolk
5040,Norfolk
5047,Norfolk
5076,Norfolk
5077,Norfolk
5088,Norfolk
5095,Norfolk
5103,Norfolk
5111,Norfolk
5129,Norfolk
5130,Norfolk
5131,Norfolk
5142,Norfolk
5178,Norfolk
5200,Norfolk
5201,Norfolk
5202,Norfolk
5229,Norfolk
5239,Norfolk
5240,Norfolk
5241,Norfolk
5242,Norfolk
5253,Norfolk
5278,Norfolk
5281,Norfolk
5282,Norfolk
5293,Norfolk
5294,Norfolk
5295,Norfolk
5340,Norfolk
5343,Norfolk
5345,Norfolk
5356,Norfolk
5360,Norfolk
5379,Norfolk
5381,Norfolk
5382,Norfolk
5384,Norfolk
5387,Norfolk
5414,Norfolk
5436,Norfolk
5439,Norfolk
5445,Norfolk
5447,Norfolk
5448,Norfolk
5450,Norfolk
5470,Norfolk
5476,Norfolk
5488,Norfolk
5495,Norfolk
5497,Norfolk
5498,Norfolk
5649,Norfolk
5732,Norfolk
5752,Norfolk
5753,Norfolk
5754,Norfolk
5755,Norfolk
5777,Norfolk
5779,Norfolk
5795,Norfolk
5829,Norfolk
5847,Norfolk
5867,Norfolk
5881,Norfolk
5888,Norfolk
5891,Norfolk
5922,Norfolk
5944,Norfolk
5968,Norfolk
6226,Norfolk
6798,Norfolk
6936,Norfolk
7032,Norfolk
7174,Norfolk
8331,Norfolk
1,Houston
2,Houston
4,Houston
10,Houston
12,Houston
13,Houston
16,Houston
17,Houston
20,Houston
22,Houston
26,Houston
28,Houston
31,Houston
32,Houston
34,Houston
35,Houston
39,Houston
41,Houston
42,Houston
43,Houston
47,Houston
48,Houston
49,Houston
50,Houston
54,Houston
55,Houston
59,Houston
61,Houston
63,Houston
66,Houston
67,Houston
72,Houston
73,Houston
76,Houston
77,Houston
79,Houston
81,Houston
87,Houston
