DC,Type,Sub Type,Qty,PO,Status
6029,Fashion,Apparel,36,4500748466,Shipped
6038,Regional,Door Per Store,56,4500749018,Shipped
6065,Grocery,Full,47,4500749019,Shipped
6090,Grocery,Full,44,4500749041,Shipped
7067,Imports,Import,49,4500749042,Received
8852,Grocery,Automated,1,4500753135,Shipped
8397,Grocery,Perishable,9,4500753135,Feb. 2022
7047,Grocery,3rd Party,12,4500753135,Feb. 2022
7842,Fashion,Apparel / Shoes,26,4500753135,Shipped
7079,Grocery,Full,27,4500753135,Feb. 2022
6062,Grocery,Fresh,28,4500753135,Feb. 2022
6858,Grocery,Fresh,29,4500753135,Feb. 2022
6056,Grocery,Fresh,30,4500753135,Feb. 2022
8851,Grocery,Full,30,4500753135,Feb. 2022
6074,Grocery,Fresh,31,4500753135,Feb. 2022
6077,Grocery,Fresh,31,4500753135,Feb. 2022
6005,Fashion,Apparel,32,4500753135,Feb. 2022
6041,Fashion,Apparel,32,4500753135,Feb. 2022
6085,Grocery,Full,32,4500753135,Feb. 2022
6022,Fashion,Apparel,35,4500753135,Feb. 2022
7014,Grocery,Mechanized,35,4500753135,Feb. 2022
6042,Grocery,Full,36,4500753135,Feb. 2022
6096,Grocery,Full,39,4500753135,Feb. 2022
7024,Grocery,Mechanized,39,4500753135,Feb. 2022
6047,Grocery,Full,40,4500753135,Feb. 2022
6099,Grocery,Full,41,4500753135,Feb. 2022
7017,Grocery,Full,42,4500753135,Feb. 2022
7023,Grocery,Mechanized,42,4500753135,Feb. 2022
6057,Grocery,Full,43,4500753135,Feb. 2022
6064,Grocery,Full,43,4500753135,Feb. 2022
6082,Grocery,Full,44,4500753135,Feb. 2022
7021,Grocery,Full,44,4500753135,Feb. 2022
7030,Grocery,Mechanized,45,4500753135,Feb. 2022
6014,Fashion,Apparel,46,4500753135,Feb. 2022
7055,Grocery,Mechanized,46,4500753135,Feb. 2022
6073,Grocery,Full,47,4500753135,Feb. 2022
6083,Grocery,Full,47,4500753135,Feb. 2022
7013,Grocery,Full,47,4500753135,Feb. 2022
7018,Grocery,Full,48,4500753135,Feb. 2022
7048,Grocery,Full,48,4500753135,Feb. 2022
7015,Grocery,Mechanized,49,4500753135,Feb. 2022
6059,Grocery,Full,50,4500753135,Feb. 2022
7016,Grocery,Full,50,4500753135,Feb. 2022
6071,Grocery,Full,53,4500753135,Feb. 2022
