Store Nbr,EG Ship Qty,LoCo Ship Qty,Total Qty,,,,,,,
1,14,0,14,,,,,,,
2,10,0,10,,,,,,,
3,52,0,52,,,,,,,
4,20,9,29,,,,,,,
5,16,0,16,,,,,,,
7,16,0,16,,,,,,,
8,8,0,8,,,,,,,
9,16,0,16,,,,,,,
10,10,0,10,,,,,,,
11,16,0,16,,,,,,,
12,8,9,17,,,,,,,
13,16,0,16,,,,,,,
14,24,0,24,,,,,,,
15,10,18,28,,,,,,,
16,16,9,25,,,,,,,
17,16,0,16,,,,,,,
18,12,0,12,,,,,,,
19,20,9,29,,,,,,,
20,16,9,25,,,,,,,
21,40,0,40,,,,,,,
22,16,0,16,,,,,,,
23,16,0,16,,,,,,,
24,16,0,16,,,,,,,
25,6,9,15,,,,,,,
26,10,0,10,,,,,,,
27,6,9,15,,,,,,,
28,8,0,8,,,,,,,
29,10,18,28,,,,,,,
30,12,0,12,,,,,,,
31,16,0,16,,,,,,,
32,0,0,0,,,,,,,
33,24,0,24,,,,,,,
34,8,9,17,,,,,,,
35,24,0,24,,,,,,,
36,20,0,20,,,,,,,
37,12,18,30,,,,,,,
38,8,0,8,,,,,,,
39,6,0,6,,,,,,,
40,10,9,19,,,,,,,
41,16,0,16,,,,,,,
42,8,0,8,,,,,,,
43,24,0,24,,,,,,,
44,0,18,18,,,,,,,
45,20,0,20,,,,,,,
46,6,0,6,,,,,,,
47,10,9,19,,,,,,,
48,0,9,9,,,,,,,
49,12,0,12,,,,,,,
50,0,9,9,,,,,,,
51,0,0,0,,,,,,,
52,16,0,16,,,,,,,
54,24,0,24,,,,,,,
55,8,0,8,,,,,,,
56,16,9,25,,,,,,,
57,6,0,6,,,,,,,
58,20,0,20,,,,,,,
59,16,0,16,,,,,,,
60,16,0,16,,,,,,,
61,20,0,20,,,,,,,
62,20,0,20,,,,,,,
63,6,9,15,,,,,,,
64,0,0,0,,,,,,,
65,20,9,29,,,,,,,
66,16,0,16,,,,,,,
67,12,0,12,,,,,,,
68,16,9,25,,,,,,,
69,12,0,12,,,,,,,
70,6,0,6,,,,,,,
71,10,9,19,,,,,,,
72,10,0,10,,,,,,,
73,8,0,8,,,,,,,
74,6,0,6,,,,,,,
75,16,0,16,,,,,,,
76,20,0,20,,,,,,,
77,12,0,12,,,,,,,
78,6,0,6,,,,,,,
79,24,0,24,,,,,,,
80,6,18,24,,,,,,,
81,0,0,0,,,,,,,
82,6,0,6,,,,,,,
83,16,9,25,,,,,,,
85,12,18,30,,,,,,,
86,12,0,12,,,,,,,
87,10,18,28,,,,,,,
88,10,9,19,,,,,,,
89,20,0,20,,,,,,,
