Store Nbr,"Mixed BQT 
Double Bucket Wingstack Display","Mixed BQT 
Double Decker Pallet Display","Rose Lily
Double Bucket Wingstack Display",Small Bouquet Double Bucket Wingstack Display,"XL Premium Roses
Double Bucket Wingstack Display","XL Premium Roses
Pallet Display",TOTAL VALDAY PROMO DISPLAYS,Total WINGSTACK DISPLAYS,TOTAL PALLET DISPLAYS
41,4,1,4,7,0,1,42,#REF!,#REF!
42,1,1,2,0,0,0,12,#REF!,#REF!
43,0,2,4,0,9,1,48,#REF!,#REF!
45,1,2,4,0,5,1,40,#REF!,#REF!
46,0,4,3,0,2,3,31,#REF!,#REF!
47,0,2,0,0,4,1,33,#REF!,#REF!
48,0,2,4,0,0,1,16,#REF!,#REF!
49,3,1,2,0,5,1,24,#REF!,#REF!
50,2,0,5,0,0,0,17,#REF!,#REF!
51,3,2,3,0,0,1,21,#REF!,#REF!
52,2,1,2,0,0,1,17,#REF!,#REF!
54,1,2,3,6,4,0,42,#REF!,#REF!
55,4,1,4,0,3,2,24,#REF!,#REF!
56,2,0,4,2,0,0,14,#REF!,#REF!
58,3,3,7,6,5,2,61,#REF!,#REF!
59,3,5,5,6,0,0,46,#REF!,#REF!
60,2,2,4,0,2,1,22,#REF!,#REF!
61,3,3,7,5,5,2,51,#REF!,#REF!
62,3,1,5,0,3,1,24,#REF!,#REF!
63,0,1,2,0,0,0,10,#REF!,#REF!
64,1,1,4,0,2,0,19,#REF!,#REF!
65,2,1,4,0,0,0,19,#REF!,#REF!
66,1,2,2,3,1,0,34,#REF!,#REF!
67,0,2,5,0,4,0,26,#REF!,#REF!
68,3,0,4,0,4,0,27,#REF!,#REF!
69,0,2,5,7,8,1,51,#REF!,#REF!
70,1,1,5,0,1,0,25,#REF!,#REF!
71,2,1,4,0,3,0,32,#REF!,#REF!
72,0,1,5,7,0,1,36,#REF!,#REF!
73,4,1,0,0,0,0,12,#REF!,#REF!
74,2,1,5,0,2,1,23,#REF!,#REF!
75,3,1,2,0,16,0,58,#REF!,#REF!
76,1,2,2,2,4,3,33,#REF!,#REF!
77,1,0,3,0,2,0,25,#REF!,#REF!
78,4,2,5,0,0,0,27,#REF!,#REF!
79,4,2,0,6,0,2,31,#REF!,#REF!
80,0,1,4,2,2,1,22,#REF!,#REF!
81,0,1,5,1,0,0,12,#REF!,#REF!
82,4,1,4,0,3,0,26,#REF!,#REF!
83,2,1,5,0,0,0,18,#REF!,#REF!
85,2,1,4,0,3,0,26,#REF!,#REF!
86,0,3,1,3,2,0,24,#REF!,#REF!
87,0,1,2,0,0,0,12,#REF!,#REF!
88,4,1,4,0,0,0,24,#REF!,#REF!
89,4,3,5,0,2,1,24,#REF!,#REF!
90,1,3,4,0,0,1,35,#REF!,#REF!
91,3,0,3,0,0,0,20,#REF!,#REF!
92,0,1,3,0,0,0,20,#REF!,#REF!
93,2,0,3,0,0,0,22,#REF!,#REF!
94,3,1,0,0,3,0,25,#REF!,#REF!
95,3,2,3,0,2,0,25,#REF!,#REF!
96,4,1,5,3,0,0,29,#REF!,#REF!
97,2,1,5,0,0,0,20,#REF!,#REF!
98,4,0,2,0,0,0,17,#REF!,#REF!
99,2,2,4,0,0,2,18,#REF!,#REF!
100,4,4,7,5,3,2,58,#REF!,#REF!
101,4,3,4,0,1,0,29,#REF!,#REF!
102,3,1,5,0,0,1,21,#REF!,#REF!
103,2,4,3,7,7,4,74,#REF!,#REF!
104,1,1,4,7,8,2,48,#REF!,#REF!
105,0,2,0,0,3,1,30,#REF!,#REF!
106,0,1,5,0,1,0,19,#REF!,#REF!
107,3,1,4,3,2,0,31,#REF!,#REF!
108,2,2,4,7,0,1,30,#REF!,#REF!
109,0,2,4,0,3,1,25,#REF!,#REF!
110,4,1,5,6,7,2,48,#REF!,#REF!
111,0,1,3,0,0,0,9,#REF!,#REF!
112,1,2,4,0,5,0,36,#REF!,#REF!
113,3,3,0,0,4,1,45,#REF!,#REF!
114,2,1,4,0,2,0,26,#REF!,#REF!
115,1,1,5,0,3,0,27,#REF!,#REF!
118,3,1,5,0,2,0,28,#REF!,#REF!
119,2,3,0,0,8,1,38,#REF!,#REF!
120,1,2,0,5,5,1,39,#REF!,#REF!
121,0,2,3,4,0,2,24,#REF!,#REF!
122,3,1,5,0,3,0,33,#REF!,#REF!
123,1,1,0,0,0,0,8,#REF!,#REF!
124,2,1,5,0,0,0,24,#REF!,#REF!
125,2,2,5,0,9,3,53,#REF!,#REF!
126,0,2,4,0,0,0,13,#REF!,#REF!
127,2,1,5,0,2,1,36,#REF!,#REF!
128,1,2,5,0,3,3,34,#REF!,#REF!
129,4,2,5,5,7,0,57,#REF!,#REF!
130,0,3,0,7,0,2,43,#REF!,#REF!
131,4,2,0,10,4,0,62,#REF!,#REF!
132,2,1,2,0,0,1,14,#REF!,#REF!
133,0,1,3,0,2,0,15,#REF!,#REF!
134,4,1,2,0,3,1,23,#REF!,#REF!
135,0,1,0,0,0,0,14,#REF!,#REF!
137,2,1,5,0,0,1,44,#REF!,#REF!
138,3,2,6,3,5,1,46,#REF!,#REF!
139,4,2,4,0,2,1,29,#REF!,#REF!
140,2,3,4,5,3,3,54,#REF!,#REF!
141,3,2,4,3,3,1,38,#REF!,#REF!
143,2,2,5,0,2,0,27,#REF!,#REF!
144,0,5,5,4,8,5,72,#REF!,#REF!
145,2,1,3,0,2,0,22,#REF!,#REF!
146,0,1,3,0,2,0,23,#REF!,#REF!
147,1,1,4,0,6,1,43,#REF!,#REF!
148,1,3,2,1,3,2,34,#REF!,#REF!
149,4,0,2,0,2,0,20,#REF!,#REF!
150,3,1,4,0,0,3,26,#REF!,#REF!
151,2,4,5,1,0,3,41,#REF!,#REF!
152,2,2,3,0,2,2,33,#REF!,#REF!
153,2,1,4,0,2,1,30,#REF!,#REF!
154,0,1,4,0,0,1,30,#REF!,#REF!
155,2,2,0,2,0,0,22,#REF!,#REF!
157,4,4,5,6,6,3,68,#REF!,#REF!
158,4,1,0,0,0,1,12,#REF!,#REF!
159,2,2,4,0,2,0,23,#REF!,#REF!
160,4,1,5,0,0,1,22,#REF!,#REF!
161,3,1,4,0,2,0,25,#REF!,#REF!
162,1,1,3,0,3,0,20,#REF!,#REF!
163,1,2,5,6,8,3,57,#REF!,#REF!
164,0,1,2,0,3,0,22,#REF!,#REF!
165,0,2,2,6,4,1,36,#REF!,#REF!
166,2,1,3,0,1,0,19,#REF!,#REF!
167,4,1,4,0,0,1,21,#REF!,#REF!
168,4,2,4,0,0,1,26,#REF!,#REF!
169,3,1,4,0,0,0,15,#REF!,#REF!
170,2,0,2,0,2,3,29,#REF!,#REF!
171,2,1,0,0,0,0,13,#REF!,#REF!
172,1,2,0,0,1,1,25,#REF!,#REF!
173,2,2,3,0,1,0,25,#REF!,#REF!
174,2,2,3,0,0,1,24,#REF!,#REF!
175,1,1,4,0,1,0,22,#REF!,#REF!
177,1,2,5,0,8,0,36,#REF!,#REF!
178,3,0,3,0,0,1,17,#REF!,#REF!
179,0,2,4,3,5,3,37,#REF!,#REF!
180,3,2,5,0,8,3,47,#REF!,#REF!
181,1,1,3,0,3,2,23,#REF!,#REF!
182,2,0,3,0,0,0,17,#REF!,#REF!
183,3,1,3,0,2,0,22,#REF!,#REF!
184,2,2,0,5,0,2,29,#REF!,#REF!
185,2,2,0,1,4,3,42,#REF!,#REF!
186,0,1,5,0,0,1,14,#REF!,#REF!
188,4,2,4,0,3,0,42,#REF!,#REF!
189,0,2,4,0,0,0,17,#REF!,#REF!
190,3,1,2,0,5,0,34,#REF!,#REF!
192,1,2,0,0,12,0,47,#REF!,#REF!
194,4,2,2,3,2,2,42,#REF!,#REF!
195,3,1,3,0,0,1,21,#REF!,#REF!
196,4,1,4,0,2,0,27,#REF!,#REF!
197,2,1,4,0,1,0,22,#REF!,#REF!
198,1,1,0,0,5,1,23,#REF!,#REF!
199,0,1,5,7,2,1,34,#REF!,#REF!
200,1,2,0,6,4,1,50,#REF!,#REF!
201,2,2,4,4,3,1,35,#REF!,#REF!
202,3,0,1,3,3,1,33,#REF!,#REF!
203,2,1,4,0,0,0,15,#REF!,#REF!
204,2,1,5,0,6,1,35,#REF!,#REF!
205,0,1,5,0,3,0,27,#REF!,#REF!
206,0,2,6,0,8,1,35,#REF!,#REF!
207,4,0,3,0,0,1,14,#REF!,#REF!
211,1,0,10,3,6,1,50,#REF!,#REF!
212,2,3,1,2,1,0,31,#REF!,#REF!
213,2,2,4,0,2,1,27,#REF!,#REF!
214,4,1,3,0,2,1,24,#REF!,#REF!
216,0,2,0,0,2,1,29,#REF!,#REF!
217,4,2,7,0,2,0,38,#REF!,#REF!
218,2,1,3,0,6,0,26,#REF!,#REF!
219,1,3,4,4,2,3,52,#REF!,#REF!
220,1,4,6,0,2,0,30,#REF!,#REF!
221,2,2,1,2,4,1,33,#REF!,#REF!
222,4,1,3,0,0,0,20,#REF!,#REF!
224,2,1,0,0,2,0,18,#REF!,#REF!
225,0,2,4,0,5,1,25,#REF!,#REF!
226,0,2,4,0,3,0,22,#REF!,#REF!
227,3,1,0,0,3,0,22,#REF!,#REF!
228,2,2,0,4,2,2,31,#REF!,#REF!
229,3,0,4,0,0,0,17,#REF!,#REF!
231,2,2,4,7,2,3,56,#REF!,#REF!
233,0,1,4,0,7,0,36,#REF!,#REF!
234,3,1,4,0,0,0,20,#REF!,#REF!
236,1,1,5,0,2,0,23,#REF!,#REF!
237,3,1,4,0,2,0,22,#REF!,#REF!
238,1,3,4,4,7,0,40,#REF!,#REF!
239,0,1,2,0,4,1,24,#REF!,#REF!
240,1,1,4,0,0,2,26,#REF!,#REF!
242,4,3,3,0,3,0,29,#REF!,#REF!
243,1,3,3,3,1,1,32,#REF!,#REF!
244,4,0,2,0,3,0,18,#REF!,#REF!
246,3,0,6,0,0,2,31,#REF!,#REF!
248,3,1,0,2,4,0,21,#REF!,#REF!
249,0,2,0,2,7,3,44,#REF!,#REF!
250,1,2,0,0,4,0,24,#REF!,#REF!
251,1,1,1,0,1,0,17,#REF!,#REF!
252,2,1,5,0,3,0,27,#REF!,#REF!
253,2,2,3,0,0,0,14,#REF!,#REF!
254,3,1,3,0,3,0,20,#REF!,#REF!
256,1,2,3,0,4,0,35,#REF!,#REF!
257,2,1,4,0,5,1,25,#REF!,#REF!
258,2,0,3,0,0,0,29,#REF!,#REF!
259,2,2,4,4,0,1,36,#REF!,#REF!
260,1,5,6,4,2,2,53,#REF!,#REF!
261,3,2,4,0,0,0,22,#REF!,#REF!
262,0,1,4,0,3,0,29,#REF!,#REF!
264,2,2,3,6,12,1,68,#REF!,#REF!
265,2,1,4,2,3,2,48,#REF!,#REF!
266,2,1,1,0,0,0,18,#REF!,#REF!
267,0,4,6,0,0,1,40,#REF!,#REF!
268,3,0,4,8,6,0,48,#REF!,#REF!
269,3,2,3,5,9,1,67,#REF!,#REF!
271,1,0,5,0,2,0,22,#REF!,#REF!
272,2,0,4,3,3,1,32,#REF!,#REF!
273,1,1,5,0,6,0,29,#REF!,#REF!
275,1,2,5,9,2,1,53,#REF!,#REF!
276,4,1,0,0,1,0,15,#REF!,#REF!
277,1,4,4,2,1,2,45,#REF!,#REF!
278,0,2,0,0,2,0,23,#REF!,#REF!
279,3,1,0,0,0,0,27,#REF!,#REF!
280,2,1,5,0,5,1,29,#REF!,#REF!
281,0,3,4,0,4,1,28,#REF!,#REF!
282,2,3,3,3,10,1,64,#REF!,#REF!
284,0,3,1,0,2,1,25,#REF!,#REF!
285,0,1,2,0,6,0,25,#REF!,#REF!
286,2,5,5,6,2,2,51,#REF!,#REF!
287,2,2,0,4,6,0,42,#REF!,#REF!
288,0,1,4,0,0,3,14,#REF!,#REF!
290,4,1,1,0,3,0,20,#REF!,#REF!
292,3,1,4,0,8,0,45,#REF!,#REF!
294,0,1,4,0,7,0,34,#REF!,#REF!
295,4,1,4,0,0,0,17,#REF!,#REF!
296,0,2,4,0,3,1,22,#REF!,#REF!
297,3,2,0,3,2,4,39,#REF!,#REF!
298,3,4,5,9,5,0,67,#REF!,#REF!
299,3,1,2,0,4,0,41,#REF!,#REF!
300,0,4,0,0,3,1,29,#REF!,#REF!
301,0,1,0,6,10,2,54,#REF!,#REF!
302,4,0,5,0,2,0,22,#REF!,#REF!
303,2,0,4,0,3,0,19,#REF!,#REF!
304,2,2,0,2,4,0,39,#REF!,#REF!
305,4,0,2,0,6,0,28,#REF!,#REF!
306,0,3,3,0,8,1,46,#REF!,#REF!
307,0,2,1,0,3,0,26,#REF!,#REF!
308,0,1,4,4,13,1,64,#REF!,#REF!
309,0,1,0,0,4,0,20,#REF!,#REF!
310,4,0,0,0,3,0,22,#REF!,#REF!
312,3,0,0,0,4,0,21,#REF!,#REF!
313,0,3,4,0,0,0,19,#REF!,#REF!
314,0,3,3,0,15,2,58,#REF!,#REF!
315,1,3,4,6,11,0,60,#REF!,#REF!
316,1,1,3,0,9,1,41,#REF!,#REF!
317,2,1,0,0,4,0,28,#REF!,#REF!
318,0,2,5,0,0,1,21,#REF!,#REF!
319,2,0,3,0,4,0,30,#REF!,#REF!
321,0,2,2,0,2,3,25,#REF!,#REF!
322,0,3,3,0,7,1,38,#REF!,#REF!
323,3,0,0,0,0,0,10,#REF!,#REF!
324,2,1,3,0,0,1,13,#REF!,#REF!
325,0,2,4,0,2,0,24,#REF!,#REF!
328,2,1,3,0,0,0,17,#REF!,#REF!
329,2,2,5,0,6,1,44,#REF!,#REF!
330,2,2,3,0,0,1,20,#REF!,#REF!
331,0,0,0,0,2,0,22,#REF!,#REF!
332,0,1,4,3,7,0,44,#REF!,#REF!
333,0,2,3,0,5,0,38,#REF!,#REF!
334,4,1,4,0,3,0,25,#REF!,#REF!
335,4,0,2,1,2,0,27,#REF!,#REF!
336,0,3,4,0,0,1,23,#REF!,#REF!
337,4,0,4,0,2,1,22,#REF!,#REF!
338,3,1,1,0,0,1,15,#REF!,#REF!
340,2,1,0,0,0,1,23,#REF!,#REF!
341,4,0,3,0,3,0,19,#REF!,#REF!
342,2,1,2,0,6,0,25,#REF!,#REF!
343,2,0,3,0,1,0,23,#REF!,#REF!
344,4,0,2,1,4,0,26,#REF!,#REF!
345,1,1,0,2,2,3,27,#REF!,#REF!
346,3,1,0,0,0,1,10,#REF!,#REF!
347,4,0,3,0,1,1,16,#REF!,#REF!
348,4,1,3,2,2,3,29,#REF!,#REF!
350,1,2,2,0,2,1,22,#REF!,#REF!
351,3,0,2,0,0,0,10,#REF!,#REF!
353,0,2,0,4,2,0,25,#REF!,#REF!
354,2,1,0,0,0,0,20,#REF!,#REF!
355,0,1,0,0,3,0,15,#REF!,#REF!
356,0,1,4,0,3,0,34,#REF!,#REF!
357,3,0,1,0,0,0,12,#REF!,#REF!
358,4,3,0,0,4,1,32,#REF!,#REF!
359,0,2,4,7,4,0,48,#REF!,#REF!
360,3,1,4,0,0,3,23,#REF!,#REF!
361,2,1,0,3,2,1,32,#REF!,#REF!
362,1,0,4,0,0,0,19,#REF!,#REF!
363,1,2,4,0,2,1,24,#REF!,#REF!
364,0,2,3,0,1,4,17,#REF!,#REF!
365,0,1,3,0,0,0,20,#REF!,#REF!
366,0,2,3,6,3,1,41,#REF!,#REF!
368,3,1,0,0,0,1,23,#REF!,#REF!
369,2,0,2,0,0,1,13,#REF!,#REF!
370,3,0,3,0,0,0,11,#REF!,#REF!
371,1,1,1,0,2,1,29,#REF!,#REF!
372,3,2,2,0,6,1,49,#REF!,#REF!
373,3,1,2,0,2,0,23,#REF!,#REF!
374,0,3,2,0,0,1,16,#REF!,#REF!
375,3,1,0,2,7,0,39,#REF!,#REF!
376,0,2,2,0,1,0,20,#REF!,#REF!
377,3,0,0,0,0,2,23,#REF!,#REF!
378,3,1,3,0,0,1,12,#REF!,#REF!
379,0,4,3,2,0,3,42,#REF!,#REF!
381,0,3,3,0,4,0,39,#REF!,#REF!
382,1,2,3,0,0,0,23,#REF!,#REF!
383,2,1,3,0,2,0,25,#REF!,#REF!
384,1,3,3,0,3,4,38,#REF!,#REF!
386,1,1,1,0,4,0,26,#REF!,#REF!
387,2,1,0,0,0,1,12,#REF!,#REF!
388,4,2,3,6,2,2,46,#REF!,#REF!
389,0,5,6,3,0,3,48,#REF!,#REF!
390,3,1,4,0,0,0,15,#REF!,#REF!
391,2,1,1,0,0,0,14,#REF!,#REF!
392,2,2,4,0,5,1,42,#REF!,#REF!
393,1,1,5,0,6,0,36,#REF!,#REF!
394,0,2,0,0,10,0,46,#REF!,#REF!
395,2,2,2,4,6,1,39,#REF!,#REF!
396,0,2,0,0,7,1,28,#REF!,#REF!
397,1,2,0,0,4,0,24,#REF!,#REF!
398,0,1,4,0,8,1,43,#REF!,#REF!
399,1,2,2,0,2,2,25,#REF!,#REF!
400,3,1,3,0,0,4,29,#REF!,#REF!
401,2,0,0,0,0,0,14,#REF!,#REF!
402,1,0,0,0,4,0,20,#REF!,#REF!
403,2,0,4,1,7,1,43,#REF!,#REF!
404,1,3,3,4,10,1,59,#REF!,#REF!
405,1,0,2,0,4,0,34,#REF!,#REF!
406,1,2,2,5,3,1,49,#REF!,#REF!
407,1,3,3,2,10,1,60,#REF!,#REF!
408,1,2,2,2,3,1,36,#REF!,#REF!
409,0,0,4,0,8,0,34,#REF!,#REF!
410,0,1,3,0,6,1,40,#REF!,#REF!
412,4,1,3,2,6,1,47,#REF!,#REF!
413,0,1,3,0,2,1,24,#REF!,#REF!
414,3,1,0,1,6,1,32,#REF!,#REF!
415,3,0,1,0,2,0,17,#REF!,#REF!
416,1,2,5,0,7,1,43,#REF!,#REF!
417,0,2,3,3,5,2,49,#REF!,#REF!
418,2,0,0,0,2,0,13,#REF!,#REF!
419,0,0,0,0,0,1,9,#REF!,#REF!
420,3,1,2,0,5,0,34,#REF!,#REF!
421,1,5,7,5,2,4,59,#REF!,#REF!
422,4,1,0,0,2,0,29,#REF!,#REF!
423,3,0,3,0,7,2,40,#REF!,#REF!
424,0,1,1,8,12,2,55,#REF!,#REF!
425,4,1,2,2,3,1,26,#REF!,#REF!
426,3,1,3,1,2,1,27,#REF!,#REF!
427,1,2,4,0,3,1,52,#REF!,#REF!
428,0,1,2,0,1,0,21,#REF!,#REF!
429,3,3,3,4,0,1,41,#REF!,#REF!
430,4,1,0,2,6,1,40,#REF!,#REF!
431,1,2,0,7,4,1,34,#REF!,#REF!
432,0,0,3,0,2,0,19,#REF!,#REF!
433,2,0,2,0,0,0,9,#REF!,#REF!
434,3,1,0,4,2,2,34,#REF!,#REF!
435,4,2,3,7,2,1,42,#REF!,#REF!
436,4,0,2,0,5,0,29,#REF!,#REF!
437,1,2,4,3,5,3,44,#REF!,#REF!
438,0,1,3,0,0,0,9,#REF!,#REF!
440,1,1,3,0,0,1,15,#REF!,#REF!
442,2,3,4,7,5,0,50,#REF!,#REF!
443,1,0,4,0,3,0,28,#REF!,#REF!
444,0,3,3,2,0,2,26,#REF!,#REF!
445,3,2,3,0,5,1,37,#REF!,#REF!
447,0,4,5,0,12,0,59,#REF!,#REF!
448,1,1,2,0,3,0,16,#REF!,#REF!
449,1,1,1,0,0,3,23,#REF!,#REF!
450,2,1,0,0,0,0,21,#REF!,#REF!
451,2,2,4,0,2,1,30,#REF!,#REF!
452,0,3,4,4,17,0,67,#REF!,#REF!
454,0,1,0,0,6,0,22,#REF!,#REF!
456,1,6,7,4,10,3,75,#REF!,#REF!
457,2,1,3,0,11,3,40,#REF!,#REF!
458,2,1,3,0,4,0,33,#REF!,#REF!
459,1,3,4,8,10,0,61,#REF!,#REF!
461,0,3,6,0,0,1,38,#REF!,#REF!
462,2,2,6,0,1,3,36,#REF!,#REF!
463,0,2,2,0,8,1,31,#REF!,#REF!
464,0,3,5,8,5,2,58,#REF!,#REF!
465,4,1,4,0,0,0,17,#REF!,#REF!
466,0,1,2,0,2,0,15,#REF!,#REF!
467,4,2,0,0,1,1,26,#REF!,#REF!
468,3,1,4,0,1,0,22,#REF!,#REF!
469,1,1,1,0,2,0,21,#REF!,#REF!
470,2,2,4,0,8,0,46,#REF!,#REF!
471,4,2,3,1,2,0,37,#REF!,#REF!
472,1,4,4,8,0,2,48,#REF!,#REF!
475,1,2,3,1,6,0,38,#REF!,#REF!
476,0,2,6,0,0,4,24,#REF!,#REF!
477,3,1,4,0,6,0,35,#REF!,#REF!
479,4,3,4,6,3,2,49,#REF!,#REF!
481,0,3,4,4,3,2,37,#REF!,#REF!
483,2,3,2,2,2,0,32,#REF!,#REF!
484,1,2,3,6,3,0,30,#REF!,#REF!
485,3,0,3,0,3,0,22,#REF!,#REF!
486,1,1,1,0,4,0,22,#REF!,#REF!
488,4,1,2,2,0,0,25,#REF!,#REF!
489,2,1,0,0,6,0,25,#REF!,#REF!
490,3,1,1,0,3,1,23,#REF!,#REF!
491,0,3,3,2,9,2,58,#REF!,#REF!
492,3,0,3,0,3,0,22,#REF!,#REF!
493,2,1,2,7,4,1,42,#REF!,#REF!
494,1,1,0,0,2,0,24,#REF!,#REF!
495,1,2,0,0,0,0,18,#REF!,#REF!
497,2,2,3,1,4,1,28,#REF!,#REF!
498,1,0,2,0,2,0,15,#REF!,#REF!
499,2,3,0,0,0,0,23,#REF!,#REF!
500,0,2,4,8,8,4,75,#REF!,#REF!
501,3,1,4,0,4,1,46,#REF!,#REF!
502,1,1,2,0,3,0,23,#REF!,#REF!
504,2,1,2,0,3,3,23,#REF!,#REF!
505,2,0,0,0,4,0,23,#REF!,#REF!
506,4,0,0,0,6,0,23,#REF!,#REF!
507,2,1,0,0,6,2,36,#REF!,#REF!
508,0,2,4,3,0,0,25,#REF!,#REF!
510,4,1,4,2,10,1,69,#REF!,#REF!
511,1,3,4,0,11,3,73,#REF!,#REF!
512,2,3,7,9,7,4,84,#REF!,#REF!
513,3,1,4,5,4,2,53,#REF!,#REF!
514,0,1,2,0,0,0,19,#REF!,#REF!
515,2,1,2,0,4,0,36,#REF!,#REF!
516,4,3,0,0,7,0,35,#REF!,#REF!
517,1,5,4,3,0,5,53,#REF!,#REF!
518,2,1,3,4,3,2,29,#REF!,#REF!
519,2,1,4,0,6,0,29,#REF!,#REF!
520,4,2,4,4,7,0,43,#REF!,#REF!
521,3,0,0,0,3,0,21,#REF!,#REF!
522,0,4,5,3,3,3,54,#REF!,#REF!
523,4,1,4,7,3,2,39,#REF!,#REF!
524,3,0,2,0,3,2,25,#REF!,#REF!
525,3,0,5,0,3,1,23,#REF!,#REF!
526,2,1,2,1,0,0,11,#REF!,#REF!
527,0,1,3,0,0,0,12,#REF!,#REF!
528,4,1,3,2,4,1,42,#REF!,#REF!
529,1,2,2,0,4,4,30,#REF!,#REF!
530,2,1,1,1,2,0,20,#REF!,#REF!
531,2,0,1,0,0,0,18,#REF!,#REF!
532,1,1,2,0,0,0,21,#REF!,#REF!
533,4,1,1,0,4,0,22,#REF!,#REF!
535,4,3,4,5,5,1,52,#REF!,#REF!
536,3,1,4,2,7,0,51,#REF!,#REF!
537,3,3,2,0,0,1,32,#REF!,#REF!
538,1,1,3,6,2,0,29,#REF!,#REF!
539,3,0,0,0,0,0,9,#REF!,#REF!
540,2,0,1,0,4,0,23,#REF!,#REF!
541,4,1,2,0,6,0,33,#REF!,#REF!
542,4,0,0,0,4,0,24,#REF!,#REF!
543,2,1,1,0,0,0,17,#REF!,#REF!
544,1,2,0,4,6,3,64,#REF!,#REF!
546,3,1,3,3,1,0,23,#REF!,#REF!
547,4,2,1,4,3,3,41,#REF!,#REF!
548,3,1,3,2,0,0,26,#REF!,#REF!
549,1,5,8,12,21,3,123,#REF!,#REF!
550,2,1,1,0,3,0,17,#REF!,#REF!
551,3,2,1,0,0,1,30,#REF!,#REF!
553,4,1,8,0,6,0,37,#REF!,#REF!
555,4,0,4,0,3,0,33,#REF!,#REF!
556,0,1,3,0,5,0,34,#REF!,#REF!
557,1,3,5,3,6,2,57,#REF!,#REF!
558,1,1,4,0,0,0,14,#REF!,#REF!
559,0,1,3,0,4,0,28,#REF!,#REF!
560,1,1,0,4,2,0,29,#REF!,#REF!
561,2,1,5,0,0,0,19,#REF!,#REF!
562,1,1,1,5,0,1,23,#REF!,#REF!
563,3,4,4,0,3,2,35,#REF!,#REF!
564,2,4,6,7,0,2,50,#REF!,#REF!
565,2,2,3,0,4,1,34,#REF!,#REF!
566,2,1,2,0,4,0,27,#REF!,#REF!
568,3,2,3,0,4,0,25,#REF!,#REF!
569,3,1,4,6,5,1,45,#REF!,#REF!
571,3,0,0,2,5,1,41,#REF!,#REF!
572,1,1,2,0,4,2,28,#REF!,#REF!
573,0,3,1,0,2,0,20,#REF!,#REF!
574,2,3,4,0,7,1,39,#REF!,#REF!
575,1,2,2,0,6,2,28,#REF!,#REF!
576,1,1,5,3,0,0,33,#REF!,#REF!
577,1,1,3,4,0,0,32,#REF!,#REF!
578,1,0,3,0,5,0,27,#REF!,#REF!
579,0,1,4,8,6,1,40,#REF!,#REF!
580,2,1,1,0,4,3,35,#REF!,#REF!
581,0,2,3,2,1,3,37,#REF!,#REF!
582,0,3,4,0,2,0,26,#REF!,#REF!
583,1,1,5,0,7,1,33,#REF!,#REF!
584,1,0,5,0,5,0,31,#REF!,#REF!
585,0,1,1,0,3,0,21,#REF!,#REF!
586,1,2,4,3,10,2,63,#REF!,#REF!
587,0,2,4,4,8,1,43,#REF!,#REF!
588,3,0,4,0,0,2,30,#REF!,#REF!
589,2,1,4,0,4,1,30,#REF!,#REF!
