Store,Dept,Inventory Dollars,Format
203,80,8135.79,WM Supercenter
204,80,16817.68,WM Supercenter
205,80,14456.05,WM Supercenter
206,80,14285.16,WM Supercenter
207,80,2414.34,WM Supercenter
211,80,9616.42,WM Supercenter
212,80,13164.45,WM Supercenter
213,80,31685.47,WM Supercenter
214,80,11159.87,WM Supercenter
216,80,21219.71,WM Supercenter
217,80,13932.69,WM Supercenter
218,80,1883.03,WM Supercenter
219,80,18905.71,WM Supercenter
220,80,10059.75,WM Supercenter
221,80,9630.42,WM Supercenter
222,80,13287.7,WM Supercenter
224,80,14976.58,WM Supercenter
225,80,14473.65,WM Supercenter
226,80,9079.11,WM Supercenter
227,80,12373.04,WM Supercenter
228,80,17943.41,WM Supercenter
229,80,11179.53,WM Supercenter
231,80,21435.8,WM Supercenter
233,80,11274.81,WM Supercenter
234,80,18496.38,WM Supercenter
236,80,11037.19,WM Supercenter
237,80,15415.17,WM Supercenter
238,80,19248.31,WM Supercenter
239,80,8252.16,WM Supercenter
240,80,7246.83,WM Supercenter
242,80,8834.58,WM Supercenter
243,80,19793.83,WM Supercenter
244,80,8564.23,WM Supercenter
246,80,8907.25,WM Supercenter
248,80,7540.58,WM Supercenter
249,80,13665.82,WM Supercenter
250,80,10325.94,WM Supercenter
251,80,15260.65,WM Supercenter
252,80,13858.8,WM Supercenter
253,80,12053.09,WM Supercenter
254,80,12138.49,WM Supercenter
256,80,29044.57,WM Supercenter
257,80,11052.27,WM Supercenter
258,80,18069.69,WM Supercenter
259,80,10546.5,WM Supercenter
260,80,10986.79,WM Supercenter
261,80,21021.07,WM Supercenter
262,80,11991.15,WM Supercenter
264,80,16840.12,WM Supercenter
265,80,16486.08,WM Supercenter
266,80,14575.91,WM Supercenter
267,80,15422.66,WM Supercenter
268,80,18939.88,WM Supercenter
269,80,19996.28,WM Supercenter
271,80,6047.13,WM Supercenter
272,80,21221.47,WM Supercenter
273,80,11054.71,WM Supercenter
275,80,14209.01,WM Supercenter
276,80,10456.43,WM Supercenter
277,80,24149.55,WM Supercenter
278,80,16442.33,WM Supercenter
279,80,11832.33,WM Supercenter
280,80,6176.01,WM Supercenter
281,80,12023.43,WM Supercenter
282,80,16718.95,WM Supercenter
284,80,29731.53,WM Supercenter
285,80,12568.39,WM Supercenter
286,80,22374.99,WM Supercenter
287,80,11556.93,WM Supercenter
288,80,14077.77,WM Supercenter
290,80,7987.21,WM Supercenter
292,80,4711.12,WM Supercenter
294,80,13255.06,WM Supercenter
295,80,16832.87,WM Supercenter
296,80,10956.41,WM Supercenter
297,80,12026.56,WM Supercenter
298,80,23636.2,WM Supercenter
299,80,18615.14,WM Supercenter
300,80,13234.34,WM Supercenter
301,80,30701.79,WM Supercenter
302,80,13270.82,WM Supercenter
303,80,11805.3,WM Supercenter
304,80,22258.57,WM Supercenter
305,80,14838.68,WM Supercenter
306,80,15191.14,WM Supercenter
307,80,11195.57,WM Supercenter
308,80,13285.91,WM Supercenter
309,80,14816.19,WM Supercenter
310,80,15833.79,WM Supercenter
312,80,8835.81,WM Supercenter
313,80,15042.97,WM Supercenter
314,80,15685,WM Supercenter
315,80,16278.43,WM Supercenter
316,80,10580.73,WM Supercenter
317,80,12731.3,WM Supercenter
318,80,17693.81,WM Supercenter
319,80,16625.81,WM Supercenter
321,80,8772.24,WM Supercenter
322,80,11783.15,WM Supercenter
323,80,7498.31,WM Supercenter
324,80,9623.35,WM Supercenter
325,80,14803.6,WM Supercenter
328,80,14863.97,WM Supercenter
329,80,14320.85,WM Supercenter
