flag,store_nbr,Estimated In-store Week,Estimated Receipt Qty,Direct to Store Receipt Qty,Direct to Store PO Nbr
1,1,WK4,19,0,
1,1,WK6,4,0,
1,2,WK4,83,0,
1,2,WK6,0,123,
1,2,WK7,6,0,
1,2,WK8,26,0,
1,2,WK14,0,114,
1,3,WK4,30,0,
1,3,WK6,3,0,
1,4,WK4,31,0,
1,4,WK6,0,124,
1,4,WK8,13,0,
1,4,WK14,0,133,
1,5,WK4,31,0,
1,7,WK4,35,0,
1,8,WK4,24,0,
1,9,WK4,22,0,
1,9,WK6,4,0,
1,10,WK4,71,0,
1,10,WK6,0,123,
1,10,WK7,6,0,
1,10,WK8,19,0,
1,10,WK15,0,113,
1,10,WK20,0,103,
1,11,WK4,76,117,
1,11,WK5,12,0,
1,11,WK6,13,0,
1,11,WK11,0,105,
1,11,WK14,0,141,
1,11,WK20,0,123,
1,12,WK4,19,0,
1,12,WK6,4,0,
1,13,WK4,45,0,
1,13,WK6,10,0,
1,13,WK7,2,0,
1,13,WK8,2,0,
1,14,WK4,63,0,
1,14,WK7,2,123,
1,14,WK8,16,0,
1,14,WK9,3,0,
1,14,WK15,0,96,
1,15,WK4,71,0,
1,15,WK7,2,123,
1,15,WK8,18,0,
1,15,WK9,14,0,
1,15,WK16,0,123,
1,15,WK21,0,96,
1,16,WK4,28,0,
1,16,WK6,7,0,
1,17,WK4,29,0,
1,17,WK6,3,0,
1,19,WK4,26,124,
1,19,WK5,6,0,
1,19,WK6,1,0,
1,19,WK14,0,132,
1,20,WK4,20,0,
1,20,WK6,10,0,
1,20,WK7,8,0,
1,21,WK4,19,0,
1,21,WK6,10,0,
1,21,WK7,16,0,
1,22,WK4,21,0,
1,22,WK6,5,0,
1,23,WK4,29,0,
1,25,WK4,19,0,
1,25,WK6,3,0,
1,25,WK7,6,0,
1,26,WK4,22,0,
1,26,WK6,4,0,
1,26,WK7,7,0,
1,27,WK4,54,0,
1,27,WK7,2,123,
1,27,WK8,4,0,
1,27,WK9,1,0,
1,28,WK4,26,0,
1,28,WK6,4,0,
1,32,WK4,35,0,
1,32,WK6,3,0,
1,32,WK7,1,0,
1,32,WK8,1,0,
1,35,WK4,44,0,
1,35,WK6,5,0,
1,35,WK7,12,0,
1,35,WK8,6,0,
1,36,WK4,48,0,
1,36,WK6,5,0,
1,37,WK4,67,0,
1,37,WK7,2,123,
1,37,WK8,14,0,
1,37,WK9,3,0,
1,37,WK15,0,115,
1,38,WK4,23,0,
1,39,WK4,18,0,
1,39,WK6,3,0,
1,39,WK7,6,0,
1,40,WK4,33,0,
1,40,WK6,3,0,
1,40,WK7,12,0,
1,40,WK8,2,0,
1,41,WK4,21,0,
1,41,WK6,4,0,
1,42,WK4,26,0,
1,42,WK6,4,0,
1,43,WK4,46,0,
1,43,WK6,5,0,
1,43,WK7,12,0,
1,43,WK8,6,0,
1,45,WK4,29,0,
1,46,WK4,34,0,
1,46,WK7,0,124,
1,46,WK8,11,0,
1,47,WK4,13,0,
1,47,WK6,3,0,
1,48,WK4,19,0,
1,48,WK6,4,0,
1,49,WK4,31,124,
1,49,WK5,6,0,
1,50,WK4,18,0,
1,50,WK6,4,0,
1,52,WK4,66,0,
1,52,WK5,6,0,
1,52,WK6,1,0,
1,54,WK4,19,0,
1,54,WK6,4,0,
1,56,WK4,34,0,
1,56,WK6,12,0,
1,56,WK7,10,0,
1,56,WK8,2,0,
1,56,WK9,4,0,
1,58,WK4,77,110,
1,58,WK5,6,0,
1,58,WK6,8,0,
1,58,WK14,0,102,
1,58,WK20,0,103,
1,59,WK4,42,0,
1,59,WK6,5,0,
1,59,WK7,2,0,
1,59,WK8,2,0,
1,60,WK4,29,0,
1,60,WK6,3,0,
1,60,WK7,10,0,
1,60,WK8,1,0,
1,60,WK9,1,0,
1,61,WK4,45,0,
1,61,WK6,5,0,
1,61,WK7,12,0,
1,61,WK8,6,0,
1,63,WK4,42,0,
1,63,WK6,5,0,
1,63,WK7,2,0,
1,63,WK8,2,0,
1,65,WK4,37,0,
1,65,WK6,13,0,
1,65,WK7,11,0,
1,65,WK8,3,0,
1,65,WK9,7,0,
1,66,WK4,65,0,
1,66,WK6,0,123,
1,66,WK7,3,0,
1,66,WK8,18,0,
1,66,WK14,0,113,
1,67,WK4,21,0,
1,67,WK6,7,0,
1,69,WK4,18,0,
1,69,WK6,9,0,
1,69,WK7,8,0,
1,71,WK4,48,0,
1,71,WK6,4,0,
1,72,WK4,19,0,
1,72,WK6,4,0,
1,73,WK4,25,0,
1,73,WK6,3,0,
1,75,WK4,43,0,
1,76,WK4,21,0,
1,76,WK6,7,0,
1,77,WK4,55,0,
1,78,WK4,29,0,
1,78,WK6,5,0,
1,78,WK7,11,0,
1,78,WK8,1,0,
1,78,WK9,2,0,
1,79,WK4,53,0,
1,79,WK6,0,123,
1,79,WK7,4,0,
1,79,WK8,2,0,
1,81,WK4,24,0,
1,81,WK6,4,0,
1,82,WK4,36,0,
1,82,WK6,6,0,
1,82,WK7,10,0,
1,82,WK8,2,0,
1,82,WK9,2,0,
1,85,WK4,23,0,
1,86,WK4,13,0,
1,86,WK6,3,0,
1,86,WK7,6,0,
1,87,WK4,23,0,
1,88,WK4,18,0,
1,88,WK6,3,0,
1,88,WK7,6,0,
1,89,WK4,70,0,
1,89,WK7,2,123,
1,89,WK8,17,0,
1,89,WK9,5,0,
1,89,WK15,0,114,
1,89,WK21,0,103,
1,90,WK4,38,0,
1,90,WK6,0,124,
1,90,WK7,6,0,
1,90,WK8,3,0,
1,92,WK4,42,0,
1,92,WK6,5,0,
1,92,WK7,2,0,
1,92,WK8,2,0,
1,93,WK4,30,0,
1,95,WK4,71,0,
1,95,WK7,1,123,
1,95,WK8,8,0,
1,95,WK9,3,0,
1,96,WK4,20,0,
1,96,WK6,3,0,
1,96,WK7,6,0,
1,98,WK4,31,0,
1,99,WK4,29,0,
1,99,WK6,4,0,
1,99,WK7,10,0,
1,99,WK8,1,0,
1,99,WK9,2,0,
1,100,WK4,46,0,
1,100,WK6,10,0,
1,100,WK7,2,0,
1,100,WK8,7,0,
1,101,WK4,73,0,
1,101,WK7,2,123,
1,101,WK8,15,0,
1,101,WK9,3,0,
1,101,WK16,0,114,
1,101,WK21,0,96,
1,103,WK4,21,0,
1,103,WK6,4,0,
1,104,WK4,46,0,
1,104,WK6,5,0,
1,104,WK7,2,0,
1,104,WK8,1,0,
1,105,WK4,47,0,
1,105,WK5,3,0,
1,107,WK4,46,0,
1,107,WK6,5,0,
1,107,WK7,2,0,
1,107,WK8,2,0,
1,108,WK4,20,0,
1,108,WK6,4,0,
1,109,WK4,20,0,
1,109,WK6,3,0,
1,109,WK7,7,0,
1,112,WK4,31,0,
1,113,WK4,48,0,
1,113,WK5,8,0,
1,113,WK6,9,0,
1,114,WK4,54,0,
1,114,WK5,3,0,
1,117,WK4,63,117,
1,117,WK5,12,0,
1,117,WK6,7,0,
1,118,WK4,31,0,
1,119,WK4,65,117,
1,119,WK5,6,0,
1,119,WK6,13,0,
1,119,WK14,0,123,
1,119,WK20,0,132,
1,121,WK4,20,0,
1,121,WK6,4,0,
1,122,WK4,23,0,
1,122,WK6,3,0,
1,122,WK7,6,0,
1,125,WK4,40,0,
1,125,WK6,5,0,
1,125,WK7,2,0,
1,125,WK8,2,0,
1,126,WK4,33,0,
1,127,WK4,21,0,
1,128,WK4,23,0,
1,129,WK4,36,0,
1,129,WK5,13,0,
1,129,WK6,7,0,
1,131,WK4,47,116,
1,131,WK5,5,0,
1,134,WK4,48,0,
1,134,WK5,6,109,
1,135,WK4,36,0,
1,135,WK6,2,0,
1,135,WK7,9,0,
1,135,WK8,2,0,
1,135,WK9,2,0,
1,137,WK4,50,0,
1,137,WK6,5,0,
1,137,WK7,2,0,
1,137,WK8,1,0,
1,138,WK4,37,0,
1,138,WK7,0,124,
1,138,WK8,3,0,
1,138,WK9,7,0,
1,139,WK4,48,0,
1,139,WK5,3,0,
1,139,WK6,7,0,
1,140,WK4,50,0,
1,140,WK5,10,0,
1,141,WK4,20,0,
1,141,WK6,4,0,
1,143,WK4,59,0,
1,143,WK6,0,123,
1,143,WK7,5,0,
1,143,WK8,2,0,
1,144,WK4,42,0,
1,144,WK6,8,0,
1,144,WK7,2,0,
1,144,WK8,7,0,
1,146,WK4,54,0,
1,146,WK5,7,0,
1,147,WK4,53,0,
1,147,WK5,8,103,
1,147,WK6,2,0,
1,148,WK4,29,117,
1,148,WK5,10,0,
1,149,WK4,33,0,
1,151,WK4,46,0,
1,151,WK6,8,0,
1,151,WK7,4,0,
1,151,WK8,3,0,
1,152,WK4,21,0,
1,152,WK6,10,0,
1,152,WK7,14,0,
1,153,WK4,26,0,
1,154,WK4,61,0,
1,154,WK6,0,123,
1,154,WK7,3,0,
1,154,WK8,26,0,
1,155,WK4,31,0,
1,157,WK4,33,0,
1,158,WK4,56,0,
1,158,WK5,8,0,
1,159,WK4,27,0,
1,159,WK6,4,0,
1,159,WK7,10,0,
1,159,WK8,1,0,
1,159,WK9,1,0,
1,160,WK4,72,110,
1,160,WK5,12,0,
1,160,WK6,13,0,
1,160,WK11,0,105,
1,160,WK14,0,124,
1,160,WK20,0,113,
1,161,WK4,62,0,
1,161,WK6,0,123,
1,161,WK7,6,0,
1,161,WK8,1,0,
1,163,WK4,56,0,
1,163,WK5,10,0,
1,165,WK4,19,0,
1,166,WK4,34,0,
1,166,WK6,13,0,
1,166,WK7,13,0,
1,166,WK8,6,0,
1,166,WK9,1,0,
1,167,WK4,27,0,
1,168,WK4,20,0,
1,168,WK6,4,0,
1,170,WK4,31,0,
1,172,WK4,34,0,
1,172,WK6,5,0,
1,172,WK7,10,0,
1,172,WK8,2,0,
1,172,WK9,2,0,
1,173,WK4,33,0,
1,173,WK6,5,0,
1,173,WK7,10,0,
1,173,WK8,1,0,
1,173,WK9,7,0,
1,174,WK4,23,0,
1,177,WK4,65,0,
1,177,WK5,0,123,
1,177,WK7,8,0,
1,177,WK8,2,0,
1,179,WK4,43,0,
1,179,WK6,5,0,
1,179,WK7,2,0,
1,179,WK8,2,0,
1,180,WK4,56,0,
1,180,WK5,8,0,
1,181,WK4,29,0,
1,182,WK4,46,0,
1,182,WK6,3,0,
1,184,WK4,20,0,
1,184,WK6,3,0,
1,184,WK7,6,0,
1,185,WK4,38,0,
1,185,WK5,3,0,
1,185,WK6,11,0,
1,186,WK4,22,0,
1,186,WK6,3,0,
1,186,WK7,6,0,
1,188,WK4,19,0,
1,188,WK6,3,0,
1,188,WK7,6,0,
1,189,WK4,48,0,
1,189,WK6,5,0,
1,189,WK7,10,0,
1,189,WK8,6,0,
1,189,WK9,3,0,
1,190,WK4,33,0,
1,192,WK4,22,0,
1,192,WK6,5,0,
1,194,WK4,33,0,
1,195,WK4,17,0,
1,195,WK6,3,0,
1,195,WK7,6,0,
1,196,WK4,28,0,
1,196,WK6,3,0,
1,202,WK4,30,0,
1,202,WK5,3,0,
1,202,WK6,5,0,
1,204,WK4,22,0,
1,204,WK6,5,0,
1,205,WK4,46,0,
1,206,WK4,29,0,
1,206,WK5,3,0,
1,206,WK6,5,0,
1,207,WK4,26,0,
1,207,WK6,3,0,
1,211,WK4,48,0,
1,211,WK5,7,0,
1,212,WK4,36,0,
1,212,WK5,10,0,
1,212,WK6,7,0,
1,213,WK4,32,0,
1,213,WK6,3,0,
1,213,WK7,6,0,
1,214,WK4,41,116,
1,214,WK5,6,0,
1,216,WK4,23,0,
1,216,WK6,4,0,
1,217,WK4,28,0,
1,217,WK5,3,0,
1,217,WK6,5,0,
1,219,WK4,17,0,
1,219,WK6,9,0,
1,219,WK7,9,0,
1,220,WK4,48,0,
1,220,WK5,8,0,
1,220,WK6,11,0,
1,221,WK4,20,0,
1,221,WK6,4,0,
1,222,WK4,20,0,
1,222,WK6,3,0,
1,222,WK7,6,0,
1,225,WK4,34,0,
1,225,WK5,11,0,
1,225,WK6,7,0,
1,226,WK4,57,0,
1,226,WK5,7,0,
1,228,WK4,40,0,
1,228,WK5,1,0,
1,230,WK4,27,0,
1,230,WK6,2,0,
1,231,WK4,27,0,
1,231,WK5,3,0,
1,231,WK6,7,0,
1,232,WK4,50,0,
1,232,WK5,7,0,
1,232,WK6,8,0,
1,234,WK4,22,0,
1,234,WK6,3,0,
1,234,WK7,6,0,
1,236,WK4,33,0,
1,237,WK4,24,0,
1,237,WK6,5,0,
1,238,WK4,59,110,
1,238,WK5,14,0,
1,242,WK4,47,0,
1,242,WK6,5,0,
1,242,WK7,11,0,
1,242,WK8,6,0,
1,243,WK4,20,0,
1,243,WK6,3,0,
1,243,WK7,6,0,
1,246,WK4,19,0,
1,246,WK6,3,0,
1,247,WK4,27,0,
1,247,WK6,3,0,
1,248,WK4,48,0,
1,248,WK5,5,0,
1,249,WK4,101,0,
1,250,WK4,61,0,
1,250,WK7,1,123,
1,250,WK8,14,0,
1,250,WK9,3,0,
1,251,WK4,48,0,
1,251,WK5,9,0,
1,252,WK4,19,0,
1,252,WK6,3,0,
1,252,WK7,6,0,
1,256,WK4,20,0,
1,256,WK6,3,0,
1,256,WK7,6,0,
1,257,WK4,26,0,
1,257,WK6,3,0,
1,258,WK4,34,0,
1,259,WK4,21,0,
1,260,WK4,41,0,
1,260,WK5,3,0,
1,261,WK4,21,0,
1,262,WK4,45,0,
1,262,WK6,5,0,
1,262,WK7,1,0,
1,262,WK8,1,0,
1,264,WK4,61,0,
1,264,WK5,0,123,
1,264,WK7,9,0,
1,264,WK8,2,0,
1,265,WK4,21,0,
1,266,WK4,37,0,
