Store,Install Date
38,6/22/2022
63,6/22/2022
389,6/19/2022
976,6/19/2022
989,6/20/2022
1225,6/20/2022
1311,6/23/2022
1443,6/20/2022
1816,6/23/2022
1963,6/20/2022
1972,6/23/2022
2044,6/22/2022
2133,6/20/2022
2185,6/20/2022
2440,6/19/2022
2473,6/22/2022
2559,6/19/2022
2596,6/21/2022
2663,6/21/2022
2794,6/22/2022
2870,6/22/2022
2920,6/20/2022
3765,6/20/2022
3782,6/20/2022
4048,6/23/2022
4215,6/20/2022
4490,6/22/2022
4655,6/21/2022
5381,6/19/2022
5629,6/20/2022
5760,6/23/2022
7194,6/20/2022
7361,6/20/2022
