Store #,ETA
910,Aug. 8
982,Aug. 8
1012,Aug. 8
1020,Aug. 8
1228,Aug. 8
1407,Aug. 8
1432,Aug. 8
1447,Aug. 8
1453,Aug. 8
1473,Aug. 8
1528,Aug. 8
1529,Aug. 8
1581,Aug. 8
1607,Aug. 8
1609,Aug. 8
1627,Aug. 8
1632,Aug. 8
1634,Aug. 8
1635,Aug. 8
1643,Aug. 8
1654,Aug. 8
1657,Aug. 8
1698,Aug. 8
1707,Aug. 8
1722,Aug. 8
1735,Aug. 8
1754,Aug. 8
1762,Aug. 8
1765,Aug. 8
1770,Aug. 8
1776,Aug. 8
1828,Aug. 8
1830,Aug. 8
1856,Aug. 8
1861,Aug. 8
1871,Aug. 8
1885,Aug. 8
1897,Aug. 8
1909,Aug. 8
1927,Aug. 8
1929,Aug. 8
1982,Aug. 8
1994,Aug. 8
2023,Aug. 8
2040,Aug. 8
2086,Aug. 8
2087,Aug. 8
2088,Aug. 8
2092,Aug. 8
2116,Aug. 8
2130,Aug. 8
2152,Aug. 8
2155,Aug. 8
2183,Aug. 8
2211,Aug. 8
2225,Aug. 8
2230,Aug. 8
2355,Aug. 8
2370,Aug. 8
2371,Aug. 8
2417,Aug. 8
2420,Aug. 8
2421,Aug. 8
2445,Aug. 8
2471,Aug. 8
2481,Aug. 8
2502,Aug. 8
2506,Aug. 8
2522,Aug. 8
2532,Aug. 8
2540,Aug. 8
2559,Aug. 8
2588,Aug. 8
2597,Aug. 8
2629,Aug. 8
2643,Aug. 8
2644,Aug. 8
2651,Aug. 8
2692,Aug. 8
2725,Aug. 8
2774,Aug. 8
2874,Aug. 8
2937,Aug. 8
2953,Aug. 8
2956,Aug. 8
3212,Aug. 8
3334,Aug. 8
3364,Aug. 8
3404,Aug. 8
3409,Aug. 8
3469,Aug. 8
3475,Aug. 8
3497,Aug. 8
3498,Aug. 8
3541,Aug. 8
3564,Aug. 8
3607,Aug. 8
3725,Aug. 8
3738,Aug. 8
3761,Aug. 8
3790,Aug. 8
3810,Aug. 8
3812,Aug. 8
3830,Aug. 8
3857,Aug. 8
4244,Aug. 8
4246,Aug. 8
4352,Aug. 8
4387,Aug. 8
4403,Aug. 8
4501,Aug. 8
4531,Aug. 8
4570,Aug. 8
4597,Aug. 8
4643,Aug. 8
4849,Aug. 8
5012,Aug. 8
5040,Aug. 8
5060,Aug. 8
5064,Aug. 8
5097,Aug. 8
5159,Aug. 8
5184,Aug. 8
5239,Aug. 8
5241,Aug. 8
5278,Aug. 8
5294,Aug. 8
5414,Aug. 8
5432,Aug. 8
5439,Aug. 8
5448,Aug. 8
5469,Aug. 8
5472,Aug. 8
5476,Aug. 8
5667,Aug. 8
5732,Aug. 8
5806,Aug. 8
5992,Aug. 8
