store_nbr,Estimated In-store Week,Estimated Receipt Qty,Direct to Store Receipt Qty,Direct to Store PO Nbr
1,WK07,25,0,
2,WK07,25,95,
2,WK08,6,0,
3,WK07,8,0,
4,WK07,18,95,
4,WK08,6,0,
5,WK07,12,0,
7,WK07,2,0,
8,WK07,7,0,
9,WK07,11,0,
10,WK07,20,0,
10,WK08,10,0,
11,WK07,12,0,
11,WK08,5,0,
12,WK07,17,0,
13,WK07,14,0,
14,WK07,17,0,
14,WK08,8,0,
15,WK07,13,105,
15,WK08,8,0,
16,WK07,16,0,
17,WK07,20,0,
19,WK07,11,96,
20,WK07,32,0,
20,WK08,4,0,
21,WK07,16,0,
21,WK08,4,0,
22,WK07,17,0,
23,WK07,22,0,
25,WK07,4,0,
26,WK07,14,0,
26,WK08,1,0,
27,WK07,10,0,
27,WK08,6,0,
28,WK07,17,0,
30,WK07,8,0,
32,WK07,7,0,
34,WK07,8,0,
35,WK07,9,0,
35,WK10,1,0,
36,WK07,14,0,
37,WK07,17,118,
37,WK08,5,0,
38,WK07,8,0,
39,WK07,12,0,
39,WK10,2,0,
40,WK07,17,0,
40,WK08,3,0,
41,WK07,7,0,
42,WK07,7,0,
43,WK07,10,0,
45,WK07,7,0,
46,WK07,19,89,
46,WK08,4,0,
47,WK07,4,0,
48,WK07,6,0,
49,WK07,7,0,
50,WK07,9,0,
52,WK07,16,0,
54,WK07,8,0,
56,WK07,17,83,
56,WK08,3,0,
58,WK07,31,0,
58,WK08,4,0,
59,WK07,33,0,
59,WK08,4,0,
59,WK13,0,105,
60,WK07,14,0,
60,WK08,2,0,
61,WK07,29,0,
61,WK08,4,0,
63,WK07,16,0,
65,WK07,33,0,
65,WK08,4,0,
66,WK07,28,0,
66,WK08,6,0,
67,WK07,48,0,
67,WK08,4,0,
69,WK07,16,97,
69,WK08,3,0,
71,WK07,21,0,
72,WK07,8,0,
73,WK07,5,0,
75,WK07,5,0,
76,WK07,33,0,
76,WK08,4,0,
77,WK07,9,0,
77,WK08,1,0,
78,WK07,4,0,
79,WK07,31,0,
79,WK08,8,0,
81,WK07,6,0,
82,WK07,15,96,
82,WK08,3,0,
85,WK07,8,0,
86,WK07,26,0,
86,WK08,4,0,
87,WK07,6,0,
88,WK07,6,0,
89,WK07,21,0,
89,WK08,8,0,
90,WK07,11,83,
90,WK08,3,0,
92,WK07,29,0,
92,WK08,4,0,
93,WK07,5,0,
95,WK07,13,97,
95,WK08,5,0,
96,WK07,9,0,
98,WK07,3,0,
99,WK07,9,0,
100,WK07,43,0,
100,WK08,3,0,
101,WK07,16,0,
101,WK08,5,0,
103,WK07,15,0,
104,WK07,15,0,
105,WK07,14,0,
107,WK07,15,0,
108,WK07,6,0,
109,WK07,8,0,
112,WK07,6,0,
113,WK07,11,0,
114,WK07,6,0,
117,WK07,14,0,
117,WK08,4,0,
118,WK07,7,0,
119,WK07,30,0,
119,WK08,5,0,
121,WK07,7,0,
122,WK07,8,0,
122,WK08,2,0,
125,WK07,39,0,
125,WK08,5,0,
126,WK07,4,0,
127,WK07,8,0,
128,WK07,9,0,
129,WK07,14,0,
129,WK08,3,0,
131,WK07,14,102,
131,WK08,1,0,
134,WK07,17,0,
134,WK08,6,0,
135,WK07,12,0,
135,WK10,9,0,
137,WK07,14,0,
138,WK07,15,108,
138,WK08,4,0,
139,WK07,23,0,
140,WK07,7,0,
141,WK07,16,0,
143,WK07,10,0,
143,WK08,2,0,
144,WK07,29,0,
144,WK08,3,0,
146,WK07,9,0,
147,WK07,27,0,
148,WK07,14,109,
148,WK08,1,0,
149,WK07,5,0,
151,WK07,29,0,
151,WK08,3,0,
152,WK07,31,82,
152,WK08,4,0,
153,WK07,1,0,
154,WK07,12,0,
154,WK08,1,0,
155,WK07,7,0,
157,WK07,15,0,
157,WK08,2,0,
158,WK07,20,0,
159,WK07,3,0,
160,WK07,46,0,
161,WK07,16,0,
161,WK08,2,0,
163,WK07,10,0,
165,WK07,6,0,
166,WK07,17,83,
166,WK08,4,0,
167,WK07,8,0,
168,WK07,25,0,
168,WK08,4,0,
170,WK07,5,0,
172,WK07,14,0,
172,WK08,2,0,
173,WK07,16,0,
173,WK08,2,0,
174,WK07,1,0,
177,WK07,26,0,
177,WK08,1,0,
179,WK07,20,0,
180,WK07,10,0,
181,WK07,2,0,
182,WK07,6,0,
184,WK07,10,0,
184,WK08,2,0,
184,WK10,1,0,
185,WK07,30,0,
185,WK08,2,0,
186,WK07,12,0,
186,WK08,1,0,
188,WK07,16,0,
188,WK08,4,0,
189,WK07,8,0,
189,WK10,7,0,
189,WK11,1,0,
190,WK07,8,0,
192,WK07,9,0,
195,WK07,14,0,
195,WK08,2,0,
195,WK10,1,0,
196,WK07,4,0,
202,WK07,8,0,
204,WK07,18,0,
205,WK07,11,0,
206,WK07,11,0,
207,WK07,7,0,
211,WK07,8,0,
212,WK07,9,0,
213,WK07,6,0,
214,WK07,20,0,
214,WK08,14,0,
216,WK07,10,0,
217,WK07,9,0,
219,WK07,32,0,
219,WK08,4,0,
220,WK07,12,0,
221,WK07,2,0,
222,WK07,3,0,
225,WK07,11,0,
225,WK08,2,0,
226,WK07,9,0,
228,WK07,11,0,
230,WK07,8,0,
231,WK07,18,0,
232,WK07,24,0,
234,WK07,12,0,
234,WK08,1,0,
236,WK07,7,0,
237,WK07,11,0,
238,WK07,19,0,
238,WK08,3,0,
242,WK07,25,0,
242,WK08,2,0,
243,WK07,7,0,
246,WK07,2,0,
247,WK07,8,0,
248,WK07,10,0,
249,WK07,8,0,
250,WK07,14,108,
250,WK08,5,0,
251,WK07,20,0,
251,WK08,2,0,
252,WK07,7,0,
256,WK07,7,0,
257,WK07,9,0,
258,WK07,6,0,
259,WK07,15,0,
260,WK07,7,0,
261,WK07,23,0,
262,WK07,20,0,
264,WK07,12,95,
264,WK08,6,0,
265,WK07,8,0,
266,WK07,11,0,
267,WK07,10,0,
268,WK07,21,0,
272,WK07,6,0,
273,WK07,2,0,
274,WK07,14,0,
275,WK07,8,0,
279,WK07,14,0,
281,WK07,30,0,
281,WK08,3,0,
284,WK07,11,0,
285,WK07,6,0,
286,WK07,6,0,
287,WK07,22,84,
287,WK08,1,0,
288,WK07,7,0,
295,WK07,7,0,
296,WK07,8,0,
297,WK07,11,0,
298,WK07,7,0,
299,WK07,18,0,
300,WK07,10,0,
301,WK07,10,108,
301,WK08,2,0,
306,WK07,2,0,
307,WK07,9,0,
308,WK07,26,0,
308,WK08,4,0,
309,WK07,4,0,
310,WK07,1,0,
313,WK07,15,0,
313,WK08,2,0,
314,WK07,12,0,
315,WK07,3,0,
316,WK07,8,0,
318,WK07,7,0,
319,WK07,13,0,
319,WK08,1,0,
321,WK07,9,0,
329,WK07,3,0,
330,WK07,9,0,
331,WK07,7,0,
335,WK07,9,0,
336,WK07,9,0,
337,WK07,16,81,
337,WK08,4,0,
338,WK07,8,0,
340,WK07,24,0,
340,WK08,3,0,
342,WK07,9,0,
345,WK07,13,0,
348,WK07,8,0,
350,WK07,11,0,
350,WK10,1,0,
352,WK07,7,0,
353,WK07,13,0,
354,WK07,7,0,
355,WK07,19,0,
357,WK07,28,0,
357,WK08,4,0,
359,WK07,27,0,
360,WK07,4,0,
364,WK07,6,0,
365,WK07,4,0,
366,WK07,30,0,
366,WK08,2,0,
369,WK07,9,0,
371,WK07,3,118,
371,WK08,4,0,
372,WK07,13,0,
373,WK07,21,0,
373,WK08,4,0,
376,WK07,6,0,
379,WK07,25,0,
379,WK08,7,0,
381,WK07,14,0,
382,WK07,13,0,
382,WK08,2,0,
383,WK07,8,0,
384,WK07,7,0,
386,WK07,2,0,
387,WK07,6,0,
389,WK07,6,0,
390,WK07,15,0,
391,WK07,18,0,
394,WK07,3,0,
396,WK07,6,0,
398,WK07,6,0,
399,WK07,12,0,
400,WK07,9,0,
403,WK07,9,0,
404,WK07,29,0,
404,WK08,5,0,
405,WK07,5,0,
406,WK07,17,0,
407,WK07,14,0,
407,WK08,6,0,
408,WK07,5,0,
409,WK07,8,0,
410,WK07,17,99,
410,WK08,7,0,
412,WK07,8,0,
413,WK07,15,0,
413,WK08,1,0,
416,WK07,10,0,
417,WK07,12,0,
419,WK07,7,0,
421,WK07,19,0,
423,WK07,3,0,
424,WK07,3,0,
426,WK07,10,0,
427,WK07,13,0,
428,WK07,4,0,
430,WK07,6,0,
431,WK07,14,0,
434,WK07,5,0,
436,WK07,16,0,
436,WK08,3,0,
440,WK07,26,0,
440,WK08,5,0,
442,WK07,3,0,
443,WK07,6,0,
444,WK07,26,0,
444,WK08,4,0,
445,WK07,32,0,
445,WK08,1,0,
447,WK07,13,0,
447,WK08,1,0,
450,WK07,6,0,
451,WK07,7,0,
457,WK07,6,0,
458,WK07,13,0,
458,WK08,1,0,
459,WK07,13,0,
462,WK07,10,0,
464,WK07,7,0,
467,WK07,12,0,
469,WK07,5,0,
475,WK07,10,0,
477,WK07,18,0,
479,WK07,12,0,
481,WK07,18,0,
481,WK08,6,0,
481,WK09,1,0,
481,WK10,11,0,
483,WK07,21,0,
484,WK07,14,0,
484,WK10,1,0,
489,WK07,4,0,
490,WK07,10,0,
490,WK08,1,0,
493,WK07,10,0,
494,WK07,4,0,
495,WK07,7,0,
498,WK07,5,0,
501,WK07,24,0,
501,WK08,4,0,
502,WK07,24,0,
504,WK07,10,0,
505,WK07,6,0,
508,WK07,21,0,
508,WK08,10,0,
510,WK07,14,108,
510,WK08,3,0,
511,WK07,10,0,
514,WK07,4,0,
515,WK07,29,0,
515,WK08,7,0,
516,WK07,16,0,
516,WK08,3,0,
517,WK07,10,0,
518,WK07,49,0,
518,WK08,4,0,
519,WK07,10,0,
520,WK07,12,0,
521,WK07,5,0,
523,WK07,8,0,
528,WK07,7,0,
529,WK07,10,0,
531,WK07,4,0,
532,WK07,4,0,
533,WK07,5,0,
535,WK07,10,0,
536,WK07,5,0,
538,WK07,7,0,
539,WK07,7,0,
541,WK07,11,0,
542,WK07,5,0,
543,WK07,4,0,
544,WK07,6,0,
545,WK07,7,0,
547,WK07,2,0,
548,WK07,11,0,
551,WK07,11,0,
551,WK08,1,0,
552,WK07,12,0,
552,WK08,2,0,
553,WK07,7,0,
555,WK07,6,0,
556,WK07,8,0,
557,WK07,9,0,
558,WK07,8,0,
559,WK07,12,0,
559,WK10,10,0,
559,WK11,1,0,
560,WK07,8,0,
561,WK07,14,0,
562,WK07,2,0,
563,WK07,6,0,
563,WK08,1,0,
564,WK07,11,0,
565,WK07,11,0,
568,WK07,11,0,
569,WK07,19,0,
569,WK08,5,0,
571,WK07,22,0,
572,WK07,8,0,
573,WK07,12,0,
573,WK10,1,0,
574,WK07,10,0,
577,WK07,12,0,
578,WK07,11,0,
578,WK08,2,0,
579,WK07,12,0,
579,WK08,1,0,
580,WK07,4,0,
582,WK07,8,0,
582,WK08,1,0,
583,WK07,22,0,
583,WK08,2,0,
584,WK07,18,0,
585,WK07,4,0,
586,WK07,15,0,
587,WK07,14,0,
588,WK07,21,0,
589,WK07,3,0,
592,WK07,6,0,
593,WK07,7,0,
596,WK07,11,0,
598,WK07,25,0,
598,WK08,20,0,
599,WK07,12,0,
601,WK07,21,0,
601,WK08,11,0,
603,WK07,20,0,
603,WK08,5,0,
603,WK09,2,0,
603,WK10,6,109,
604,WK07,8,0,
605,WK07,6,0,
606,WK07,7,0,
609,WK07,15,0,
609,WK10,10,0,
609,WK11,1,0,
610,WK07,24,0,
610,WK08,2,0,
613,WK07,2,0,
614,WK07,16,0,
615,WK07,18,0,
616,WK07,5,0,
617,WK07,11,0,
619,WK07,30,0,
620,WK07,10,0,
621,WK07,7,0,
623,WK07,8,0,
623,WK08,2,0,
624,WK07,12,0,
625,WK07,13,0,
630,WK07,6,0,
631,WK07,9,0,
632,WK07,4,0,
634,WK07,15,0,
635,WK07,27,0,
635,WK08,2,0,
637,WK07,12,0,
638,WK07,9,0,
638,WK08,1,0,
639,WK07,6,0,
640,WK07,9,0,
642,WK07,4,0,
643,WK07,8,0,
644,WK07,14,0,
645,WK07,10,0,
645,WK08,3,0,
646,WK07,4,0,
646,WK10,6,0,
646,WK11,1,0,
648,WK07,3,0,
649,WK07,4,0,
649,WK08,1,0,
652,WK07,16,0,
653,WK07,21,0,
653,WK08,8,0,
656,WK07,14,0,
657,WK07,26,0,
657,WK08,1,0,
658,WK07,11,0,
659,WK07,9,0,
660,WK07,12,0,
660,WK08,3,0,
661,WK07,5,0,
662,WK07,6,0,
663,WK07,31,0,
663,WK08,2,0,
664,WK07,14,0,
665,WK07,17,0,
665,WK08,4,0,
666,WK07,4,0,
667,WK07,16,0,
667,WK08,1,0,
668,WK07,27,0,
668,WK08,4,0,
669,WK07,16,0,
670,WK07,21,0,
670,WK08,3,0,
671,WK07,19,0,
672,WK07,11,0,
673,WK07,16,0,
674,WK07,14,0,
674,WK08,7,0,
675,WK07,9,0,
676,WK07,18,0,
676,WK08,5,0,
677,WK07,4,0,
678,WK07,24,0,
678,WK08,8,0,
680,WK07,14,0,
680,WK08,4,0,
681,WK07,11,101,
681,WK08,3,0,
682,WK07,11,0,
683,WK07,10,0,
683,WK08,4,0,
684,WK07,14,0,
684,WK08,1,0,
685,WK07,33,0,
685,WK08,6,0,
686,WK07,10,0,
687,WK07,19,0,
688,WK07,8,0,
689,WK07,23,0,
689,WK08,7,0,
690,WK07,19,0,
690,WK08,4,0,
691,WK07,1,0,
692,WK07,37,0,
692,WK08,2,0,
694,WK07,10,0,
696,WK07,5,0,
697,WK07,12,0,
697,WK08,1,0,
698,WK07,30,0,
698,WK08,2,0,
699,WK07,9,0,
701,WK07,5,0,
702,WK07,9,0,
705,WK07,12,0,
705,WK08,1,0,
708,WK07,3,0,
709,WK07,8,0,
709,WK08,2,0,
709,WK09,2,0,
710,WK07,6,0,
711,WK07,20,0,
711,WK08,1,0,
712,WK07,17,0,
715,WK07,3,0,
716,WK07,5,0,
719,WK07,13,0,
719,WK09,2,0,
720,WK07,11,0,
721,WK07,7,0,
722,WK07,16,91,
722,WK08,3,0,
723,WK07,7,0,
724,WK07,12,83,
724,WK08,2,0,
726,WK07,31,0,
726,WK08,13,0,
726,WK09,7,0,
727,WK07,3,0,
728,WK07,12,0,
728,WK08,1,0,
729,WK07,33,0,
729,WK08,7,0,
729,WK09,2,0,
730,WK07,12,0,
731,WK07,5,0,
734,WK07,26,0,
735,WK07,26,0,
735,WK08,1,0,
737,WK07,21,0,
737,WK08,1,0,
738,WK07,32,0,
738,WK08,8,0,
739,WK07,14,0,
739,WK08,6,0,
740,WK07,9,0,
741,WK07,34,0,
741,WK08,1,0,
