Store,Dept 80,Dept 90,Dept 93,Dept 97,Total
396,1,7,0,5,13
514,2,7,1,8,18
644,1,7,1,5,14
1123,1,7,1,4,13
1217,0,7,1,6,14
1227,0,7,1,5,13
1270,0,7,1,5,13
1293,1,8,1,6,16
1382,1,8,1,6,16
1658,1,7,1,6,15
2465,1,8,0,6,15
2753,1,7,0,6,14
2754,0,7,0,3,10
3222,2,7,1,12,22
3570,1,7,1,6,15
4144,2,8,1,12,23
4206,1,8,0,6,15
4443,1,7,0,6,14
4445,1,8,0,5,14
4487,1,7,1,6,15
5735,1,7,1,6,15
5813,1,8,0,4,13
6576,1,7,1,6,15
6887,1,7,1,6,15
7339,1,7,1,6,15
