Store,City,State,Next Major Touch Program Year,Projected Possession Date
23,RUSTON,LA,2024,4/1/2024
27,SALEM,MO,2024,5/6/2024
39,FORT SCOTT,KS,2024,8/5/2024
43,JUNCTION CITY,KS,2024,6/10/2024
70,WEST MEMPHIS,AR,2024,1/15/2024
72,PITTSBURG,KS,2024,4/8/2024
80,COLUMBIA,MO,2024,4/29/2024
91,FORREST CITY,AR,2024,5/20/2024
97,RIPLEY,TN,2024,7/8/2024
104,MILAN,TN,2024,3/11/2024
106,FULTON,KY,2024,3/18/2024
112,STARKVILLE,MS,2024,5/6/2024
120,HUMBOLDT,TN,2024,7/15/2024
130,MUSKOGEE,OK,2024,1/8/2024
131,MOUNT PLEASANT,TX,2024,4/29/2024
132,KINGFISHER,OK,2024,7/15/2024
135,CHILLICOTHE,MO,2024,7/15/2024
153,NEW ALBANY,MS,2024,7/15/2024
155,SENATOBIA,MS,2024,7/1/2024
160,ASH FLAT,AR,2024,1/22/2024
164,PONTOTOC,MS,2024,4/29/2024
182,GREENVILLE,MS,2024,1/15/2024
192,COLUMBIA,TN,2024,2/5/2024
195,EXCELSIOR SPRINGS,MO,2024,7/15/2024
203,BROOKFIELD,MO,2024,1/22/2024
205,PHILADELPHIA,MS,2024,7/29/2024
218,SELMER,TN,2024,4/29/2024
227,EL RENO,OK,2024,3/4/2024
233,ANNA,IL,2024,6/17/2024
238,PULASKI,TN,2024,5/13/2024
244,WINNFIELD,LA,2024,6/3/2024
248,MEXIA,TX,2024,1/8/2024
252,DU QUOIN,IL,2024,6/10/2024
257,MORGANFIELD,KY,2024,5/13/2024
266,GRAPEVINE,TX,2024,7/15/2024
282,FRANKLIN,KY,2024,7/15/2024
283,BRIDGE CITY,TX,2024,5/27/2024
293,NAVASOTA,TX,2024,7/29/2024
298,BOAZ,AL,2024,7/15/2024
300,JACKSONVILLE,AL,2024,2/5/2024
306,ARAB,AL,2024,1/15/2024
309,ABBEVILLE,LA,2024,4/22/2024
315,ONEONTA,AL,2024,7/29/2024
319,RAYMORE,MO,2024,7/15/2024
329,ANNISTON,AL,2024,5/13/2024
342,HIAWATHA,KS,2024,7/15/2024
344,EL CAMPO,TX,2024,4/15/2024
357,VERSAILLES,MO,2024,1/15/2024
363,MARSHALL,MO,2024,5/20/2024
364,CENTER,TX,2024,7/8/2024
366,MADISONVILLE,TN,2024,1/15/2024
376,BOSSIER CITY,LA,2024,1/8/2024
378,HOLTON,KS,2024,3/4/2024
390,WAVERLY,TN,2024,3/18/2024
394,MOULTON,AL,2024,7/15/2024
396,ANDERSON,SC,2024,4/17/2023
398,LONGVIEW,TX,2024,7/15/2024
400,CONROE,TX,2024,4/22/2024
401,PLAQUEMINE,LA,2024,7/8/2024
402,BREAUX BRIDGE,LA,2024,4/8/2024
403,RUSSELLVILLE,AL,2024,7/15/2024
413,PORT ISABEL,TX,2024,7/15/2024
416,MURFREESBORO,TN,2024,4/8/2024
428,ZACHARY,LA,2024,4/8/2024
442,KINGSVILLE,TX,2024,4/1/2024
458,ARANSAS PASS,TX,2024,3/4/2024
463,BEEVILLE,TX,2024,5/6/2024
465,FLORESVILLE,TX,2024,7/29/2024
467,DENTON,TX,2024,2/26/2024
468,TEXARKANA,AR,2024,6/17/2024
484,LAWRENCE,KS,2024,4/1/2024
493,PARIS,KY,2024,1/15/2024
511,SUMTER,SC,2024,4/8/2024
522,CROSBY,TX,2024,4/29/2024
526,LOUISVILLE,KY,2024,7/15/2024
533,NEW IBERIA,LA,2024,7/15/2024
539,ALEXANDRIA,LA,2024,7/8/2024
543,OPELOUSAS,LA,2024,7/15/2024
548,LAWRENCEVILLE,GA,2024,3/4/2024
