Market Number,Store Number,Total Season Pallets Shipped ,Total Season Pallets Sold ,FY26 Projected Pallet Ships 
104,994,32,30,31
104,1029,25,25,26
104,1085,35,33,33
104,1104,35,30,30
104,1213,39,38,38
104,3415,19,17,17
104,3526,26,20,21
104,5266,37,34,35
104,5772,32,24,23
105,819,30,28,30
105,987,18,15,16
105,1957,17,15,14
105,3417,21,20,20
105,4063,16,14,15
105,5034,24,23,23
105,5055,29,25,27
105,5347,32,25,24
105,5391,23,20,21
107,814,24,20,21
107,929,27,24,22
107,1087,24,24,24
107,1436,14,17,19
107,1541,22,20,21
107,2176,20,18,20
107,3348,26,25,27
107,3527,28,24,27
107,4260,37,30,30
107,4446,17,15,16
107,5301,43,39,38
108,1387,24,22,23
108,1398,25,19,19
108,1517,17,17,18
108,1589,27,25,26
108,1916,24,16,16
108,2789,32,28,30
108,2962,25,24,24
108,2963,28,24,25
108,3858,18,16,15
108,5882,21,21,19
108,5911,13,11,12
109,1349,17,14,16
109,1845,21,16,15
109,1851,26,23,22
109,2151,19,17,19
109,2591,23,20,21
109,2946,26,23,24
109,2987,27,16,13
109,3625,27,21,21
109,5325,15,13,14
109,5932,16,15,15
110,1680,37,21,20
110,2091,63,56,52
110,2727,29,27,26
110,2814,52,47,47
110,4161,34,30,31
110,5671,20,16,17
110,5854,17,16,13
110,5912,21,15,15
110,6397,28,24,25
111,1390,32,27,29
111,1513,17,16,16
111,1536,31,24,26
111,1712,18,16,17
111,2081,21,15,13
111,2796,29,23,21
111,3372,15,14,16
111,4690,16,14,14
111,5218,22,17,18
112,1482,0,1,1
112,1501,1,0,1
112,1960,27,16,14
112,2627,15,14,16
112,2740,23,18,16
112,3197,20,17,18
112,3418,38,36,38
112,4681,16,16,16
112,5036,32,29,30
112,5220,30,24,23
112,5964,23,21,24
114,547,23,21,21
114,706,38,34,34
114,718,38,30,30
114,725,45,43,45
114,779,23,20,21
114,1245,44,37,35
114,2387,34,27,26
114,3463,34,27,26
115,528,17,16,17
115,666,35,34,36
115,769,24,21,24
115,1004,30,28,30
115,1171,21,17,15
115,2459,17,14,14
115,3370,21,17,19
115,3474,21,19,21
115,3887,27,26,26
115,5264,15,14,15
115,5727,25,19,19
116,580,28,26,26
116,759,16,11,11
116,859,35,25,22
116,941,24,21,21
116,968,37,34,34
116,1203,34,31,32
116,3347,30,27,27
116,5035,35,33,36
116,5300,27,25,25
118,623,21,18,17
118,721,24,23,23
118,778,22,20,21
118,811,17,15,16
118,1874,28,24,26
118,2237,34,29,30
118,2484,20,14,14
118,3349,24,22,23
118,3387,31,26,27
118,6190,23,21,22
119,477,25,24,24
119,619,34,31,31
119,663,36,34,33
119,698,33,31,32
119,1089,30,29,28
119,1606,23,22,22
119,3659,12,11,11
119,3835,27,24,24
119,4226,20,19,21
119,5263,30,29,28
120,658,19,19,20
120,669,21,19,17
120,756,15,16,16
120,1215,23,22,24
120,1458,28,25,27
120,1469,18,13,14
120,2988,20,18,19
120,3660,17,16,16
120,5151,23,21,21
120,5173,28,25,25
120,5251,15,14,15
121,366,23,22,23
121,583,28,25,26
121,676,28,24,23
121,687,47,43,47
121,741,24,22,21
121,1466,31,30,32
121,1467,31,25,24
121,4166,21,18,19
121,4635,26,22,23
122,672,26,24,26
122,1194,28,26,26
122,1318,22,21,21
122,1319,29,27,27
122,1320,28,23,22
122,2065,18,19,20
122,2932,16,15,14
122,4223,21,21,21
123,578,15,14,16
123,678,32,31,33
123,680,24,19,20
123,685,22,20,22
123,724,26,24,23
123,2310,23,23,23
123,3234,30,25,23
123,6370,25,23,23
124,599,27,24,25
124,620,22,20,20
124,690,35,32,34
124,742,26,24,24
124,1080,24,23,23
124,1694,23,22,22
124,2749,25,18,18
124,3289,32,29,32
124,3829,24,21,23
124,3852,12,11,12
125,553,23,22,21
125,909,26,25,24
125,912,25,20,17
125,1163,23,20,20
125,2665,33,30,29
125,2706,20,20,16
125,3167,15,14,13
125,5022,23,19,18
127,87,20,18,18
127,278,19,13,14
127,323,10,8,9
127,376,27,24,25
127,448,18,18,18
127,450,15,17,20
127,876,16,14,13
127,1169,10,7,7
127,3868,13,12,13
127,6932,17,16,17
128,489,33,31,29
128,541,34,30,31
128,803,23,22,22
128,911,43,40,38
128,989,27,25,25
128,1342,54,52,58
128,1353,36,34,31
128,3616,31,24,23
128,4129,29,28,26
129,485,17,16,17
129,502,11,13,12
129,540,19,17,17
129,542,12,10,11
129,761,15,16,18
129,961,26,24,23
129,1016,19,17,17
129,2913,22,20,19
129,3483,25,22,20
130,428,21,20,20
130,532,30,28,28
130,839,25,21,20
130,935,31,28,25
130,1102,29,22,20
130,1206,21,18,17
130,1266,17,17,16
130,4683,16,12,11
131,401,12,9,10
131,1136,17,15,15
131,1196,16,14,14
131,2132,17,19,20
131,2822,27,23,24
131,3288,36,30,26
131,4679,21,20,19
131,5056,11,11,10
132,309,11,10,11
132,310,16,15,15
132,386,20,17,18
132,402,13,12,11
132,415,12,12,13
132,531,24,18,20
132,533,17,16,15
132,543,14,13,15
132,2938,22,13,13
132,7301,24,20,20
134,75,21,21,22
134,170,18,16,17
134,312,12,12,12
134,405,20,19,21
134,498,15,14,14
134,505,31,30,29
134,539,13,14,15
134,773,17,14,13
134,1107,9,9,10
134,1128,23,21,19
134,4295,13,13,14
135,23,15,13,13
135,98,10,10,11
135,149,8,8,9
135,244,7,7,7
135,307,22,20,21
135,976,17,17,16
135,1108,14,12,13
135,1109,10,10,10
135,1110,5,7,8
135,1193,24,21,21
136,155,27,19,18
136,182,28,29,29
136,347,3,6,6
136,699,16,15,16
136,707,25,25,26
136,716,11,8,8
136,1074,19,17,17
136,1468,15,14,14
136,1530,13,13,14
137,394,24,22,23
137,403,19,17,16
137,409,14,13,13
137,660,24,21,22
137,661,25,26,26
137,662,18,18,17
137,766,33,27,26
137,1100,16,14,14
137,1124,9,8,9
137,2690,13,15,14
137,4187,18,17,17
137,5703,20,20,20
138,112,20,20,20
138,115,14,11,11
138,183,10,8,9
138,205,15,15,14
138,239,13,13,13
138,305,16,14,14
138,495,42,39,39
138,981,46,34,29
138,1059,15,15,15
138,1069,4,7,7
138,1271,20,18,20
140,365,27,26,28
140,708,13,12,14
140,875,20,17,18
140,903,16,15,15
140,1710,11,11,11
140,2720,30,29,30
140,2755,23,23,23
140,2939,19,15,16
140,3059,10,11,10
140,3060,14,11,14
140,6469,27,20,19
141,501,33,29,29
141,785,19,16,18
141,816,31,28,26
141,874,19,17,18
141,887,18,17,18
141,916,29,25,28
141,954,16,12,11
141,1025,37,29,27
141,1106,16,16,16
141,1168,35,31,28
141,1192,20,16,17
141,2717,17,17,17
143,969,30,28,27
143,970,45,34,31
143,1066,29,26,25
143,1088,16,16,17
143,1195,33,30,30
143,1260,19,20,29
143,1346,20,21,23
143,2715,26,25,25
143,3528,25,24,22
143,5079,30,28,29
144,175,30,27,27
144,848,39,38,38
144,1248,28,25,25
144,2846,32,23,21
144,5196,10,12,11
144,5419,26,24,26
144,6964,23,18,18
145,94,30,27,28
145,950,20,19,18
145,1561,12,12,12
145,2322,28,23,23
145,4533,15,14,14
145,6807,15,14,15
146,64,14,13,13
146,93,30,25,26
146,97,16,13,13
146,104,23,21,24
146,106,19,16,16
146,107,25,18,15
146,120,15,15,15
146,177,33,31,32
146,335,35,28,27
146,410,56,42,38
146,675,24,24,24
146,677,36,36,36
147,161,17,15,15
147,218,14,13,14
147,238,34,31,31
147,268,34,33,33
147,393,30,29,30
147,466,15,13,15
147,683,35,31,35
147,684,32,33,34
147,738,23,18,19
147,1115,21,20,21
149,264,36,31,31
149,304,21,18,18
149,390,19,17,18
149,673,18,18,18
149,695,14,12,14
149,1075,22,20,18
149,1226,17,17,18
149,3137,21,19,20
149,3495,34,31,32
149,4435,14,13,13
149,4483,16,15,14
151,192,21,20,21
151,406,16,16,15
151,416,17,16,16
151,656,21,19,19
151,667,18,17,17
151,682,14,14,13
151,735,18,19,20
151,737,14,15,15
151,2757,25,17,18
151,3017,15,14,13
151,5057,20,18,18
152,308,23,21,21
152,568,18,17,17
152,587,29,28,31
152,657,27,26,27
152,668,27,26,26
152,671,28,25,25
152,674,23,21,20
152,879,21,22,22
152,1376,15,15,15
152,4414,18,18,17
152,5175,30,26,26
153,272,16,18,19
153,659,14,13,12
153,688,11,11,12
153,710,17,16,16
153,3717,15,14,14
153,4482,11,11,12
153,5058,14,15,15
153,5616,7,6,7
153,7020,12,13,13
154,1967,20,18,18
154,1984,29,27,26
154,2174,29,28,28
154,2289,21,21,21
154,2386,34,31,32
154,5278,39,37,38
156,1918,0,1,1
156,2012,29,27,28
156,2155,15,13,13
156,2158,15,15,15
156,2329,11,11,10
156,2629,23,21,22
156,2964,16,15,16
156,3409,31,28,27
156,4387,24,23,25
157,1762,15,14,14
157,2222,12,12,12
157,3114,10,11,11
157,3535,16,16,17
159,1970,9,8,9
159,2103,15,15,15
159,2122,23,22,22
159,2128,9,9,9
159,2336,17,15,15
159,2902,0,0,0
160,1906,0,1,1
160,2021,26,26,26
160,2095,24,24,24
160,2157,18,18,19
160,2366,25,25,27
160,2953,28,27,28
160,3560,25,22,23
160,5448,17,15,16
161,1873,26,24,25
161,1964,22,22,23
161,2225,27,25,27
161,2261,20,19,19
161,2283,23,23,24
161,2747,0,1,1
162,1891,27,23,22
162,1980,22,20,21
162,2022,28,26,27
162,2200,0,0,0
162,2282,31,27,28
162,2331,27,25,27
162,2854,31,31,32
162,2898,0,0,0
162,5777,25,25,28
163,2299,27,25,25
163,2371,36,27,26
163,5095,19,18,20
163,5439,19,14,12
164,1810,27,24,25
164,1959,22,21,22
164,2104,27,23,24
164,2547,15,14,14
164,2637,17,18,17
164,2905,0,1,1
164,4570,12,12,10
165,1742,23,21,21
165,2108,20,17,17
165,2109,0,1,1
