Store,Cat #,Article #,SAP Description,Quantity,Set Week,deliver to
18,26,100058769, STACKBASE 48X48 BLK,3,14,Store
47,26,100058769, STACKBASE 48X48 BLK,3,14,Store
62,26,100058769, STACKBASE 48X48 BLK,4,14,Store
74,26,100058769, STACKBASE 48X48 BLK,3,14,Store
79,26,100058769, STACKBASE 48X48 BLK,6,14,Store
89,26,100058769, STACKBASE 48X48 BLK,3,14,Store
93,26,100058769, STACKBASE 48X48 BLK,3,14,Store
108,26,100058769, STACKBASE 48X48 BLK,6,14,Store
111,26,100058769, STACKBASE 48X48 BLK,6,14,Store
113,26,100058769, STACKBASE 48X48 BLK,4,14,Store
114,26,100058769, STACKBASE 48X48 BLK,6,14,Store
118,26,100058769, STACKBASE 48X48 BLK,3,14,Store
121,26,100058769, STACKBASE 48X48 BLK,6,14,Store
124,26,100058769, STACKBASE 48X48 BLK,6,14,Store
135,26,100058769, STACKBASE 48X48 BLK,3,14,Store
158,26,100058769, STACKBASE 48X48 BLK,3,14,Store
159,26,100058769, STACKBASE 48X48 BLK,3,14,Store
160,26,100058769, STACKBASE 48X48 BLK,3,14,Store
162,26,100058769, STACKBASE 48X48 BLK,3,14,Store
177,26,100058769, STACKBASE 48X48 BLK,4,14,Store
178,26,100058769, STACKBASE 48X48 BLK,3,14,Store
180,26,100058769, STACKBASE 48X48 BLK,3,14,Store
190,26,100058769, STACKBASE 48X48 BLK,6,14,Store
198,26,100058769, STACKBASE 48X48 BLK,3,14,Store
200,26,100058769, STACKBASE 48X48 BLK,3,14,Store
207,26,100058769, STACKBASE 48X48 BLK,3,14,Store
211,26,100058769, STACKBASE 48X48 BLK,6,14,Store
221,26,100058769, STACKBASE 48X48 BLK,3,14,Store
226,26,100058769, STACKBASE 48X48 BLK,6,14,Store
252,26,100058769, STACKBASE 48X48 BLK,3,14,Store
271,26,100058769, STACKBASE 48X48 BLK,3,14,Store
273,26,100058769, STACKBASE 48X48 BLK,3,14,Store
276,26,100058769, STACKBASE 48X48 BLK,3,14,Store
280,26,100058769, STACKBASE 48X48 BLK,3,14,Store
290,26,100058769, STACKBASE 48X48 BLK,4,14,Store
312,26,100058769, STACKBASE 48X48 BLK,3,14,Store
