Store Number,WM Item #,Item Desc,Kayak Type,# Pallets,Total Qty,DTS PO #,MABD
2074,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,820101211,45388
2074,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,2,16,820101211,45388
2074,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,820101211,45388
2074,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,820101211,45388
2074,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,3,24,820101211,45388
2074,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,2,14,820101211,45388
2074,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,2,14,820101211,45388
2074,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,2,14,820101211,45388
2074,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,820101211,45388
2074,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,820101211,45388
2722,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,820101211,45388
2722,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,2,16,820101211,45388
2722,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,820101211,45388
2722,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,820101211,45388
2722,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,2,16,820101211,45388
2722,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,3,21,820101211,45388
2722,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,2,14,820101211,45388
2722,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,2,14,820101211,45388
2722,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,820101211,45388
2722,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,820101211,45388
4474,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,820101211,45388
4474,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,2,16,820101211,45388
4474,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,820101211,45388
4474,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,820101211,45388
4474,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,2,16,820101211,45388
4474,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,2,14,820101211,45388
4474,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,3,21,820101211,45388
4474,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,2,14,820101211,45388
4474,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,820101211,45388
4474,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,820101211,45388
2259,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216182,45381
2259,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,4,32,818216182,45381
2259,654988683,LIFETIME CHARGER,KAYAK 10FT SIS,1,7,818216182,45381
2259,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,818216182,45381
2259,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216182,45381
2259,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,1,8,818216182,45381
2259,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216182,45381
2259,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216182,45381
2259,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216182,45381
2259,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216182,45381
2259,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216182,45381
2259,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216182,45381
2259,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216182,45381
2485,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216019,45374
2485,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216019,45374
2485,654988683,LIFETIME CHARGER,KAYAK 10FT SIS,1,7,818216019,45374
2485,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216019,45374
2485,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216019,45374
2485,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,1,8,818216019,45374
2485,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216019,45374
2485,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216019,45374
2485,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,2,14,818216019,45374
2485,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,2,12,818216019,45374
2485,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216019,45374
2485,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,2,14,818216019,45374
2510,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216338,45381
2510,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216338,45381
2510,654988683,LIFETIME CHARGER,KAYAK 10FT SIS,1,7,818216338,45381
2510,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,818216338,45381
2510,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216338,45381
2510,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,4,32,818216338,45381
2510,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216338,45381
2510,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216338,45381
2510,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216338,45381
2510,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216338,45381
2510,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216338,45381
2510,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216338,45381
2510,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216338,45381
15,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818215980,45367
15,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,4,32,818215980,45367
15,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818215980,45367
15,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,1,8,818215980,45367
15,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818215980,45367
15,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818215980,45367
15,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818215980,45367
15,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818215980,45367
15,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818215980,45367
15,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,2,12,818215980,45367
15,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818215980,45367
1872,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216247,45381
1872,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216247,45381
1872,654988683,LIFETIME CHARGER,KAYAK 10FT SIS,1,7,818216247,45381
1872,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,818216247,45381
1872,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216247,45381
1872,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216247,45381
1872,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,1,8,818216247,45381
1872,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,2,14,818216247,45381
1872,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216247,45381
1872,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216247,45381
1872,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216247,45381
1872,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216247,45381
1872,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216247,45381
1872,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216247,45381
5261,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216100,45360
5261,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,3,24,818216100,45360
5261,654988685,LIFETIME TAHOMA PRO,KAYAK 10FT SOT,1,7,818216100,45360
5261,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216100,45360
5261,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216100,45360
5261,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,1,8,818216100,45360
5261,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216100,45360
5261,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216100,45360
5261,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216100,45360
5261,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216100,45360
5261,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216100,45360
5261,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216100,45360
5261,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216100,45360
3511,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216287,45374
3511,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216287,45374
3511,654988683,LIFETIME CHARGER,KAYAK 10FT SIS,1,7,818216287,45374
3511,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,818216287,45374
3511,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216287,45374
3511,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216287,45374
3511,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,2,16,818216287,45374
3511,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216287,45374
3511,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216287,45374
3511,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216287,45374
3511,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216287,45374
3511,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216287,45374
3511,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216287,45374
3511,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216287,45374
160,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216243,45360
160,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216243,45360
160,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216243,45360
160,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,1,8,818216243,45360
160,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216243,45360
160,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,2,14,818216243,45360
160,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216243,45360
160,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216243,45360
160,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,2,14,818216243,45360
160,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,2,12,818216243,45360
160,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216243,45360
2549,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216208,45374
2549,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216208,45374
2549,654988683,LIFETIME CHARGER,KAYAK 10FT SIS,1,7,818216208,45374
2549,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,818216208,45374
2549,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216208,45374
2549,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216208,45374
2549,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,2,16,818216208,45374
2549,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216208,45374
2549,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216208,45374
2549,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216208,45374
