Store #,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail
2141,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
2830,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
3252,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
3541,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
5495,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
5881,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
5891,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
2167,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
2263,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
2945,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
3501,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
5795,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
2446,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
3810,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
2096,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
2445,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
3475,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
3564,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
3565,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
4687,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
5229,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
2068,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
2650,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
5103,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
5130,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
5131,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
5649,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
5177,4.63,,2.38,,4.31,,2.22,,4.09,,2.1,,3.9,,2.01,,4.33,,2.22,
1670,4.26,,2.27,,3.95,,2.11,,3.71,,1.99,,3.52,,1.9,,3.96,,2.12,
1777,4.26,,2.27,,3.95,,2.11,,3.71,,1.99,,3.52,,1.9,,3.96,,2.12,
2614,4.26,,2.27,,3.95,,2.11,,3.71,,1.99,,3.52,,1.9,,3.96,,2.12,
5239,4.26,,2.27,,3.95,,2.11,,3.71,,1.99,,3.52,,1.9,,3.96,,2.12,
2145,4.26,,2.27,,3.95,,2.11,,3.71,,1.99,,3.52,,1.9,,3.96,,2.12,
2252,4.26,,2.27,,3.95,,2.11,,3.71,,1.99,,3.52,,1.9,,3.96,,2.12,
2641,4.26,,2.27,,3.95,,2.11,,3.71,,1.99,,3.52,,1.9,,3.96,,2.12,
3563,4.26,,2.27,,3.95,,2.11,,3.71,,1.99,,3.52,,1.9,,3.96,,2.12,
4612,4.26,,2.27,,3.95,,2.11,,3.71,,1.99,,3.52,,1.9,,3.96,,2.12,
2169,4.07,,2.17,,3.76,,2.02,,3.53,,1.9,,3.34,,1.81,,3.82,,2.05,
2368,4.07,,2.17,,3.76,,2.02,,3.53,,1.9,,3.34,,1.81,,3.82,,2.05,
1623,4.07,,2.17,,3.76,,2.02,,3.53,,1.9,,3.34,,1.81,,3.82,,2.05,
1884,4.07,,2.17,,3.76,,2.02,,3.53,,1.9,,3.34,,1.81,,3.82,,2.05,
2024,4.07,,2.17,,3.76,,2.02,,3.53,,1.9,,3.34,,1.81,,3.82,,2.05,
2064,4.07,,2.17,,3.76,,2.02,,3.53,,1.9,,3.34,,1.81,,3.82,,2.05,
2255,4.07,,2.17,,3.76,,2.02,,3.53,,1.9,,3.34,,1.81,,3.82,,2.05,
2365,4.07,,2.17,,3.76,,2.02,,3.53,,1.9,,3.34,,1.81,,3.82,,2.05,
2480,4.07,,2.17,,3.76,,2.02,,3.53,,1.9,,3.34,,1.81,,3.82,,2.05,
