Market ID,Region,Store ID,First Assigned Carrier,Fulfillment Type, Status, Trend,Directional Focus,Max_WM_WK_ID,Weeks on DPI,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
44,5,3284,ROADIE,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202337,1,82.20%,99.10%,9.9,80.00%,82.90%,81.20%,84.70%
55,5,1118,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202337,2,88.90%,95.30%,9.7,90.10%,86.40%,89.60%,89.40%
58,64,3341,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202337,3,83.50%,96.30%,9.5,90.00%,85.50%,86.40%,72.50%
53,5,2105,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202337,8,90.30%,97.30%,9.9,96.30%,91.50%,88.70%,84.80%
81,7,781,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202337,23,92.10%,98.80%,6.3,91.70%,91.10%,97.90%,87.50%
344,44,132,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202337,17,92.50%,98.90%,5.1,92.90%,96.40%,100.00%,77.40%
347,44,63,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202337,13,90.10%,97.80%,6.2,91.90%,89.10%,90.30%,88.80%
410,44,242,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202337,9,91.30%,99.30%,6.1,98.80%,90.50%,81.00%,92.70%
131,13,1196,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202337,6,86.40%,98.90%,7.3,90.90%,80.60%,86.70%,87.30%
541,64,4659,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202337,5,88.10%,93.90%,8.8,83.00%,87.90%,91.60%,90.10%
541,64,5327,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202337,1,88.40%,93.60%,9,87.70%,89.40%,87.80%,88.50%
541,64,7233,SPARK,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202337,8,87.70%,90.70%,7.6,87.00%,88.00%,91.50%,84.50%
541,64,7262,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202337,3,85.80%,90.30%,8.4,88.40%,81.80%,84.80%,87.80%
46,13,918,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202337,14,94.20%,98.40%,7.7,97.50%,94.50%,89.70%,95.80%
132,13,402,POINTPICKUP,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202337,5,81.10%,97.30%,8.9,85.40%,70.50%,78.60%,89.60%
125,13,2665,ROADIE,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202337,7,88.80%,97.50%,7.4,83.70%,94.00%,98.00%,79.60%
125,13,5022,ROADIE,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202337,10,84.60%,95.10%,9.7,90.30%,82.60%,85.20%,79.80%
128,13,3616,SPARK,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202337,8,89.20%,91.80%,7.7,80.00%,100.00%,94.40%,82.10%
543,64,3042,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202337,6,91.90%,97.10%,7.1,90.90%,93.80%,94.20%,89.00%
83,6,3169,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202337,8,91.80%,90.30%,8.5,96.60%,90.10%,91.00%,89.90%
86,7,2599,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202337,3,88.70%,97.10%,9.9,93.90%,89.70%,83.90%,87.70%
62,6,5449,ROADIE,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202337,10,76.80%,99.50%,8.5,79.20%,72.90%,73.90%,81.40%
61,6,1405,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202337,10,90.80%,90.40%,7.5,94.00%,89.90%,91.10%,88.50%
63,6,4526,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202337,2,86.50%,99.50%,7.7,90.20%,89.10%,84.10%,83.30%
85,6,293,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202337,12,81.30%,100.00%,3.8,77.80%,77.80%,100.00%,62.50%
569,7,1000,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202337,2,85.60%,99.70%,7.1,93.10%,80.20%,84.90%,84.50%
369,46,6477,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202337,4,85.90%,95.80%,9.8,81.60%,85.90%,90.50%,85.70%
366,46,1411,POINTPICKUP,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202337,1,77.40%,90.80%,9.2,77.80%,86.40%,80.80%,61.10%
271,41,222,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202337,1,83.60%,100.00%,7.5,81.50%,89.60%,87.80%,75.00%
260,41,584,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202337,1,81.70%,95.50%,8.2,84.90%,79.00%,80.60%,81.50%
243,41,1160,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202337,10,92.80%,95.90%,8,86.80%,93.60%,94.90%,95.80%
243,41,1476,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202337,6,91.50%,95.00%,9.6,90.10%,88.80%,94.00%,92.80%
197,19,2631,ROADIE,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202337,18,64.30%,88.70%,8.5,70.60%,65.50%,48.50%,73.30%
213,19,1445,UBER,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202337,6,90.50%,100.00%,4.1,100.00%,87.50%,93.30%,84.20%
213,19,3809,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202337,3,84.90%,99.60%,6.9,87.10%,81.20%,82.60%,89.10%
202,19,5411,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202337,32,89.50%,98.10%,6,94.90%,87.80%,93.80%,83.20%
