Store,Week 18 Coloring Book Fixture
1,Yes
14,Yes
19,Yes
21,Yes
22,Yes
29,Yes
39,Yes
40,Yes
41,Yes
42,Yes
43,Yes
52,Yes
58,Yes
60,Yes
62,Yes
69,Yes
75,Yes
79,Yes
86,Yes
94,Yes
96,Yes
100,Yes
101,Yes
104,Yes
107,Yes
110,Yes
120,Yes
121,Yes
130,Yes
137,Yes
138,Yes
141,Yes
143,Yes
144,Yes
151,Yes
154,Yes
157,Yes
165,Yes
168,Yes
172,Yes
174,Yes
184,Yes
185,Yes
188,Yes
192,Yes
194,Yes
197,Yes
201,Yes
202,Yes
206,Yes
212,Yes
216,Yes
217,Yes
220,Yes
228,Yes
234,Yes
237,Yes
243,Yes
256,Yes
259,Yes
261,Yes
264,Yes
269,Yes
272,Yes
275,Yes
277,Yes
284,Yes
285,Yes
286,Yes
292,Yes
297,Yes
298,Yes
299,Yes
300,Yes
306,Yes
307,Yes
310,Yes
314,Yes
316,Yes
323,Yes
330,Yes
331,Yes
332,Yes
335,Yes
343,Yes
351,Yes
355,Yes
361,Yes
365,Yes
386,Yes
391,Yes
398,Yes
400,Yes
405,Yes
407,Yes
415,Yes
416,Yes
417,Yes
420,Yes
426,Yes
427,Yes
432,Yes
444,Yes
452,Yes
456,Yes
457,Yes
459,Yes
468,Yes
471,Yes
475,Yes
489,Yes
491,Yes
499,Yes
500,Yes
501,Yes
504,Yes
505,Yes
510,Yes
512,Yes
514,Yes
521,Yes
522,Yes
526,Yes
529,Yes
531,Yes
533,Yes
536,Yes
537,Yes
539,Yes
542,Yes
543,Yes
544,Yes
547,Yes
548,Yes
549,Yes
551,Yes
556,Yes
559,Yes
560,Yes
563,Yes
564,Yes
565,Yes
572,Yes
573,Yes
574,Yes
576,Yes
577,Yes
578,Yes
581,Yes
588,Yes
590,Yes
592,Yes
595,Yes
601,Yes
602,Yes
603,Yes
614,Yes
618,Yes
630,Yes
632,Yes
635,Yes
638,Yes
645,Yes
648,Yes
653,Yes
657,Yes
659,Yes
661,Yes
662,Yes
663,Yes
665,Yes
673,Yes
680,Yes
682,Yes
685,Yes
687,Yes
690,Yes
694,Yes
699,Yes
701,Yes
702,Yes
703,Yes
709,Yes
711,Yes
712,Yes
715,Yes
719,Yes
720,Yes
721,Yes
725,Yes
729,Yes
743,Yes
753,Yes
764,Yes
765,Yes
766,Yes
767,Yes
768,Yes
774,Yes
775,Yes
785,Yes
791,Yes
796,Yes
800,Yes
802,Yes
805,Yes
806,Yes
807,Yes
808,Yes
814,Yes
817,Yes
818,Yes
819,Yes
820,Yes
822,Yes
823,Yes
826,Yes
828,Yes
829,Yes
835,Yes
836,Yes
838,Yes
839,Yes
842,Yes
848,Yes
850,Yes
855,Yes
860,Yes
869,Yes
870,Yes
874,Yes
875,Yes
876,Yes
878,Yes
881,Yes
890,Yes
894,Yes
896,Yes
902,Yes
903,Yes
906,Yes
908,Yes
909,Yes
910,Yes
911,Yes
912,Yes
915,Yes
919,Yes
923,Yes
924,Yes
927,Yes
931,Yes
932,Yes
935,Yes
940,Yes
943,Yes
945,Yes
948,Yes
950,Yes
953,Yes
958,Yes
963,Yes
964,Yes
966,Yes
968,Yes
973,Yes
975,Yes
980,Yes
981,Yes
984,Yes
987,Yes
989,Yes
990,Yes
993,Yes
994,Yes
999,Yes
1001,Yes
1004,Yes
1010,Yes
1014,Yes
1016,Yes
1021,Yes
1026,Yes
1028,Yes
1030,Yes
1032,Yes
1034,Yes
1035,Yes
1036,Yes
1039,Yes
1041,Yes
1042,Yes
1045,Yes
1048,Yes
1054,Yes
1055,Yes
1056,Yes
1058,Yes
1060,Yes
1062,Yes
1064,Yes
1071,Yes
1072,Yes
1075,Yes
1080,Yes
1083,Yes
1085,Yes
1087,Yes
1090,Yes
1097,Yes
1099,Yes
1104,Yes
1105,Yes
1112,Yes
1113,Yes
1118,Yes
1120,Yes
1121,Yes
1125,Yes
1126,Yes
1132,Yes
1139,Yes
1148,Yes
1150,Yes
1151,Yes
1155,Yes
1158,Yes
1162,Yes
1163,Yes
1164,Yes
1167,Yes
1168,Yes
1170,Yes
1172,Yes
1173,Yes
1177,Yes
1178,Yes
1183,Yes
1184,Yes
1185,Yes
1191,Yes
1194,Yes
1198,Yes
1201,Yes
1203,Yes
1206,Yes
1215,Yes
1223,Yes
1224,Yes
1225,Yes
1229,Yes
1230,Yes
1239,Yes
1241,Yes
1242,Yes
1243,Yes
1244,Yes
1248,Yes
1252,Yes
1255,Yes
1256,Yes
1261,Yes
1263,Yes
1264,Yes
1266,Yes
1267,Yes
1268,Yes
1273,Yes
1276,Yes
1279,Yes
1281,Yes
1284,Yes
1286,Yes
1287,Yes
1289,Yes
1292,Yes
1300,Yes
1301,Yes
1302,Yes
1305,Yes
1308,Yes
1312,Yes
1313,Yes
1314,Yes
1315,Yes
1319,Yes
1320,Yes
1321,Yes
1326,Yes
1327,Yes
1332,Yes
1337,Yes
1339,Yes
1345,Yes
1346,Yes
1348,Yes
1349,Yes
1353,Yes
1355,Yes
1359,Yes
1367,Yes
1372,Yes
1373,Yes
1376,Yes
1377,Yes
1380,Yes
1382,Yes
1387,Yes
1393,Yes
1400,Yes
1401,Yes
1406,Yes
1410,Yes
1418,Yes
1424,Yes
1426,Yes
1427,Yes
1428,Yes
1429,Yes
1430,Yes
1432,Yes
1438,Yes
1441,Yes
1443,Yes
1446,Yes
1449,Yes
1450,Yes
1454,Yes
1455,Yes
1459,Yes
1460,Yes
1463,Yes
1464,Yes
1465,Yes
1470,Yes
1472,Yes
1473,Yes
1474,Yes
1476,Yes
1478,Yes
1479,Yes
1483,Yes
1485,Yes
1488,Yes
1489,Yes
1490,Yes
1494,Yes
1495,Yes
1496,Yes
1497,Yes
1500,Yes
1503,Yes
1507,Yes
1510,Yes
1511,Yes
1512,Yes
1514,Yes
1515,Yes
1520,Yes
1521,Yes
1522,Yes
1526,Yes
1528,Yes
1529,Yes
1530,Yes
1531,Yes
1534,Yes
1536,Yes
1539,Yes
1540,Yes
1541,Yes
1542,Yes
1543,Yes
1544,Yes
1545,Yes
1547,Yes
1549,Yes
1551,Yes
1553,Yes
1554,Yes
1555,Yes
1556,Yes
1557,Yes
1561,Yes
1564,Yes
1566,Yes
1567,Yes
1568,Yes
1571,Yes
1572,Yes
1573,Yes
1574,Yes
1577,Yes
1578,Yes
1580,Yes
1581,Yes
1588,Yes
1590,Yes
1591,Yes
1594,Yes
1595,Yes
1597,Yes
1600,Yes
1602,Yes
1606,Yes
1612,Yes
1622,Yes
1623,Yes
1625,Yes
1628,Yes
1631,Yes
1632,Yes
1633,Yes
1635,Yes
1636,Yes
1644,Yes
1646,Yes
1648,Yes
1649,Yes
1654,Yes
1655,Yes
