Store,Market,Region,Feature Name ,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
3835,119,2,Great Value 9in Paper Plates ,Modular Relay,20
4188,566,59,Great Value 9in Paper Plates ,Modular Relay,20
4189,544,72,Great Value 9in Paper Plates ,Modular Relay,20
4756,544,72,Great Value 9in Paper Plates ,Modular Relay,20
5248,544,72,Great Value 9in Paper Plates ,Modular Relay,20
5256,544,72,Great Value 9in Paper Plates ,Modular Relay,20
5459,544,72,Great Value 9in Paper Plates ,Modular Relay,20
5925,566,59,Great Value 9in Paper Plates ,Modular Relay,20
919,15,14,Great Value 9in Paper Plates ,Modular Relay,20
944,15,14,Great Value 9in Paper Plates ,Modular Relay,20
1032,15,14,Great Value 9in Paper Plates ,Modular Relay,20
1134,7,14,Great Value 9in Paper Plates ,Modular Relay,20
1207,15,14,Great Value 9in Paper Plates ,Modular Relay,20
1375,97,3,Great Value 9in Paper Plates ,Modular Relay,20
1748,36,4,Great Value 9in Paper Plates ,Modular Relay,20
2114,7,14,Great Value 9in Paper Plates ,Modular Relay,20
2348,36,4,Great Value 9in Paper Plates ,Modular Relay,20
2840,546,72,Great Value 9in Paper Plates ,Modular Relay,20
2858,546,72,Great Value 9in Paper Plates ,Modular Relay,20
3075,15,14,Great Value 9in Paper Plates ,Modular Relay,20
3724,497,59,Great Value 9in Paper Plates ,Modular Relay,20
5198,546,72,Great Value 9in Paper Plates ,Modular Relay,20
5769,545,72,Great Value 9in Paper Plates ,Modular Relay,20
5845,15,14,Great Value 9in Paper Plates ,Modular Relay,20
6732,546,72,Great Value 9in Paper Plates ,Modular Relay,20
904,1,14,Great Value 9in Paper Plates ,Modular Relay,20
990,14,14,Great Value 9in Paper Plates ,Modular Relay,20
1222,14,14,Great Value 9in Paper Plates ,Modular Relay,20
1224,14,14,Great Value 9in Paper Plates ,Modular Relay,20
1605,14,14,Great Value 9in Paper Plates ,Modular Relay,20
2533,14,14,Great Value 9in Paper Plates ,Modular Relay,20
3439,15,14,Great Value 9in Paper Plates ,Modular Relay,20
3484,14,14,Great Value 9in Paper Plates ,Modular Relay,20
3785,14,14,Great Value 9in Paper Plates ,Modular Relay,20
4333,1,14,Great Value 9in Paper Plates ,Modular Relay,20
4357,545,72,Great Value 9in Paper Plates ,Modular Relay,20
4582,545,72,Great Value 9in Paper Plates ,Modular Relay,20
5653,545,72,Great Value 9in Paper Plates ,Modular Relay,20
5740,545,72,Great Value 9in Paper Plates ,Modular Relay,20
6531,545,72,Great Value 9in Paper Plates ,Modular Relay,20
608,73,46,Great Value 9in Paper Plates ,Modular Relay,20
1306,387,46,Great Value 9in Paper Plates ,Modular Relay,20
1397,384,46,Great Value 9in Paper Plates ,Modular Relay,20
3317,526,64,Great Value 9in Paper Plates ,Modular Relay,20
4366,526,64,Great Value 9in Paper Plates ,Modular Relay,20
4415,526,64,Great Value 9in Paper Plates ,Modular Relay,20
4676,526,64,Great Value 9in Paper Plates ,Modular Relay,20
5108,526,64,Great Value 9in Paper Plates ,Modular Relay,20
873,375,46,Great Value 9in Paper Plates ,Modular Relay,20
5782,526,64,Great Value 9in Paper Plates ,Modular Relay,20
5960,526,64,Great Value 9in Paper Plates ,Modular Relay,20
6587,526,64,Great Value 9in Paper Plates ,Modular Relay,20
1129,82,5,Great Value 9in Paper Plates ,Modular Relay,20
