Store,Market,Store Type,Fixture Required?,Already Ordered?,,
77,83,SUP,Yes,No,,
106,146,SUP,Yes,No,,
118,4,SUP,Yes,No,,
154,311,SUP,Yes,No,,
214,503,SUP,Yes,No,,
271,349,SUP,Yes,No,,
286,55,SUP,Yes,No,,
353,48,SUP,Yes,No,,
364,503,SUP,Yes,No,,
394,137,SUP,Yes,No,,
403,137,SUP,Yes,No,,
412,45,SUP,Yes,No,,
417,47,SUP,Yes,No,,
445,256,SUP,Yes,No,,
523,46,SUP,Yes,No,,
591,259,SUP,Yes,No,,
600,70,SUP,Yes,No,,
736,253,SUP,Yes,No,,
757,77,SUP,Yes,No,,
782,88,SUP,Yes,No,,
791,78,SUP,Yes,No,,
804,48,SUP,Yes,No,,
812,70,SUP,Yes,No,,
827,45,SUP,Yes,No,,
897,73,SUP,Yes,No,,
927,71,SUP,Yes,No,,
930,8,SUP,Yes,No,,
1023,311,SUP,Yes,No,,
1051,71,SUP,Yes,No,,
1074,136,SUP,Yes,No,,
1098,84,SUP,Yes,No,,
1131,304,SUP,Yes,No,,
1175,364,W/M,Yes,No,,
1234,257,SUP,Yes,No,,
1243,312,SUP,Yes,No,,
1272,74,SUP,Yes,No,,
1292,312,SUP,Yes,No,,
1301,312,SUP,Yes,No,,
1302,311,SUP,Yes,No,,
1309,312,SUP,Yes,No,,
1344,315,SUP,Yes,No,,
1345,314,SUP,Yes,No,,
1350,315,SUP,Yes,No,,
1406,286,SUP,Yes,No,,
1424,290,SUP,Yes,No,,
1465,314,SUP,Yes,No,,
1486,314,SUP,Yes,No,,
1516,70,SUP,Yes,No,,
1523,287,SUP,Yes,No,,
1524,290,SUP,Yes,No,,
1525,287,SUP,Yes,No,,
1631,288,SUP,Yes,No,,
1652,312,SUP,Yes,No,,
1675,256,SUP,Yes,No,,
1682,288,SUP,Yes,No,,
1687,289,SUP,Yes,No,,
1688,289,SUP,Yes,No,,
1726,315,SUP,Yes,No,,
1730,287,SUP,Yes,No,,
1763,311,SUP,Yes,No,,
1773,288,SUP,Yes,No,,
1780,315,SUP,Yes,No,,
1811,288,SUP,Yes,No,,
1821,306,W/M,Yes,No,,
1825,286,SUP,Yes,No,,
1833,291,SUP,Yes,No,,
1841,999,SUP,Yes,No,,
1852,291,SUP,Yes,No,,
1904,292,SUP,Yes,No,,
1933,267,W/M,Yes,No,,
1934,314,SUP,Yes,No,,
1969,290,SUP,Yes,No,,
2015,292,SUP,Yes,No,,
2038,292,SUP,Yes,No,,
2089,311,SUP,Yes,No,,
2136,291,SUP,Yes,No,,
2160,290,SUP,Yes,No,,
2194,283,W/M,Yes,No,,
