Market,Region,Store Nbr,Tier,Details
201,19,2680,Tier 1,ISA On in Total Store
329,12,68,Tier 1,ISA On in Total Store
256,41,729,Tier 1,ISA On in Total Store
411,47,1054,Tier 1,ISA On in Total Store
411,47,342,Tier 1,ISA On in Total Store
219,21,2666,Tier 1,ISA On in Total Store
144,12,5196,Tier 1,ISA On in Total Store
368,46,2777,Tier 1,ISA On in Total Store
407,47,557,Tier 1,ISA On in Total Store
153,12,7020,Tier 1,ISA On in Total Store
542,64,4577,Tier 1,ISA On in Total Store
485,59,5207,Tier 1,ISA On in Total Store
168,22,1670,Tier 1,ISA On in Total Store
232,22,2535,Tier 2,GM Pause
134,13,1107,Tier 1,ISA On in Total Store
485,59,5180,Tier 2,GM Pause
129,13,540,Tier 1,ISA On in Total Store
197,19,4383,Tier 1,ISA On in Total Store
98,3,1173,Tier 1,ISA On in Total Store
219,21,3447,Tier 1,ISA On in Total Store
201,19,3436,Tier 1,ISA On in Total Store
365,57,4543,Tier 1,ISA On in Total Store
553,9,4303,Tier 1,ISA On in Total Store
206,19,2959,Tier 1,ISA On in Total Store
264,25,786,Tier 1,ISA On in Total Store
227,20,5040,Tier 1,ISA On in Total Store
153,12,5616,Tier 1,ISA On in Total Store
259,41,1569,Tier 1,ISA On in Total Store
48,5,371,Tier 1,ISA On in Total Store
209,20,2362,Tier 1,ISA On in Total Store
10,14,1057,Tier 1,ISA On in Total Store
558,22,5047,Tier 1,ISA On in Total Store
340,40,5927,Tier 1,ISA On in Total Store
206,19,2873,Tier 1,ISA On in Total Store
26,2,1586,Tier 1,ISA On in Total Store
123,2,578,Tier 1,ISA On in Total Store
201,19,2061,Tier 1,ISA On in Total Store
490,61,6178,Tier 1,ISA On in Total Store
448,57,2950,Tier 1,ISA On in Total Store
29,4,6395,Tier 1,ISA On in Total Store
266,25,5486,Tier 1,ISA On in Total Store
173,17,2585,Tier 1,ISA On in Total Store
364,46,1175,Tier 1,ISA On in Total Store
238,19,2817,Tier 1,ISA On in Total Store
444,53,6394,Tier 1,ISA On in Total Store
293,75,2412,Tier 1,ISA On in Total Store
1,14,866,Tier 1,ISA On in Total Store
333,40,32,Tier 1,ISA On in Total Store
297,26,1953,Tier 1,ISA On in Total Store
22,2,855,Tier 1,ISA On in Total Store
44,5,284,Tier 1,ISA On in Total Store
4,12,391,Tier 1,ISA On in Total Store
59,6,849,Tier 1,ISA On in Total Store
207,19,2191,Tier 1,ISA On in Total Store
238,19,2276,Tier 1,ISA On in Total Store
166,22,5130,Tier 1,ISA On in Total Store
214,20,1927,Tier 1,ISA On in Total Store
495,59,5695,Tier 1,ISA On in Total Store
9,61,4293,Tier 1,ISA On in Total Store
558,22,5340,Tier 1,ISA On in Total Store
36,4,2348,Tier 1,ISA On in Total Store
450,56,5890,Tier 1,ISA On in Total Store
477,60,2422,Tier 1,ISA On in Total Store
249,25,3529,Tier 1,ISA On in Total Store
10,14,329,Tier 1,ISA On in Total Store
125,13,909,Tier 1,ISA On in Total Store
107,9,4260,Tier 1,ISA On in Total Store
23,2,3008,Tier 1,ISA On in Total Store
396,57,2838,Tier 1,ISA On in Total Store
323,42,5260,Tier 1,ISA On in Total Store
406,47,664,Tier 1,ISA On in Total Store
459,57,3494,Tier 1,ISA On in Total Store
351,44,247,Tier 1,ISA On in Total Store
207,19,5028,Tier 1,ISA On in Total Store
268,25,1737,Tier 1,ISA On in Total Store
309,26,877,Tier 1,ISA On in Total Store
97,3,1408,Tier 1,ISA On in Total Store
265,25,4286,Tier 1,ISA On in Total Store
183,16,2398,Tier 1,ISA On in Total Store
10,14,730,Tier 1,ISA On in Total Store
559,72,5760,Tier 1,ISA On in Total Store
130,13,4683,Tier 1,ISA On in Total Store
107,9,1541,Tier 1,ISA On in Total Store
249,25,3435,Tier 1,ISA On in Total Store
275,25,200,Tier 1,ISA On in Total Store
566,59,3185,Tier 1,ISA On in Total Store
421,52,1722,Tier 1,ISA On in Total Store
66,13,651,Tier 1,ISA On in Total Store
14,14,1222,Tier 1,ISA On in Total Store
125,13,3167,Tier 1,ISA On in Total Store
368,46,2554,Tier 1,ISA On in Total Store
47,44,468,Tier 1,ISA On in Total Store
41,4,2214,Tier 1,ISA On in Total Store
125,13,5022,Tier 1,ISA On in Total Store
73,46,513,Tier 1,ISA On in Total Store
153,12,659,Tier 1,ISA On in Total Store
63,6,752,Tier 1,ISA On in Total Store
800,29,3690,Tier 1,ISA On in Total Store
35,2,641,Tier 1,ISA On in Total Store
558,22,2518,Tier 1,ISA On in Total Store
47,44,2123,Tier 1,ISA On in Total Store
310,26,6879,Tier 1,ISA On in Total Store
369,46,5189,Tier 1,ISA On in Total Store
55,5,260,Tier 1,ISA On in Total Store
235,20,2281,Tier 1,ISA On in Total Store
206,19,4424,Tier 1,ISA On in Total Store
144,12,6964,Tier 1,ISA On in Total Store
32,3,2890,Tier 1,ISA On in Total Store
74,5,1257,Tier 2,GM Pause
192,17,3280,Tier 1,ISA On in Total Store
41,4,1286,Tier 1,ISA On in Total Store
10,14,733,Tier 1,ISA On in Total Store
801,29,3716,Tier 1,ISA On in Total Store
321,42,141,Tier 1,ISA On in Total Store
448,57,5686,Tier 1,ISA On in Total Store
266,25,1556,Tier 1,ISA On in Total Store
376,47,1689,Tier 1,ISA On in Total Store
44,5,1455,Tier 1,ISA On in Total Store
262,25,2956,Tier 1,ISA On in Total Store
509,59,6263,Tier 1,ISA On in Total Store
50,5,2649,Tier 1,ISA On in Total Store
340,40,5150,Tier 1,ISA On in Total Store
376,47,1492,Tier 1,ISA On in Total Store
265,25,1596,Tier 1,ISA On in Total Store
219,21,2726,Tier 1,ISA On in Total Store
553,9,3397,Tier 1,ISA On in Total Store
537,72,4516,Tier 1,ISA On in Total Store
249,25,5483,Tier 1,ISA On in Total Store
144,12,848,Tier 1,ISA On in Total Store
16,3,1311,Tier 2,GM Pause
267,25,2816,Tier 1,ISA On in Total Store
5,12,332,Tier 1,ISA On in Total Store
249,25,1580,Tier 1,ISA On in Total Store
238,19,5404,Tier 1,ISA On in Total Store
77,6,465,Tier 1,ISA On in Total Store
58,64,5613,Tier 1,ISA On in Total Store
108,9,1517,Tier 1,ISA On in Total Store
166,22,2650,Tier 1,ISA On in Total Store
32,3,3750,Tier 1,ISA On in Total Store
379,47,1231,Tier 1,ISA On in Total Store
339,40,648,Tier 1,ISA On in Total Store
105,9,4063,Tier 1,ISA On in Total Store
174,17,2365,Tier 1,ISA On in Total Store
166,22,5103,Tier 1,ISA On in Total Store
153,12,688,Tier 1,ISA On in Total Store
173,17,3803,Tier 1,ISA On in Total Store
296,26,2137,Tier 1,ISA On in Total Store
19,2,6998,Tier 1,ISA On in Total Store
310,26,1238,Tier 1,ISA On in Total Store
120,2,5173,Tier 1,ISA On in Total Store
173,17,2897,Tier 2,GM Pause
561,64,7232,Tier 1,ISA On in Total Store
121,2,687,Tier 1,ISA On in Total Store
375,46,873,Tier 1,ISA On in Total Store
464,57,2523,Tier 1,ISA On in Total Store
494,59,5804,Tier 1,ISA On in Total Store
130,13,1102,Tier 1,ISA On in Total Store
176,17,5111,Tier 1,ISA On in Total Store
548,72,3161,Tier 1,ISA On in Total Store
145,12,1561,Tier 1,ISA On in Total Store
103,72,2930,Tier 1,ISA On in Total Store
336,40,172,Tier 1,ISA On in Total Store
371,46,2515,Tier 1,ISA On in Total Store
453,56,2925,Tier 1,ISA On in Total Store
296,26,3182,Tier 1,ISA On in Total Store
93,3,5326,Tier 1,ISA On in Total Store
557,61,4700,Tier 1,ISA On in Total Store
24,2,1314,Tier 1,ISA On in Total Store
140,13,875,Tier 1,ISA On in Total Store
107,9,5301,Tier 1,ISA On in Total Store
494,59,6390,Tier 1,ISA On in Total Store
55,5,1118,Tier 1,ISA On in Total Store
494,59,5135,Tier 1,ISA On in Total Store
105,9,5391,Tier 1,ISA On in Total Store
129,13,485,Tier 1,ISA On in Total Store
29,4,606,Tier 1,ISA On in Total Store
286,75,5105,Tier 1,ISA On in Total Store
561,64,7224,Tier 1,ISA On in Total Store
207,19,5029,Tier 1,ISA On in Total Store
370,46,2766,Tier 1,ISA On in Total Store
465,57,4132,Tier 1,ISA On in Total Store
97,3,4520,Tier 1,ISA On in Total Store
300,26,4065,Tier 1,ISA On in Total Store
52,5,206,Tier 1,ISA On in Total Store
136,12,347,Tier 1,ISA On in Total Store
206,19,5844,Tier 1,ISA On in Total Store
554,59,920,Tier 1,ISA On in Total Store
7,14,604,Tier 1,ISA On in Total Store
144,12,5419,Tier 1,ISA On in Total Store
583,5,3225,Tier 1,ISA On in Total Store
2,14,1711,Tier 1,ISA On in Total Store
552,61,2468,Tier 1,ISA On in Total Store
174,17,2368,Tier 1,ISA On in Total Store
406,47,372,Tier 1,ISA On in Total Store
219,21,5184,Tier 1,ISA On in Total Store
64,6,772,Tier 1,ISA On in Total Store
3,14,1201,Tier 1,ISA On in Total Store
109,9,2987,Tier 1,ISA On in Total Store
214,20,5082,Tier 1,ISA On in Total Store
143,13,1195,Tier 1,ISA On in Total Store
134,13,1128,Tier 1,ISA On in Total Store
134,13,539,Tier 1,ISA On in Total Store
340,40,3061,Tier 1,ISA On in Total Store
175,17,5201,Tier 1,ISA On in Total Store
4,12,303,Tier 1,ISA On in Total Store
183,16,1698,Tier 1,ISA On in Total Store
495,59,3110,Tier 1,ISA On in Total Store
534,72,4686,Tier 1,ISA On in Total Store
136,12,1468,Tier 1,ISA On in Total Store
207,19,3445,Tier 1,ISA On in Total Store
187,17,5497,Tier 1,ISA On in Total Store
438,53,965,Tier 2,GM Pause
110,9,5912,Tier 1,ISA On in Total Store
299,26,1372,Tier 1,ISA On in Total Store
297,26,1751,Tier 1,ISA On in Total Store
340,40,1265,Tier 1,ISA On in Total Store
15,14,919,Tier 1,ISA On in Total Store
405,46,2051,Tier 1,ISA On in Total Store
552,61,5982,Tier 1,ISA On in Total Store
339,40,1021,Tier 1,ISA On in Total Store
168,22,2641,Tier 1,ISA On in Total Store
278,25,3460,Tier 1,ISA On in Total Store
461,57,1853,Tier 1,ISA On in Total Store
366,46,1846,Tier 1,ISA On in Total Store
512,61,5610,Tier 1,ISA On in Total Store
97,3,5422,Tier 1,ISA On in Total Store
364,46,4355,Tier 1,ISA On in Total Store
365,57,1364,Tier 1,ISA On in Total Store
29,4,2860,Tier 1,ISA On in Total Store
259,41,2638,Tier 1,ISA On in Total Store
140,13,6469,Tier 1,ISA On in Total Store
146,41,106,Tier 1,ISA On in Total Store
561,64,3530,Tier 1,ISA On in Total Store
153,12,5058,Tier 1,ISA On in Total Store
145,12,950,Tier 1,ISA On in Total Store
66,13,449,Tier 1,ISA On in Total Store
336,40,101,Tier 1,ISA On in Total Store
336,40,99,Tier 1,ISA On in Total Store
461,57,5425,Tier 1,ISA On in Total Store
482,25,3781,Tier 1,ISA On in Total Store
479,5,940,Tier 1,ISA On in Total Store
383,54,3259,Tier 1,ISA On in Total Store
14,14,2760,Tier 1,ISA On in Total Store
92,9,1702,Tier 1,ISA On in Total Store
502,59,3885,Tier 1,ISA On in Total Store
344,44,132,Tier 1,ISA On in Total Store
107,9,929,Tier 1,ISA On in Total Store
