Store#,Must Arrive By Date,Updated Construction Start,Ceremony Date
646,2/28/22,2/27/22,3/7/22
1509,2/28/22,2/27/22,3/7/22
1528,2/28/22,2/27/22,3/7/22
1721,2/28/22,2/27/22,3/7/22
2004,2/28/22,2/27/22,3/7/22
2827,2/28/22,2/27/22,3/7/22
2889,2/28/22,2/27/22,3/7/22
5115,2/28/22,2/27/22,3/7/22
204,2/28/22,2/27/22,3/7/22
257,2/28/22,2/27/22,3/7/22
294,2/28/22,2/27/22,3/7/22
333,2/28/22,2/27/22,3/7/22
431,2/28/22,2/27/22,3/7/22
655,2/28/22,2/27/22,3/7/22
802,3/2/22,2/27/22,3/7/22
1002,3/4/22,3/6/22,3/14/22
5695,3/2/22,2/27/22,3/7/22
196,3/10/22,3/13/22,3/21/22
216,3/10/22,3/13/22,3/21/22
233,3/10/22,3/13/22,3/21/22
237,3/10/22,3/13/22,3/21/22
252,3/10/22,3/13/22,3/21/22
254,3/10/22,3/13/22,3/21/22
302,3/10/22,3/13/22,3/21/22
422,3/4/22,3/6/22,3/14/22
454,3/10/22,3/13/22,3/21/22
506,3/11/22,3/13/22,3/21/22
550,3/11/22,3/13/22,3/21/22
612,3/4/22,3/6/22,3/14/22
633,2/28/22,2/27/22,3/7/22
775,2/28/22,2/27/22,3/7/22
798,3/4/22,3/6/22,3/14/22
833,3/11/22,3/13/22,3/21/22
1028,3/4/22,3/6/22,3/14/22
1093,3/4/22,3/6/22,3/14/22
1596,3/4/22,3/6/22,3/14/22
1690,3/7/22,3/6/22,3/14/22
1734,3/7/22,3/6/22,3/14/22
3110,2/28/22,2/27/22,3/7/22
3166,2/28/22,2/27/22,3/7/22
3255,3/7/22,3/6/22,3/14/22
4259,3/7/22,3/6/22,3/14/22
4699,2/28/22,2/27/22,3/7/22
5044,2/28/22,2/27/22,3/7/22
5157,3/7/22,3/6/22,3/14/22
5199,3/7/22,3/6/22,3/14/22
5403,3/7/22,3/6/22,3/14/22
5617,3/7/22,3/6/22,3/14/22
5645,2/28/22,2/27/22,3/7/22
5646,2/28/22,2/27/22,3/7/22
6167,3/7/22,3/6/22,3/14/22
20,2/28/22,2/27/22,3/7/22
26,3/2/22,2/27/22,3/7/22
30,2/28/22,2/27/22,3/7/22
39,2/28/22,2/27/22,3/7/22
179,3/7/22,3/6/22,3/14/22
195,3/11/22,3/13/22,3/21/22
242,3/11/22,3/13/22,3/21/22
378,3/11/22,3/13/22,3/21/22
484,3/7/22,3/6/22,3/14/22
486,3/2/22,2/27/22,3/7/22
577,3/7/22,3/6/22,3/14/22
888,2/28/22,2/27/22,3/7/22
998,3/2/22,2/27/22,3/7/22
1014,2/28/22,2/27/22,3/7/22
1120,2/28/22,2/27/22,3/7/22
1142,3/7/22,3/6/22,3/14/22
1151,3/7/22,3/6/22,3/14/22
1599,3/7/22,3/6/22,3/14/22
2442,2/28/22,2/27/22,3/7/22
2856,2/28/22,2/27/22,3/7/22
2955,3/7/22,3/6/22,3/14/22
3062,3/7/22,3/6/22,3/14/22
3111,3/7/22,3/6/22,3/14/22
3273,3/7/22,3/6/22,3/14/22
4198,3/7/22,3/6/22,3/14/22
4590,2/28/22,2/27/22,3/7/22
4611,3/2/22,2/27/22,3/7/22
5149,3/11/22,3/13/22,3/21/22
5180,3/7/22,3/6/22,3/14/22
5207,3/11/22,3/13/22,3/21/22
5219,3/7/22,3/6/22,3/14/22
5308,3/2/22,2/27/22,3/7/22
6172,3/7/22,3/6/22,3/14/22
6392,3/2/22,2/27/22,3/7/22
6500,2/28/22,2/27/22,3/7/22
6585,3/3/22,2/27/22,3/7/22
