Store,Commodity,Delivery Saturday,Delivery Sunday,Delivery Monday,Delivery Tuesday,Delivery Wednesday,Delivery Thursday,Delivery Friday
32,HVDC,1,1,1,1,1,Closed,1
44,HVDC,0,0,1,0,1,Closed,1
57,HVDC,0,0,1,0,1,Closed,1
64,FDD,1,1,0,1,1,Closed,1
98,FDD,1,1,1,1,1,Closed,1
106,FDD,1,1,0,1,1,Closed,1
116,HVDC,0,1,0,1,1,Closed,1
116,FDD,1,0,1,1,1,Closed,1
132,FDD,1,1,0,1,1,Closed,1
133,HVDC,1,1,1,0,1,Closed,1
133,FDD,1,0,1,0,1,Closed,1
135,FDD,1,1,1,1,1,Closed,1
136,HVDC,1,1,0,1,0,Closed,1
136,FDD,1,1,0,1,1,Closed,1
145,HVDC,1,1,1,1,1,Closed,1
169,FDD,1,1,0,1,1,Closed,1
178,HVDC,1,1,1,1,1,Closed,1
209,HVDC,1,0,1,0,1,Closed,1
209,FDD,1,1,1,0,1,Closed,1
210,HVDC,0,0,1,0,1,Closed,1
229,FDD,0,1,1,1,1,Closed,1
230,MP,0,1,0,1,0,Closed,1
232,HVDC,1,0,1,1,0,Closed,1
247,HVDC,0,0,1,0,1,Closed,1
271,FDD,1,1,1,0,1,Closed,1
274,HVDC,0,1,0,1,0,Closed,1
279,FDD,1,1,0,1,1,Closed,1
283,HVDC,0,0,1,0,1,Closed,1
289,HVDC,0,1,0,1,1,Closed,1
289,FDD,1,1,1,0,1,Closed,1
290,HVDC,1,1,1,0,1,Closed,1
290,FDD,1,0,1,1,1,Closed,1
292,FDD,0,1,1,1,1,Closed,1
293,HVDC,1,0,1,0,1,Closed,1
311,HVDC,0,1,0,1,1,Closed,1
311,FDD,1,1,1,1,1,Closed,0
320,HVDC,0,1,0,1,0,Closed,1
326,HVDC,0,0,1,0,1,Closed,1
326,MP,0,0,0,0,0,Closed,0
326,Only Dairy Deli,1,0,0,1,0,Closed,1
334,FDD,1,1,1,0,1,Closed,1
339,HVDC,0,0,1,0,1,Closed,1
341,FDD,1,0,1,1,1,Closed,1
