Region,Market,Store,Labor Status,,,,,,,,,,,,
42,323,1,,,,,,,,,,,,,
42,323,4,,,,,,,,,,,,,
40,336,29,Cancelled,,,,,,,,,,,,
40,336,44,Cancelled,,,,,,,,,,,,
42,328,57,,,,,,,,,,,,,
40,336,65,Cancelled,,,,,,,,,,,,
42,328,71,,,,,,,,,,,,,
11,329,74,,,,,,,,,,,,,
42,327,83,,,,,,,,,,,,,
40,336,89,Cancelled,,,,,,,,,,,,
42,323,100,,,,,,,,,,,,,
40,336,101,Cancelled,,,,,,,,,,,,
42,324,126,,,,,,,,,,,,,
42,325,127,,,,,,,,,,,,,
