Store # ,LAST STRIPING DATE ,City ,State ,Approved Budget- 2024
2074,9/8/2021,WASILLA,AK,"$15,000"
287,5/20/2019,JASPER,AL,"$15,000"
723,10/18/2021,Troy,AL,"$15,000"
809,10/12/2022,OXFORD,AL,"$15,000"
866,10/24/2022,Mobile,AL,"$15,000"
904,10/23/2022,Foley,AL,"$15,000"
1100,1/17/2022,Hamilton,AL,"$15,000"
1101,11/17/2021,WETUMPKA,AL,"$15,000"
2306,12/21/2021,NORTHPORT,AL,"$15,000"
2534,7/18/2022,DOTHAN,AL,"$15,000"
2739,11/18/2022,BAY MINETTE,AL,"$15,000"
2748,2/28/2022,GULF SHORES,AL,"$15,000"
3184,5/6/2019,HOOVER,AL,"$8,500"
16,10/28/2022,VAN BUREN,AR,"$15,000"
33,9/20/2022,NASHVILLE,AR,"$15,000"
62,1/10/2022,BLYTHEVILLE,AR,"$15,000"
71,8/31/2022,POCAHONTAS,AR,"$15,000"
119,8/20/2021,BATESVILLE,AR,"$15,000"
157,6/17/2022,SEARCY,AR,"$15,000"
279,8/2/2022,DE QUEEN,AR,"$15,000"
1105,5/20/2022,NORTH LITTLE ROCK,AR,"$15,000"
2587,6/20/2022,CABOT,AR,"$15,000"
3231,4/11/2022,GREENWOOD,AR,"$15,000"
4128,5/13/2022,RUSSELLVILLE,AR,"$8,500"
4654,1/10/2022,MARION,AR,"$8,500"
5244,4/28/2021,LITTLE ROCK,AR,"$15,000"
5789,9/7/2022,HOT SPRINGS,AR,"$8,500"
6975,5/24/2022,CABOT,AR,"$8,500"
7317,3/28/2022,GREENBRIER,AR,"$8,500"
1149,10/21/2019,SAFFORD,AZ,"$15,000"
1240,10/18/2019,SIERRA VISTA,AZ,"$15,000"
1291,4/29/2022,TUCSON,AZ,"$15,000"
1334,10/18/2019,CLAYPOOL,AZ,"$15,000"
1369,5/8/2020,PAYSON,AZ,"$15,000"
1474,8/23/2018,YUMA,AZ,"$15,000"
1532,11/4/2022,GLENDALE,AZ,"$15,000"
1612,11/29/2022,TUCSON,AZ,"$15,000"
2051,9/1/2022,Kingman,AZ,"$15,000"
2766,8/5/2022,SCOTTSDALE,AZ,"$15,000"
2778,12/3/2021,COOLIDGE,AZ,"$15,000"
3315,11/22/2021,GLENDALE,AZ,"$8,500"
3604,12/1/2021,GOODYEAR,AZ,"$8,500"
3846,12/4/2021,MESA,AZ,"$8,500"
4203,5/14/2020,Bullhead City (S),AZ,"$15,000"
4233,12/3/2021,GLENDALE,AZ,"$8,500"
4325,10/14/2020,YUMA,AZ,"$15,000"
4473,8/16/2018,TUCSON,AZ,"$8,500"
4490,3/10/2022,TUCSON,AZ,"$8,500"
5330,12/13/2021,PHOENIX,AZ,"$15,000"
5342,8/11/2020,YUMA,AZ,"$15,000"
5369,4/16/2021,GOODYEAR,AZ,"$15,000"
5428,12/5/2022,MESA,AZ,"$15,000"
5799,11/11/2021,TUCSON,AZ,"$15,000"
5835,1/7/2022,CAVE CREEK,AZ,"$15,000"
5858,8/22/2018,TUCSON,AZ,"$15,000"
1554,4/3/2022,STOCKTON,CA,"$15,000"
1588,1/10/2022,VICTORVILLE,CA,"$15,000"
1651,4/6/2022,AMERICAN CANYON,CA,"$15,000"
1660,11/12/2021,PALMDALE,CA,"$15,000"
1692,3/19/2020,COLTON,CA,"$15,000"
1700,6/30/2020,POWAY,CA,"$15,000"
1704,4/8/2022,VACAVILLE,CA,"$15,000"
1756,4/28/2022,FONTANA,CA,"$11,500"
1760,6/18/2022,FOLSOM,CA,"$15,000"
1789,4/1/2022,LODI,CA,"$15,000"
1832,12/23/2021,PALM SPRINGS,CA,"$15,000"
1881,8/4/2022,ANTELOPE,CA,"$15,000"
1903,7/11/2018,YUBA CITY,CA,"$15,000"
1915,11/9/2021,YUCCA VALLEY,CA,"$15,000"
1917,1/6/2022,SANTEE,CA,"$11,500"
1922,1/28/2022,RANCHO CUCAMONGA,CA,"$11,500"
1941,12/23/2022,GLENDORA,CA,"$11,500"
1963,7/21/2021,TURLOCK,CA,"$11,500"
1989,6/12/2021,LOMPOC,CA,"$15,000"
1992,5/28/2021,UPLAND,CA,"$11,500"
2002,5/14/2021,GILROY,CA,"$15,000"
2025,6/7/2021,TRACY,CA,"$15,000"
2030,4/2/2022,SONORA,CA,"$15,000"
2039,4/21/2022,MERCED,CA,"$11,500"
2044,6/13/2022,CHICO,CA,"$11,500"
2052,4/15/2020,UKIAH,CA,"$11,500"
2053,4/21/2020,WILLOWS,CA,"$15,000"
2110,12/6/2021,PARAMOUNT,CA,"$15,000"
2117,5/13/2021,LOS BANOS,CA,"$15,000"
2119,5/11/2021,MILPITAS,CA,"$15,000"
2218,9/28/2021,FOOTHILL RANCH,CA,"$15,000"
2245,10/7/2021,OCEANSIDE,CA,"$15,000"
2280,10/28/2022,MOUNTAIN VIEW,CA,"$11,500"
2288,12/21/2021,POMONA,CA,"$11,500"
2401,7/19/2018,DUARTE,CA,"$11,500"
2464,10/15/2021,Sacramento (Delta Shores),CA,"$15,000"
2495,11/4/2021,WESTMINSTER,CA,"$11,500"
2523,1/20/2022,BREA,CA,"$11,500"
2553,5/7/2019,WINDSOR,CA,"$11,500"
2689,2/20/2021,FRESNO,CA,"$8,500"
2886,10/16/2018,PICO RIVERA,CA,"$15,000"
2925,1/24/2022,NAPA,CA,"$15,000"
2951,11/11/2021,Lancaster,CA,"$15,000"
2989,5/13/2021,FREMONT,CA,"$11,500"
3132,6/1/2021,POMONA,CA,"$8,500"
3140,3/12/2020,Bakersfield,CA,"$8,500"
3141,6/12/2021,Bakersfield,CA,"$8,500"
3179,11/5/2021,THOUSAND OAKS,CA,"$8,500"
3276,1/6/2022,SAN BERNARDINO,CA,"$11,500"
3464,12/22/2021,CHINO,CA,"$15,000"
3477,4/4/2019,LONG BEACH,CA,"$15,000"
3522,8/6/2020,BALDWIN PARK,CA,"$15,000"
4340,5/8/2020,HESPERIA,CA,"$15,000"
5023,10/14/2022,NATIONAL CITY,CA,"$15,000"
5072,12/21/2021,TORRANCE,CA,"$11,500"
5133,4/15/2020,ANDERSON,CA,"$15,000"
5140,10/14/2019,LA MESA,CA,"$11,500"
5154,12/4/2020,ROSEMEAD,CA,"$15,000"
5162,10/28/2022,SANTA CLARITA,CA,"$15,000"
5231,3/31/2022,GALT,CA,"$15,000"
5305,1/25/2022,CHULA VISTA,CA,"$11,500"
5337,4/20/2022,CLOVIS,CA,"$15,000"
5394,10/18/2022,DINUBA,CA,"$15,000"
5425,12/3/2020,SAN JACINTO,CA,"$15,000"
5435,3/23/2019,SAN JOSE,CA,"$15,000"
5603,3/26/2019,DOWNEY,CA,"$8,500"
5635,5/7/2021,Visalia,CA,"$8,500"
5638,5/23/2020,SAN DIEGO,CA,"$8,500"
5640,4/14/2022,ANAHEIM,CA,"$8,500"
5641,8/5/2020,LA HABRA,CA,"$15,000"
5663,1/28/2022,JURUPA VALLEY,CA,"$8,500"
5751,1/19/2022,SALINAS,CA,"$15,000"
5848,8/3/2022,ELK GROVE,CA,"$11,500"
5884,11/8/2018,SAN JOSE,CA,"$15,000"
5890,5/16/2021,ATWATER,CA,"$15,000"
5956,3/25/2022,VISALIA,CA,"$15,000"
5979,8/2/2019,LINCOLN,CA,"$8,500"
8958,12/21/2021,Indio,CA,"$8,500"
869,8/17/2020,ALAMOSA,CO,"$15,000"
924,8/10/2021,STERLING,CO,"$15,000"
966,9/24/2020,CORTEZ,CO,"$15,000"
1095,6/7/2022,GLENWOOD SPRINGS,CO,"$11,500"
1280,11/22/2021,GRAND JUNCTION,CO,"$15,000"
1384,7/31/2020,LA JUNTA,CO,"$15,000"
3176,10/22/2021,COLORADO SPRINGS,CO,"$8,500"
3227,7/10/2020,MONUMENT,CO,"$15,000"
3382,10/6/2021,PUEBLO WEST,CO,"$15,000"
4288,7/22/2022,BROOMFIELD,CO,"$15,000"
4377,10/11/2022,CRAIG,CO,"$15,000"
4567,7/11/2022,BRIGHTON,CO,"$15,000"
4734,7/12/2022,Arvada (E),CO,"$15,000"
5033,11/11/2021,FORT MORGAN,CO,"$15,000"
5049,8/2/2022,LITTLETON,CO,"$15,000"
5123,10/8/2021,COLORADO SPRINGS,CO,"$15,000"
5232,6/13/2018,RIFLE,CO,"$15,000"
