Store,Labor Status,,,,,,,,,,,,
8,Pending,,,,,,,,,,,,
4108,,,,,,,,,,,,,
6958,,,,,,,,,,,,,
7009,,,,,,,,,,,,,
3701,,,,,,,,,,,,,
7238,,,,,,,,,,,,,
1795,,,,,,,,,,,,,
44,Cancelled,,,,,,,,,,,,
29,Cancelled,,,,,,,,,,,,
65,,,,,,,,,,,,,
89,Cancelled,,,,,,,,,,,,
101,Cancelled,,,,,,,,,,,,
219,Cancelled,,,,,,,,,,,,
5477,Cancelled,,,,,,,,,,,,
1008,,,,,,,,,,,,,
2599,,,,,,,,,,,,,
1996,,,,,,,,,,,,,
477,,,,,,,,,,,,,
148,Cancelled,,,,,,,,,,,,
204,Cancelled,,,,,,,,,,,,
266,Cancelled,,,,,,,,,,,,
417,Cancelled,,,,,,,,,,,,
467,Cancelled,,,,,,,,,,,,
471,Cancelled,,,,,,,,,,,,
477,Cancelled,,,,,,,,,,,,
526,Cancelled,,,,,,,,,,,,
532,Cancelled,,,,,,,,,,,,
586,Cancelled,,,,,,,,,,,,
649,Cancelled,,,,,,,,,,,,
674,Cancelled,,,,,,,,,,,,
835,Cancelled,,,,,,,,,,,,
839,Cancelled,,,,,,,,,,,,
880,Cancelled,,,,,,,,,,,,
966,Cancelled,,,,,,,,,,,,
973,Cancelled,,,,,,,,,,,,
1102,Cancelled,,,,,,,,,,,,
1144,Cancelled,,,,,,,,,,,,
1163,Pending,,,,,,,,,,,,
1171,Cancelled,,,,,,,,,,,,
1206,Cancelled,,,,,,,,,,,,
1239,Cancelled,,,,,,,,,,,,
1252,Cancelled,,,,,,,,,,,,
1301,Cancelled,,,,,,,,,,,,
1342,Pending,,,,,,,,,,,,
1359,Cancelled,,,,,,,,,,,,
1393,Cancelled,,,,,,,,,,,,
1393,Cancelled,,,,,,,,,,,,
1405,Cancelled,,,,,,,,,,,,
1427,Cancelled,,,,,,,,,,,,
1491,Cancelled,,,,,,,,,,,,
1503,Cancelled,,,,,,,,,,,,
1504,Cancelled,,,,,,,,,,,,
1509,Cancelled,,,,,,,,,,,,
1529,Cancelled,,,,,,,,,,,,
1532,Cancelled,,,,,,,,,,,,
1533,Cancelled,,,,,,,,,,,,
1550,Cancelled,,,,,,,,,,,,
1559,Cancelled,,,,,,,,,,,,
1584,Cancelled,,,,,,,,,,,,
1590,Cancelled,,,,,,,,,,,,
1594,Cancelled,,,,,,,,,,,,
1603,Cancelled,,,,,,,,,,,,
1644,Cancelled,,,,,,,,,,,,
1683,Cancelled,,,,,,,,,,,,
1723,Cancelled,,,,,,,,,,,,
1764,Cancelled,,,,,,,,,,,,
1764,Cancelled,,,,,,,,,,,,
1794,Cancelled,,,,,,,,,,,,
1860,Pending,,,,,,,,,,,,
1981,Pending,,,,,,,,,,,,
1985,Pending,,,,,,,,,,,,
1990,Cancelled,,,,,,,,,,,,
2015,Cancelled,,,,,,,,,,,,
2023,Cancelled,,,,,,,,,,,,
2045,Pending,,,,,,,,,,,,
2089,Cancelled,,,,,,,,,,,,
2125,Cancelled,,,,,,,,,,,,
2169,Cancelled,,,,,,,,,,,,
2205,Cancelled,,,,,,,,,,,,
2340,Cancelled,,,,,,,,,,,,
2357,Pending,,,,,,,,,,,,
2385,Cancelled,,,,,,,,,,,,
2403,Cancelled,,,,,,,,,,,,
2412,Pending,,,,,,,,,,,,
2426,Cancelled,,,,,,,,,,,,
2471,Cancelled,,,,,,,,,,,,
2481,Cancelled,,,,,,,,,,,,
2483,Cancelled,,,,,,,,,,,,
2516,Cancelled,,,,,,,,,,,,
2519,Cancelled,,,,,,,,,,,,
2571,Cancelled,,,,,,,,,,,,
2649,Cancelled,,,,,,,,,,,,
2667,Cancelled,,,,,,,,,,,,
2706,Pending,,,,,,,,,,,,
2714,Cancelled,,,,,,,,,,,,
2725,Cancelled,,,,,,,,,,,,
2726,Cancelled,,,,,,,,,,,,
2799,Pending,,,,,,,,,,,,
2808,Cancelled,,,,,,,,,,,,
2820,Canceled,,,,,,,,,,,,
2884,Cancelled,,,,,,,,,,,,
