Store #,City,Category,Declaration Category,Declared Items,UPC ,Cat,Sub-Cat,Action Needed,Reporting Category,Store-UPC
77,TAYLOR,Bread,Whole Wheat Bread,Sara Lee 100% Whole Wheat Bread,7294561103,16,1,,Bread,777294561103
77,TAYLOR,Cheese,Cheese,GV Deluxe Sliced American ,7874235327,2,12,,Cheese,777874235327
77,TAYLOR,Cheese,Cheese,GV Colby 1lb,7874243020,2,12,,Cheese,777874243020
77,TAYLOR,Cheese,Cheese,GV Colby Jack 1 lb,7874207964,2,12,,Cheese,777874207964
77,TAYLOR,Cheese,Cheese,GV Med Cheddar 1lb,7874221730,2,12,,Cheese,777874221730
77,TAYLOR,Cheese,Cheese,GV Mild Cheddar 1lb,7874237458,2,12,,Cheese,777874237458
77,TAYLOR,Cheese,Cheese,GV Mild Cheddar 2lb,7874206773,2,12,,Cheese,777874206773
77,TAYLOR,Cheese,Cheese,GV Mont Jack - 1 lb,7874243021,2,12,,Cheese,777874243021
77,TAYLOR,Cheese,Cheese,GV Mont Jack - 2 lb,7874209747,2,12,,Cheese,777874209747
77,TAYLOR,Cheese,Cheese,GV Mozzarella - 1 lb,7874243019,2,12,,Cheese,777874243019
77,TAYLOR,Cheese,Cheese,GV Mozzarella -2 lb,7874211907,2,12,,Cheese,777874211907
77,TAYLOR,Cheese,Cheese,GV Sharp Cheddar 1lb,7874243022,2,12,,Cheese,777874243022
77,TAYLOR,Cheese,Cheese,GV Sharp Cheddar 2lb,7874214878,2,12,,Cheese,777874214878
77,TAYLOR,Cheese,Cheese,Frigo String Cheese,4171623216,2,12,,Cheese,774171623216
77,TAYLOR,Cheese,Cheese,GV XSharp Cheddar 1lb,7874206257,2,12,,Cheese,777874206257
77,TAYLOR,Frozen Juice,Grape P 12 oz Frozen,GV Grape P 12 oz Frozen,7874222979,4,5,,Juice - Women,777874222979
77,TAYLOR,Frozen Juice,Orange 12 oz - Other Pulp Free Frozen ,GV Orange Pulp Free 12 oz Frozen,7874212237,4,5,,Juice - Women,777874212237
77,TAYLOR,Frozen Juice,Orange 12 oz Frozen,GV Orange 12 oz Frozen,7874237167,4,5,,Juice - Women,777874237167
77,TAYLOR,Juice,Apple 64 oz.,GV Apple 64 oz,7874208819,4,4,,Juice - Children,777874208819
77,TAYLOR,Juice,Cranberry Grape 64 oz,GV Crangrape 64 oz,7874206990,4,4,,Juice - Children,777874206990
77,TAYLOR,Juice,Grape Purple 64 oz.,GV Grape Purple 64 oz,7874222690,4,4,,Juice - Children,777874222690
77,TAYLOR,Juice,Grape White 64 oz.,GV Grape White 64 oz,7874222689,4,4,,Juice - Children,777874222689
77,TAYLOR,Juice,Orange 64 oz - Non Refrigerated,GV Orange 64 oz NR- 7874229660,7874229660,4,4,,Juice - Children,777874229660
77,TAYLOR,Juice,Pineapple 64 oz,GV Pineapple 64 oz NR,7874201467,4,4,,Juice - Children,777874201467
77,TAYLOR,Juice,Tomato 64 oz,GV Tomato 64 oz,7874206209,4,4,,Juice - Children,777874206209
77,TAYLOR,Juice,Vegetable 64 oz,GV Vegetable 64 oz,7874206203,4,4,,Juice - Children,777874206203
77,TAYLOR,Juice,Apple 48 oz.,Tex Sun Apple 48 oz,1630022001,4,5,,Juice - Women,771630022001
77,TAYLOR,Juice,Orange 48 oz - Non Refrigerated,Tex Sun Orange 48 oz NR,1630022005,4,5,,Juice - Women,771630022005
77,TAYLOR,Juice,Orange Pineapple 48 oz,Tex Sun Orange Pineapple 48 oz,1630022006,4,5,,Juice - Women,771630022006
77,TAYLOR,Juice  ,Cranberry 64 oz,OS Cranberry 64 oz,3120003469,4,4,,Juice - Children,773120003469
77,TAYLOR,Milk,1% Milk Gallon,GV 1% Milk Gallon,7874235188,1,2,,Milk,777874235188
77,TAYLOR,Milk,Skim Milk Gallon,GV Skim Milk Gallon,7874235189,1,2,,Milk,777874235189
77,TAYLOR,Milk,1% Milk Half Gallon ,GV 1% Milk Half Gallon,7874235202,1,6,,Milk,777874235202
77,TAYLOR,Milk,Skim Milk Half Gallon ,GV Skim Milk Half Gallon,7874235203,1,6,,Milk,777874235203
77,TAYLOR,Milk,Whole Milk Quart,PRAIRIE FARMS HILAND WHOLE QT-032OZ,7206000012,50,1,,Milk,777206000012
77,TAYLOR,Milk,Whole Milk Gallon,GV Whole Milk Gallon,7874235186,51,1,,Milk,777874235186
77,TAYLOR,Milk,Whole Milk Half Gallon ,GV Whole Milk Half Gallon,7874235200,51,2,,Milk,777874235200
77,TAYLOR,Milk,1% Milk Quart,PRAIRIE FARMS HILAND 1% QT-032OZ,7206000055,52,1,,Milk,777206000055
77,TAYLOR,Milk,Skim Milk Quart,PRAIRIE FARMS HILAND SKIM QT-032OZ,7206000086,52,1,,Milk,777206000086
131,MOUNT PLEASANT,Bread,Whole Wheat Bread,Sara Lee 100% Whole Wheat Bread,7294561103,16,1,,Bread,1317294561103
131,MOUNT PLEASANT,Cheese,Cheese,GV Deluxe Sliced American ,7874235327,2,12,,Cheese,1317874235327
131,MOUNT PLEASANT,Cheese,Cheese,GV Colby Jack 1 lb,7874207964,2,12,,Cheese,1317874207964
131,MOUNT PLEASANT,Cheese,Cheese,GV Med Cheddar 1lb,7874221730,2,12,,Cheese,1317874221730
131,MOUNT PLEASANT,Cheese,Cheese,GV Mild Cheddar 1lb,7874237458,2,12,,Cheese,1317874237458
131,MOUNT PLEASANT,Cheese,Cheese,GV Mild Cheddar 2lb,7874206773,2,12,,Cheese,1317874206773
131,MOUNT PLEASANT,Cheese,Cheese,GV Mont Jack - 1 lb,7874243021,2,12,,Cheese,1317874243021
131,MOUNT PLEASANT,Cheese,Cheese,GV Mont Jack - 2 lb,7874209747,2,12,,Cheese,1317874209747
131,MOUNT PLEASANT,Cheese,Cheese,GV Mozzarella - 1 lb,7874243019,2,12,,Cheese,1317874243019
131,MOUNT PLEASANT,Cheese,Cheese,GV Mozzarella -2 lb,7874211907,2,12,,Cheese,1317874211907
131,MOUNT PLEASANT,Cheese,Cheese,GV Sharp Cheddar 1lb,7874243022,2,12,,Cheese,1317874243022
131,MOUNT PLEASANT,Cheese,Cheese,GV Sharp Cheddar 2lb,7874214878,2,12,,Cheese,1317874214878
131,MOUNT PLEASANT,Cheese,Cheese,Frigo String Cheese,4171623216,2,12,,Cheese,1314171623216
131,MOUNT PLEASANT,Cheese,Cheese,GV XSharp Cheddar 1lb,7874206257,2,12,,Cheese,1317874206257
131,MOUNT PLEASANT,Frozen Juice,Orange 12 oz - Other Pulp Free Frozen ,GV Orange Pulp Free 12 oz Frozen,7874212237,4,5,,Juice - Women,1317874212237
131,MOUNT PLEASANT,Frozen Juice,Orange 12 oz Frozen,GV Orange 12 oz Frozen,7874237167,4,5,,Juice - Women,1317874237167
131,MOUNT PLEASANT,Juice,Apple 64 oz.,GV Apple 64 oz,7874208819,4,4,,Juice - Children,1317874208819
131,MOUNT PLEASANT,Juice,Cranberry Grape 64 oz,GV Crangrape 64 oz,7874206990,4,4,,Juice - Children,1317874206990
131,MOUNT PLEASANT,Juice,Grape Purple 64 oz.,GV Grape Purple 64 oz,7874222690,4,4,,Juice - Children,1317874222690
131,MOUNT PLEASANT,Juice,Grape White 64 oz.,GV Grape White 64 oz,7874222689,4,4,,Juice - Children,1317874222689
131,MOUNT PLEASANT,Juice,Orange 64 oz - Non Refrigerated,GV Orange 64 oz NR- 7874229660,7874229660,4,4,,Juice - Children,1317874229660
131,MOUNT PLEASANT,Juice,Pineapple 64 oz,GV Pineapple 64 oz NR,7874201467,4,4,,Juice - Children,1317874201467
131,MOUNT PLEASANT,Juice,Tomato 64 oz,GV Tomato 64 oz,7874206209,4,4,,Juice - Children,1317874206209
131,MOUNT PLEASANT,Juice,Vegetable 64 oz,GV Vegetable 64 oz,7874206203,4,4,,Juice - Children,1317874206203
131,MOUNT PLEASANT,Juice,Apple 48 oz.,Tex Sun Apple 48 oz,1630022001,4,5,,Juice - Women,1311630022001
131,MOUNT PLEASANT,Juice,Orange 48 oz - Non Refrigerated,Tex Sun Orange 48 oz NR,1630022005,4,5,,Juice - Women,1311630022005
131,MOUNT PLEASANT,Juice,Orange Pineapple 48 oz,Tex Sun Orange Pineapple 48 oz,1630022006,4,5,,Juice - Women,1311630022006
131,MOUNT PLEASANT,Juice  ,Cranberry 64 oz,OS Cranberry 64 oz,3120003469,4,4,,Juice - Children,1313120003469
131,MOUNT PLEASANT,Milk,1% Milk Gallon,GV 1% Milk Gallon,7874235188,1,2,,Milk,1317874235188
131,MOUNT PLEASANT,Milk,Skim Milk Gallon,GV Skim Milk Gallon,7874235189,1,2,,Milk,1317874235189
131,MOUNT PLEASANT,Milk,1% Milk Half Gallon ,GV 1% Milk Half Gallon,7874235202,1,6,,Milk,1317874235202
131,MOUNT PLEASANT,Milk,Skim Milk Half Gallon ,GV Skim Milk Half Gallon,7874235203,1,6,,Milk,1317874235203
131,MOUNT PLEASANT,Milk,Whole Milk Quart,PRAIRIE FARMS HILAND WHOLE QT-032OZ,7206000012,50,1,,Milk,1317206000012
131,MOUNT PLEASANT,Milk,Whole Milk Gallon,GV Whole Milk Gallon,7874235186,51,1,,Milk,1317874235186
131,MOUNT PLEASANT,Milk,Whole Milk Half Gallon ,GV Whole Milk Half Gallon,7874235200,51,2,,Milk,1317874235200
131,MOUNT PLEASANT,Milk,1% Milk Quart,PRAIRIE FARMS HILAND 1% QT-032OZ,7206000055,52,1,,Milk,1317206000055
131,MOUNT PLEASANT,Milk,Skim Milk Quart,PRAIRIE FARMS HILAND SKIM QT-032OZ,7206000086,52,1,,Milk,1317206000086
140,LUFKIN,Bread,Whole Wheat Bread,Sara Lee 100% Whole Wheat Bread,7294561103,16,1,,Bread,1407294561103
140,LUFKIN,Cheese,Cheese,GV Deluxe Sliced American ,7874235327,2,12,,Cheese,1407874235327
140,LUFKIN,Cheese,Cheese,GV Colby 1lb,7874243020,2,12,,Cheese,1407874243020
140,LUFKIN,Cheese,Cheese,GV Colby Jack 1 lb,7874207964,2,12,,Cheese,1407874207964
140,LUFKIN,Cheese,Cheese,GV Med Cheddar 1lb,7874221730,2,12,,Cheese,1407874221730
140,LUFKIN,Cheese,Cheese,GV Mild Cheddar 1lb,7874237458,2,12,,Cheese,1407874237458
140,LUFKIN,Cheese,Cheese,GV Mild Cheddar 2lb,7874206773,2,12,,Cheese,1407874206773
140,LUFKIN,Cheese,Cheese,GV Mont Jack - 1 lb,7874243021,2,12,,Cheese,1407874243021
140,LUFKIN,Cheese,Cheese,GV Mont Jack - 2 lb,7874209747,2,12,,Cheese,1407874209747
140,LUFKIN,Cheese,Cheese,GV Mozzarella - 1 lb,7874243019,2,12,,Cheese,1407874243019
140,LUFKIN,Cheese,Cheese,GV Mozzarella -2 lb,7874211907,2,12,,Cheese,1407874211907
140,LUFKIN,Cheese,Cheese,GV Sharp Cheddar 1lb,7874243022,2,12,,Cheese,1407874243022
140,LUFKIN,Cheese,Cheese,GV Sharp Cheddar 2lb,7874214878,2,12,,Cheese,1407874214878
140,LUFKIN,Cheese,Cheese,Frigo String Cheese,4171623216,2,12,,Cheese,1404171623216
140,LUFKIN,Cheese,Cheese,GV XSharp Cheddar 1lb,7874206257,2,12,,Cheese,1407874206257
140,LUFKIN,Frozen Juice,Apple 12 oz Frozen,GV Apple 12 oz Frozen,7874235228,4,5,,Juice - Women,1407874235228
140,LUFKIN,Frozen Juice,Grape P 12 oz Frozen,GV Grape P 12 oz Frozen,7874222979,4,5,,Juice - Women,1407874222979
140,LUFKIN,Frozen Juice,Orange 12 oz - Other Pulp Free Frozen ,GV Orange Pulp Free 12 oz Frozen,7874212237,4,5,,Juice - Women,1407874212237
140,LUFKIN,Frozen Juice,Orange 12 oz Frozen,GV Orange 12 oz Frozen,7874237167,4,5,,Juice - Women,1407874237167
140,LUFKIN,Juice,Apple 64 oz.,GV Apple 64 oz,7874208819,4,4,,Juice - Children,1407874208819
140,LUFKIN,Juice,Cranberry Grape 64 oz,GV Crangrape 64 oz,7874206990,4,4,,Juice - Children,1407874206990
140,LUFKIN,Juice,Grape Purple 64 oz.,GV Grape Purple 64 oz,7874222690,4,4,,Juice - Children,1407874222690
140,LUFKIN,Juice,Grape White 64 oz.,GV Grape White 64 oz,7874222689,4,4,,Juice - Children,1407874222689
140,LUFKIN,Juice,Orange 64 oz - Non Refrigerated,GV Orange 64 oz NR- 7874229660,7874229660,4,4,,Juice - Children,1407874229660
140,LUFKIN,Juice,Pineapple 64 oz,GV Pineapple 64 oz NR,7874201467,4,4,,Juice - Children,1407874201467
140,LUFKIN,Juice,Tomato 64 oz,GV Tomato 64 oz,7874206209,4,4,,Juice - Children,1407874206209
