Store Number,Summer Event Islander
467,Yes
468,Yes
472,Yes
475,Yes
479,Yes
483,Yes
484,Yes
492,Yes
494,Yes
495,Yes
497,Yes
500,Yes
501,Yes
504,Yes
510,Yes
512,Yes
513,Yes
514,Yes
517,Yes
518,Yes
520,Yes
521,Yes
526,Yes
528,Yes
529,Yes
530,Yes
531,Yes
532,Yes
535,Yes
536,Yes
540,Yes
542,Yes
544,Yes
547,Yes
548,Yes
549,Yes
551,Yes
553,Yes
554,Yes
555,Yes
556,Yes
557,Yes
558,Yes
559,Yes
560,Yes
563,Yes
564,Yes
565,Yes
572,Yes
573,Yes
574,Yes
577,Yes
580,Yes
581,Yes
585,Yes
586,Yes
587,Yes
588,Yes
589,Yes
590,Yes
592,Yes
593,Yes
598,Yes
599,Yes
601,Yes
602,Yes
603,Yes
604,Yes
605,Yes
608,Yes
609,Yes
611,Yes
612,Yes
613,Yes
614,Yes
615,Yes
616,Yes
618,Yes
621,Yes
622,Yes
624,Yes
628,Yes
631,Yes
633,Yes
634,Yes
635,Yes
637,Yes
639,Yes
640,Yes
651,Yes
652,Yes
653,Yes
655,Yes
660,Yes
661,Yes
663,Yes
665,Yes
666,Yes
667,Yes
668,Yes
669,Yes
671,Yes
672,Yes
673,Yes
674,Yes
675,Yes
678,Yes
680,Yes
681,Yes
682,Yes
683,Yes
684,Yes
685,Yes
687,Yes
688,Yes
689,Yes
690,Yes
692,Yes
694,Yes
697,Yes
698,Yes
699,Yes
700,Yes
701,Yes
705,Yes
706,Yes
708,Yes
709,Yes
710,Yes
711,Yes
716,Yes
718,Yes
719,Yes
720,Yes
723,Yes
724,Yes
725,Yes
726,Yes
728,Yes
729,Yes
730,Yes
735,Yes
736,Yes
739,Yes
740,Yes
741,Yes
742,Yes
743,Yes
746,Yes
753,Yes
754,Yes
757,Yes
758,Yes
759,Yes
762,Yes
764,Yes
765,Yes
766,Yes
767,Yes
768,Yes
769,Yes
770,Yes
772,Yes
773,Yes
776,Yes
778,Yes
779,Yes
780,Yes
781,Yes
782,Yes
786,Yes
789,Yes
790,Yes
791,Yes
794,Yes
797,Yes
799,Yes
800,Yes
801,Yes
804,Yes
807,Yes
809,Yes
810,Yes
811,Yes
812,Yes
814,Yes
815,Yes
817,Yes
818,Yes
821,Yes
824,Yes
826,Yes
828,Yes
835,Yes
838,Yes
842,Yes
844,Yes
847,Yes
848,Yes
850,Yes
855,Yes
857,Yes
859,Yes
861,Yes
864,Yes
865,Yes
866,Yes
867,Yes
868,Yes
869,Yes
870,Yes
874,Yes
875,Yes
877,Yes
878,Yes
880,Yes
882,Yes
884,Yes
886,Yes
889,Yes
890,Yes
892,Yes
896,Yes
899,Yes
902,Yes
903,Yes
905,Yes
906,Yes
909,Yes
910,Yes
911,Yes
912,Yes
913,Yes
915,Yes
918,Yes
919,Yes
923,Yes
925,Yes
929,Yes
931,Yes
932,Yes
936,Yes
938,Yes
939,Yes
940,Yes
942,Yes
945,Yes
948,Yes
950,Yes
952,Yes
953,Yes
955,Yes
958,Yes
959,Yes
961,Yes
964,Yes
965,Yes
968,Yes
969,Yes
972,Yes
973,Yes
975,Yes
977,Yes
980,Yes
981,Yes
988,Yes
989,Yes
993,Yes
995,Yes
1001,Yes
1004,Yes
1005,Yes
1006,Yes
1007,Yes
1009,Yes
1010,Yes
1011,Yes
1012,Yes
1014,Yes
1015,Yes
1016,Yes
1019,Yes
1021,Yes
1023,Yes
1026,Yes
1028,Yes
1029,Yes
1030,Yes
1032,Yes
1033,Yes
1034,Yes
1036,Yes
1037,Yes
1039,Yes
1041,Yes
1044,Yes
1045,Yes
1047,Yes
1048,Yes
1053,Yes
1055,Yes
1056,Yes
1057,Yes
1060,Yes
1062,Yes
1064,Yes
1065,Yes
1068,Yes
1071,Yes
1072,Yes
1074,Yes
1075,Yes
1076,Yes
1077,Yes
1079,Yes
1080,Yes
1081,Yes
1082,Yes
1083,Yes
1085,Yes
1087,Yes
1089,Yes
1090,Yes
1091,Yes
1093,Yes
1096,Yes
1097,Yes
1099,Yes
1101,Yes
1103,Yes
1105,Yes
1111,Yes
1112,Yes
1115,Yes
1117,Yes
1118,Yes
1121,Yes
1122,Yes
1123,Yes
1125,Yes
1128,Yes
1132,Yes
1133,Yes
1134,Yes
1136,Yes
1137,Yes
1138,Yes
1139,Yes
1140,Yes
1142,Yes
1146,Yes
1149,Yes
1150,Yes
1151,Yes
1154,Yes
1155,Yes
1156,Yes
1158,Yes
1160,Yes
1161,Yes
1164,Yes
1165,Yes
1167,Yes
1168,Yes
1171,Yes
1172,Yes
1173,Yes
1178,Yes
1179,Yes
1180,Yes
1183,Yes
1185,Yes
1186,Yes
1187,Yes
1188,Yes
1190,Yes
1191,Yes
1193,Yes
1194,Yes
1195,Yes
1197,Yes
1198,Yes
1202,Yes
1204,Yes
1205,Yes
1206,Yes
1207,Yes
1209,Yes
1210,Yes
1212,Yes
1215,Yes
1218,Yes
1220,Yes
1221,Yes
1223,Yes
1224,Yes
1225,Yes
1226,Yes
1227,Yes
1229,Yes
1231,Yes
1232,Yes
1234,Yes
1236,Yes
1237,Yes
1238,Yes
1241,Yes
1242,Yes
1243,Yes
1244,Yes
1248,Yes
1249,Yes
1252,Yes
1253,Yes
1254,Yes
1255,Yes
1256,Yes
1257,Yes
1261,Yes
1264,Yes
1266,Yes
1268,Yes
1271,Yes
1273,Yes
1276,Yes
1277,Yes
1280,Yes
1281,Yes
1283,Yes
1284,Yes
1285,Yes
1287,Yes
1288,Yes
1289,Yes
1290,Yes
1291,Yes
1292,Yes
1293,Yes
1294,Yes
1298,Yes
1300,Yes
1301,Yes
1302,Yes
1303,Yes
1304,Yes
1305,Yes
1306,Yes
1307,Yes
1310,Yes
1311,Yes
1312,Yes
1314,Yes
1315,Yes
1318,Yes
1320,Yes
1321,Yes
1324,Yes
1325,Yes
1326,Yes
1327,Yes
1331,Yes
1332,Yes
1333,Yes
1335,Yes
1337,Yes
1339,Yes
1340,Yes
1341,Yes
1342,Yes
1344,Yes
1345,Yes
1346,Yes
1347,Yes
1348,Yes
1349,Yes
1350,Yes
1351,Yes
1353,Yes
1356,Yes
1360,Yes
1361,Yes
1362,Yes
1371,Yes
1372,Yes
1373,Yes
1376,Yes
1377,Yes
1378,Yes
1379,Yes
1381,Yes
1383,Yes
1384,Yes
1385,Yes
1388,Yes
1390,Yes
1392,Yes
1396,Yes
1397,Yes
1399,Yes
1400,Yes
1403,Yes
1404,Yes
1405,Yes
1407,Yes
1410,Yes
1411,Yes
1412,Yes
1414,Yes
1416,Yes
1418,Yes
1419,Yes
1420,Yes
1421,Yes
1422,Yes
1424,Yes
1425,Yes
1426,Yes
1427,Yes
1428,Yes
1429,Yes
1430,Yes
1431,Yes
1432,Yes
1433,Yes
1443,Yes
1446,Yes
1447,Yes
1448,Yes
1449,Yes
1450,Yes
1452,Yes
1453,Yes
1454,Yes
1455,Yes
1456,Yes
1457,Yes
1458,Yes
1459,Yes
1460,Yes
1461,Yes
1462,Yes
1463,Yes
1465,Yes
1466,Yes
1467,Yes
1469,Yes
1470,Yes
1472,Yes
1473,Yes
1476,Yes
1477,Yes
1478,Yes
1481,Yes
1483,Yes
1485,Yes
1486,Yes
1487,Yes
1488,Yes
1490,Yes
1491,Yes
1495,Yes
1496,Yes
1501,Yes
1502,Yes
1503,Yes
1504,Yes
1505,Yes
1507,Yes
1508,Yes
1509,Yes
1510,Yes
1511,Yes
1513,Yes
1514,Yes
1515,Yes
1516,Yes
1518,Yes
1519,Yes
1520,Yes
1521,Yes
1522,Yes
1524,Yes
1525,Yes
1527,Yes
1528,Yes
1529,Yes
1530,Yes
1532,Yes
1533,Yes
1534,Yes
1535,Yes
1538,Yes
1539,Yes
1540,Yes
1541,Yes
1544,Yes
1545,Yes
1547,Yes
1549,Yes
1551,Yes
1552,Yes
1553,Yes
1555,Yes
1556,Yes
1558,Yes
1562,Yes
1563,Yes
1565,Yes
1567,Yes
1568,Yes
1569,Yes
1570,Yes
1571,Yes
1572,Yes
1574,Yes
1575,Yes
1576,Yes
1577,Yes
1578,Yes
1580,Yes
1581,Yes
1583,Yes
1585,Yes
1589,Yes
1590,Yes
1591,Yes
1593,Yes
1595,Yes
1597,Yes
1600,Yes
1605,Yes
1606,Yes
1607,Yes
1609,Yes
1610,Yes
1612,Yes
1613,Yes
1615,Yes
1617,Yes
1619,Yes
1622,Yes
1626,Yes
1627,Yes
1628,Yes
1633,Yes
1634,Yes
1635,Yes
1637,Yes
1641,Yes
1642,Yes
1643,Yes
1644,Yes
1646,Yes
1649,Yes
1651,Yes
1655,Yes
1657,Yes
1658,Yes
1659,Yes
1660,Yes
1661,Yes
1662,Yes
1663,Yes
1664,Yes
1665,Yes
1666,Yes
1667,Yes
1668,Yes
1669,Yes
1670,Yes
1676,Yes
1679,Yes
1682,Yes
1684,Yes
1685,Yes
1687,Yes
1688,Yes
1689,Yes
1690,Yes
1691,Yes
1694,Yes
1695,Yes
1696,Yes
1698,Yes
1699,Yes
1703,Yes
1707,Yes
1709,Yes
1710,Yes
1711,Yes
1714,Yes
1715,Yes
1718,Yes
1720,Yes
1721,Yes
1722,Yes
1723,Yes
1726,Yes
1730,Yes
1733,Yes
1734,Yes
1735,Yes
1736,Yes
1738,Yes
1739,Yes
1740,Yes
1741,Yes
1742,Yes
1743,Yes
1745,Yes
1748,Yes
1749,Yes
1750,Yes
1752,Yes
1754,Yes
1757,Yes
1758,Yes
1762,Yes
1763,Yes
1764,Yes
1765,Yes
1768,Yes
1769,Yes
1770,Yes
1771,Yes
1772,Yes
1774,Yes
1775,Yes
1776,Yes
1777,Yes
1778,Yes
1779,Yes
1781,Yes
1782,Yes
1783,Yes
1784,Yes
1786,Yes
1789,Yes
1792,Yes
1794,Yes
1796,Yes
1798,Yes
1799,Yes
1804,Yes
1805,Yes
1806,Yes
1809,Yes
1811,Yes
1812,Yes
1814,Yes
1817,Yes
1819,Yes
1821,Yes
1823,Yes
1825,Yes
1828,Yes
1832,Yes
1833,Yes
1835,Yes
1836,Yes
1838,Yes
1839,Yes
1841,Yes
1842,Yes
1843,Yes
1846,Yes
1849,Yes
1850,Yes
1851,Yes
1853,Yes
1856,Yes
1857,Yes
1859,Yes
1861,Yes
1863,Yes
1864,Yes
1869,Yes
1870,Yes
1871,Yes
1874,Yes
1875,Yes
1883,Yes
1884,Yes
1885,Yes
1886,Yes
1888,Yes
1889,Yes
1890,Yes
1891,Yes
1892,Yes
1895,Yes
1896,Yes
1897,Yes
1900,Yes
1901,Yes
1902,Yes
1903,Yes
1904,Yes
1905,Yes
1907,Yes
1908,Yes
1909,Yes
1913,Yes
1917,Yes
1918,Yes
1921,Yes
1922,Yes
1923,Yes
1928,Yes
1931,Yes
1935,Yes
1936,Yes
1937,Yes
1940,Yes
1942,Yes
1945,Yes
1946,Yes
1947,Yes
1949,Yes
1951,Yes
1952,Yes
1954,Yes
1955,Yes
1956,Yes
1960,Yes
1961,Yes
1963,Yes
1964,Yes
1966,Yes
1967,Yes
1971,Yes
1977,Yes
1982,Yes
1988,Yes
1992,Yes
1993,Yes
2000,Yes
2006,Yes
2007,Yes
2010,Yes
2019,Yes
12,Yes
19,Yes
29,Yes
37,Yes
45,Yes
54,Yes
69,Yes
100,Yes
101,Yes
105,Yes
119,Yes
121,Yes
129,Yes
137,Yes
151,Yes
155,Yes
157,Yes
172,Yes
188,Yes
189,Yes
219,Yes
251,Yes
264,Yes
275,Yes
287,Yes
345,Yes
469,Yes
491,Yes
505,Yes
527,Yes
537,Yes
576,Yes
610,Yes
657,Yes
715,Yes
734,Yes
808,Yes
823,Yes
944,Yes
1958,Yes
1800,Yes
1802,Yes
1848,Yes
1873,Yes
1927,Yes
1932,Yes
1968,Yes
1975,Yes
1995,Yes
2009,Yes
2016,Yes
2036,Yes
813,Yes
2049,Yes
1933,Yes
1976,Yes
1959,Yes
1916,Yes
1965,Yes
1978,Yes
1987,Yes
1989,Yes
1994,Yes
2003,Yes
2005,Yes
2022,Yes
2021,Yes
2027,Yes
2032,Yes
2035,Yes
2041,Yes
2046,Yes
2048,Yes
2051,Yes
2055,Yes
2058,Yes
2059,Yes
5,Yes
1948,Yes
516,Yes
2015,Yes
695,Yes
2023,Yes
2024,Yes
2040,Yes
2056,Yes
1611,Yes
23,Yes
41,Yes
214,Yes
285,Yes
330,Yes
427,Yes
481,Yes
489,Yes
546,Yes
658,Yes
755,Yes
822,Yes
922,Yes
963,Yes
1991,Yes
2004,Yes
2028,Yes
2047,Yes
2054,Yes
2062,Yes
2063,Yes
2064,Yes
2065,Yes
2073,Yes
2083,Yes
2102,Yes
2105,Yes
2084,Yes
417,Yes
2081,Yes
2097,Yes
2101,Yes
2103,Yes
2133,Yes
2192,Yes
2201,Yes
2074,Yes
2070,Yes
2071,Yes
202,Yes
1677,Yes
1985,Yes
2037,Yes
2045,Yes
2066,Yes
2075,Yes
2082,Yes
2088,Yes
2089,Yes
2090,Yes
2092,Yes
2093,Yes
2094,Yes
2111,Yes
2113,Yes
2114,Yes
2115,Yes
2117,Yes
2118,Yes
2119,Yes
2121,Yes
2122,Yes
2123,Yes
2131,Yes
2139,Yes
2141,Yes
2145,Yes
2146,Yes
2147,Yes
2149,Yes
2150,Yes
2152,Yes
2153,Yes
2154,Yes
2157,Yes
2159,Yes
2161,Yes
2164,Yes
2169,Yes
2174,Yes
2175,Yes
2185,Yes
2191,Yes
2194,Yes
2197,Yes
2198,Yes
2200,Yes
2204,Yes
2205,Yes
2206,Yes
2208,Yes
2209,Yes
2210,Yes
2211,Yes
2215,Yes
2223,Yes
2225,Yes
2234,Yes
2239,Yes
2241,Yes
2279,Yes
2137,Yes
2158,Yes
2163,Yes
2167,Yes
2176,Yes
2177,Yes
2180,Yes
2184,Yes
2188,Yes
2190,Yes
2193,Yes
2199,Yes
2213,Yes
2214,Yes
2222,Yes
2224,Yes
2227,Yes
2228,Yes
2230,Yes
2231,Yes
2233,Yes
2236,Yes
2238,Yes
2243,Yes
2244,Yes
2247,Yes
2249,Yes
2256,Yes
2258,Yes
2259,Yes
2263,Yes
2264,Yes
2265,Yes
2266,Yes
2269,Yes
2270,Yes
2271,Yes
2273,Yes
2274,Yes
2278,Yes
2281,Yes
2282,Yes
2286,Yes
2287,Yes
2295,Yes
2300,Yes
2221,Yes
2237,Yes
2255,Yes
2262,Yes
2285,Yes
2196,Yes
2355,Yes
2306,Yes
2307,Yes
2309,Yes
2310,Yes
2311,Yes
2313,Yes
2316,Yes
2317,Yes
2323,Yes
2326,Yes
2330,Yes
2331,Yes
2336,Yes
2338,Yes
2339,Yes
2341,Yes
2350,Yes
2352,Yes
2354,Yes
2312,Yes
2318,Yes
2334,Yes
2337,Yes
2340,Yes
2351,Yes
2359,Yes
2361,Yes
2362,Yes
2366,Yes
2367,Yes
2369,Yes
2370,Yes
2371,Yes
2373,Yes
2365,Yes
2385,Yes
2386,Yes
2400,Yes
2401,Yes
2402,Yes
2403,Yes
2404,Yes
2405,Yes
2417,Yes
2421,Yes
2426,Yes
2427,Yes
2428,Yes
2429,Yes
2420,Yes
2181,Yes
2441,Yes
2445,Yes
2446,Yes
2447,Yes
2438,Yes
2436,Yes
2460,Yes
2450,Yes
2476,Yes
2491,Yes
2444,Yes
2475,Yes
2453,Yes
2455,Yes
2485,Yes
2490,Yes
2474,Yes
2512,Yes
2506,Yes
2519,Yes
2508,Yes
2504,Yes
2505,Yes
2510,Yes
2511,Yes
2496,Yes
2522,Yes
2537,Yes
2319,Yes
2520,Yes
2538,Yes
2480,Yes
2514,Yes
2523,Yes
2481,Yes
2549,Yes
2545,Yes
2534,Yes
2529,Yes
2539,Yes
2541,Yes
2532,Yes
2566,Yes
2544,Yes
2568,Yes
2472,Yes
2533,Yes
2565,Yes
2582,Yes
2547,Yes
2528,Yes
2554,Yes
2596,Yes
2574,Yes
2587,Yes
2605,Yes
2560,Yes
2567,Yes
2610,Yes
2543,Yes
2559,Yes
2629,Yes
2616,Yes
2551,Yes
2553,Yes
2555,Yes
2599,Yes
2615,Yes
2595,Yes
2633,Yes
2535,Yes
2548,Yes
2611,Yes
2612,Yes
2614,Yes
2591,Yes
2639,Yes
2627,Yes
2660,Yes
2588,Yes
2638,Yes
2556,Yes
2618,Yes
2628,Yes
2647,Yes
2515,Yes
2651,Yes
2663,Yes
2667,Yes
2687,Yes
2688,Yes
2690,Yes
2621,Yes
2644,Yes
2648,Yes
2668,Yes
2684,Yes
2704,Yes
2642,Yes
2705,Yes
2641,Yes
2702,Yes
2678,Yes
2679,Yes
2715,Yes
2733,Yes
2716,Yes
2439,Yes
2728,Yes
2844,Yes
2768,Yes
2777,Yes
2700,Yes
2723,Yes
2724,Yes
2806,Yes
2727,Yes
2697,Yes
2749,Yes
2604,Yes
2764,Yes
2811,Yes
2706,Yes
2649,Yes
2712,Yes
2771,Yes
2793,Yes
2814,Yes
2766,Yes
2820,Yes
2823,Yes
2832,Yes
2693,Yes
2694,Yes
2816,Yes
2817,Yes
2818,Yes
2865,Yes
2904,Yes
2713,Yes
2753,Yes
2803,Yes
2812,Yes
2821,Yes
2822,Yes
2846,Yes
2889,Yes
2761,Yes
2804,Yes
2809,Yes
2843,Yes
2891,Yes
2399,Yes
2883,Yes
2893,Yes
2914,Yes
2931,Yes
2780,Yes
2781,Yes
2782,Yes
2933,Yes
2938,Yes
2841,Yes
2740,Yes
2827,Yes
2855,Yes
2922,Yes
2928,Yes
2929,Yes
2884,Yes
3252,Yes
2789,Yes
2847,Yes
2869,Yes
2719,Yes
2828,Yes
2830,Yes
2853,Yes
2872,Yes
2882,Yes
2901,Yes
2905,Yes
2912,Yes
2921,Yes
2923,Yes
2937,Yes
2939,Yes
2957,Yes
2993,Yes
3200,Yes
3209,Yes
2859,Yes
2920,Yes
2990,Yes
2994,Yes
3201,Yes
3205,Yes
3216,Yes
3230,Yes
2916,Yes
3213,Yes
3214,Yes
2452,Yes
2857,Yes
2894,Yes
2978,Yes
2996,Yes
3224,Yes
2947,Yes
3225,Yes
2888,Yes
2747,Yes
3208,Yes
2958,Yes
3271,Yes
3283,Yes
2854,Yes
2585,Yes
2692,Yes
2965,Yes
2985,Yes
3218,Yes
3292,Yes
3469,Yes
3475,Yes
3476,Yes
2729,Yes
2796,Yes
2963,Yes
3210,Yes
3232,Yes
3251,Yes
3255,Yes
3259,Yes
3270,Yes
3277,Yes
3289,Yes
3297,Yes
3472,Yes
2735,Yes
2991,Yes
2992,Yes
2950,Yes
2951,Yes
3250,Yes
3487,Yes
3493,Yes
3498,Yes
3502,Yes
2874,Yes
2911,Yes
3233,Yes
3280,Yes
3288,Yes
3298,Yes
3473,Yes
3484,Yes
3492,Yes
3570,Yes
2756,Yes
2902,Yes
3560,Yes
3490,Yes
2945,Yes
3462,Yes
3482,Yes
3505,Yes
2924,Yes
3284,Yes
3566,Yes
3489,Yes
3265,Yes
3294,Yes
3518,Yes
2867,Yes
2886,Yes
3531,Yes
3561,Yes
3598,Yes
2962,Yes
3237,Yes
3274,Yes
3285,Yes
3459,Yes
3461,Yes
3463,Yes
3483,Yes
3486,Yes
3497,Yes
3500,Yes
3503,Yes
3515,Yes
3526,Yes
3533,Yes
3538,Yes
3568,Yes
2871,Yes
2852,Yes
2910,Yes
3221,Yes
3241,Yes
3247,Yes
3582,Yes
3583,Yes
3596,Yes
5031,Yes
5033,Yes
5054,Yes
2786,Yes
3222,Yes
3529,Yes
3569,Yes
3581,Yes
3590,Yes
5039,Yes
5045,Yes
5092,Yes
5115,Yes
5070,Yes
5104,Yes
3513,Yes
3541,Yes
3571,Yes
3573,Yes
3587,Yes
3597,Yes
5027,Yes
5028,Yes
5029,Yes
5030,Yes
5060,Yes
5064,Yes
5066,Yes
2795,Yes
5076,Yes
2722,Yes
5294,Yes
5295,Yes
5305,Yes
5313,Yes
3228,Yes
5097,Yes
5116,Yes
5298,Yes
5300,Yes
5301,Yes
5307,Yes
5311,Yes
5312,Yes
5340,Yes
5316,Yes
5317,Yes
5319,Yes
5320,Yes
5325,Yes
5326,Yes
5329,Yes
5330,Yes
5331,Yes
5334,Yes
5228,Yes
5113,Yes
5155,Yes
5136,Yes
5166,Yes
4049,Yes
2866,Yes
3276,Yes
3588,Yes
5048,Yes
5227,Yes
2767,Yes
3488,Yes
5034,Yes
5090,Yes
5118,Yes
5142,Yes
5229,Yes
2966,Yes
5141,Yes
5346,Yes
5348,Yes
5355,Yes
5358,Yes
5359,Yes
2890,Yes
5117,Yes
5127,Yes
5369,Yes
5370,Yes
5373,Yes
5036,Yes
5252,Yes
3494,Yes
5058,Yes
5144,Yes
5139,Yes
5082,Yes
3535,Yes
5396,Yes
5385,Yes
5388,Yes
5389,Yes
5390,Yes
5391,Yes
5397,Yes
5398,Yes
5399,Yes
5111,Yes
5402,Yes
5414,Yes
3527,Yes
5234,Yes
5263,Yes
5409,Yes
5410,Yes
5416,Yes
5140,Yes
3501,Yes
5087,Yes
5159,Yes
5165,Yes
5173,Yes
5175,Yes
4064,Yes
5160,Yes
5240,Yes
5455,Yes
5458,Yes
5462,Yes
5476,Yes
2986,Yes
5211,Yes
5287,Yes
5469,Yes
5470,Yes
5471,Yes
3516,Yes
5481,Yes
2502,Yes
3301,Yes
5486,Yes
5495,Yes
3302,Yes
5487,Yes
5488,Yes
5491,Yes
5494,Yes
5497,Yes
3293,Yes
5134,Yes
5288,Yes
3322,Yes
3307,Yes
3308,Yes
3311,Yes
3319,Yes
3329,Yes
5151,Yes
5233,Yes
5262,Yes
5439,Yes
3589,Yes
3522,Yes
3331,Yes
5192,Yes
5425,Yes
5426,Yes
5434,Yes
5442,Yes
5447,Yes
5450,Yes
5417,Yes
5418,Yes
5419,Yes
5420,Yes
5422,Yes
5424,Yes
5428,Yes
5430,Yes
5432,Yes
5441,Yes
5446,Yes
5477,Yes
3336,Yes
3337,Yes
3339,Yes
3342,Yes
3347,Yes
3348,Yes
3349,Yes
3360,Yes
3362,Yes
3363,Yes
3366,Yes
5077,Yes
5095,Yes
5276,Yes
5199,Yes
3520,Yes
5280,Yes
2980,Yes
5270,Yes
5275,Yes
5363,Yes
5272,Yes
5236,Yes
5022,Yes
2967,Yes
5055,Yes
5244,Yes
3524,Yes
5129,Yes
5150,Yes
5162,Yes
5085,Yes
5196,Yes
5239,Yes
5261,Yes
5266,Yes
2956,Yes
5281,Yes
5063,Yes
5210,Yes
5218,Yes
5254,Yes
5292,Yes
3367,Yes
3379,Yes
3380,Yes
3382,Yes
3387,Yes
3388,Yes
3389,Yes
3390,Yes
3391,Yes
3511,Yes
5105,Yes
5190,Yes
5264,Yes
3404,Yes
3397,Yes
3400,Yes
3402,Yes
3403,Yes
3406,Yes
3409,Yes
3420,Yes
3425,Yes
3428,Yes
3430,Yes
3431,Yes
3432,Yes
3434,Yes
3435,Yes
3436,Yes
3445,Yes
5278,Yes
5285,Yes
3601,Yes
3602,Yes
3608,Yes
3612,Yes
3616,Yes
3332,Yes
3620,Yes
3623,Yes
3624,Yes
3625,Yes
3626,Yes
3627,Yes
3630,Yes
3631,Yes
3633,Yes
3645,Yes
5260,Yes
2643,Yes
2671,Yes
3235,Yes
5056,Yes
5197,Yes
5368,Yes
2695,Yes
3236,Yes
5096,Yes
5253,Yes
3764,Yes
3700,Yes
3750,Yes
3762,Yes
3732,Yes
3765,Yes
3537,Yes
3215,Yes
3757,Yes
3778,Yes
3831,Yes
3702,Yes
3726,Yes
3722,Yes
3659,Yes
3738,Yes
3829,Yes
3838,Yes
3418,Yes
3751,Yes
3805,Yes
5201,Yes
3658,Yes
3733,Yes
3773,Yes
3802,Yes
3874,Yes
3827,Yes
3780,Yes
3739,Yes
3760,Yes
3786,Yes
3799,Yes
3825,Yes
3842,Yes
3851,Yes
3891,Yes
4235,Yes
5088,Yes
3748,Yes
3824,Yes
3867,Yes
4200,Yes
4249,Yes
3894,Yes
4219,Yes
4231,Yes
4216,Yes
3725,Yes
3777,Yes
3812,Yes
3857,Yes
4224,Yes
4273,Yes
5078,Yes
3705,Yes
3771,Yes
3828,Yes
3897,Yes
4243,Yes
4262,Yes
3422,Yes
3720,Yes
5472,Yes
3763,Yes
3782,Yes
3790,Yes
3840,Yes
3848,Yes
3893,Yes
4223,Yes
4255,Yes
4274,Yes
4284,Yes
4260,Yes
3833,Yes
4244,Yes
4335,Yes
3423,Yes
3717,Yes
3781,Yes
3784,Yes
3868,Yes
4272,Yes
4277,Yes
4278,Yes
4279,Yes
4286,Yes
4298,Yes
4318,Yes
4321,Yes
4384,Yes
4394,Yes
3850,Yes
3795,Yes
4221,Yes
4256,Yes
4285,Yes
4407,Yes
4414,Yes
4450,Yes
4238,Yes
4325,Yes
4424,Yes
4553,Yes
4336,Yes
4399,Yes
4417,Yes
4410,Yes
4440,Yes
4383,Yes
3731,Yes
4461,Yes
4521,Yes
4405,Yes
4520,Yes
4250,Yes
4368,Yes
4487,Yes
4511,Yes
4334,Yes
4423,Yes
3212,Yes
4348,Yes
4358,Yes
4381,Yes
4451,Yes
4476,Yes
4531,Yes
5241,Yes
3896,Yes
4288,Yes
4475,Yes
2964,Yes
4283,Yes
4295,Yes
4506,Yes
4538,Yes
4574,Yes
4567,Yes
2918,Yes
3485,Yes
4416,Yes
4631,Yes
4615,Yes
4558,Yes
4635,Yes
4497,Yes
4664,Yes
4484,Yes
4687,Yes
4387,Yes
4474,Yes
4477,Yes
4599,Yes
4682,Yes
4681,Yes
5735,Yes
4529,Yes
5732,Yes
4660,Yes
4627,Yes
4683,Yes
4697,Yes
4456,Yes
5845,Yes
4403,Yes
4514,Yes
4643,Yes
5779,Yes
5797,Yes
5842,Yes
5853,Yes
5854,Yes
