CLUB,ITEM,ON HAND QTY
4709,889800 - DIAMOND G RICE 25LB,156
4718,889800 - DIAMOND G RICE 25LB,171
4730,889800 - DIAMOND G RICE 25LB,402
4735,889800 - DIAMOND G RICE 25LB,104
4755,889800 - DIAMOND G RICE 25LB,120
4767,889800 - DIAMOND G RICE 25LB,114
4768,889800 - DIAMOND G RICE 25LB,115
4774,889800 - DIAMOND G RICE 25LB,346
4786,889800 - DIAMOND G RICE 25LB,162
4828,889800 - DIAMOND G RICE 25LB,425
4861,889800 - DIAMOND G RICE 25LB,362
4866,889800 - DIAMOND G RICE 25LB,463
4983,889800 - DIAMOND G RICE 25LB,244
6219,889800 - DIAMOND G RICE 25LB,209
6225,889800 - DIAMOND G RICE 25LB,471
6240,889800 - DIAMOND G RICE 25LB,228
6270,889800 - DIAMOND G RICE 25LB,364
6330,889800 - DIAMOND G RICE 25LB,279
6333,889800 - DIAMOND G RICE 25LB,148
6366,889800 - DIAMOND G RICE 25LB,338
6387,889800 - DIAMOND G RICE 25LB,472
6405,889800 - DIAMOND G RICE 25LB,179
6410,889800 - DIAMOND G RICE 25LB,2088
6440,889800 - DIAMOND G RICE 25LB,288
6543,889800 - DIAMOND G RICE 25LB,411
6612,889800 - DIAMOND G RICE 25LB,173
6613,889800 - DIAMOND G RICE 25LB,138
6614,889800 - DIAMOND G RICE 25LB,246
6616,889800 - DIAMOND G RICE 25LB,156
6617,889800 - DIAMOND G RICE 25LB,256
6620,889800 - DIAMOND G RICE 25LB,179
6622,889800 - DIAMOND G RICE 25LB,201
6624,889800 - DIAMOND G RICE 25LB,139
6626,889800 - DIAMOND G RICE 25LB,139
6628,889800 - DIAMOND G RICE 25LB,195
6630,889800 - DIAMOND G RICE 25LB,115
6631,889800 - DIAMOND G RICE 25LB,400
6680,889800 - DIAMOND G RICE 25LB,431
6682,889800 - DIAMOND G RICE 25LB,165
6683,889800 - DIAMOND G RICE 25LB,181
6684,889800 - DIAMOND G RICE 25LB,135
6686,889800 - DIAMOND G RICE 25LB,135
6689,889800 - DIAMOND G RICE 25LB,327
6690,889800 - DIAMOND G RICE 25LB,527
8141,889800 - DIAMOND G RICE 25LB,493
8186,889800 - DIAMOND G RICE 25LB,377
8272,889800 - DIAMOND G RICE 25LB,387
8290,889800 - DIAMOND G RICE 25LB,579
8241,980176588 - MEMBER'S MARK,920
4742,725562 - MM PINTO BEANS 50LBS,99
4769,725562 - MM PINTO BEANS 50LBS,90
4791,725562 - MM PINTO BEANS 50LBS,72
4808,725562 - MM PINTO BEANS 50LBS,64
4850,725562 - MM PINTO BEANS 50LBS,174
4861,725562 - MM PINTO BEANS 50LBS,86
4914,725562 - MM PINTO BEANS 50LBS,60
4939,725562 - MM PINTO BEANS 50LBS,54
4948,725562 - MM PINTO BEANS 50LBS,79
4958,725562 - MM PINTO BEANS 50LBS,84
6202,725562 - MM PINTO BEANS 50LBS,74
6269,725562 - MM PINTO BEANS 50LBS,166
6336,725562 - MM PINTO BEANS 50LBS,69
6338,725562 - MM PINTO BEANS 50LBS,67
6364,725562 - MM PINTO BEANS 50LBS,90
6421,725562 - MM PINTO BEANS 50LBS,75
6422,725562 - MM PINTO BEANS 50LBS,56
6437,725562 - MM PINTO BEANS 50LBS,107
6439,725562 - MM PINTO BEANS 50LBS,116
6441,725562 - MM PINTO BEANS 50LBS,58
6443,725562 - MM PINTO BEANS 50LBS,67
6471,725562 - MM PINTO BEANS 50LBS,84
6482,725562 - MM PINTO BEANS 50LBS,67
