STORE_NBR,WeekNumber,ITEM1_DESC,ITEM_NBR,TY_Projection,LY_UNITS,LLY_UNITS
5402,36,12CT ASRT CUPCAKES,9809315,38.4,32,56
849,36,12CT ASRT CUPCAKES,9809315,42,35,121
1061,36,12CT ASRT CUPCAKES,9809315,46.8,39,42
395,36,12CT ASRT CUPCAKES,9809315,78,65,78
1747,36,12CT ASRT CUPCAKES,9809315,33.6,28,13
4521,36,12CT ASRT CUPCAKES,9809315,42,35,12
69,36,12CT ASRT CUPCAKES,9809315,174,145,50
582,36,12CT ASRT CUPCAKES,9809315,43.2,36,26
543,36,12CT WHITE CUPCAKES,9804080,36,30,6
1935,36,6CT ASRT CUPCAKES,568472664,63.6,53,20
2174,36,12CT ASRT CUPCAKES,9809315,33.6,28,22
2154,36,12CT ASRT CUPCAKES,9809315,60,50,36
666,36,12CT CHOC CUPCAKES,9804094,37.2,31,7
643,36,12CT ASRT CUPCAKES,9809315,39.6,33,4
4682,36,12CT ASRT CUPCAKES,9809315,39.6,33,29
2809,36,12CT ASRT CUPCAKES,9809315,49.2,41,22
1220,36,12CT ASRT CUPCAKES,9809315,37.2,31,18
1097,36,12CT ASRT CUPCAKES,9809315,63.6,53,53
533,36,12CT CHOC CUPCAKES,9804094,52.8,44,2
3418,36,12CT ASRT CUPCAKES,9809315,40.8,34,49
3169,36,24CT CPCK ASRT BCRM,9873326,32.4,27,11
3778,36,12CT ASRT CUPCAKES,9809315,63.6,53,31
563,36,12CT ASRT CUPCAKES,9809315,67.2,56,41
1516,36,12CT ASRT CUPCAKES,9809315,45.6,38,14
5165,36,12CT CHOC CUPCAKES,9804094,38.4,32,31
963,36,12CT ASRT CUPCAKES,9809315,37.2,31,9
5781,36,12CT ASRT CUPCAKES,9809315,34.8,29,15
1449,36,6CT ASRT CUPCAKES,568472664,97.2,81,56
3609,36,12CT ASRT CUPCAKES,9809315,84,70,61
867,36,12CT ASRT CUPCAKES,9809315,60,50,17
5445,36,12CT WHITE CUPCAKES,9804080,37.2,31,21
