Store Nbr,AA - Sparkling Water Pallet,AA - Tortilla Chips Pallet,AA - Potato Chips Pallet,AA - Cookies 1/2 Stack
125,YES,YES,YES,YES
126,YES,YES,YES,YES
127,YES,,,
128,YES,YES,YES,
129,YES,YES,YES,YES
130,YES,YES,YES,YES
131,YES,YES,YES,YES
132,YES,,,
134,YES,YES,YES,YES
137,YES,YES,YES,YES
138,YES,YES,YES,YES
139,YES,YES,YES,
140,YES,YES,YES,YES
141,YES,YES,YES,YES
143,YES,YES,YES,
144,YES,YES,YES,YES
145,YES,,,
147,YES,YES,YES,YES
148,YES,YES,YES,YES
149,,,,
150,YES,YES,YES,
151,YES,YES,YES,YES
152,YES,YES,YES,YES
153,YES,YES,YES,YES
154,YES,YES,YES,YES
155,YES,,,YES
157,YES,YES,YES,YES
158,YES,YES,YES,YES
159,,,,
161,YES,,,
162,YES,,,
163,YES,YES,YES,YES
164,YES,YES,YES,
165,,YES,YES,
166,YES,,,
168,YES,YES,YES,YES
169,,,,
170,YES,YES,YES,YES
171,YES,YES,YES,
172,YES,YES,YES,YES
173,YES,,,
174,YES,YES,YES,YES
175,YES,YES,YES,YES
177,YES,YES,YES,YES
178,YES,,,
179,YES,YES,YES,YES
180,YES,YES,YES,YES
181,,,,
182,YES,,,YES
183,,,,
184,YES,YES,YES,YES
185,YES,YES,YES,YES
186,YES,,,YES
188,YES,YES,YES,YES
189,YES,YES,YES,YES
190,YES,,,
192,YES,YES,YES,YES
194,YES,,,YES
195,YES,YES,YES,YES
196,YES,YES,YES,YES
197,YES,YES,,
198,YES,YES,YES,
199,YES,YES,,YES
200,YES,YES,YES,YES
201,YES,YES,YES,YES
202,,,,
204,YES,YES,YES,
205,YES,,,
206,YES,YES,YES,YES
207,,,,
211,,,,
212,YES,YES,YES,YES
213,YES,YES,YES,YES
214,YES,YES,YES,YES
216,YES,YES,YES,YES
217,YES,YES,YES,YES
218,YES,,,
219,YES,YES,YES,YES
220,YES,YES,YES,YES
221,YES,YES,YES,
222,YES,YES,YES,
224,YES,YES,YES,YES
225,YES,,,
226,,,,
228,YES,YES,YES,YES
229,,,,
231,YES,YES,YES,YES
233,YES,,,YES
234,YES,YES,YES,YES
236,YES,,,
237,YES,YES,YES,YES
238,YES,YES,YES,YES
239,YES,,,
242,YES,YES,YES,YES
243,YES,YES,YES,YES
244,,,,
246,YES,YES,YES,
248,YES,,,YES
249,YES,,,
250,YES,,,
251,YES,YES,YES,YES
252,YES,,,
253,YES,YES,YES,
254,YES,YES,YES,
256,,,,
257,,,,
258,YES,YES,YES,YES
259,YES,YES,YES,YES
260,YES,YES,YES,YES
261,YES,YES,YES,YES
262,YES,YES,YES,
264,YES,YES,YES,YES
265,YES,YES,YES,
266,YES,YES,YES,YES
267,YES,YES,YES,
268,YES,YES,YES,YES
269,YES,YES,YES,YES
271,YES,,,
272,YES,YES,YES,
273,YES,,,
275,YES,YES,YES,YES
276,,,,
277,YES,YES,YES,YES
278,YES,YES,YES,YES
279,YES,,,YES
280,YES,,,
281,YES,YES,YES,
282,YES,YES,YES,YES
284,YES,YES,YES,YES
285,YES,,,YES
286,YES,YES,YES,YES
287,YES,YES,YES,YES
288,YES,,,
294,,,,
295,YES,YES,YES,
296,YES,,,
297,YES,YES,YES,YES
298,YES,YES,YES,YES
300,YES,YES,YES,YES
301,YES,YES,YES,YES
302,YES,,,YES
304,YES,YES,YES,YES
306,YES,YES,YES,YES
307,YES,YES,YES,YES
308,YES,YES,YES,YES
309,YES,YES,YES,YES
310,YES,YES,YES,YES
312,YES,,,YES
313,YES,YES,YES,
314,YES,YES,YES,YES
315,YES,YES,YES,YES
316,YES,,,YES
317,YES,,,YES
318,YES,,,
319,YES,YES,YES,YES
321,YES,,,
322,YES,YES,YES,YES
324,,,,
325,YES,,,YES
328,YES,YES,YES,
329,YES,YES,YES,YES
330,YES,,,YES
331,YES,YES,YES,YES
332,,,,
333,YES,,,
334,,,,
335,YES,YES,YES,YES
336,YES,YES,YES,
340,YES,YES,YES,YES
341,YES,,,
342,YES,,,YES
343,YES,YES,YES,
345,YES,YES,YES,YES
346,,,,
347,YES,,,
348,YES,,,
350,,,,
351,,,,
353,YES,YES,YES,
354,,,,
355,YES,YES,YES,YES
356,,,,
357,YES,,,YES
358,YES,YES,YES,
359,YES,YES,YES,YES
360,YES,,,
361,YES,YES,YES,YES
362,,,,
363,YES,,,YES
364,YES,,,YES
365,YES,YES,YES,YES
366,YES,YES,YES,
368,YES,,,YES
369,YES,,,
370,YES,,,YES
371,YES,YES,YES,YES
372,,,,YES
373,,,,
374,YES,YES,YES,
375,YES,YES,YES,YES
376,YES,YES,YES,YES
378,,,,
379,YES,YES,YES,
381,YES,YES,YES,YES
382,YES,YES,YES,YES
383,YES,YES,YES,
384,YES,YES,YES,
386,YES,YES,YES,YES
387,YES,,,
388,YES,YES,YES,YES
389,YES,YES,YES,YES
391,YES,YES,YES,YES
392,YES,YES,YES,
393,YES,YES,YES,YES
394,YES,,,
396,YES,YES,YES,YES
398,YES,YES,YES,YES
399,YES,YES,YES,YES
400,YES,YES,YES,YES
401,,,,
402,YES,YES,YES,YES
403,YES,,,YES
404,YES,YES,YES,YES
405,YES,YES,YES,YES
406,YES,YES,YES,YES
407,YES,YES,YES,YES
408,YES,YES,YES,YES
409,,,,
410,YES,YES,YES,YES
412,YES,YES,YES,YES
414,YES,YES,YES,YES
415,YES,YES,YES,YES
416,YES,YES,YES,YES
417,YES,YES,YES,YES
418,,,,
419,YES,,,
420,YES,YES,YES,YES
421,YES,YES,YES,YES
422,YES,YES,YES,YES
423,YES,YES,YES,YES
424,YES,YES,YES,
425,,,,
426,,,,
427,YES,YES,YES,YES
428,YES,YES,YES,YES
430,YES,YES,YES,
431,YES,YES,YES,YES
432,YES,,,
433,YES,,,YES
434,YES,YES,YES,YES
435,,,,
437,,,,
438,,,,
440,,,,
444,YES,YES,YES,YES
445,YES,YES,YES,YES
448,YES,,,YES
449,,,,
450,YES,,,YES
451,YES,YES,YES,YES
457,YES,YES,YES,YES
459,YES,YES,YES,YES
462,YES,YES,YES,YES
466,,,,
467,YES,YES,YES,YES
468,YES,,,YES
469,YES,,,YES
471,YES,,,YES
472,YES,YES,YES,YES
475,YES,YES,YES,YES
476,YES,,,
477,YES,YES,YES,
479,YES,YES,YES,
481,YES,YES,YES,YES
483,YES,YES,YES,YES
484,,,,
485,,,,
486,YES,YES,YES,YES
489,YES,YES,YES,YES
491,YES,YES,YES,YES
492,YES,YES,YES,YES
493,YES,YES,YES,YES
494,YES,YES,YES,YES
495,YES,YES,YES,YES
497,YES,,,
498,,,,YES
499,YES,YES,YES,
501,YES,YES,YES,YES
502,YES,,,YES
504,YES,YES,YES,YES
505,YES,YES,YES,YES
506,,,,
507,YES,YES,YES,
508,,,,
510,YES,YES,YES,YES
511,YES,YES,YES,YES
513,YES,YES,YES,YES
514,YES,YES,YES,YES
515,YES,YES,YES,
516,YES,YES,YES,
517,,,,
518,,,,
519,YES,,,
520,YES,YES,YES,YES
521,YES,,,YES
522,YES,,,
523,,,,
526,,,,
527,YES,,,
528,YES,YES,YES,YES
529,YES,YES,YES,YES
530,YES,YES,YES,YES
531,YES,YES,YES,YES
532,YES,YES,YES,YES
533,YES,YES,YES,YES
535,YES,YES,YES,YES
536,YES,YES,YES,YES
537,YES,YES,YES,YES
538,YES,YES,YES,
539,YES,,,YES
540,YES,,,YES
541,,,,
542,YES,,,YES
543,YES,,,YES
544,YES,YES,YES,YES
546,YES,YES,YES,YES
547,YES,YES,YES,YES
548,YES,YES,YES,YES
549,YES,YES,YES,YES
550,,,,
551,YES,YES,YES,YES
553,YES,YES,YES,YES
555,YES,YES,YES,YES
556,YES,YES,YES,YES
557,YES,YES,YES,YES
558,YES,YES,YES,YES
559,YES,YES,,YES
560,YES,YES,YES,YES
561,YES,YES,YES,YES
562,YES,YES,YES,
563,YES,YES,YES,YES
564,YES,YES,YES,
565,YES,YES,YES,YES
566,YES,YES,YES,YES
569,YES,YES,YES,YES
571,YES,YES,YES,YES
572,YES,YES,YES,YES
573,YES,YES,YES,YES
574,,,,
575,,,,
577,YES,YES,YES,YES
578,YES,YES,YES,YES
579,YES,YES,YES,YES
580,YES,,,YES
581,YES,YES,,YES
582,,,,
583,YES,,,YES
584,YES,YES,YES,YES
585,YES,YES,YES,YES
586,YES,YES,YES,YES
587,YES,YES,YES,YES
588,YES,YES,YES,YES
589,YES,YES,YES,YES
590,YES,YES,YES,YES
591,YES,,,YES
592,YES,YES,YES,YES
593,YES,YES,YES,YES
594,YES,YES,YES,YES
598,YES,YES,YES,YES
599,YES,YES,YES,YES
600,YES,,,YES
601,YES,YES,YES,YES
602,,,,
603,YES,YES,,YES
604,YES,YES,YES,YES
605,YES,YES,YES,YES
608,YES,YES,YES,YES
609,YES,YES,,YES
610,YES,YES,YES,YES
611,YES,YES,YES,YES
612,YES,YES,YES,
613,,,,
614,YES,YES,YES,YES
615,YES,YES,YES,YES
616,YES,YES,YES,YES
618,YES,YES,YES,YES
619,YES,YES,YES,YES
620,YES,YES,YES,YES
621,YES,,,
622,,,,
623,YES,YES,YES,YES
624,YES,YES,YES,
625,YES,YES,YES,YES
627,YES,,,
628,YES,YES,YES,YES
629,YES,,,
630,YES,YES,YES,YES
631,YES,YES,YES,YES
632,,,,
633,YES,YES,,
634,YES,YES,YES,
635,YES,YES,YES,YES
636,YES,YES,,YES
637,YES,,,
638,YES,YES,YES,YES
639,YES,YES,YES,YES
640,,,,
642,YES,,,YES
643,,,,
644,YES,,,YES
645,,,,
646,,,,
647,,,,
648,,,,
649,,,,
651,YES,YES,YES,YES
652,YES,YES,YES,YES
653,YES,YES,YES,YES
655,YES,YES,YES,YES
656,YES,YES,YES,YES
657,YES,YES,YES,YES
658,YES,YES,YES,YES
659,YES,YES,YES,YES
660,YES,YES,YES,YES
661,YES,YES,YES,YES
662,YES,YES,YES,YES
663,YES,YES,YES,YES
664,YES,YES,YES,YES
665,YES,YES,YES,YES
666,YES,YES,YES,YES
667,YES,,,
668,YES,YES,YES,YES
670,YES,YES,YES,YES
671,YES,YES,YES,YES
672,YES,YES,YES,YES
673,YES,YES,YES,YES
674,YES,YES,YES,YES
675,YES,YES,YES,YES
676,YES,YES,YES,YES
677,YES,YES,YES,YES
678,YES,YES,YES,YES
680,YES,YES,YES,YES
681,YES,,,
682,YES,YES,YES,YES
683,YES,YES,YES,YES
684,YES,YES,YES,YES
685,,,,
686,YES,,,
687,YES,YES,YES,YES
688,,,,
689,YES,YES,YES,YES
690,YES,YES,YES,YES
691,YES,YES,YES,YES
692,YES,YES,YES,YES
694,YES,YES,YES,YES
695,YES,YES,YES,YES
697,YES,YES,YES,YES
698,YES,YES,YES,YES
699,YES,YES,YES,YES
700,YES,,,YES
701,YES,YES,YES,YES
702,YES,YES,YES,YES
703,YES,YES,YES,YES
705,,,,
706,YES,YES,YES,YES
707,YES,,,YES
708,YES,,,YES
709,YES,YES,YES,YES
710,YES,YES,YES,YES
711,YES,YES,YES,YES
712,YES,YES,YES,YES
715,YES,YES,YES,YES
716,YES,,,YES
718,YES,YES,YES,YES
719,YES,YES,YES,YES
720,YES,YES,YES,YES
721,YES,YES,YES,YES
722,YES,YES,YES,YES
723,YES,YES,YES,YES
724,YES,YES,YES,
725,YES,YES,YES,YES
726,YES,YES,YES,YES
727,YES,,,
729,YES,YES,YES,YES
730,YES,YES,YES,YES
731,YES,,,
733,YES,,,
734,YES,YES,YES,YES
735,YES,,,
736,YES,YES,YES,YES
737,YES,YES,YES,
738,YES,,,
739,YES,YES,YES,YES
740,YES,YES,YES,YES
741,YES,YES,YES,YES
742,YES,YES,YES,YES
743,YES,,,YES
744,YES,YES,YES,YES
745,YES,YES,YES,YES
746,YES,YES,YES,YES
748,YES,,,
749,,,,
750,YES,,,
751,,,,
752,YES,,,YES
753,,,,
754,YES,YES,YES,YES
755,,,,
756,YES,,,
758,YES,YES,YES,YES
761,,YES,YES,YES
762,,,,
764,YES,,,YES
765,YES,YES,YES,YES
766,YES,YES,YES,YES
767,YES,YES,YES,YES
768,YES,YES,YES,YES
769,YES,YES,YES,YES
770,YES,YES,YES,YES
771,YES,YES,YES,YES
772,YES,,,YES
773,YES,YES,YES,YES
774,YES,YES,YES,YES
775,YES,YES,,YES
776,YES,YES,YES,YES
777,YES,YES,YES,YES
778,YES,YES,YES,YES
779,YES,YES,YES,YES
780,YES,YES,YES,YES
781,YES,YES,YES,YES
784,YES,YES,,YES
785,YES,,,YES
786,,,,
788,,,,
789,YES,YES,YES,
790,YES,YES,YES,YES
793,YES,YES,YES,YES
794,YES,YES,YES,YES
796,YES,YES,,YES
797,YES,YES,,YES
798,,,,
799,YES,,,YES
800,YES,YES,YES,YES
801,YES,YES,YES,
802,YES,YES,,
803,YES,,,YES
804,YES,YES,YES,YES
805,YES,YES,YES,YES
807,YES,YES,YES,YES
808,YES,YES,YES,YES
809,YES,YES,YES,YES
810,YES,YES,YES,YES
813,YES,YES,YES,YES
814,YES,YES,YES,YES
815,YES,YES,YES,
816,YES,YES,YES,YES
818,YES,YES,YES,YES
819,,,,
820,YES,YES,YES,
821,YES,YES,YES,YES
822,YES,,,YES
823,YES,YES,YES,
824,YES,YES,YES,
825,YES,,,
826,YES,YES,YES,YES
827,YES,YES,YES,
828,YES,YES,YES,YES
833,YES,,,YES
834,YES,,,
835,YES,YES,YES,YES
836,YES,YES,YES,YES
838,YES,YES,YES,YES
839,YES,,,YES
842,,,,
843,,,,
844,,,,
846,YES,,,YES
847,,,,
848,YES,,,YES
849,YES,YES,YES,YES
850,YES,YES,YES,YES
851,YES,YES,,
852,YES,YES,,YES
853,YES,YES,YES,YES
854,YES,,,
856,YES,YES,YES,
857,YES,YES,YES,YES
858,YES,,,
859,YES,YES,YES,YES
860,,,,
861,YES,,,YES
862,YES,YES,YES,YES
863,YES,,,
864,YES,YES,YES,
865,YES,YES,YES,YES
866,YES,YES,YES,YES
867,,,,
868,YES,YES,,YES
869,YES,YES,YES,YES
870,,,,
872,YES,,,YES
874,YES,,,YES
875,YES,,,
876,YES,,,YES
877,YES,YES,YES,YES
878,,,,
879,,YES,YES,
880,YES,YES,YES,YES
881,YES,YES,YES,YES
882,YES,YES,YES,YES
884,YES,YES,YES,YES
885,,,,
886,YES,YES,,YES
887,YES,YES,YES,
888,,,,
889,YES,YES,YES,YES
891,YES,YES,,YES
892,,,,
894,YES,YES,YES,
896,YES,YES,YES,YES
899,YES,YES,YES,YES
901,YES,YES,YES,YES
902,YES,YES,YES,YES
903,YES,,,YES
904,YES,YES,YES,YES
905,,,,
906,YES,YES,YES,YES
907,YES,YES,YES,
909,YES,YES,YES,YES
910,,,,
911,YES,YES,YES,YES
912,YES,YES,YES,YES
913,YES,YES,YES,YES
914,YES,,,
916,YES,YES,YES,YES
918,YES,YES,YES,YES
919,YES,YES,YES,YES
922,YES,YES,YES,YES
923,YES,YES,YES,YES
924,YES,YES,YES,YES
928,,,,
929,YES,YES,YES,YES
930,YES,,,YES
931,YES,YES,YES,YES
932,YES,YES,YES,YES
933,,,,
934,YES,YES,YES,YES
935,,,,
936,YES,YES,YES,YES
938,YES,,,YES
939,YES,YES,YES,YES
940,YES,YES,YES,YES
941,YES,YES,YES,
942,YES,YES,YES,YES
943,YES,YES,YES,YES
944,YES,YES,YES,YES
945,YES,YES,YES,YES
947,YES,YES,YES,YES
948,YES,YES,YES,YES
950,YES,YES,YES,YES
952,YES,,,
953,YES,YES,YES,YES
954,YES,,,YES
955,YES,YES,YES,YES
958,YES,YES,YES,YES
959,YES,YES,YES,
960,YES,YES,YES,YES
961,YES,YES,YES,YES
962,,,,
963,YES,YES,YES,YES
965,YES,YES,YES,
966,YES,YES,YES,YES
967,YES,YES,YES,YES
968,YES,YES,YES,YES
969,YES,YES,YES,YES
970,YES,YES,YES,YES
971,,,,
972,YES,YES,YES,YES
973,YES,YES,YES,YES
974,,,,
975,YES,YES,YES,
976,YES,,,YES
978,YES,,,
979,YES,,,
980,YES,YES,YES,YES
981,YES,YES,YES,YES
984,YES,YES,YES,YES
985,,,,
987,,,,
988,,,,
989,YES,YES,YES,YES
990,YES,YES,YES,YES
991,YES,,,YES
992,YES,YES,YES,
993,YES,YES,YES,YES
994,,,,
995,YES,YES,YES,YES
1001,,,,
1002,YES,YES,YES,YES
1003,,,,
1004,YES,YES,YES,YES
1006,YES,,,
1007,YES,YES,YES,YES
1008,YES,YES,YES,YES
1009,YES,YES,YES,YES
1010,YES,,,YES
1011,YES,YES,YES,YES
1012,,,,
1014,YES,YES,YES,YES
1016,YES,YES,YES,YES
1017,YES,YES,YES,YES
1018,YES,,,
1019,YES,YES,YES,YES
1020,YES,YES,YES,
1021,YES,YES,YES,
1022,YES,YES,YES,YES
1023,YES,YES,YES,YES
1024,YES,YES,YES,YES
1025,YES,YES,YES,YES
1026,YES,YES,YES,YES
1027,YES,YES,YES,YES
1028,YES,,,YES
1029,,,,
1030,YES,YES,YES,
1032,,,,
1033,YES,YES,YES,YES
1034,YES,YES,YES,YES
1035,YES,YES,YES,YES
1036,YES,YES,YES,YES
1037,YES,YES,YES,YES
1038,,,,
1039,YES,YES,YES,YES
1042,YES,YES,YES,YES
1044,YES,YES,YES,YES
1045,YES,YES,YES,YES
1047,YES,,,YES
1048,YES,,,
1051,YES,,,
1052,YES,,,
1053,YES,YES,YES,YES
1054,YES,YES,YES,
1055,YES,YES,YES,YES
1056,YES,YES,YES,
1057,,,,
1058,YES,YES,YES,YES
1060,YES,YES,YES,YES
1061,,,,
1062,YES,YES,YES,YES
1064,YES,YES,YES,
1065,YES,,,
1066,YES,YES,YES,YES
1068,YES,YES,YES,YES
1070,YES,YES,YES,
1071,YES,YES,YES,YES
1072,YES,YES,YES,YES
1074,YES,YES,YES,YES
1075,YES,YES,YES,YES
1076,YES,,,
1077,YES,YES,YES,YES
1079,YES,YES,YES,
1080,YES,YES,YES,YES
1081,YES,YES,YES,YES
1082,,,,
1083,YES,YES,YES,YES
1085,YES,YES,YES,YES
1086,YES,YES,YES,
1087,,,,
1088,YES,YES,YES,YES
1089,YES,YES,YES,YES
1090,YES,,,YES
1091,YES,YES,YES,YES
1093,YES,,,YES
1094,YES,,,YES
1096,YES,YES,YES,YES
1097,YES,YES,YES,YES
1099,YES,,,YES
1100,YES,,,
1101,YES,YES,YES,YES
1102,YES,,,YES
1104,YES,YES,YES,YES
1105,YES,YES,YES,YES
1106,YES,,,YES
1109,,,,YES
1110,,,,
1111,YES,YES,YES,YES
1112,YES,YES,YES,YES
1113,YES,YES,YES,YES
1114,YES,,,YES
1115,YES,,,YES
1116,YES,YES,YES,YES
1117,YES,YES,YES,YES
1120,YES,YES,YES,
1121,YES,YES,YES,YES
1122,YES,YES,YES,YES
1123,YES,YES,YES,YES
1124,YES,YES,YES,YES
1125,,,,
1126,,,,
1128,YES,,,
1129,,,,
1130,YES,YES,YES,YES
1131,YES,,,
1132,YES,YES,YES,YES
1133,YES,YES,YES,YES
1134,YES,YES,YES,
1135,YES,YES,YES,
1136,,,,
1139,YES,YES,YES,YES
1140,YES,,,YES
1141,YES,YES,YES,YES
1142,YES,,,YES
1143,YES,,,
1144,YES,YES,YES,
1146,YES,YES,YES,YES
1148,YES,YES,YES,YES
1149,YES,YES,,YES
1150,YES,YES,YES,YES
1151,YES,YES,YES,YES
1152,YES,YES,YES,YES
1154,YES,,,YES
1155,YES,,,YES
1156,YES,YES,YES,YES
1157,YES,,,
1158,YES,,,YES
1160,YES,YES,YES,YES
1161,YES,YES,YES,YES
1162,YES,YES,YES,YES
1163,YES,YES,YES,YES
1164,YES,YES,YES,YES
1165,YES,YES,YES,YES
1167,YES,YES,,YES
1168,YES,YES,YES,YES
1170,YES,,,YES
1171,,,,
1172,YES,YES,YES,YES
1173,YES,YES,YES,YES
1174,YES,,,
1176,,,,
1177,,,,
1178,,,,
1179,,,,
1180,YES,YES,YES,YES
1182,,,,
1183,YES,YES,YES,YES
1186,YES,YES,YES,YES
1187,YES,,,
1190,YES,YES,YES,YES
1191,YES,YES,YES,YES
1192,,,,
1193,YES,,,YES
1194,YES,YES,YES,YES
1195,YES,YES,YES,YES
1196,YES,,,YES
1197,YES,,,YES
1200,YES,YES,YES,YES
1201,YES,YES,YES,YES
1202,,,,
1203,,,,
1204,YES,,,YES
1205,YES,YES,YES,
1206,YES,YES,YES,YES
1207,YES,YES,YES,YES
1209,YES,YES,YES,YES
1210,YES,YES,YES,YES
1212,YES,YES,YES,YES
1213,YES,YES,YES,YES
1214,YES,,,
1215,YES,YES,YES,YES
1216,YES,YES,YES,YES
1217,YES,YES,YES,
1218,YES,YES,,YES
1219,YES,YES,YES,YES
1220,YES,YES,YES,YES
1221,YES,YES,YES,YES
1222,YES,YES,YES,YES
1223,YES,YES,YES,YES
1224,YES,YES,YES,YES
1225,YES,YES,YES,YES
1227,YES,YES,YES,YES
1228,YES,YES,,YES
1229,YES,YES,YES,YES
1230,YES,YES,,YES
1231,YES,,,YES
1232,YES,YES,YES,YES
1233,YES,YES,YES,YES
1234,,,,
1236,YES,,,YES
1237,YES,YES,YES,YES
1238,YES,YES,YES,YES
1239,YES,YES,YES,YES
1240,,,,
1241,,,,
1242,YES,YES,YES,YES
1243,YES,,,YES
1244,,,,
1245,YES,YES,YES,YES
1247,YES,YES,YES,YES
1248,YES,,,YES
1249,YES,,,YES
1252,YES,YES,YES,YES
1254,YES,YES,YES,YES
1255,YES,,,YES
1256,YES,YES,,YES
1257,,,,
1259,YES,YES,YES,YES
1260,YES,YES,YES,YES
1261,YES,YES,YES,YES
1263,YES,YES,YES,YES
1264,YES,YES,YES,YES
1266,YES,YES,YES,YES
1267,,,,
1268,YES,YES,YES,YES
1270,YES,YES,YES,YES
1272,YES,,,YES
1273,,,,
1276,YES,YES,YES,YES
1277,YES,,,YES
1280,YES,YES,YES,
1281,YES,YES,YES,YES
1282,YES,,,
1283,YES,,,
1284,YES,YES,YES,YES
1285,YES,YES,,YES
1286,YES,,,YES
1287,,,,
1288,YES,,,YES
1289,YES,,,YES
1290,YES,YES,YES,YES
1291,YES,YES,,YES
1292,,,,
1293,YES,,,YES
1294,YES,YES,YES,YES
1295,YES,,,
1297,YES,YES,YES,YES
1298,YES,YES,YES,YES
1299,YES,YES,,YES
1300,YES,YES,YES,YES
1301,YES,YES,YES,YES
1302,YES,YES,YES,YES
1303,YES,YES,YES,YES
1304,YES,YES,YES,YES
1305,,,,
1306,YES,YES,YES,YES
1307,YES,YES,YES,
1308,,,,
1309,YES,YES,YES,YES
1310,YES,YES,YES,YES
1311,YES,YES,YES,YES
1312,YES,YES,YES,YES
1314,YES,YES,YES,YES
1315,,,,
1316,,,,
1317,,,,
1318,YES,YES,YES,YES
1319,YES,YES,YES,YES
1320,YES,YES,YES,YES
1321,YES,YES,YES,YES
1322,YES,YES,YES,YES
1326,,,,
1327,YES,YES,YES,YES
1329,YES,YES,YES,YES
1330,YES,YES,YES,YES
1331,YES,YES,YES,YES
1333,YES,YES,YES,YES
1335,YES,YES,YES,YES
1337,YES,YES,YES,YES
1338,YES,,,YES
1339,YES,YES,YES,YES
1341,YES,YES,YES,YES
1342,YES,YES,YES,YES
1344,YES,YES,YES,YES
1345,YES,YES,YES,YES
1346,YES,YES,YES,YES
1348,,,,
1350,YES,YES,YES,YES
1351,YES,YES,YES,YES
1353,YES,YES,YES,YES
1354,YES,,,
1355,YES,YES,YES,YES
1356,YES,YES,YES,YES
1357,YES,YES,YES,YES
1358,YES,YES,YES,YES
1359,YES,YES,YES,YES
1360,YES,YES,YES,YES
1361,YES,YES,YES,YES
1362,YES,YES,YES,YES
1363,YES,YES,YES,
1364,YES,YES,,YES
1366,,,,
1368,,,,
1369,YES,YES,,
1370,,,,
1371,YES,YES,YES,YES
1375,YES,YES,YES,YES
1376,,,,
1377,,,,
1378,YES,YES,YES,YES
1379,YES,YES,YES,YES
1381,YES,YES,,YES
1382,YES,YES,YES,YES
1383,,,,
1384,YES,,,
1385,YES,YES,YES,YES
1386,YES,YES,,YES
1388,YES,YES,YES,YES
1389,YES,,,
1390,,,,
1391,YES,YES,YES,YES
1392,,,,
1393,YES,,,YES
1394,,,,
1395,YES,YES,YES,YES
1396,,,,
1397,YES,YES,YES,YES
1399,YES,YES,YES,YES
1400,,,,
1401,,,,
1403,YES,YES,YES,
1404,,,,
1405,YES,,,
1406,YES,YES,,YES
1407,YES,,,YES
1408,YES,YES,YES,YES
1410,YES,YES,YES,YES
1411,YES,YES,,
1412,YES,YES,YES,YES
1413,,,,
1414,YES,YES,YES,YES
1415,,,,
1416,YES,YES,YES,YES
1417,YES,YES,,YES
1418,YES,YES,YES,
1419,YES,YES,YES,YES
1420,YES,YES,,YES
1421,YES,YES,,YES
1422,YES,,,
1423,YES,YES,YES,YES
1424,YES,YES,YES,YES
1425,YES,YES,YES,YES
1426,YES,YES,YES,YES
1427,YES,YES,YES,YES
1428,YES,YES,YES,YES
1429,YES,YES,YES,YES
1430,,,,
1431,YES,,,YES
