Store Nbr,AA - Sparkling Water Pallet,AA - Tortilla Chips Pallet,AA - Potato Chips Pallet,AA - Cookies 1/2 Stack
1,YES,YES,YES,YES
2,YES,YES,YES,YES
3,YES,,,
4,YES,YES,YES,YES
5,YES,YES,YES,YES
7,YES,YES,YES,YES
8,YES,,,YES
9,YES,YES,YES,YES
10,YES,YES,YES,YES
11,YES,YES,YES,YES
12,YES,YES,YES,YES
13,YES,YES,YES,
14,YES,YES,YES,
15,YES,YES,YES,YES
16,YES,YES,YES,YES
17,YES,YES,YES,YES
18,,,,
19,YES,YES,YES,YES
20,YES,,,
21,YES,YES,YES,
22,YES,YES,YES,YES
23,YES,YES,YES,YES
24,YES,YES,YES,YES
25,YES,YES,YES,YES
26,YES,YES,YES,YES
27,YES,,,
28,YES,YES,YES,YES
29,YES,YES,YES,YES
30,YES,YES,YES,
31,YES,YES,YES,YES
33,,,,
34,YES,YES,YES,
35,YES,YES,YES,YES
36,YES,YES,YES,YES
37,YES,YES,YES,YES
38,YES,,,
39,YES,YES,YES,YES
40,YES,YES,YES,YES
41,YES,YES,YES,YES
42,YES,,,YES
43,YES,,,YES
45,YES,YES,YES,YES
46,YES,YES,YES,YES
47,YES,YES,YES,YES
48,YES,YES,YES,
49,YES,,,
51,YES,,,
52,YES,YES,YES,YES
54,YES,,,YES
55,,,,
56,YES,YES,YES,
58,YES,YES,YES,YES
59,YES,YES,YES,YES
60,YES,YES,YES,
61,,,,
62,YES,,,YES
63,YES,,,
64,,,,
65,YES,YES,YES,YES
66,YES,YES,YES,YES
67,YES,YES,YES,
68,,,,
69,YES,YES,YES,YES
70,YES,YES,YES,YES
72,YES,YES,YES,YES
73,YES,YES,YES,YES
74,,,,
75,YES,YES,YES,YES
76,YES,YES,YES,
78,YES,YES,YES,
79,YES,YES,YES,YES
80,YES,YES,YES,YES
82,YES,YES,YES,
83,YES,,,YES
85,YES,YES,YES,YES
86,YES,YES,YES,YES
87,YES,YES,YES,YES
88,YES,YES,YES,
89,YES,YES,YES,YES
90,YES,YES,YES,
91,YES,,,YES
92,YES,,,YES
93,YES,YES,YES,YES
94,YES,YES,YES,YES
95,YES,YES,YES,YES
96,YES,YES,YES,YES
97,YES,,,
98,YES,,,YES
99,YES,YES,YES,
100,YES,YES,YES,YES
101,YES,YES,YES,YES
103,YES,YES,YES,YES
104,YES,YES,YES,YES
105,YES,YES,YES,YES
106,,,,
107,,YES,YES,
108,YES,YES,YES,YES
109,YES,,,
110,,,,
111,,,,
112,YES,YES,YES,YES
113,YES,YES,YES,YES
114,YES,YES,YES,YES
118,YES,,,
119,YES,YES,YES,YES
120,YES,,,YES
121,YES,,,YES
122,YES,YES,YES,
123,YES,,,
124,YES,,,YES
