Store Number,Group,Fixture Delivery Date,Anchoring Date
536,1,"Thursday, July 3","Monday, July 7"
3319,1,"Thursday, July 3","Monday, July 7"
3106,1,"Thursday, July 3","Monday, July 7"
782,1,"Thursday, July 3","Monday, July 7"
2201,1,"Thursday, July 3","Monday, July 7"
2864,1,"Thursday, July 3","Monday, July 7"
5331,1,"Thursday, July 3","Monday, July 7"
2112,1,"Thursday, July 3","Monday, July 7"
3861,1,"Thursday, July 3","Monday, July 7"
966,1,"Thursday, July 3","Monday, July 7"
5491,1,"Thursday, July 3","Monday, July 7"
1306,1,"Thursday, July 3","Monday, July 7"
3402,1,"Thursday, July 3","Tuesday, July 8"
3205,1,"Thursday, July 3","Tuesday, July 8"
3235,1,"Thursday, July 3","Tuesday, July 8"
2306,1,"Thursday, July 3","Tuesday, July 8"
848,1,"Thursday, July 3","Tuesday, July 8"
950,1,"Thursday, July 3","Tuesday, July 8"
675,1,"Thursday, July 3","Tuesday, July 8"
6878,1,"Thursday, July 3","Tuesday, July 8"
5175,1,"Thursday, July 3","Tuesday, July 8"
2310,1,"Thursday, July 3","Tuesday, July 8"
742,1,"Thursday, July 3","Tuesday, July 8"
4483,1,"Thursday, July 3","Tuesday, July 8"
710,1,"Thursday, July 3","Tuesday, July 8"
659,1,"Thursday, July 3","Tuesday, July 8"
2723,1,"Thursday, July 3","Tuesday, July 8"
1201,1,"Thursday, July 3","Tuesday, July 8"
2534,1,"Thursday, July 3","Tuesday, July 8"
2533,1,"Thursday, July 3","Tuesday, July 8"
1493,1,"Thursday, July 3","Tuesday, July 8"
3439,1,"Thursday, July 3","Tuesday, July 8"
4200,1,"Thursday, July 3","Tuesday, July 8"
4520,1,"Thursday, July 3","Tuesday, July 8"
448,1,"Thursday, July 3","Tuesday, July 8"
861,1,"Thursday, July 3","Tuesday, July 8"
1249,1,"Thursday, July 3","Tuesday, July 8"
4131,1,"Thursday, July 3","Tuesday, July 8"
5330,1,"Thursday, July 3","Tuesday, July 8"
3609,1,"Thursday, July 3","Wednesday, July 9"
3311,1,"Thursday, July 3","Wednesday, July 9"
1248,1,"Thursday, July 3","Wednesday, July 9"
1561,1,"Thursday, July 3","Wednesday, July 9"
2749,1,"Thursday, July 3","Wednesday, July 9"
4482,1,"Thursday, July 3","Wednesday, July 9"
688,1,"Thursday, July 3","Wednesday, July 9"
7280,1,"Thursday, July 3","Wednesday, July 9"
450,1,"Thursday, July 3","Wednesday, July 9"
5196,1,"Thursday, July 3","Thursday, July 10"
2322,1,"Thursday, July 3","Thursday, July 10"
3017,1,"Thursday, July 3","Thursday, July 10"
6964,1,"Thursday, July 3","Friday, July 11"
4533,1,"Thursday, July 3","Friday, July 11"
3717,1,"Thursday, July 3","Friday, July 11"
2872,2,"Thursday, July 10","Monday, July 14"
2567,2,"Thursday, July 10","Monday, July 14"
5065,2,"Thursday, July 10","Monday, July 14"
5472,2,"Thursday, July 10","Monday, July 14"
1423,2,"Thursday, July 10","Monday, July 14"
1422,2,"Thursday, July 10","Monday, July 14"
1611,2,"Thursday, July 10","Monday, July 14"
2559,2,"Thursday, July 10","Monday, July 14"
1913,2,"Thursday, July 10","Monday, July 14"
2544,2,"Thursday, July 10","Monday, July 14"
4259,2,"Thursday, July 10","Monday, July 14"
15,2,"Thursday, July 10","Monday, July 14"
122,2,"Thursday, July 10","Monday, July 14"
1161,2,"Thursday, July 10","Monday, July 14"
256,2,"Thursday, July 10","Monday, July 14"
25,2,"Thursday, July 10","Monday, July 14"
234,2,"Thursday, July 10","Monday, July 14"
184,2,"Thursday, July 10","Monday, July 14"
1151,2,"Thursday, July 10","Monday, July 14"
577,2,"Thursday, July 10","Monday, July 14"
1542,2,"Thursday, July 10","Monday, July 14"
802,2,"Thursday, July 10","Monday, July 14"
882,2,"Thursday, July 10","Monday, July 14"
1551,2,"Thursday, July 10","Monday, July 14"
5127,2,"Thursday, July 10","Monday, July 14"
1515,2,"Thursday, July 10","Monday, July 14"
3324,2,"Thursday, July 10","Monday, July 14"
6807,2,"Thursday, July 10","Monday, July 14"
5058,2,"Thursday, July 10","Monday, July 14"
3285,2,"Thursday, July 10","Monday, July 14"
3014,2,"Thursday, July 10","Monday, July 14"
3044,2,"Thursday, July 10","Monday, July 14"
2973,2,"Thursday, July 10","Monday, July 14"
5389,2,"Thursday, July 10","Monday, July 14"
940,2,"Thursday, July 10","Monday, July 14"
1103,2,"Thursday, July 10","Monday, July 14"
1186,2,"Thursday, July 10","Monday, July 14"
462,2,"Thursday, July 10","Monday, July 14"
546,2,"Thursday, July 10","Monday, July 14"
752,2,"Thursday, July 10","Monday, July 14"
3584,2,"Thursday, July 10","Monday, July 14"
3640,2,"Thursday, July 10","Monday, July 14"
5045,2,"Thursday, July 10","Monday, July 14"
395,2,"Thursday, July 10","Monday, July 14"
4194,2,"Thursday, July 10","Monday, July 14"
1150,2,"Thursday, July 10","Monday, July 14"
1000,2,"Thursday, July 10","Monday, July 14"
408,2,"Thursday, July 10","Monday, July 14"
1204,2,"Thursday, July 10","Monday, July 14"
3585,2,"Thursday, July 10","Monday, July 14"
912,2,"Thursday, July 10","Monday, July 14"
4129,2,"Thursday, July 10","Monday, July 14"
532,2,"Thursday, July 10","Monday, July 14"
2132,2,"Thursday, July 10","Monday, July 14"
2938,2,"Thursday, July 10","Monday, July 14"
505,2,"Thursday, July 10","Monday, July 14"
874,2,"Thursday, July 10","Monday, July 14"
275,2,"Thursday, July 10","Monday, July 14"
49,2,"Thursday, July 10","Monday, July 14"
392,2,"Thursday, July 10","Monday, July 14"
269,2,"Thursday, July 10","Monday, July 14"
129,2,"Thursday, July 10","Monday, July 14"
3430,2,"Thursday, July 10","Monday, July 14"
544,2,"Thursday, July 10","Monday, July 14"
