Store,Market,Store Type,Launch Date ,
7,326,SUP,2/22,
12,347,SUP,2/22,
54,322,SUP,2/22,
71,328,SUP,2/22,
75,134,SUP,2/22,
94,145,SUP,2/22,
124,324,SUP,2/22,
168,345,SUP,2/22,
221,344,SUP,2/22,
227,344,SUP,2/22,
246,345,SUP,2/22,
277,353,SUP,2/22,
307,135,SUP,2/22,
359,322,SUP,2/22,
389,352,SUP,2/22,
396,39,SUP,2/22,
402,132,SUP,2/22,
415,132,SUP,2/22,
428,130,SUP,2/22,
489,128,SUP,2/22,
517,353,SUP,2/22,
518,26,SUP,2/22,
531,132,SUP,2/22,
539,134,SUP,2/22,
542,129,SUP,2/22,
544,353,SUP,2/22,
548,25,SUP,2/22,
553,125,SUP,2/22,
557,407,SUP,2/22,
564,344,SUP,2/22,
574,37,SUP,2/22,
575,24,SUP,2/22,
577,362,SUP,2/22,
585,42,SUP,2/22,
586,37,SUP,2/22,
588,27,SUP,2/22,
592,406,SUP,2/22,
605,29,SUP,2/22,
622,344,SUP,2/22,
627,38,SUP,2/22,
630,38,SUP,2/22,
635,29,SUP,2/22,
643,37,SUP,2/22,
671,152,SUP,2/22,
682,151,SUP,2/22,
741,121,SUP,2/22,
743,353,SUP,2/22,
745,19,SUP,2/22,
761,129,SUP,2/22,
787,22,SUP,2/22,
824,385,SUP,2/22,
826,375,SUP,2/22,
828,251,SUP,2/22,
831,385,SUP,2/22,
835,385,SUP,2/22,
839,130,SUP,2/22,
840,554,WNM,2/22,
842,389,SUP,2/22,
855,22,SUP,2/22,
920,554,WNM,2/22,
923,482,SUP,2/22,
935,130,SUP,2/22,
989,128,SUP,2/22,
993,407,SUP,2/22,
995,251,SUP,2/22,
1001,389,SUP,2/22,
1016,129,SUP,2/22,
1020,425,SUP,2/22,
1056,353,SUP,2/22,
1102,130,SUP,2/22,
1105,326,SUP,2/22,
1136,131,SUP,2/22,
1141,249,SUP,2/22,
1163,125,SUP,2/22,
1167,435,SUP,2/22,
1184,20,SUP,2/22,
1193,135,SUP,2/22,
1206,130,SUP,2/22,
1221,409,SUP,2/22,
1227,30,SUP,2/22,
1241,418,SUP,2/22,
1248,144,SUP,2/22,
1259,258,SUP,2/22,
1266,130,SUP,2/22,
1293,30,SUP,2/22,
1311,16,SUP,2/22,
1342,128,SUP,2/22,
1357,387,SUP,2/22,
1378,247,SUP,2/22,
1382,39,SUP,2/22,
1394,435,SUP,2/22,
1419,248,SUP,2/22,
1441,221,SUP,2/22,
1453,440,SUP,2/22,
1459,249,SUP,2/22,
1463,221,SUP,2/22,
1476,243,SUP,2/22,
1479,238,SUP,2/22,
1488,22,SUP,2/22,
1495,223,SUP,2/22,
1503,221,SUP,2/22,
1504,221,SUP,2/22,
1521,225,SUP,2/22,
1529,233,SUP,2/22,
1543,430,SUP,2/22,
1551,435,SUP,2/22,
1557,482,SUP,2/22,
1560,396,SUP,2/22,
1566,247,SUP,2/22,
1576,238,W/M,2/22,
1580,249,SUP,2/22,
1584,396,SUP,2/22,
1595,217,SUP,2/22,
1596,265,SUP,2/22,
1599,362,SUP,2/22,
1601,482,SUP,2/22,
1623,226,SUP,2/22,
1626,352,SUP,2/22,
1654,419,SUP,2/22,
1674,280,SUP,2/22,
1699,401,SUP,2/22,
1703,280,SUP,2/22,
1708,401,SUP,2/22,
1710,140,SUP,2/22,
1720,25,SUP,2/22,
1728,239,SUP,2/22,
1771,202,SUP,2/22,
1777,168,SUP,2/22,
1784,477,SUP,2/22,
1802,411,SUP,2/22,
1804,248,SUP,2/22,
1875,282,SUP,2/22,
1884,226,SUP,2/22,
1886,234,SUP,2/22,
1893,508,W/M,2/22,
1895,215,W/M,2/22,
1906,160,W/M,2/22,
1908,440,SUP,2/22,
1920,477,W/M,2/22,
1927,214,SUP,2/22,
1990,217,W/M,2/22,
2003,174,SUP,2/22,
2019,235,SUP,2/22,
2050,396,SUP,2/22,
2059,231,SUP,2/22,
2062,201,SUP,2/22,
2096,170,SUP,2/22,
2098,219,SUP,2/22,
2122,159,SUP,2/22,
2124,223,SUP,2/22,
2131,411,SUP,2/22,
2132,131,SUP,2/22,
2145,168,SUP,2/22,
2157,160,SUP,2/22,
2170,162,W/M,2/22,
2205,233,SUP,2/22,
2222,157,SUP,2/22,
2233,280,SUP,2/22,
2255,232,SUP,2/22,
2271,440,SUP,2/22,
2279,282,SUP,2/22,
2309,221,SUP,2/22,
2313,209,SUP,2/22,
2322,145,SUP,2/22,
2341,159,W/M,2/22,
2358,196,SUP,2/22,
2393,533,WNM,2/22,
2394,533,WNM,2/22,
2426,217,SUP,2/22,
2435,282,SUP,2/22,
2441,223,SUP,2/22,
2451,526,WNM,2/22,
2465,554,WNM,2/22,
2471,217,SUP,2/22,
2483,394,SUP,2/22,
2506,215,SUP,2/22,
2522,196,SUP,2/22,
2532,263,SUP,2/22,
2543,226,SUP,2/22,
2544,238,SUP,2/22,
2564,286,SUP,2/22,
2577,281,SUP,2/22,
2592,394,SUP,2/22,
2611,235,SUP,2/22,
