Store,,DEC,73,YTD,74,DEC,75,YTD,76,DEC,77,YTD,78,DEC,79,YTD,80,DEC,81,YTD,82,DEC,83,YTD,84,DEC,85,YTD,86,DEC,87,YTD,88,DEC,89,YTD,90,DEC,91,YTD,92
515,,-7.40%,,4.96%,,7.98%,,16.17%,,12.15%,,7.12%,,5.37%,,13.82%,,87,G,703,G,73.76%,G,81.23%,G,59,G,512,G,110.95%,G,104.63%,G,0:55:47,,1:01:51,,1320/2576,,903/2576,
1070,,-4.63%,,3.47%,,-4.20%,R,7.56%,R,3.07%,,-3.28%,R,-9.96%,R,7.21%,,37,G,90,,27.19%,,29.45%,,14,G,107,,38.25%,,47.80%,,0:37:31,,0:56:29,,1995/2576,,2051/2576,
1122,,11.88%,G,9.58%,G,15.79%,,18.96%,,1.32%,,-3.91%,R,26.70%,G,23.33%,,15,,135,,27.41%,,27.88%,,12,G,42,,39.34%,,50.41%,,0:50:05,,1:01:17,,766/2576,,1066/2576,
2753,,-6.87%,,2.29%,,12.49%,,17.41%,,6.29%,,6.23%,,-1.20%,,15.92%,,26,,101,,18.49%,R,19.64%,R,6,,49,,89.05%,,71.33%,,0:49:04,,0:43:30,,1593/2576,,1374/2576,
3485,,3.07%,G,10.89%,G,15.39%,,31.95%,G,2.32%,,11.52%,,0.00%,,25.18%,,24,,241,,62.15%,G,36.48%,,13,G,90,,118.03%,G,103.33%,G,0:42:42,,0:50:08,,650/2576,,163/2576,G
3874,,-6.09%,,3.87%,,21.59%,,11.74%,,6.18%,,-6.74%,R,9.25%,,15.90%,,35,G,102,,41.38%,,34.43%,,18,G,104,,73.51%,,46.43%,,0:55:19,,1:02:17,,1021/2576,,1809/2576,
4616,,0.83%,,8.75%,G,21.75%,,25.05%,,0.00%,,5.51%,,12.04%,,30.19%,G,67,G,146,,36.53%,,32.38%,,16,G,70,,108.10%,G,80.60%,G,1:02:50,R,1:06:43,R,699/2576,,596/2576,
Total,B,-1.45%,,6.42%,G,11.80%,,18.21%,,4.66%,R,2.82%,,5.89%,,18.28%,,1.39,G,0.65,,42.88%,G,38.92%,,0.66,G,0.42,G,81.40%,G,72.19%,G,0:48:07,,0:56:16,,144/394,,104/394,
3201,,14.43%,G,10.67%,G,7.14%,,41.53%,G,26.25%,,41.31%,G,13.91%,,43.31%,G,34,G,231,,26.16%,,31.31%,,8,,54,,67.73%,,42.27%,,0:35:53,G,0:35:20,G,665/2576,,52/2576,G
3401,,-4.28%,,8.01%,G,-0.48%,R,40.94%,G,0.37%,,32.82%,G,-1.10%,,40.63%,G,2,R,45,,36.61%,,37.00%,,3,,34,,40.18%,,30.55%,R,0:59:31,,1:03:39,R,2184/2576,R,407/2576,G
