Store,Item(s)  Removed
5858,Nectarine
884,Nectarine / Peach
681,Nectarine / Peach
1264,Nectarine
1276,Nectarine / Peach
5735,Nectarine
3274,Nectarine
5403,Nectarine / Peach/HoneyCrisp
886,Nectarine
196,Nectarine / Peach/HoneyCrisp
1477,Nectarine / Peach/HoneyCrisp
128,Nectarine / Peach
566,Nectarine/Honeycrisp
28,Nectarine / Peach/HoneyCrisp
2958,Nectarine
1926,Nectarine
5329,Nectarine
630,Nectarine
1268,Nectarine / Peach
3035,Nectarine/Honeycrisp
5452,Nectarine
995,Nectarine / Peach
4277,Nectarine / Peach
1783,Nectarine / Peach
334,Nectarine
1622,Nectarine
1962,Nectarine
6390,Nectarine
1238,Nectarine
5410,Nectarine
5388,Nectarine
3344,Nectarine
1551,Nectarine/Honeycrisp
702,Nectarine
1631,Nectarine
134,Nectarine
3802,Nectarine
2337,Nectarine
624,Nectarine
2036,Nectarine
1441,Nectarine/Honeycrisp
2823,Nectarine
3629,Nectarine
4593,Nectarine
2580,Nectarine/Honeycrisp
2316,Nectarine
3499,Nectarine
296,Nectarine
1782,Nectarine
1647,Nectarine
3332,Nectarine / Peach
3363,Nectarine / Peach
306,Nectarine / Peach
1360,Nectarine
5117,Nectarine
1304,Nectarine
3435,Nectarine
204,Nectarine
227,Nectarine / Peach/HoneyCrisp
1955,Nectarine / Peach
3857,Nectarine
720,Nectarine
2077,Nectarine
2078,Nectarine
636,Nectarine
1309,Nectarine / Peach
827,Nectarine
4168,Nectarine / Peach/HoneyCrisp
736,Nectarine / Peach
1608,Nectarine / Peach
3837,Nectarine
4321,Nectarine
1162,Nectarine
612,Nectarine / Peach/HoneyCrisp
5450,Nectarine
1478,Nectarine
1539,Nectarine/Honeycrisp
4221,Nectarine
974,Nectarine
1427,Nectarine
1566,Nectarine
2819,Nectarine
66,Nectarine/Honeycrisp
740,Nectarine / Peach
197,Nectarine / Peach
1028,Nectarine
1426,Nectarine
285,Nectarine
1594,Nectarine / Peach
2086,Nectarine
492,Nectarine / Peach/HoneyCrisp
1026,Nectarine/Honeycrisp
113,Nectarine / Peach
168,Nectarine
213,Nectarine/Honeycrisp
4446,Nectarine
790,Nectarine
2586,Nectarine
1333,Nectarine
1029,Nectarine/Honeycrisp
2937,Nectarine/Honeycrisp
484,Nectarine / Peach
712,Nectarine / Peach
1814,Nectarine
3658,Nectarine
5935,Nectarine
1702,Nectarine
382,Nectarine/Honeycrisp
278,Nectarine
2400,Nectarine / Peach
6878,Nectarine / Peach
2355,Nectarine
