Store,DSL Gen,DSL Start date,Resource Link,Toolkit Link by Gen,RDC,APD Phase 1,APD Phase 2,APD Phase 3,HVDC Start Date,FDD Start Date,CoSTL Install Date,Digital Lock Install Date,Digital Lock Survey Date,Next Gen Cash Recycler Install Date
1,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,7/10/2024,LIVE,,
2,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,7/26/2023,,,
3,,,,,6054,4/1/2027,7/1/2028,,Completed,Completed,,,,
4,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,7/22/2024,LIVE,,
5,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/30/2024,,,8/10/2024
7,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,8/4/2024,,,8/9/2024
8,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/16/2024,,,
9,,,,,6066,4/1/2028,7/1/2029,,Completed,Completed,,,,8/15/2024
10,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,Week 33,8/17/2024
11,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/23/2024,,,
12,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
13,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
14,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,Week 33,
15,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
16,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,7/24/2023,,,
17,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
18,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/8/2024,,,
19,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,,,Week 33,8/22/2024
20,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,,,,
21,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
22,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,8/12/2024
23,,,,,6048,11/1/2026,2/1/2028,,9/16/2024,9/16/2024,,,,
24,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,,,,
25,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,8/19/2024
26,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,1/19/2025,TBD,,
27,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
28,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
29,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,1/12/2025,,Week 33,
30,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,,,,8/21/2024
