"Distribution 
Center",Banner,Commodity,Type,Item #,Supplier #,28-Jan,29-Jan,30-Jan,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb
6042,SAMS,CUT,PALLET,214451,662556640,0,0,0,0,0,90,9,80,9,91,9,0,0
6042,SAMS,CUT,PALLET,557745,662556640,0,0,0,0,0,0,396,93,428,180,376,0,0
6042,SAMS,CUT,PALLET,980010313,737594640,0,0,0,0,0,0,1,0,44,0,83,0,0
6042,SAMS,CUT,PALLET,980173083,662556640,0,0,0,0,0,255,0,174,0,132,0,0,0
6042,SAMS,CUT,PALLET,984192699,662556640,0,0,0,0,0,0,0,0,0,0,65,0,0
6042,SAMS,LIVE,PALLET,990005772,233093640,16,16,16,0,0,0,0,0,0,12,12,12,12
6042,WM,CUT,CASE,552948015,870753942,0,0,0,0,0,40,0,0,0,0,0,0,0
6042,WM,CUT,CASE,555776495,402441940,0,0,0,0,246,17,0,0,0,0,0,0,0
6042,WM,CUT,CASE,577479147,402441940,0,0,0,0,0,113,0,0,0,0,0,0,0
6042,WM,CUT,CASE,598499116,546262940,0,0,0,0,0,132,0,0,0,0,0,0,0
6042,WM,CUT,CASE,655998724,442601940,0,0,0,0,222,0,0,0,0,0,0,0,0
6042,WM,CUT,CASE,657169074,870753942,0,0,0,0,0,179,0,0,0,0,0,0,0
6042,WM,CUT,CASE,657169089,546262940,0,0,0,0,0,224,0,0,0,0,0,0,0
6042,WM,CUT,CASE,657169091,755520940,0,0,0,0,0,93,0,0,0,0,0,0,0
6042,WM,CUT,CASE,657169099,456939940,0,0,0,0,0,0,137,0,0,0,0,0,0
6042,WM,CUT,PALLET,577479148,402441940,0,0,0,0,0,61,0,0,0,0,0,0,0
6042,WM,CUT,PALLET,577479149,402441940,0,0,0,0,0,0,0,61,98,0,0,0,0
6042,WM,CUT,PALLET,598499118,546262940,0,0,0,0,0,0,92,16,0,0,0,0,0
6042,WM,CUT,PALLET,598507316,755520940,0,0,0,0,0,0,156,156,66,0,0,0,0
6042,WM,CUT,PALLET,599029246,456939940,0,0,0,0,0,0,0,80,11,0,0,0,0
6042,WM,CUT,PALLET,656207203,546262940,0,0,0,0,0,40,13,0,0,0,0,0,0
6042,WM,CUT,PALLET,666636784,456939940,0,0,0,0,0,0,0,0,85,0,0,0,0
6042,WM,LIVE,CASE,599681002,148353560,0,0,0,0,0,54,111,132,135,36,37,0,0
6042,WM,LIVE,CASE,599681010,148353560,0,0,0,0,0,15,32,38,39,10,11,0,0
6042,WM,LIVE,CASE,599698277,148353560,0,0,0,0,0,58,119,141,145,38,39,0,0
6042,WM,LIVE,CASE,599698278,148353560,0,0,0,0,0,6,12,14,14,4,4,0,0
6042,WM,LIVE,CASE,599698279,148353560,0,0,0,0,0,1,2,2,2,1,1,0,0
6042,WM,LIVE,CASE,673097269,148353560,0,0,0,0,0,15,32,38,39,10,11,0,0
6042,WM,LIVE,PALLET,666166789,233093560,0,0,0,0,0,6,13,15,15,4,4,0,0
6042,WM,LIVE,PALLET,666166792,233093560,0,0,0,0,0,5,10,12,12,3,3,0,0
6047,SAMS,CUT,PALLET,214451,662556640,0,0,0,0,0,0,26,0,25,0,22,0,0
6047,SAMS,CUT,PALLET,557745,662556640,0,0,0,0,0,0,135,0,138,0,174,0,0
6047,SAMS,CUT,PALLET,980010313,737594640,0,0,0,0,0,0,0,0,12,0,33,0,0
6047,SAMS,CUT,PALLET,980173083,662556640,0,0,0,0,0,99,0,78,0,81,0,0,0
6047,SAMS,CUT,PALLET,984192699,662556640,0,0,0,0,0,0,0,0,0,0,2,0,0
6047,SAMS,LIVE,PALLET,990005772,233093640,9,9,9,0,0,0,0,0,0,7,7,7,7
6047,WM,CUT,CASE,552948015,870753942,0,0,0,0,10,0,0,0,0,0,0,0,0
6047,WM,CUT,CASE,555776495,402441940,0,0,0,0,220,0,0,0,0,0,0,0,0
6047,WM,CUT,CASE,577478888,442601940,0,0,0,0,0,0,127,0,0,0,0,0,0
6047,WM,CUT,CASE,577479037,861990940,0,0,0,0,0,103,0,0,0,0,0,0,0
6047,WM,CUT,CASE,597951565,10269949,0,0,0,0,65,0,0,0,0,0,0,0,0
6047,WM,CUT,CASE,598499114,83673940,0,0,0,0,0,115,0,0,0,0,0,0,0
6047,WM,CUT,CASE,657169076,83673940,0,0,0,0,0,226,0,0,0,0,0,0,0
6047,WM,CUT,CASE,657169089,546262940,0,0,0,0,0,180,0,0,0,0,0,0,0
6047,WM,CUT,CASE,657169091,755520940,0,0,0,0,64,0,0,0,0,0,0,0,0
6047,WM,CUT,PALLET,577478889,442601940,0,0,0,0,0,0,18,0,0,0,0,0,0
6047,WM,CUT,PALLET,577479118,861990940,0,0,0,0,0,0,56,0,0,0,0,0,0
6047,WM,CUT,PALLET,577479140,861990940,0,0,0,0,0,0,0,62,78,0,0,0,0
6047,WM,CUT,PALLET,598499115,83673940,0,0,0,0,0,0,42,58,0,0,0,0,0
6047,WM,CUT,PALLET,598507316,755520940,0,0,0,0,0,0,78,78,76,0,0,0,0
6047,WM,CUT,PALLET,656207328,83673940,0,0,0,0,0,44,0,0,0,0,0,0,0
6047,WM,CUT,PALLET,657169066,638471940,0,0,0,0,0,0,0,26,0,0,0,0,0
6047,WM,LIVE,CASE,674093022,44388560,0,0,0,0,0,69,142,168,173,46,47,0,0
6047,WM,LIVE,CASE,674093030,44388560,0,0,0,0,0,73,150,177,182,48,50,0,0
6047,WM,LIVE,CASE,674093031,44388560,0,0,0,0,0,32,66,79,81,21,22,0,0
6047,WM,LIVE,PALLET,666166792,233093560,0,0,0,0,0,4,8,10,10,3,3,0,0
6047,WM,LIVE,PALLET,673053929,44388560,0,0,0,0,0,0,1,1,1,0,0,0,0
6055,SAMS,CUT,PALLET,214451,662556640,0,0,0,0,0,0,69,0,64,0,64,0,0
6055,SAMS,CUT,PALLET,557745,662556640,0,0,0,0,0,0,234,0,231,0,315,0,0
6055,SAMS,CUT,PALLET,980010313,737594640,0,0,0,0,0,0,0,0,26,0,67,0,0
6055,SAMS,CUT,PALLET,980173083,662556640,0,0,0,0,0,144,0,119,0,71,0,0,0
6055,SAMS,CUT,PALLET,984192699,662556640,0,0,0,0,0,0,0,0,0,0,15,0,0
6055,SAMS,LIVE,PALLET,990005772,233093640,14,14,14,0,0,0,0,0,0,11,11,11,11
6055,WM,CUT,CASE,552948015,870753942,0,0,0,0,49,108,0,0,0,0,0,0,0
6055,WM,CUT,CASE,555776495,402441940,0,0,0,0,313,0,0,0,0,0,0,0,0
6055,WM,CUT,CASE,577478835,442601940,0,0,0,0,0,165,0,0,0,0,0,0,0
6055,WM,CUT,CASE,577478888,442601940,0,0,0,0,0,36,109,0,0,0,0,0,0
6055,WM,CUT,CASE,577478891,456939940,0,0,0,0,0,152,0,0,0,0,0,0,0
6055,WM,CUT,CASE,655998721,448436940,0,0,0,0,74,0,0,0,0,0,0,0,0
6055,WM,CUT,CASE,657169077,861990940,0,0,0,0,0,180,0,0,0,0,0,0,0
6055,WM,CUT,CASE,657169079,870753942,0,0,0,0,0,269,0,0,0,0,0,0,0
6055,WM,CUT,PALLET,577478874,442601940,0,0,0,0,0,39,26,0,0,0,0,0,0
6055,WM,CUT,PALLET,577478875,442601940,0,0,0,0,0,0,78,10,0,0,0,0,0
6055,WM,CUT,PALLET,577478889,442601940,0,0,0,0,0,0,0,5,0,0,0,0,0
6055,WM,CUT,PALLET,577478893,456939940,0,0,0,0,0,41,33,0,0,0,0,0,0
6055,WM,CUT,PALLET,577478902,456939940,0,0,0,0,0,0,0,118,71,0,0,0,0
6055,WM,CUT,PALLET,598507316,755520940,0,0,0,0,0,0,156,156,87,0,0,0,0
6055,WM,CUT,PALLET,657169065,83673940,0,0,0,0,0,0,0,0,21,0,0,0,0
6055,WM,LIVE,CASE,673777118,591685560,0,0,0,0,0,0,0,1,1,0,0,0,0
6055,WM,LIVE,PALLET,666166789,233093560,0,0,0,0,0,8,17,20,20,5,6,0,0
6055,WM,LIVE,PALLET,674167997,591685560,0,0,0,0,0,0,0,1,1,0,0,0,0
6056,SAMS,CUT,PALLET,214451,662556640,0,0,0,0,0,12,76,10,73,13,69,0,0
6056,SAMS,CUT,PALLET,557745,662556640,0,0,0,0,0,93,378,78,427,147,417,0,0
