BU,Region,Market,Stores,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,,,
A,2,22,787,"$27,829.86","$27,829.86","$27,829.86","$20,462.19","$20,462.19","$20,462.19","$20,462.19","$17,860.53",,,
A,42,328,788,"$14,198.61","$14,198.61","$14,198.61","$12,437.90","$12,437.90","$12,437.90","$12,437.90","$11,102.32",,,
B,5,583,789,"$32,211.12","$32,211.12","$32,211.12","$28,423.32","$28,423.32","$28,423.32","$28,423.32","$24,608.73",,,
M,47,429,790,"$17,519.38","$17,519.38","$17,519.38","$15,035.22","$15,035.22","$15,035.22","$15,035.22","$13,466.65",,,
B,6,78,791,"$17,851.23","$17,851.23","$17,851.23","$15,353.85","$15,353.85","$15,353.85","$15,353.85","$12,889.98",,,
E,25,279,792,"$6,292.43","$6,292.43","$6,292.43","$5,551.84","$5,551.84","$5,551.84","$5,551.84","$5,616.49",,,
B,46,70,793,"$16,464.34","$16,464.34","$16,464.34","$15,409.45","$15,409.45","$15,409.45","$15,409.45","$12,574.93",,,
B,44,409,794,"$22,891.44","$22,891.44","$22,891.44","$20,463.51","$20,463.51","$20,463.51","$20,463.51","$17,781.98",,,
A,2,39,795,"$13,810.46","$13,810.46","$13,810.46","$10,401.03","$10,401.03","$10,401.03","$10,401.03","$9,604.78",,,
E,25,279,796,"$24,239.63","$24,239.63","$24,239.63","$20,817.19","$20,817.19","$20,817.19","$20,817.19","$16,979.85",,,
M,52,418,797,"$22,816.72","$22,816.72","$22,816.72","$17,909.44","$17,909.44","$17,909.44","$17,909.44","$17,056.76",,,
E,25,273,798,"$9,422.24","$9,422.24","$9,422.24","$8,194.52","$8,194.52","$8,194.52","$8,194.52","$7,392.61",,,
M,47,406,799,"$19,320.51","$19,320.51","$19,320.51","$16,992.15","$16,992.15","$16,992.15","$16,992.15","$14,251.89",,,
A,9,89,800,"$25,855.20","$25,855.20","$25,855.20","$25,004.94","$25,004.94","$25,004.94","$25,004.94","$19,588.33",,,
E,40,360,801,"$16,078.84","$16,078.84","$16,078.84","$14,449.90","$14,449.90","$14,449.90","$14,449.90","$12,780.70",,,
E,53,263,802,"$18,028.13","$18,028.13","$18,028.13","$15,708.88","$15,708.88","$15,708.88","$15,708.88","$12,708.75",,,
B,13,128,803,"$16,515.08","$16,515.08","$16,515.08","$13,903.97","$13,903.97","$13,903.97","$13,903.97","$11,871.15",,,
B,5,48,804,"$21,657.24","$21,657.24","$21,657.24","$18,995.59","$18,995.59","$18,995.59","$18,995.59","$16,231.93",,,
E,40,340,805,"$23,300.42","$23,300.42","$23,300.42","$19,563.32","$19,563.32","$19,563.32","$19,563.32","$16,828.61",,,
B,46,387,806,"$27,587.81","$27,587.81","$27,587.81","$24,379.80","$24,379.80","$24,379.80","$24,379.80","$20,679.62",,,
B,5,50,807,"$25,503.29","$25,503.29","$25,503.29","$21,978.77","$21,978.77","$21,978.77","$21,978.77","$19,612.92",,,
B,6,61,808,"$28,574.45","$28,574.45","$28,574.45","$24,135.10","$24,135.10","$24,135.10","$24,135.10","$20,367.39",,,
A,14,10,809,"$23,268.65","$23,268.65","$23,268.65","$20,325.56","$20,325.56","$20,325.56","$20,325.56","$19,247.80",,,
M,52,426,810,"$26,010.65","$26,010.65","$26,010.65","$21,478.42","$21,478.42","$21,478.42","$21,478.42","$18,990.62",,,
A,9,118,811,"$19,737.36","$19,737.36","$19,737.36","$16,505.41","$16,505.41","$16,505.41","$16,505.41","$13,256.22",,,
B,46,70,812,"$19,123.39","$19,123.39","$19,123.39","$15,564.55","$15,564.55","$15,564.55","$15,564.55","$13,648.57",,,
B,5,81,813,"$29,231.28","$29,231.28","$29,231.28","$24,912.51","$24,912.51","$24,912.51","$24,912.51","$20,698.92",,,
A,9,107,814,"$26,979.26","$26,979.26","$26,979.26","$23,422.09","$23,422.09","$23,422.09","$23,422.09","$18,330.70",,,
E,40,336,815,"$18,356.52","$18,356.52","$18,356.52","$14,881.79","$14,881.79","$14,881.79","$14,881.79","$12,976.77",,,
B,13,141,816,"$23,512.35","$23,512.35","$23,512.35","$21,583.27","$21,583.27","$21,583.27","$21,583.27","$18,827.25",,,
A,9,90,817,"$31,480.34","$31,480.34","$31,480.34","$28,712.03","$28,712.03","$28,712.03","$28,712.03","$24,640.43",,,
A,14,15,818,"$28,184.49","$28,184.49","$28,184.49","$24,977.50","$24,977.50","$24,977.50","$24,977.50","$22,484.21",,,
A,9,105,819,"$32,195.06","$32,195.06","$32,195.06","$29,025.77","$29,025.77","$29,025.77","$29,025.77","$24,357.21",,,
E,40,359,820,"$14,354.69","$14,354.69","$14,354.69","$12,217.62","$12,217.62","$12,217.62","$12,217.62","$10,711.59",,,
B,46,71,821,"$30,049.03","$30,049.03","$30,049.03","$25,717.59","$25,717.59","$25,717.59","$25,717.59","$22,231.82",,,
B,46,70,822,"$21,936.76","$21,936.76","$21,936.76","$18,135.30","$18,135.30","$18,135.30","$18,135.30","$15,944.89",,,
B,44,345,823,"$23,733.52","$23,733.52","$23,733.52","$20,436.81","$20,436.81","$20,436.81","$20,436.81","$17,854.77",,,
B,46,385,824,"$18,587.79","$18,587.79","$18,587.79","$14,719.52","$14,719.52","$14,719.52","$14,719.52","$12,799.89",,,
E,41,257,825,"$14,427.74","$14,427.74","$14,427.74","$12,683.76","$12,683.76","$12,683.76","$12,683.76","$11,339.74",,,
B,46,375,826,"$31,368.04","$31,368.04","$31,368.04","$25,523.93","$25,523.93","$25,523.93","$25,523.93","$21,839.83",,,
B,5,45,827,"$21,918.79","$21,918.79","$21,918.79","$19,823.05","$19,823.05","$19,823.05","$19,823.05","$16,657.95",,,
E,25,251,828,"$26,878.55","$26,878.55","$26,878.55","$21,168.12","$21,168.12","$21,168.12","$21,168.12","$18,679.49",,,
B,46,385,829,"$19,109.06","$19,109.06","$19,109.06","$15,091.37","$15,091.37","$15,091.37","$15,091.37","$12,771.33",,,
E,25,279,830,"$9,001.98","$9,001.98","$9,001.98","$6,561.34","$6,561.34","$6,561.34","$6,561.34","$6,177.95",,,
E,25,271,833,"$12,112.24","$12,112.24","$12,112.24","$9,132.08","$9,132.08","$9,132.08","$9,132.08","$9,015.01",,,
E,40,360,834,"$9,445.21","$9,445.21","$9,445.21","$8,399.00","$8,399.00","$8,399.00","$8,399.00","$6,981.57",,,
B,46,385,835,"$22,205.05","$22,205.05","$22,205.05","$16,754.47","$16,754.47","$16,754.47","$16,754.47","$14,815.99",,,
A,3,28,836,"$25,003.98","$25,003.98","$25,003.98","$23,140.40","$23,140.40","$23,140.40","$23,140.40","$20,492.07",,,
E,40,333,837,"$4,023.65","$4,023.65","$4,023.65","$3,383.63","$3,383.63","$3,383.63","$3,383.63","$2,928.80",,,
B,44,345,838,"$28,836.20","$28,836.20","$28,836.20","$25,344.93","$25,344.93","$25,344.93","$25,344.93","$23,483.67",,,
B,13,130,839,"$25,361.47","$25,361.47","$25,361.47","$21,091.15","$21,091.15","$21,091.15","$21,091.15","$17,750.55",,,
M,52,415,841,"$5,484.27","$5,484.27","$5,484.27","$4,916.69","$4,916.69","$4,916.69","$4,916.69","$4,676.64",,,
M,54,389,842,"$29,469.36","$29,469.36","$29,469.36","$23,747.62","$23,747.62","$23,747.62","$23,747.62","$21,882.69",,,
A,3,27,843,"$8,958.23","$8,958.23","$8,958.23","$7,141.10","$7,141.10","$7,141.10","$7,141.10","$6,660.82",,,
E,25,262,844,"$21,397.00","$21,397.00","$21,397.00","$19,202.50","$19,202.50","$19,202.50","$19,202.50","$17,255.21",,,
E,40,357,845,"$5,088.15","$5,088.15","$5,088.15","$4,260.76","$4,260.76","$4,260.76","$4,260.76","$3,787.50",,,
B,6,85,846,"$13,801.73","$13,801.73","$13,801.73","$11,870.54","$11,870.54","$11,870.54","$11,870.54","$10,099.22",,,
E,53,441,847,"$15,925.78","$15,925.78","$15,925.78","$12,937.20","$12,937.20","$12,937.20","$12,937.20","$12,608.87",,,
A,12,144,848,"$27,347.62","$27,347.62","$27,347.62","$23,731.32","$23,731.32","$23,731.32","$23,731.32","$18,134.46",,,
B,6,59,849,"$26,406.31","$26,406.31","$26,406.31","$20,943.86","$20,943.86","$20,943.86","$20,943.86","$18,265.10",,,
B,46,385,850,"$24,439.82","$24,439.82","$24,439.82","$20,595.54","$20,595.54","$20,595.54","$20,595.54","$17,320.96",,,
B,46,387,851,"$17,197.48","$17,197.48","$17,197.48","$14,111.50","$14,111.50","$14,111.50","$14,111.50","$12,640.13",,,
E,25,262,852,"$21,673.26","$21,673.26","$21,673.26","$16,807.47","$16,807.47","$16,807.47","$16,807.47","$16,069.71",,,
A,14,1,853,"$24,760.20","$24,760.20","$24,760.20","$20,850.25","$20,850.25","$20,850.25","$20,850.25","$18,389.44",,,
E,21,246,854,"$15,053.16","$15,053.16","$15,053.16","$13,685.39","$13,685.39","$13,685.39","$13,685.39","$12,365.01",,,
A,2,22,855,"$24,134.61","$24,134.61","$24,134.61","$19,830.60","$19,830.60","$19,830.60","$19,830.60","$16,979.18",,,
A,2,22,856,"$21,977.63","$21,977.63","$21,977.63","$18,917.67","$18,917.67","$18,917.67","$18,917.67","$15,842.10",,,
A,3,94,857,"$22,351.49","$22,351.49","$22,351.49","$18,717.02","$18,717.02","$18,717.02","$18,717.02","$16,695.94",,,
A,3,97,858,"$13,070.65","$13,070.65","$13,070.65","$11,427.10","$11,427.10","$11,427.10","$11,427.10","$10,445.78",,,
A,9,116,859,"$26,739.02","$26,739.02","$26,739.02","$19,871.60","$19,871.60","$19,871.60","$19,871.60","$17,386.45",,,
A,3,94,860,"$30,573.72","$30,573.72","$30,573.72","$27,536.79","$27,536.79","$27,536.79","$27,536.79","$23,341.92",,,
B,46,71,861,"$20,994.98","$20,994.98","$20,994.98","$17,879.82","$17,879.82","$17,879.82","$17,879.82","$14,882.33",,,
A,3,28,862,"$30,216.66","$30,216.66","$30,216.66","$25,331.95","$25,331.95","$25,331.95","$25,331.95","$20,963.86",,,
A,14,10,863,"$14,994.65","$14,994.65","$14,994.65","$12,107.94","$12,107.94","$12,107.94","$12,107.94","$11,188.06",,,
A,3,28,864,"$27,326.73","$27,326.73","$27,326.73","$22,855.94","$22,855.94","$22,855.94","$22,855.94","$18,947.57",,,
B,6,87,865,"$31,799.30","$31,799.30","$31,799.30","$26,120.50","$26,120.50","$26,120.50","$26,120.50","$21,892.78",,,
A,14,1,866,"$26,895.48","$26,895.48","$26,895.48","$23,004.53","$23,004.53","$23,004.53","$23,004.53","$19,947.52",,,
M,47,429,867,"$28,322.74","$28,322.74","$28,322.74","$23,183.71","$23,183.71","$23,183.71","$23,183.71","$20,369.43",,,
B,46,387,868,"$29,778.55","$29,778.55","$29,778.55","$25,220.73","$25,220.73","$25,220.73","$25,220.73","$22,283.36",,,
B,46,375,869,"$23,890.93","$23,890.93","$23,890.93","$19,982.91","$19,982.91","$19,982.91","$19,982.91","$17,905.46",,,
E,25,580,870,"$27,455.62","$27,455.62","$27,455.62","$22,027.66","$22,027.66","$22,027.66","$22,027.66","$20,372.93",,,
E,40,333,871,"$5,790.43","$5,790.43","$5,790.43","$5,045.39","$5,045.39","$5,045.39","$5,045.39","$4,613.73",,,
B,6,62,872,"$25,158.39","$25,158.39","$25,158.39","$21,169.68","$21,169.68","$21,169.68","$21,169.68","$18,154.79",,,
B,46,375,873,"$12,325.43","$12,325.43","$12,325.43","$9,474.49","$9,474.49","$9,474.49","$9,474.49","$8,743.21",,,
B,13,141,874,"$18,901.30","$18,901.30","$18,901.30","$15,468.26","$15,468.26","$15,468.26","$15,468.26","$13,297.49",,,
B,13,140,875,"$20,140.76","$20,140.76","$20,140.76","$16,716.93","$16,716.93","$16,716.93","$16,716.93","$14,029.19",,,
A,42,127,876,"$13,768.36","$13,768.36","$13,768.36","$11,918.29","$11,918.29","$11,918.29","$11,918.29","$10,154.85",,,
F,26,309,877,"$28,745.98","$28,745.98","$28,745.98","$25,919.96","$25,919.96","$25,919.96","$25,919.96","$21,156.57",,,
A,2,24,878,"$20,042.46","$20,042.46","$20,042.46","$18,906.77","$18,906.77","$18,906.77","$18,906.77","$15,532.33",,,
E,41,152,879,"$18,181.01","$18,181.01","$18,181.01","$15,859.06","$15,859.06","$15,859.06","$15,859.06","$13,161.68",,,
B,5,50,880,"$31,966.77","$31,966.77","$31,966.77","$26,967.59","$26,967.59","$26,967.59","$26,967.59","$25,148.97",,,
F,4,41,881,"$26,697.98","$26,697.98","$26,697.98","$23,794.11","$23,794.11","$23,794.11","$23,794.11","$19,839.07",,,
E,53,425,882,"$19,911.17","$19,911.17","$19,911.17","$17,421.00","$17,421.00","$17,421.00","$17,421.00","$15,532.93",,,
E,25,249,884,"$22,892.81","$22,892.81","$22,892.81","$19,268.55","$19,268.55","$19,268.55","$19,268.55","$20,077.32",,,
M,47,433,885,"$11,102.33","$11,102.33","$11,102.33","$9,459.38","$9,459.38","$9,459.38","$9,459.38","$8,518.43",,,
M,52,426,886,"$22,378.85","$22,378.85","$22,378.85","$18,901.43","$18,901.43","$18,901.43","$18,901.43","$17,854.52",,,
B,13,141,887,"$17,409.68","$17,409.68","$17,409.68","$15,460.60","$15,460.60","$15,460.60","$15,460.60","$12,962.49",,,
A,42,334,888,"$9,190.68","$9,190.68","$9,190.68","$7,976.33","$7,976.33","$7,976.33","$7,976.33","$7,469.72",,,
A,3,27,889,"$19,948.69","$19,948.69","$19,948.69","$17,606.18","$17,606.18","$17,606.18","$17,606.18","$14,621.49",,,
A,9,91,890,"$32,249.26","$32,249.26","$32,249.26","$27,787.62","$27,787.62","$27,787.62","$27,787.62","$24,477.91",,,
E,25,279,891,"$22,552.04","$22,552.04","$22,552.04","$18,282.08","$18,282.08","$18,282.08","$18,282.08","$16,038.59",,,
M,52,414,892,"$29,436.20","$29,436.20","$29,436.20","$21,062.13","$21,062.13","$21,062.13","$21,062.13","$19,417.33",,,
B,44,349,893,"$3,363.18","$3,363.18","$3,363.18","$2,875.44","$2,875.44","$2,875.44","$2,875.44","$2,608.34",,,
B,44,356,894,"$26,135.51","$26,135.51","$26,135.51","$22,167.44","$22,167.44","$22,167.44","$22,167.44","$19,317.20",,,
E,40,336,895,"$4,934.08","$4,934.08","$4,934.08","$4,616.33","$4,616.33","$4,616.33","$4,616.33","$4,018.93",,,
B,5,49,896,"$31,009.78","$31,009.78","$31,009.78","$29,372.19","$29,372.19","$29,372.19","$29,372.19","$24,418.57",,,
B,46,73,897,"$11,622.41","$11,622.41","$11,622.41","$10,737.52","$10,737.52","$10,737.52","$10,737.52","$9,152.13",,,
B,46,73,898,"$8,034.59","$8,034.59","$8,034.59","$7,552.88","$7,552.88","$7,552.88","$7,552.88","$7,089.90",,,
A,3,27,899,"$25,679.30","$25,679.30","$25,679.30","$21,230.65","$21,230.65","$21,230.65","$21,230.65","$17,967.58",,,
B,46,70,900,"$8,525.28","$8,525.28","$8,525.28","$7,762.37","$7,762.37","$7,762.37","$7,762.37","$6,754.54",,,
B,6,77,901,"$20,628.37","$20,628.37","$20,628.37","$18,652.75","$18,652.75","$18,652.75","$18,652.75","$16,036.11",,,
E,25,251,902,"$19,779.61","$19,779.61","$19,779.61","$17,843.32","$17,843.32","$17,843.32","$17,843.32","$16,287.50",,,
B,13,140,903,"$18,335.90","$18,335.90","$18,335.90","$14,221.42","$14,221.42","$14,221.42","$14,221.42","$13,432.44",,,
A,14,1,904,"$28,437.11","$28,437.11","$28,437.11","$24,277.26","$24,277.26","$24,277.26","$24,277.26","$22,686.11",,,
M,54,379,905,"$20,693.30","$20,693.30","$20,693.30","$17,360.25","$17,360.25","$17,360.25","$17,360.25","$14,732.85",,,
B,46,384,906,"$37,302.83","$37,302.83","$37,302.83","$32,176.35","$32,176.35","$32,176.35","$32,176.35","$26,587.44",,,
A,3,32,907,"$19,172.24","$19,172.24","$19,172.24","$17,481.92","$17,481.92","$17,481.92","$17,481.92","$13,649.85",,,
A,9,90,908,"$27,706.50","$27,706.50","$27,706.50","$24,200.03","$24,200.03","$24,200.03","$24,200.03","$19,229.17",,,
B,13,125,909,"$23,934.36","$23,934.36","$23,934.36","$21,536.46","$21,536.46","$21,536.46","$21,536.46","$17,865.37",,,
E,53,442,910,"$20,473.83","$20,473.83","$20,473.83","$18,474.95","$18,474.95","$18,474.95","$18,474.95","$16,360.39",,,
B,13,128,911,"$30,460.64","$30,460.64","$30,460.64","$25,711.60","$25,711.60","$25,711.60","$25,711.60","$22,318.28",,,
B,13,125,912,"$24,098.88","$24,098.88","$24,098.88","$22,356.48","$22,356.48","$22,356.48","$22,356.48","$19,350.46",,,
E,53,425,913,"$22,463.69","$22,463.69","$22,463.69","$18,699.70","$18,699.70","$18,699.70","$18,699.70","$14,864.98",,,
A,42,322,914,"$14,422.51","$14,422.51","$14,422.51","$12,473.42","$12,473.42","$12,473.42","$12,473.42","$10,888.35",,,
B,6,62,915,"$29,259.19","$29,259.19","$29,259.19","$25,424.34","$25,424.34","$25,424.34","$25,424.34","$20,003.71",,,
B,13,141,916,"$27,767.81","$27,767.81","$27,767.81","$23,692.78","$23,692.78","$23,692.78","$23,692.78","$19,666.43",,,
B,5,81,917,"$8,235.00","$8,235.00","$8,235.00","$7,772.47","$7,772.47","$7,772.47","$7,772.47","$6,809.91",,,
B,5,46,918,"$25,531.58","$25,531.58","$25,531.58","$20,577.49","$20,577.49","$20,577.49","$20,577.49","$18,499.92",,,
A,14,15,919,"$28,984.50","$28,984.50","$28,984.50","$25,234.33","$25,234.33","$25,234.33","$25,234.33","$21,999.15",,,
M,54,388,921,"$15,294.91","$15,294.91","$15,294.91","$12,773.47","$12,773.47","$12,773.47","$12,773.47","$11,803.24",,,
E,25,243,922,"$24,030.15","$24,030.15","$24,030.15","$20,734.52","$20,734.52","$20,734.52","$20,734.52","$19,139.96",,,
E,25,482,923,"$26,898.97","$26,898.97","$26,898.97","$22,860.03","$22,860.03","$22,860.03","$22,860.03","$19,922.78",,,
M,54,378,924,"$20,560.11","$20,560.11","$20,560.11","$17,006.69","$17,006.69","$17,006.69","$17,006.69","$15,638.03",,,
A,9,114,925,"$10,914.78","$10,914.78","$10,914.78","$9,763.55","$9,763.55","$9,763.55","$9,763.55","$8,347.86",,,
B,46,71,927,"$19,558.76","$19,558.76","$19,558.76","$17,072.12","$17,072.12","$17,072.12","$17,072.12","$13,929.88",,,
A,3,98,928,"$33,199.36","$33,199.36","$33,199.36","$29,749.93","$29,749.93","$29,749.93","$29,749.93","$25,921.68",,,
A,9,107,929,"$26,484.20","$26,484.20","$26,484.20","$22,402.52","$22,402.52","$22,402.52","$22,402.52","$19,008.60",,,
A,14,8,930,"$27,748.44","$27,748.44","$27,748.44","$20,535.25","$20,535.25","$20,535.25","$20,535.25","$18,339.82",,,
A,9,92,931,"$28,819.66","$28,819.66","$28,819.66","$23,207.44","$23,207.44","$23,207.44","$23,207.44","$19,384.44",,,
A,3,16,932,"$29,972.61","$29,972.61","$29,972.61","$24,538.56","$24,538.56","$24,538.56","$24,538.56","$20,879.81",,,
E,53,263,933,"$14,487.38","$14,487.38","$14,487.38","$12,507.93","$12,507.93","$12,507.93","$12,507.93","$11,496.42",,,
A,14,1,934,"$21,629.04","$21,629.04","$21,629.04","$17,567.30","$17,567.30","$17,567.30","$17,567.30","$15,840.64",,,
B,13,130,935,"$21,479.57","$21,479.57","$21,479.57","$18,330.53","$18,330.53","$18,330.53","$18,330.53","$16,194.26",,,
E,25,273,936,"$26,059.40","$26,059.40","$26,059.40","$21,983.40","$21,983.40","$21,983.40","$21,983.40","$18,753.62",,,
A,2,26,937,"$21,507.65","$21,507.65","$21,507.65","$16,267.55","$16,267.55","$16,267.55","$16,267.55","$15,430.68",,,
A,14,8,938,"$18,267.78","$18,267.78","$18,267.78","$15,524.91","$15,524.91","$15,524.91","$15,524.91","$13,962.85",,,
B,5,76,939,"$23,786.57","$23,786.57","$23,786.57","$20,368.65","$20,368.65","$20,368.65","$20,368.65","$18,615.80",,,
B,5,479,940,"$25,726.55","$25,726.55","$25,726.55","$22,546.09","$22,546.09","$22,546.09","$22,546.09","$17,763.31",,,
A,9,116,941,"$25,724.85","$25,724.85","$25,724.85","$21,614.83","$21,614.83","$21,614.83","$21,614.83","$17,367.88",,,
A,9,89,942,"$32,324.69","$32,324.69","$32,324.69","$29,171.98","$29,171.98","$29,171.98","$29,171.98","$24,236.48",,,
A,9,91,943,"$28,879.43","$28,879.43","$28,879.43","$25,156.18","$25,156.18","$25,156.18","$25,156.18","$21,503.31",,,
A,14,15,944,"$28,584.76","$28,584.76","$28,584.76","$24,506.56","$24,506.56","$24,506.56","$24,506.56","$21,971.79",,,
B,46,71,945,"$24,133.45","$24,133.45","$24,133.45","$21,022.84","$21,022.84","$21,022.84","$21,022.84","$17,702.84",,,
B,44,350,947,"$27,430.97","$27,430.97","$27,430.97","$24,644.65","$24,644.65","$24,644.65","$24,644.65","$21,476.51",,,
F,4,304,948,"$18,656.66","$18,656.66","$18,656.66","$16,602.55","$16,602.55","$16,602.55","$16,602.55","$13,998.81",,,
A,12,145,950,"$23,067.48","$23,067.48","$23,067.48","$21,802.90","$21,802.90","$21,802.90","$21,802.90","$19,440.62",,,
B,6,85,951,"$6,297.83","$6,297.83","$6,297.83","$6,161.92","$6,161.92","$6,161.92","$6,161.92","$5,214.76",,,
A,3,27,952,"$21,347.93","$21,347.93","$21,347.93","$20,199.27","$20,199.27","$20,199.27","$20,199.27","$18,279.98",,,
M,54,378,953,"$25,419.53","$25,419.53","$25,419.53","$21,559.06","$21,559.06","$21,559.06","$21,559.06","$19,006.61",,,
B,13,141,954,"$13,943.36","$13,943.36","$13,943.36","$11,908.94","$11,908.94","$11,908.94","$11,908.94","$10,352.92",,,
A,9,91,955,"$28,701.25","$28,701.25","$28,701.25","$24,599.40","$24,599.40","$24,599.40","$24,599.40","$21,320.05",,,
A,9,92,956,"$13,054.05","$13,054.05","$13,054.05","$10,630.98","$10,630.98","$10,630.98","$10,630.98","$8,853.54",,,
E,25,279,957,"$6,108.99","$6,108.99","$6,108.99","$5,047.33","$5,047.33","$5,047.33","$5,047.33","$4,873.45",,,
E,53,263,958,"$23,024.41","$23,024.41","$23,024.41","$17,591.50","$17,591.50","$17,591.50","$17,591.50","$14,222.97",,,
A,9,89,959,"$18,135.36","$18,135.36","$18,135.36","$15,798.14","$15,798.14","$15,798.14","$15,798.14","$13,655.08",,,
A,3,93,960,"$23,554.67","$23,554.67","$23,554.67","$20,514.77","$20,514.77","$20,514.77","$20,514.77","$17,672.92",,,
B,13,129,961,"$22,213.63","$22,213.63","$22,213.63","$18,841.01","$18,841.01","$18,841.01","$18,841.01","$15,945.73",,,
M,54,389,962,"$14,836.34","$14,836.34","$14,836.34","$12,891.53","$12,891.53","$12,891.53","$12,891.53","$11,709.92",,,
B,5,48,963,"$26,064.85","$26,064.85","$26,064.85","$23,788.63","$23,788.63","$23,788.63","$23,788.63","$20,065.86",,,
B,46,505,964,"$35,627.43","$35,627.43","$35,627.43","$30,397.05","$30,397.05","$30,397.05","$30,397.05","$26,421.92",,,
E,53,438,965,"$20,257.50","$20,257.50","$20,257.50","$15,751.15","$15,751.15","$15,751.15","$15,751.15","$14,229.50",,,
B,46,375,966,"$26,155.43","$26,155.43","$26,155.43","$20,534.96","$20,534.96","$20,534.96","$20,534.96","$16,581.73",,,
A,9,104,967,"$31,408.32","$31,408.32","$31,408.32","$25,299.77","$25,299.77","$25,299.77","$25,299.77","$22,752.77",,,
A,9,116,968,"$30,272.62","$30,272.62","$30,272.62","$25,506.92","$25,506.92","$25,506.92","$25,506.92","$21,491.89",,,
B,13,143,969,"$27,053.15","$27,053.15","$27,053.15","$23,562.10","$23,562.10","$23,562.10","$23,562.10","$20,928.78",,,
B,13,143,970,"$29,931.58","$29,931.58","$29,931.58","$25,811.57","$25,811.57","$25,811.57","$25,811.57","$22,165.42",,,
E,53,438,971,"$11,033.70","$11,033.70","$11,033.70","$9,135.63","$9,135.63","$9,135.63","$9,135.63","$8,556.85",,,
B,5,479,972,"$28,348.04","$28,348.04","$28,348.04","$24,428.83","$24,428.83","$24,428.83","$24,428.83","$19,558.23",,,
A,9,92,973,"$27,185.96","$27,185.96","$27,185.96","$24,121.69","$24,121.69","$24,121.69","$24,121.69","$20,137.50",,,
A,9,92,974,"$29,968.24","$29,968.24","$29,968.24","$25,415.99","$25,415.99","$25,415.99","$25,415.99","$20,530.41",,,
B,44,350,975,"$25,915.68","$25,915.68","$25,915.68","$23,313.20","$23,313.20","$23,313.20","$23,313.20","$19,646.35",,,
A,42,135,976,"$14,741.75","$14,741.75","$14,741.75","$13,010.50","$13,010.50","$13,010.50","$13,010.50","$11,351.13",,,
A,3,98,977,"$6,887.13","$6,887.13","$6,887.13","$6,296.97","$6,296.97","$6,296.97","$6,296.97","$5,503.94",,,
M,47,406,978,"$12,033.23","$12,033.23","$12,033.23","$10,242.12","$10,242.12","$10,242.12","$10,242.12","$9,079.43",,,
E,53,438,979,"$14,405.56","$14,405.56","$14,405.56","$12,001.91","$12,001.91","$12,001.91","$12,001.91","$10,823.98",,,
M,54,378,980,"$27,591.13","$27,591.13","$27,591.13","$22,734.40","$22,734.40","$22,734.40","$22,734.40","$20,283.77",,,
A,14,138,981,"$27,465.13","$27,465.13","$27,465.13","$24,918.45","$24,918.45","$24,918.45","$24,918.45","$21,032.68",,,
E,53,425,982,"$13,034.68","$13,034.68","$13,034.68","$11,452.67","$11,452.67","$11,452.67","$11,452.67","$10,105.54",,,
M,54,391,984,"$23,686.40","$23,686.40","$23,686.40","$19,086.61","$19,086.61","$19,086.61","$19,086.61","$16,639.71",,,
M,52,418,985,"$11,154.51","$11,154.51","$11,154.51","$9,090.36","$9,090.36","$9,090.36","$9,090.36","$8,607.67",,,
M,54,388,986,"$15,669.98","$15,669.98","$15,669.98","$10,561.83","$10,561.83","$10,561.83","$10,561.83","$10,071.77",,,
A,9,105,987,"$25,983.59","$25,983.59","$25,983.59","$21,971.16","$21,971.16","$21,971.16","$21,971.16","$16,843.60",,,
A,9,104,988,"$28,892.29","$28,892.29","$28,892.29","$25,197.95","$25,197.95","$25,197.95","$25,197.95","$21,567.89",,,
B,13,128,989,"$30,602.89","$30,602.89","$30,602.89","$27,495.62","$27,495.62","$27,495.62","$27,495.62","$23,786.27",,,
A,14,14,990,"$37,822.23","$37,822.23","$37,822.23","$32,802.37","$32,802.37","$32,802.37","$32,802.37","$29,235.59",,,
A,14,1,991,"$24,467.99","$24,467.99","$24,467.99","$19,475.95","$19,475.95","$19,475.95","$19,475.95","$16,443.42",,,
B,44,356,992,"$19,360.54","$19,360.54","$19,360.54","$16,782.25","$16,782.25","$16,782.25","$16,782.25","$15,383.22",,,
M,47,407,993,"$15,976.34","$15,976.34","$15,976.34","$14,048.04","$14,048.04","$14,048.04","$14,048.04","$12,479.06",,,
A,9,104,994,"$31,667.23","$31,667.23","$31,667.23","$27,974.72","$27,974.72","$27,974.72","$27,974.72","$23,313.68",,,
E,25,251,995,"$20,044.51","$20,044.51","$20,044.51","$16,382.98","$16,382.98","$16,382.98","$16,382.98","$15,173.92",,,
E,25,251,996,"$8,789.44","$8,789.44","$8,789.44","$5,883.41","$5,883.41","$5,883.41","$5,883.41","$5,195.49",,,
B,6,86,999,"$22,325.75","$22,325.75","$22,325.75","$18,892.46","$18,892.46","$18,892.46","$18,892.46","$16,513.54",,,
B,6,569,1000,"$24,417.33","$24,417.33","$24,417.33","$21,167.52","$21,167.52","$21,167.52","$21,167.52","$18,179.61",,,
M,54,389,1001,"$27,685.73","$27,685.73","$27,685.73","$24,131.36","$24,131.36","$24,131.36","$24,131.36","$21,941.75",,,
E,25,580,1002,"$18,077.50","$18,077.50","$18,077.50","$15,176.55","$15,176.55","$15,176.55","$15,176.55","$14,549.05",,,
