BU,Region,Market,Stores,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,,,
M,47,411,26,"$27,240.47","$27,240.47","$27,240.47","$22,567.83","$22,567.83","$22,567.83","$22,567.83","$19,692.89",,,
E,40,357,27,"$12,461.09","$12,461.09","$12,461.09","$10,834.06","$10,834.06","$10,834.06","$10,834.06","$9,414.90",,,
B,44,347,28,"$19,148.36","$19,148.36","$19,148.36","$16,516.74","$16,516.74","$16,516.74","$16,516.74","$14,756.29",,,
E,40,359,29,"$23,382.69","$23,382.69","$23,382.69","$20,340.20","$20,340.20","$20,340.20","$20,340.20","$17,637.33",,,
E,40,335,30,"$18,050.71","$18,050.71","$18,050.71","$14,721.07","$14,721.07","$14,721.07","$14,721.07","$13,186.97",,,
B,44,351,31,"$22,644.81","$22,644.81","$22,644.81","$20,027.96","$20,027.96","$20,027.96","$20,027.96","$17,941.12",,,
E,40,333,32,"$10,885.08","$10,885.08","$10,885.08","$9,791.28","$9,791.28","$9,791.28","$9,791.28","$8,291.10",,,
A,42,325,33,"$12,614.84","$12,614.84","$12,614.84","$10,651.19","$10,651.19","$10,651.19","$10,651.19","$9,599.88",,,
A,42,334,34,"$16,307.78","$16,307.78","$16,307.78","$14,260.53","$14,260.53","$14,260.53","$14,260.53","$12,299.70",,,
M,47,407,35,"$29,528.51","$29,528.51","$29,528.51","$24,973.47","$24,973.47","$24,973.47","$24,973.47","$22,803.32",,,
A,12,329,36,"$27,762.31","$27,762.31","$27,762.31","$22,515.99","$22,515.99","$22,515.99","$22,515.99","$19,919.95",,,
E,40,335,37,"$25,734.37","$25,734.37","$25,734.37","$22,627.49","$22,627.49","$22,627.49","$22,627.49","$19,539.36",,,
B,44,47,38,"$14,194.64","$14,194.64","$14,194.64","$12,884.97","$12,884.97","$12,884.97","$12,884.97","$10,869.27",,,
B,44,410,39,"$11,537.35","$11,537.35","$11,537.35","$10,448.66","$10,448.66","$10,448.66","$10,448.66","$9,379.15",,,
E,40,359,40,"$19,576.46","$19,576.46","$19,576.46","$16,977.56","$16,977.56","$16,977.56","$16,977.56","$15,916.63",,,
B,44,345,41,"$29,999.03","$29,999.03","$29,999.03","$26,485.67","$26,485.67","$26,485.67","$26,485.67","$21,678.80",,,
B,44,410,42,"$12,207.87","$12,207.87","$12,207.87","$9,949.01","$9,949.01","$9,949.01","$9,949.01","$8,861.75",,,
M,47,407,43,"$21,003.07","$21,003.07","$21,003.07","$17,053.16","$17,053.16","$17,053.16","$17,053.16","$14,251.37",,,
E,40,336,44,"$7,150.34","$7,150.34","$7,150.34","$6,202.71","$6,202.71","$6,202.71","$6,202.71","$5,926.78",,,
A,12,329,45,"$27,050.87","$27,050.87","$27,050.87","$21,696.31","$21,696.31","$21,696.31","$21,696.31","$19,120.87",,,
E,40,357,46,"$22,772.25","$22,772.25","$22,772.25","$20,483.81","$20,483.81","$20,483.81","$20,483.81","$17,601.15",,,
B,44,351,47,"$19,566.41","$19,566.41","$19,566.41","$18,430.45","$18,430.45","$18,430.45","$18,430.45","$15,500.43",,,
A,42,334,48,"$16,267.13","$16,267.13","$16,267.13","$13,890.52","$13,890.52","$13,890.52","$13,890.52","$12,425.09",,,
B,44,47,49,"$11,548.92","$11,548.92","$11,548.92","$10,636.45","$10,636.45","$10,636.45","$10,636.45","$9,531.75",,,
B,44,347,50,"$11,490.32","$11,490.32","$11,490.32","$9,848.18","$9,848.18","$9,848.18","$9,848.18","$8,805.72",,,
E,40,339,51,"$13,515.19","$13,515.19","$13,515.19","$11,803.17","$11,803.17","$11,803.17","$11,803.17","$10,480.13",,,
A,42,325,52,"$21,823.20","$21,823.20","$21,823.20","$18,557.02","$18,557.02","$18,557.02","$18,557.02","$16,188.68",,,
A,42,322,54,"$19,500.52","$19,500.52","$19,500.52","$17,880.75","$17,880.75","$17,880.75","$17,880.75","$16,745.79",,,
A,42,321,55,"$10,031.36","$10,031.36","$10,031.36","$8,460.22","$8,460.22","$8,460.22","$8,460.22","$8,422.08",,,
E,40,333,56,"$12,598.29","$12,598.29","$12,598.29","$11,115.92","$11,115.92","$11,115.92","$11,115.92","$10,266.82",,,
A,42,328,57,"$8,158.88","$8,158.88","$8,158.88","$7,313.96","$7,313.96","$7,313.96","$7,313.96","$6,911.36",,,
A,42,325,58,"$31,679.18","$31,679.18","$31,679.18","$27,175.76","$27,175.76","$27,175.76","$27,175.76","$24,009.69",,,
A,42,334,59,"$28,137.15","$28,137.15","$28,137.15","$23,883.28","$23,883.28","$23,883.28","$23,883.28","$20,420.64",,,
E,40,339,60,"$23,451.51","$23,451.51","$23,451.51","$19,474.53","$19,474.53","$19,474.53","$19,474.53","$17,653.75",,,
E,40,361,61,"$26,811.77","$26,811.77","$26,811.77","$22,667.53","$22,667.53","$22,667.53","$22,667.53","$20,040.42",,,
A,12,329,62,"$18,346.97","$18,346.97","$18,346.97","$13,758.49","$13,758.49","$13,758.49","$13,758.49","$12,182.75",,,
B,44,347,63,"$12,047.58","$12,047.58","$12,047.58","$10,711.91","$10,711.91","$10,711.91","$10,711.91","$9,289.51",,,
E,41,146,64,"$13,506.34","$13,506.34","$13,506.34","$10,699.60","$10,699.60","$10,699.60","$10,699.60","$9,113.74",,,
E,40,336,65,"$16,779.25","$16,779.25","$16,779.25","$14,306.13","$14,306.13","$14,306.13","$14,306.13","$13,576.47",,,
A,42,321,66,"$18,682.08","$18,682.08","$18,682.08","$17,027.08","$17,027.08","$17,027.08","$17,027.08","$14,833.00",,,
A,42,321,67,"$18,825.98","$18,825.98","$18,825.98","$15,246.02","$15,246.02","$15,246.02","$15,246.02","$14,700.50",,,
A,12,329,68,"$13,828.80","$13,828.80","$13,828.80","$11,787.54","$11,787.54","$11,787.54","$11,787.54","$9,772.04",,,
E,40,335,69,"$31,999.43","$31,999.43","$31,999.43","$27,460.17","$27,460.17","$27,460.17","$27,460.17","$22,870.66",,,
A,12,329,70,"$23,961.80","$23,961.80","$23,961.80","$18,985.60","$18,985.60","$18,985.60","$18,985.60","$16,391.00",,,
