Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
14,562,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202226,90.68%,82.35%,14.6,97.60%,75.00%,92.00%,92.90%
14,562,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202226,92.98%,84.65%,14.9,92.50%,94.60%,96.60%,89.20%
14,1158,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202226,81.44%,94.74%,10.9,88.90%,76.90%,80.70%,77.80%
14,1711,DOORDASH,Scheduled Standard Delivery,24,Executive Review,Degrading,Store Focus,202226,66.82%,63.37%,49.7,77.90%,82.90%,29.20%,77.20%
14,1711,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202226,66.75%,67.96%,31.5,76.20%,75.50%,23.90%,79.00%
14,2723,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202226,66.94%,98.01%,8.9,77.10%,60.70%,70.30%,55.80%
14,301,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Recovering,Store Focus,202226,87.50%,92.52%,10,95.80%,84.60%,87.50%,82.90%
14,1201,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202226,80.95%,55.10%,30.9,75.00%,100.00%,72.20%,88.20%
14,2713,POINTPICKUP,Scheduled Standard Delivery,34,Executive Review,Recovering,Store Focus,202226,90.48%,90.91%,18.3,100.00%,50.00%,100.00%,100.00%
14,2713,SPARK,Scheduled Standard Delivery,30,Executive Review,Degrading,Store Focus,202226,84.01%,70.70%,17.1,73.30%,88.80%,88.70%,91.30%
14,1134,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Driver Supply Focus,202226,85.03%,98.68%,7.6,100.00%,84.20%,82.10%,86.20%
14,2114,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202226,75.94%,96.35%,7.1,63.80%,88.90%,78.10%,81.50%
14,1101,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202226,82.39%,91.84%,12.8,78.70%,83.10%,85.50%,83.70%
14,730,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202226,88.37%,81.20%,14.1,90.00%,86.70%,90.50%,87.70%
14,733,DOORDASH,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202226,78.20%,87.54%,23.7,62.80%,54.50%,79.30%,87.70%
14,764,UBER,Scheduled Express Delivery ,3,Active Monitoring,Recovering,Store Focus,202226,89.47%,72.73%,7.2,100.00%,100.00%,60.00%,100.00%
14,764,UBER,Scheduled Standard Delivery,14,Executive Review,Degrading,Store Focus,202226,63.24%,65.75%,23,63.60%,46.70%,68.80%,73.30%
14,2306,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202226,90.58%,94.49%,11.3,90.60%,85.40%,96.60%,87.10%
14,1229,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202226,75.00%,55.36%,21.5,69.40%,87.50%,83.30%,83.30%
14,1481,SPARK,Scheduled Standard Delivery,15,Executive Review,Degrading,Store Focus,202226,79.42%,81.09%,14.4,75.40%,93.50%,84.20%,74.50%
14,1481,UBER,Scheduled Standard Delivery,42,Executive Review,Degrading,Store Focus,202226,72.63%,74.75%,26.9,66.00%,85.70%,58.30%,88.50%
14,4497,POINTPICKUP,Scheduled Standard Delivery,39,Executive Review,Degrading,Store Focus,202226,85.24%,80.47%,15.9,80.90%,88.50%,94.60%,82.40%
14,4497,SPARK,Scheduled Standard Delivery,15,Executive Review,Degrading,Store Focus,202226,88.07%,80.96%,13.4,84.60%,85.90%,94.60%,88.30%
14,5262,DOORDASH,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202226,72.56%,64.26%,25.8,69.00%,36.00%,75.00%,86.70%
14,5262,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202226,80.41%,68.97%,16,85.20%,57.60%,80.70%,86.50%
14,990,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202226,73.23%,73.45%,18.1,69.30%,61.90%,77.30%,80.40%
14,990,UBER,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202226,83.98%,74.62%,17.8,82.90%,86.00%,82.90%,85.20%
14,1224,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202226,77.20%,66.89%,16.6,65.40%,65.00%,86.80%,88.70%
14,1224,UBER,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202226,86.09%,68.97%,17,80.00%,72.70%,87.50%,93.30%
14,3484,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202226,81.17%,91.24%,14.3,80.80%,69.50%,90.20%,84.50%
14,3484,UBER,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202226,84.23%,86.67%,16.8,88.40%,89.90%,80.60%,80.00%
