   ,SCO Lane Count  ,Original Date Scheduled,Time Scheduled,Planned Ship Date / Shipment Status,Tracking information (FedEx),,
,,(Marko Collic), ,,,,
6680,10,6/2/2025,5:00:00 AM,Shipped 05/28/2025,289151791394,,
6689,7,6/2/2025,5:00:00 AM,Shipped 05/28/2025,289147593930,,
6543,7,6/3/2025,5:00:00 AM,Shipped 05/28/2025,289145362380,,
6225,8,6/4/2025,5:00:00 AM,Shipped 05/28/2025,289149763604,,
8209,8,6/11/2025,5:00:00 AM,Shipped 05/29/2025,289201054150,,
4866,9,6/5/2025,5:00:00 AM,Shipped 05/29/2025,289204402152,,
6270,6,6/5/2025,5:00:00 AM,Shipped 05/29/2025,289204224633,,
4847,8,6/16/2025,5:30 AM,Shipped 06/02/2025,23494275,,
4952,7,6/16/2025,5:30 AM,Shipped 06/02/2025,23494276,,
6456,7,6/16/2025,5:30 AM,Shipped 06/02/2025,23494274,,
6549,8,6/16/2025,5:30 AM,Shipped 06/02/2025,23494273,,
8174,8,6/16/2025,5:30 AM,Shipped 06/02/2025,23494268,,
8183,6,6/16/2025,5:30 AM,Shipped 06/02/2025,23494272,,
8186,8,6/16/2025,5:30 AM,Shipped 06/02/2025,23494269,,
8251,5,6/16/2025,5:30 AM,Shipped 06/02/2025,23494271,,
8291,8,6/16/2025,5:30 AM,Shipped 06/02/2025,23494270,,
4840,8,6/17/2025,5:30 AM,Shipped 06/04/2025,23494825,,
6321,7,6/17/2025,5:30 AM,Shipped 06/04/2025,23494824,,
6658,8,6/17/2025,5:30 AM,Shipped 06/04/2025,23494819,,
6676,8,6/17/2025,5:30 AM,Shipped 06/04/2025,23494826,,
6692,8,6/17/2025,5:30 AM,Shipped 06/04/2025,23494823,,                               
8125,7,6/17/2025,5:30 AM,Shipped 06/04/2025,23494820,,
8135,7,6/17/2025,5:30 AM,Shipped 06/04/2025,23494818,,
8139,7,6/17/2025,5:30 AM,Shipped 06/04/2025,23494821,,
8272,8,6/17/2025,5:30 AM,Shipped 06/04/2025,23494822,,
4830,7,6/18/2025,5:30 AM,Shipped 06/04/2025,23494837,,
4987,7,6/18/2025,5:30 AM,Shipped 06/04/2025,23494832,,
6201,7,6/18/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6242,7,6/18/2025,5:30 AM,Shipped 06/04/2025,23494830,,
6245,8,6/18/2025,5:30 AM,Shipped 06/04/2025,23494833,,
6310,7,6/18/2025,5:30 AM,Shipped 06/04/2025,23494834,,
6425,6,6/18/2025,5:30 AM,Shipped 06/04/2025,23494836,,
6533,7,6/18/2025,5:30 AM,Shipped 06/04/2025,23494831,,
6666,8,6/18/2025,5:30 AM,Shipped 06/04/2025,23494828,,
8149,8,6/18/2025,5:30 AM,Shipped 06/04/2025,23494835,,
8167,7,6/18/2025,5:30 AM,Shipped 06/04/2025,23494827,,
8182,8,6/18/2025,5:30 AM,Shipped 06/04/2025,23494829,,
6349,8,6/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6358,8,6/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6376,8,6/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6384,7,6/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6406,7,6/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6630,6,6/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6664,8,6/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6672,7,6/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8111,8,6/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8169,8,6/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8285,8,6/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8286,7,6/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4739,7,6/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4996,8,6/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6360,7,6/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6462,7,6/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6631,8,6/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6690,9,6/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8136,7,6/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8158,7,6/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8176,8,6/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4786,7,6/26/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4853,7,6/26/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6569,7,6/26/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6637,7,6/26/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6667,7,6/26/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
