StoreNumber,Category,Item #,Item Description,Hot PLU, New Retails  
1,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
1,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
1,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
1,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
1,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
1,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
1,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
1,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
1,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
1,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
2,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
2,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
2,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
2,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
2,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
2,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
2,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
2,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
2,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
2,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
3,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
3,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
3,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
3,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
3,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
3,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
3,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
3,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
3,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
3,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
4,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
4,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
4,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
4,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
4,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
4,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
4,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
4,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
4,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
4,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
5,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
5,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
5,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
5,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
5,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
5,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
5,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
5,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
5,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
5,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
7,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
