Area,Last Published By,Last Published Date,Last Modified Date,Last Modified By,Published Status,Name,Parent Path,Page Link
Company,vn505vd,2/12/2019,2/6/2019,admin,Active,emergency-supply-list.pdf,/content/dam/us-wire-wm1/documents/company/community/emergency-disaster-preparedness,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/company/community/emergency-disaster-preparedness/emergency-supply-list.pdf"">Page Link</a>"
Company,vn505vd,2/12/2019,2/6/2019,admin,Active,family-emergency-communication-plan.pdf,/content/dam/us-wire-wm1/documents/company/community/emergency-disaster-preparedness,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/company/community/emergency-disaster-preparedness/family-emergency-communication-plan.pdf"">Page Link</a>"
Company,vn0rogo,5/7/2019,5/7/2019,c0s014a,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/company/news/walmart_world/WM-Assoc-Gaming-Tournament-Rules.pdf"">Page Link</a>"
Company,swils35,6/18/2019,6/18/2019,swils35,Active,Officer-Talking-Points.pdf,/content/dam/us-wire-wm1/documents/company/orphan,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/company/orphan/Officer-Talking-Points.pdf"">Page Link</a>"
Company,swils35,6/18/2019,6/18/2019,swils35,Active,Field-management-memo.pdf,/content/dam/us-wire-wm1/documents/company/orphan,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/company/orphan/Field-management-memo.pdf"">Page Link</a>"
Company,vn505vd,9/17/2019,9/17/2019,vn505vd,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/images/company/community/culture/rq7-assets/rq7-downloads/WMT_Pitch_Deck_Presentation.pdf"">Page Link</a>"
Company,vn505vd,7/29/2019,7/29/2019,vn505vd,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/images/company/community/culture/rq7-assets/rq7-downloads/Intro-Mandarin-DeepDivePage.pdf"">Page Link</a>"
Company,vn505vd,7/29/2019,7/29/2019,vn505vd,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/images/company/community/culture/rq7-assets/rq7-downloads/Intro-ENGLISH-DeepDivePage.pdf"">Page Link</a>"
Company,vn505vd,9/11/2019,9/11/2019,vn505vd,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/images/company/community/culture/rq7-assets/rq7-downloads/Pitch%20scorecard-%20RQ7_%20V4.pdf"">Page Link</a>"
Company,vn505vd,7/31/2019,7/31/2019,vn505vd,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/images/company/community/culture/rq7-assets/rq7-downloads/RQ7-Kickbox-Japanese.pdf"">Page Link</a>"
Company,vn505vd,7/29/2019,7/29/2019,vn505vd,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/images/company/community/culture/rq7-assets/rq7-downloads/Intro-Mandarin-SplashPage.pdf"">Page Link</a>"
Company,vn505vd,7/31/2019,7/31/2019,vn505vd,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/images/company/community/culture/rq7-assets/rq7-downloads/WalmartStrategyDeck_Spanish.pdf"">Page Link</a>"
Company,vn505vd,8/9/2019,8/9/2019,vn505vd,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/images/company/community/culture/rq7-assets/rq7-downloads/LeanCanvas_Example_French.pdf"">Page Link</a>"
