Inventory Correction for Timestamp Issue,,,,,,,"Updated July 18, 2025"
BU,Reg,Mrkt,Store,City,ST,Sum of cost,Sum of retail
SOUTHEAST ,2,18,1122,EASTANOLLEE,GA,$0.00,"$7,304.46"
SOUTHEAST ,2,18,2513,DAHLONEGA,GA,$0.00,"$9,247.28"
SOUTHEAST ,2,18,5786,JASPER,GA,$0.00,"$6,197.50"
SOUTHEAST ,2,21,520,WINDER,GA,$0.00,"$8,170.00"
SOUTHEAST ,2,21,1363,MADISON,GA,$0.00,"$8,424.28"
SOUTHEAST ,2,22,1488,DOUGLASVILLE,GA,$0.00,"$5,886.98"
SOUTHEAST ,2,25,5252,LOGANVILLE,GA,$0.00,"$6,742.81"
SOUTHEAST ,2,30,1227,AUGUSTA,GA,$0.00,"$7,712.20"
SOUTHEAST ,2,30,1293,AUGUSTA,GA,$0.00,"$5,313.29"
SOUTHEAST ,2,32,1367,WARNER ROBINS,GA,$0.00,"$6,622.22"
SOUTHEAST ,3,28,862,HINESVILLE,GA,$0.00,"$6,962.73"
SOUTHEAST ,3,28,2630,JESUP,GA,$0.00,"$8,924.93"
SOUTHEAST ,3,93,1297,CHIEFLAND,FL,$0.00,"$7,723.73"
SOUTHEAST ,3,93,1847,OCALA,FL,$0.00,"$5,853.55"
SOUTHEAST ,3,95,1104,INVERNESS,FL,$0.00,"$14,292.97"
SOUTHEAST ,3,95,2843,SUMMERFIELD,FL,$0.00,"$16,990.62"
SOUTHEAST ,3,111,2796,OLDSMAR,FL,$0.00,"$6,938.81"
SOUTHEAST ,3,112,2627,TAMPA,FL,$0.00,"$14,019.52"
SOUTHEAST ,3,114,1203,WIMAUMA,FL,$0.00,"$22,096.55"
SOUTHEAST ,3,114,3463,BRANDON,FL,$0.00,"$20,796.12"
SOUTHEAST ,3,114,5300,GIBSONTON,FL,$0.00,"$5,809.17"
SOUTHEAST ,9,90,1220,ORLANDO,FL,$0.00,"$12,695.73"
SOUTHEAST ,9,90,4332,ORLANDO,FL,$0.00,"$24,338.76"
SOUTHEAST ,9,90,5420,KISSIMMEE,FL,$0.00,"$13,874.44"
SOUTHEAST ,9,92,931,VERO BEACH,FL,$0.00,"$15,055.74"
SOUTHEAST ,9,92,3538,MELBOURNE,FL,$0.00,"$9,347.94"
SOUTHEAST ,9,92,5455,PALM BAY,FL,$0.00,"$10,668.39"
SOUTHEAST ,9,107,929,PORT SAINT LUCIE,FL,$0.00,"$12,951.06"
SOUTHEAST ,9,108,1517,POMPANO BEACH,FL,$0.00,"$8,899.33"
SOUTHEAST ,9,108,3858,BOCA RATON,FL,$0.00,"$10,333.71"
SOUTHEAST ,9,115,3370,PALMETTO,FL,$0.00,"$5,381.27"
SOUTHEAST ,9,116,580,BARTOW,FL,$0.00,"$11,079.39"
SOUTHEAST ,9,116,718,AUBURNDALE,FL,$0.00,"$11,581.71"
SOUTHEAST ,9,118,2484,CLEWISTON,FL,$0.00,"$7,737.97"
SOUTHEAST ,9,118,3349,PORT CHARLOTTE,FL,$0.00,"$6,383.80"
SOUTHEAST ,11,4,105,CORINTH,MS,$0.00,"$10,309.56"
SOUTHEAST ,11,4,114,BOONEVILLE,MS,$0.00,"$5,320.26"
SOUTHEAST ,11,4,153,NEW ALBANY,MS,$0.00,"$7,935.26"
SOUTHEAST ,11,11,764,BESSEMER,AL,$0.00,"$9,338.13"
SOUTHEAST ,11,136,347,INDIANOLA,MS,$0.00,"$9,995.20"
SOUTHEAST ,11,136,707,CLARKSDALE,MS,$0.00,"$6,424.66"
SOUTHEAST ,11,138,183,LOUISVILLE,MS,$0.00,"$9,307.90"
SOUTHEAST ,11,140,2720,MADISON,MS,$0.00,"$22,144.80"
SOUTHEAST ,11,140,3060,YAZOO CITY,MS,$0.00,"$10,501.43"
SOUTHEAST ,11,146,93,COVINGTON,TN,$0.00,"$15,264.29"
SOUTHEAST ,11,146,677,DYERSBURG,TN,$0.00,"$6,170.59"
SOUTHEAST ,11,147,161,HUNTINGDON,TN,$0.00,"$6,653.32"
SOUTHEAST ,11,147,238,PULASKI,TN,$0.00,"$13,423.36"
SOUTHEAST ,11,147,683,LAWRENCEBURG,TN,$0.00,"$19,280.91"
SOUTHEAST ,12,119,663,ATHENS,TN,$0.00,"$17,641.69"
SOUTHEAST ,12,120,658,ROME,GA,$0.00,"$10,968.49"
SOUTHEAST ,12,120,1215,CALHOUN,GA,$0.00,"$10,220.51"
SOUTHEAST ,12,120,5151,ROME,GA,$0.00,"$8,249.17"
SOUTHEAST ,12,121,5175,ALGOOD,TN,$0.00,"$7,364.70"
SOUTHEAST ,12,122,1319,KNOXVILLE,TN,$0.00,"$10,942.88"
SOUTHEAST ,12,123,578,SEVIERVILLE,TN,$0.00,"$10,446.11"
SOUTHEAST ,12,124,599,KINGSPORT,TN,$0.00,"$28,858.45"
SOUTHEAST ,12,124,3289,WEST JEFFERSON,NC,$0.00,"$12,916.10"
SOUTHEAST ,12,149,1075,CLARKSVILLE,TN,$0.00,"$5,248.96"
SOUTHEAST ,12,151,735,WINCHESTER,TN,$0.00,"$17,577.76"
SOUTHEAST ,12,151,5057,MURFREESBORO,TN,$0.00,"$5,462.23"
SOUTHEAST ,14,1,853,MOBILE,AL,$0.00,"$6,717.02"
SOUTHEAST ,14,7,2534,DOTHAN,AL,$0.00,"$16,896.89"
SOUTHEAST ,14,10,329,ANNISTON,AL,$0.00,"$7,665.53"
SOUTHEAST ,14,10,432,TALLADEGA,AL,$0.00,"$6,254.21"
SOUTHEAST ,14,10,733,VALLEY,AL,$0.00,"$6,431.23"
SOUTHEAST ,14,14,1222,PENSACOLA,FL,$0.00,"$13,424.73"
SOUTHEAST ,14,15,5845,NICEVILLE,FL,$0.00,"$7,737.79"
SOUTHEAST ,14,16,1311,COLUMBUS,GA,$0.00,"$6,193.67"
SOUTHEAST ,14,16,5363,HAMPTON,GA,$0.00,"$6,355.31"
SOUTHEAST ,29,801,2072,GUAYAMA,PR,"$13,485.72","$61,535.23"
SOUTHEAST ,29,801,2240,HUMACAO,PR,"$41,262.75","$18,321.19"
SOUTHEAST ,29,801,2423,CAROLINA,PR,"$22,875.74","$195,267.94"
SOUTHEAST ,29,801,2449,CAGUAS,PR,$0.00,"$18,755.51"
SOUTHEAST ,29,801,3693,SANTA ISABEL,PR,"$15,722.15","$66,672.60"
SOUTHEAST ,29,801,5793,PONCE,PR,$0.00,"$6,362.21"
SOUTHEAST ,29,801,5802,CANOVANAS,PR,"$32,387.09","$96,562.33"
SOUTHEAST ,29,811,2085,ISABELA,PR,"$25,852.39","$68,842.95"
SOUTHEAST ,29,811,2302,BARCELONETA,PR,"$19,999.74","$27,407.97"
SOUTHEAST ,29,811,5803,SAN JUAN,PR,"$9,421.42","$17,033.45"
SOUTHEAST ,42,321,55,BOONEVILLE,AR,$0.00,"$5,898.04"
SOUTHEAST ,42,321,279,DE QUEEN,AR,$0.00,"$8,185.74"
SOUTHEAST ,42,325,33,NASHVILLE,AR,$0.00,"$8,899.59"
SOUTHEAST ,42,325,1065,HOPE,AR,$0.00,"$12,314.16"
SOUTHEAST ,42,326,2575,CONWAY,AR,$0.00,"$15,943.63"
