Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
146,41,97,UBER,Scheduled Standard Delivery,7,Executive Review,Degrading,Driver Supply Focus,202219,61.70%,96.03%,7.2,66.70%,55.90%,75.00%,38.50%
146,41,106,POINTPICKUP,Scheduled Express Delivery ,7,Executive Review,Recovering,Driver Supply Focus,202219,92.86%,93.55%,7.2,100.00%,87.50%,100.00%,83.30%
146,41,335,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202219,72.84%,77.01%,16.5,57.10%,80.80%,65.40%,77.30%
152,41,671,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202219,54.72%,73.33%,21.2,75.00%,62.50%,42.10%,50.00%
242,41,1053,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202219,89.84%,89.45%,4.9,88.60%,92.80%,90.30%,87.60%
242,41,3294,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202219,85.45%,82.48%,5.5,89.50%,93.00%,84.10%,74.70%
242,41,4450,SPARK,Scheduled Standard Delivery,16,Executive Review,Degrading,Store Focus,202219,79.61%,60.22%,10.3,68.50%,77.70%,84.30%,87.60%
242,41,7290,UBER,Scheduled Standard Delivery,22,Executive Review,Degrading,Store Focus,202219,85.71%,86.40%,11.6,79.30%,90.50%,88.50%,86.10%
253,41,143,POINTPICKUP,Scheduled Express Delivery ,10,Executive Review,Degrading,Driver Supply Focus,202219,79.25%,98.78%,7.2,71.40%,88.20%,84.60%,66.70%
253,41,491,POINTPICKUP,Scheduled Standard Delivery,18,Executive Review,Recovering,Driver Supply Focus,202219,91.23%,93.39%,6.4,95.70%,92.50%,89.50%,88.30%
